,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,"경제를 알면, 유행이 보인다! '올드머니'는 OOOO 트렌드인 이유 | 쉽게 트렌디한 스타일 완성하는 4가지 방법 | 2023 가을 패션 트렌드",https://www.youtube.com/watch?v=mMFJr_oGa2o,54858,2023-08-27,0:09:51,806
3,"꼭 멀리 떠나야만, 여름을 즐길 수 있는 건 아니니까 🏝️ / 서촌 맛집, 오에프알 서울 Ofr Seoul, 에이트디비젼 8DIVISION, 스태픽스 STAFF PICKS",https://www.youtube.com/watch?v=NZTTjTxyATs,6795,2023-08-06,0:10:40,123
4,일본 여행 브이로그 VLOG / 맛집 추천 / 오모테산도 아오야마 쇼핑 / TOKYO 도쿄 넓은 숙소,https://www.youtube.com/watch?v=AaMzEe2jeMU,7775,2023-07-03,0:07:37,124
5,"먹고 마시고 입어보고 신어보고 일도 하는 VLOG / 헌터 부츠, 유노이아, 틸테이블 화분, 홍제천 카페, 홍대 일본 라멘 멘야준 (feat. 유튜브 카메라 EOS R50)",https://www.youtube.com/watch?v=MUwQiFgJkzE,10863,2023-06-13,0:09:47,122
6,11가지 아이템으로 완성하는 오래도록 고급스러운 여름 패션 스타일 | SUMMER CAPSULE WARDROBE 2023,https://www.youtube.com/watch?v=tB-sHLXfx74,52887,2023-06-06,0:36:58,725
7,"카메라는 예쁘게 나오는게 최고! 가벼운 브이로그 vlog 카메라, 캐논 EOS R50 사용기",https://www.youtube.com/watch?v=z4EoZtaCukI,5797,2023-05-28,0:10:30,105
8,"미리 여름 휴가 🏝️ P의 알찬 제주 여행 Vlog / 해변 필수템, 혼술 맛집, 제주도 포토 스팟, 흑돼지, 제주 공항 꿀팁 (feat. 유튜브카메라 EOS R50)",https://www.youtube.com/watch?v=B99azM1mqlE,8304,2023-05-27,0:35:35,115
9,"여름부터 환절기까지! 활용도 높은 패션 아이템 11가지 / LOEWE, Tiffany & Co., Matin Kim, LE17SEPTEMBER, LEE, EAAH, Ayede",https://www.youtube.com/watch?v=ufktsMMAr44,38984,2023-05-15,0:32:35,490
10,"잘 맞는 사이즈 찾기 어렵다면? 이렇게 해보세요~ / 출근룩, 하객룩, 결혼 예복 모두 다!",https://www.youtube.com/watch?v=QcZlfdB4xfQ,12341,2023-05-11,0:19:25,294
11,"지속가능한 패션, 정말 가능한가요? with 패션 디자이너 이옥선",https://www.youtube.com/watch?v=nDVG5xzTnQY,2720,2023-05-06,0:22:06,77
12,스트라이프 티셔츠의 정석! 세인트 제임스 Saint James | 유튜브 LIVE 쇼핑 예고 | 4월 26일 수요일 저녁 8시,https://www.youtube.com/watch?v=e3KMgm-z1J0,3533,2023-04-24,0:00:44,57
13,"4월의 야금템 | 야금야금 모은 패션 아이템 13가지 | 보테가베네타, 낫띵리튼, 마리떼 프랑소와 저버, 아모멘토, 흐꺙, 시엔느, 콜리젯 바이 오픈플랜",https://www.youtube.com/watch?v=x9HZTOExnTc,34513,2023-04-23,0:28:44,383
14,"봄 코디 8가지! 출근룩, 데일리룩, 하객룩 모두 해결~ (구독자 이벤트🥳) / 이아 EAAH",https://www.youtube.com/watch?v=t9Xv6aQYHb4,22987,2023-03-29,0:15:11,291
15,"봄 옷 코디의 비밀?! 이렇게 입으면 세련된 캐주얼 완성💕 | 출근룩, 휴양지룩 | 데렉 램 Derek Lam 10 Crosby",https://www.youtube.com/watch?v=mQ4S8cYtquE,22064,2023-03-25,0:14:03,278
16,"쇼룸 예쁘기로 소문난 국내 브랜드 2가지 + 프렌치 카페/맛집 | 투티에, 킨더살몬, 팔발라 | 새로운 가방, 인생 감자튀김, 블라우스 맛집",https://www.youtube.com/watch?v=Sk8daodTQdk,22181,2023-03-11,0:16:39,282
