,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
4,올리브영 인기쿠션⁉️피부표현 예술이네... #바닐라코 커버리셔스 얼티밋 화이트 쿠션 | 리얼리뷰,https://www.youtube.com/watch?v=weFwQe1wKY8,7135,2023-08-27,0:12:15,88
5,육퇴가 너무 아쉬운 8개월 아기엄마 브이로그 😅 | 미술 공모전 준비!,https://www.youtube.com/watch?v=ZZtVNdDn9ts,2993,2023-08-23,0:17:44,80
6,진짜 신박한 템들만 모아왔다😎 육아의 질 200%상승 시켜주는 꿀템 TOP6!,https://www.youtube.com/watch?v=lAGgp_qodXI,1591,2023-08-11,0:11:31,67
7,이렇게 밝은데 쓸만한가....?🥸 데이지크 무드 블러 립펜슬 전색상 발색 리뷰,https://www.youtube.com/watch?v=oXYdMLr4vQc,3694,2023-08-05,0:07:07,52
8,집에서 밀탑빙수 먹어봤어? 여름에 필수인 템들 다 가져옴! | 여름 페이보릿 ♥,https://www.youtube.com/watch?v=sYQEDshsdQU,2490,2023-07-30,0:12:13,86
9,어떤 립을 발라도 건조한 사람 주목😬 뉴!!!! 헤라 센슈얼 피팅 글로우 틴트 6종 발색 리뷰,https://www.youtube.com/watch?v=BYYtmyR5-gI,11397,2023-07-22,0:06:25,138
10,모공부자들 모여😵 누구나 따라할 수 있는 모공커버 꿀팁‼️,https://www.youtube.com/watch?v=7V2xycCeR9w,9122,2023-07-15,0:11:39,154
11,롬앤 치키치키 가든으로 ✦데일리 쿠로미st 메이크업✦,https://www.youtube.com/watch?v=FF3K04j4Fyc,3954,2023-07-09,0:06:13,104
12,소장욕구 뿜뿜❤️‍🔥 안 사고는 못 배김! 크리니크 블러셔 베스트 5종 발색&리뷰,https://www.youtube.com/watch?v=BJQqr_F11b4,25528,2023-07-02,0:07:35,199
13,"방법만 바꿔서 사용하던 쿠션으로🌟최대 효과🌟내는 법!!! (+모공,무너짐 잡는법)",https://www.youtube.com/watch?v=OQ-QnEid17o,7041,2023-06-24,0:07:28,170
14,이렇게 저렴한데 괜찮네....? 알리에서 구매한 제품들로 풀메!,https://www.youtube.com/watch?v=4vAierfPQs4,3234,2023-06-18,0:13:47,70
15,"레페리 10주년 파티 가는 날, 같이 준비해요! | 수다 GRWM",https://www.youtube.com/watch?v=-3QziQzKty4,2834,2023-06-11,0:11:59,82
16,산후 다이어트 시작! | 건강한 집밥 해먹은 날 VLOG | 집밥로그 | 6개월 아기,https://www.youtube.com/watch?v=bJlsT78zy0c,1813,2023-06-04,0:08:15,50
17,꼬맹이 첫 이유식 먹는 날! 함께 하실래요? 6개월 아기 #육아일기,https://www.youtube.com/watch?v=0VclONI9sUA,4892,2023-05-27,0:20:45,133
18,"있는 템으로, 따악10분‼️ 출근길 퀵 메이크업",https://www.youtube.com/watch?v=BWvD1vY9yE0,4731,2023-05-19,0:05:50,112
19,조명 없이 적나라하게 쿠션 리뷰 찍어봄 😱 파넬 쿠션 리뷰!,https://www.youtube.com/watch?v=rvkxcSIkf0g,23899,2023-05-13,0:07:54,168
20,쿨톤 만들어준다는 보라색 쿠션!💜 신상 리뷰&메이크업,https://www.youtube.com/watch?v=v5BmFEnVVDs,17335,2023-05-07,0:08:39,170
21,랜선 집들이💚 집에서 모든 걸 해결하는 집순/집돌 커플의 하우스 🤗,https://www.youtube.com/watch?v=MyDKCarB0j8,6128,2023-04-29,0:23:59,146
22,안 낳았으면 어쩔 뻔 했나😘 4개월 아기와 보낸 리얼한 하루 #육아일기,https://www.youtube.com/watch?v=Zep7_erLEHc,7086,2023-04-23,0:26:14,188
23,핫한 SNS 대란템!!! '홍시밤'으로 인간 홍시 메이크업 🍊,https://www.youtube.com/watch?v=0xhRk6t90Yg,6206,2023-03-25,0:09:00,97
24,클리오 신상! 코숏에디션🐈 팔레트로 메이크업 | 원팔레트 메이크업,https://www.youtube.com/watch?v=_J814Cg6CmI,7440,2023-03-18,0:09:58,182
25,"NO 광고 ALL 웨이크메이크! 신상템 쏙쏙, 곰손도 잘 쓸 수 있는 템 가득⁎ᵕᴗᵕ⁎| 신토불이 4편",https://www.youtube.com/watch?v=6XxMwwk-G2E,5123,2023-03-12,0:12:19,118
26,세일 끝나간다!!!😱 빨리 득템하세요 올리브영 찐! 추천템,https://www.youtube.com/watch?v=RifX3zABOgQ,10095,2023-03-05,0:11:30,154
27,얼굴 여백 싸악 소멸시키는 옆머리 자르기 💇🏻‍♀️,https://www.youtube.com/watch?v=bHa5VEKLWwY,4413,2023-02-25,0:04:32,181
