,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,팁토우 네일 FW 신상 전 컬러 발색 & 셀프 네일 팁 💅🏻 | 🫒올영세일,https://www.youtube.com/watch?v=cki80p7rimg,2112,2023-08-30,0:07:24,41
3,vlog. 배추랑 드디어 첫 산책 🐕 디저트 그릭모모🍑 베흐트 팝업💎 가성비 홈웨어 추천! (베이스레인지 l 얼바닉 l 베흐트 l 피브),https://www.youtube.com/watch?v=MPleV0QCIcM,1271,2023-08-08,0:16:30,28
4,vlog. 나의 취향가득 여름 샌들ㅣ스킨케어는 이걸루 정착 할까봐요ㅣ시바 견주 일상 (자라ㅣ르메르ㅣ플리츠플리즈),https://www.youtube.com/watch?v=leXL6zOo9cU,1391,2023-07-31,0:19:20,26
5,vlog. 이제 개족이다 시바 🐶 반려견과 함께하는 여름  일상 & 이쁜 핑크 셔츠도 구매했고 🤍 (얼바닉 l 낫띵리튼 ),https://www.youtube.com/watch?v=RoRsYE5RHls,2406,2023-07-12,0:12:42,52
6,vlog. 여름맞이 목걸이 쇼핑💎 일단 시작하자 새로운 시작 한걸음 🗓 (온일 | 노티아 | 모노하 | 플리츠플리즈) 초록초록한 계절 즐겨주기🌳 💚,https://www.youtube.com/watch?v=gV9zX1r_W4s,2005,2023-06-21,0:16:32,45
7,Vlog. 퇴사 후 영감 가득 채워 가는 일상🪹🪵 COS 팝업 | 디올 팝업 | MOSOON갤러리 | 오랜만에 모노하 쇼핑도 🛍,https://www.youtube.com/watch?v=VQimVyuOlsM,2551,2023-06-07,0:17:34,44
8,Vlog. 5월 일상 모음 &뷰티팝업도 가고 & 올 여름은 어떤 아이템으로 채워갈까요? 👗🧺,https://www.youtube.com/watch?v=eEWIvU3KnuU,2058,2023-05-21,0:19:02,36
9,Rouje 💋 제품으로 해본 글로우 메이크업에 프렌치 한스푼 🥣,https://www.youtube.com/watch?v=cm3DEDcqC5s,956,2023-05-03,0:13:54,27
10,vlog. 인생 마스카라 찾았어요 & 출근 GRWM | 소소한 데일리룩 쇼핑 (뮤드 | 오브네어 | le17septembre),https://www.youtube.com/watch?v=HAOMPVSNgok,2466,2023-04-17,0:18:13,50
11,"vlog. 봄 이니까! 플랫슈즈도 사고, 츄러스도 먹고, day off 로 힐링한 한주",https://www.youtube.com/watch?v=r2eehuu2h6Y,2913,2023-03-26,0:13:28,59
12,봄 아우터 & 향수 추천 🌼 (노티아 | 링서울),https://www.youtube.com/watch?v=IJ7HIiSNw44,2998,2023-03-12,0:11:09,43
13,Vlog. 생일 주간 고성여행 힐링모먼트 (서로재 | COS | 노티아) 강원도숙소추천 🏠🌿,https://www.youtube.com/watch?v=92qFYeJU9D8,2175,2023-03-02,0:16:49,35
14,vlog. 주말이 제일 행복하다 연진아.. 봄 냄새나는 디저트도 먹고ㅣ 일주일 일상 & 출근룩 (노티아ㅣ 르917ㅣ 르메르 ㅣ 힌스쿠션 ),https://www.youtube.com/watch?v=vdAwcQXDlro,2267,2023-02-06,0:14:14,38
15,Vlog. 일주일 출근룩 & 신년맞이 스킨 케어 추천 💦(코이 | 낫띵리튼 | 르17 | 바티스트) 🧣👢파마 또 했어요,https://www.youtube.com/watch?v=o3v4gGSQY70,2283,2023-01-25,0:14:23,33
16,나만 알고 싶은 ✨ 1년 동안 잘 사용한 주얼리 아이템💍 (르메르 | 파르테즈 | 콜드프레임),https://www.youtube.com/watch?v=MaKEEdW2Ysw,2561,2022-12-30,0:10:57,53
17,올 겨울 MLBB 립은 이걸루.. 글로우 & 매트 💄 (힌스 | 피브 | 헉슬리 | 나스),https://www.youtube.com/watch?v=3C-M3rUqncE,6807,2022-12-28,0:07:20,72
18,겨울 보습 아이템 & 글로우 수채화 메이크업 (달바 반반크림 일주일 사용후기 ㅣ멜릭서ㅣ피브),https://www.youtube.com/watch?v=maN-_XyFWB4,3295,2022-12-26,0:14:43,25
19,"Vlog. 월동준비 아이템 (le17septembreㅣ얼바닉ㅣ낫띵리튼) 🧤🧶 서순라길에서 마지막 가을 즐기기, 소곱창 먹고 심쿵사 당한 사연 🐶",https://www.youtube.com/watch?v=uK5hV2KZdFY,4334,2022-12-12,0:18:31,60
20,가을룩북. 지금 부터 겨울까지 같이 입어요! (Le17septembre l 노티아 l 아카이브앱크 l 낫띵리튼 l 노이어)👢🧶🍁,https://www.youtube.com/watch?v=TPfW5pRhkzE,9287,2022-11-06,0:17:23,152
21,Vlog. 지금 봐야 하는 가을전시(탬버린즈ㅣ장줄리앙ㅣ미메시스아트뮤지엄) & 가을룩 (노티아ㅣ노이어ㅣ낫띵리튼)🍁,https://www.youtube.com/watch?v=eCe2xaKyxsI,1606,2022-10-22,0:11:54,28
22,GRWM. 힌스 팝업 다녀왔어요 💌  & 같이 준비하는 가을 메이크업 (힌스 향수 / 클리오 쿠션 / 나스 에어매트 틴트),https://www.youtube.com/watch?v=GIiJfhNtfOo,2890,2022-10-13,0:16:14,38
23,Vlog. 가을 준비 해야죠? (낫띵리튼ㅣ모노하ㅣ아카이브앱크) 나스 신상립 구매! 일주일 출근룩 & 한강뷰 힐링스팟 발견(타이프커피),https://www.youtube.com/watch?v=eIQstl70FuM,12182,2022-09-23,0:13:31,118
24,vlog. 9월 올영세일 추천템ㅣ아카이브앱크 fwㅣ아파트먼트 폴🪑🛋🚪 그리고 간식추천 (연리희재ㅣ오마이호두),https://www.youtube.com/watch?v=9378LTNRZiQ,1698,2022-09-04,0:17:14,26
25,GRWM. 고급스러운 하객 메이크업 & 로우번 이쁘게 묶는 법 & 귀걸이 쇼핑 (onillㅣhinceㅣshaishaishaiㅣ네이밍ㅣ샤넬),https://www.youtube.com/watch?v=JSzKT4a-dAE,2596,2022-08-28,0:16:15,61
