,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,왓츠인마이백🎒 in강릉(여행용백팩추천 / 인생숙소추천 / 문의많았던 브러쉬들) what's in my bag?,https://www.youtube.com/watch?v=eLG0kegq89w,3527,2023-08-24,0:13:29,83
3,"루씨 블러셔 스포,,💓베프한테 샵 메이크오버 시켜주고 프로필 남겨주기👯‍♀️🌼",https://www.youtube.com/watch?v=2btf0un1XcU,5807,2023-08-14,0:16:13,162
4,삶의질까지 상승‼️(맨날 물어보는 존예렌즈/”입에서 꽃향나“치약/화잘먹 스킨케어),https://www.youtube.com/watch?v=zLltSdT64V8,6913,2023-08-05,0:13:18,139
5,"루씨X아드망 첫마켓🚨 구매전 꼭 보세요! #화잘먹 #스킨케어 패드,앰플,크림",https://www.youtube.com/watch?v=L61jAs_OHQQ,17187,2023-07-30,0:27:18,263
6,"데이지크 사장님 최.초.등.판👀✨mbti / 의외의 최애템 / 연예인 애정템 핸드크림 / 이를 갈고 만든 쉐딩｜데이지크,바이애콤,애프터블로우",https://www.youtube.com/watch?v=Zhj9HbGJ_3g,16611,2023-07-23,0:23:10,370
7,성덕GRWM🙊💙데이지크 대표님과 촬영하러 가는 날~~(리얼텐션ㅋㅋㅋ),https://www.youtube.com/watch?v=pzCqoeX-KFY,4096,2023-07-19,0:14:57,79
8,(노토킹) 영통st 겟레디윗미🎵(안 유명 존예 섀도우팔레트 소개👀💜🖤),https://www.youtube.com/watch?v=jmukLlc4WrY,4726,2023-07-17,0:07:51,78
9,"에스티로더 더블웨어 저렴이로 유명했던 그 파운데이션 써봤는데요..? 리얼 리뷰｜단점, 팁 6가지｜브이디엘 커버스테인  퍼펙팅 파운데이션",https://www.youtube.com/watch?v=cJTEnmz8N2M,8725,2023-07-13,0:13:19,99
10,"나른핑크🤭 웨이크메이크 섀도우팔레트 #레이지핑크블러링 #하이핑크블러링 이렇게 발라보세요!｜ 핑크하이웨이 컬렉션, 쿨톤",https://www.youtube.com/watch?v=f8n_rAyeLjo,4459,2023-07-09,0:14:51,94
11,"NEW! 웨이크메이크 워터블러링픽싱틴트 ""리뉴얼 된 수채화틴트 발라봤어요!""",https://www.youtube.com/watch?v=HFOf-SmDHuI,17289,2023-07-09,0:07:27,154
12,"🎧ASMR 그 ""꿀광"" 틴트 요거예요❣ 클리오 크리스탈 글램 틴트😘 한달리뷰 장단점 들려드림!!",https://www.youtube.com/watch?v=AsHubBAnu0w,4871,2023-07-07,0:09:12,88
13,긴머리 봉고데기하는 법 (단 5분소요｜바비리스 봉고데기 38mm) How I Curl My Hair,https://www.youtube.com/watch?v=mngiMXBLGwY,4973,2023-07-05,0:08:12,89
14,"광고 거절했던 그 샴푸!!ㅋㅋ 라이아 창립 이래 역대급 최저가,,최초마켓 루씨와 함께 합니다~!🤗💙들어오세요!!",https://www.youtube.com/watch?v=4yMxQLIGTnk,17643,2023-06-25,0:10:16,146
15,택배언박싱 2탄인데? 56분..그와중에 구독자선물 왕창 챙기기🎁💕(촬영하다 몸살 걸린 적 처음이야..너무 힘들어🤣),https://www.youtube.com/watch?v=hBxUiLA2y1s,8333,2023-06-10,0:55:47,242
16,"1만원 이하 셀프 시술꿀템‼(#올영세일 때 요거 꼭 넣으세요🛍) 애교살, 오버립, 틴트",https://www.youtube.com/watch?v=GEYKTAvBMSY,7813,2023-06-05,0:16:27,139
17,"현시점 인플루언서 사이에서 제일 핫한 ""그"" 틴트!! 뭐게~~요!😁 어엄청 예쁜데 이게...ㅠㅠ",https://www.youtube.com/watch?v=wRa849YU4Ig,8415,2023-05-29,0:11:20,136
18,⭐️올리브영 평점 4.7 이상의 제품들만!!⭐️이 중에 몇개 써보셨어요?ㅎㅎ,https://www.youtube.com/watch?v=-gExHIWYt7k,8698,2023-05-23,0:17:03,149
19,"""피부예쁘다"" 꼭 듣는 💓화잘먹 기초+베이스 루틴💓 소개해요!!",https://www.youtube.com/watch?v=PoSsN-sGDas,8340,2023-05-17,0:15:08,162
20,"스토커 아니야..? 썰 풀며 grwm(🍨데이지크 바닐라 아이스크림 팔레트,,데또데💓)",https://www.youtube.com/watch?v=CAt-rSzLe80,9181,2023-05-12,0:20:41,130
21,NO광고‼️이건 몰랐죠? 쓰기전으로 못 돌아가는 생활꿀템 3가지(넘사벽 섬유유연제 / 단종됐어요🧈부활하여라 / 설거지 신세계),https://www.youtube.com/watch?v=OJYa2yW2ZfI,7434,2023-05-11,0:13:16,242
22,(센스있는)올리브영 선물 추천템 4가지!💗,https://www.youtube.com/watch?v=EOUxj9DXSJ4,4423,2023-05-05,0:14:40,76
