,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
1,나의 삶을 한층 Upgrade 시켜준 상반기 잘썼다템! #쿠팡 #올리브영 #스몰럭셔리 #2023결산템 🩵,https://www.youtube.com/watch?v=N6YVsIny5Ow,9771,2023-08-26,0:13:41,203
2,요즘근황 브이로그 ❤️ 연프 출연? 나의 과거? 인간 관계? 하루 먹방? and GRWM! 🎀,https://www.youtube.com/watch?v=zM1VG9BNVwk,14349,2023-08-12,0:18:10,286
3,3월일상모음zip/히피펌고데기/cider옷하울/요즘하는메이크업/엄마랑꽃이랑 나무사러/노탄수연어롤/레몬오이물,https://www.youtube.com/watch?v=FYHiBWAuDkA,13613,2023-03-10,0:14:18,217
4,"요즘 트렌드라는 건 다 사 본 봄옷 하울 👚👗👠 ZARA,구찌,낫유어로즈,그로브waar,etdemain, rrace, tillidie ..",https://www.youtube.com/watch?v=f5T0XcPWQ1k,15527,2023-02-28,0:07:50,214
5,드디어 마스크 해제!! 😷 모공을 싹싹 가려주는 역대급 쿠션 추천! 🤍 이벤트 있어요 😺 #인생템,https://www.youtube.com/watch?v=SNTIyai1C1A,11154,2023-02-11,0:08:03,165
6,"GRWM 요즘 하는 고민들, 생각들 같이 얘기하면서 나갈 준비 해요! ❤️‍🔥 #TMI #자존감회복? #요즘하는생각들#30대의끝자락 #2022년추천템",https://www.youtube.com/watch?v=b7OEXilHBDw,13994,2023-01-16,0:24:16,348
7,163cm/52kg 겨울 패션 하울 ❄️ Zara.난닝구.타임.더캐시미어. 같이 입어봐요 🤍,https://www.youtube.com/watch?v=gk7fQq17viU,16387,2022-11-25,0:11:16,359
8,24hr VLOG ❤️‍🩹 쇼핑하고 집밥 만들어 먹고 폴댄스 타다가 꿀피부 만들어 주는 홈케어 까지..🌟/코스트코.바나나브륄레.고양이간식.가을스킨케어.폴댄스 🍌,https://www.youtube.com/watch?v=PvgOMK3IuFw,14623,2022-10-29,0:17:51,226
9,나의 10월 추천템 / 이건꼭사세요쿠션.요즘립조합.가을향수.레그워머.예쁜니트.스커트추천 등등..,https://www.youtube.com/watch?v=nvE6y3_O-uU,14158,2022-10-18,0:14:03,282
10,마켓컬리 N년차의 재구매템/추천템 #건강하고 #맛있는 #다이어트간식 #최고의오트밀크를찾아서 #밀키트 #크래커 등등등,https://www.youtube.com/watch?v=BVvVrEzQZ04,29346,2022-10-02,0:22:08,432
11,ᴄʜᴀɴᴇʟ #요즘핫한 #신상 #샤넬레인부츠 #22백 하울 + #미국마트 #세포라 #traderjoes,https://www.youtube.com/watch?v=1mlrKfa3t1M,16756,2022-09-27,0:23:58,237
12,같이 메이크업 하고 가을 옷 입어봐요! 🍁 자라/cider/w컨셉/추천템/MBTI바뀜/우울증극복?/요즘하는생각들...,https://www.youtube.com/watch?v=yGeu7AAbQE4,17089,2022-09-07,0:32:05,306
13,나 혼자 산다 👩🏻 20평대 아파트 구경오세요! ❤️‍🔥 with 🐱🐱 #집사라이프 #랜선집들이,https://www.youtube.com/watch?v=QOaSUcr4Xnw,18535,2022-08-23,0:13:18,391
