,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,🌊청량하고 시원한 블루 실버 바다🧜‍♀️ 네일 / Blue sea nails,https://www.youtube.com/watch?v=R4eXK5TWPxc,766,2023-08-19,0:04:37,28
3,🌈3가지 컬러로 6가지 칠한 느낌 나는 마블 그라데이션 네일 / Neon marble & smile nails,https://www.youtube.com/watch?v=3AQRtRTBJco,2448,2023-07-21,0:03:51,71
4,🎨수채화 같은 잉크로 빈티지하게 드로잉🖋 네일 / Ink drawing nails,https://www.youtube.com/watch?v=FZalg86QaXA,1622,2023-06-10,0:04:09,52
5,반전있는 반사 글리터젤로 핑크💗 그라데이션 네일 / Reflective Glitter Pink gradation nails,https://www.youtube.com/watch?v=NNlL-ghkxM0,1343,2023-05-19,0:04:27,44
6,상큼한 고드름🧊 아이스크림 같은 네온 치크 네일 / Neon cheek nails,https://www.youtube.com/watch?v=xnBM322tLvc,4174,2023-05-14,0:04:31,95
7,고급스러운 네이비💙 자개 네일 / Navy Mother of pearl nails,https://www.youtube.com/watch?v=Vmp_MfaBHIo,1293,2023-05-05,0:05:29,47
8,알록달록 프렌치 복숭아🍑 치크 네일 / French cheek nails,https://www.youtube.com/watch?v=MqiNSgBAgz4,7353,2023-04-30,0:03:21,202
9,몽환적인 보라&파랑 마블 달🌙 네일 / purple&blue marble nails,https://www.youtube.com/watch?v=qrdcyli079E,1661,2023-04-21,0:06:02,61
10,반짝반짝✨ 핑크빛 얼음 그라데이션 네일 / Ice gradation nails,https://www.youtube.com/watch?v=NgCs5uKZkH4,1203,2023-03-25,0:04:15,42
11,🐇뽀송뽀송한 파스텔 체크 토끼 네일 / pastel check rabbit nails,https://www.youtube.com/watch?v=WPNVyD_At3M,1843,2023-02-18,0:06:39,63
12,2023년은 검은토끼의 해!🐰 힙하게 블랙토끼 네일 / Black Rabbit Gel Nail,https://www.youtube.com/watch?v=es4YwlBLxR0,1644,2023-01-22,0:08:37,59
13,연말 네일로도 좋은 핑크💗 크리스마스🎄 네일 / Pink Christmas Gel Nail,https://www.youtube.com/watch?v=fREgRw2zoI0,1565,2022-12-24,0:07:48,42
14,연장하고 젖소🐄 얼룩무늬 포인트로 네일하기🖤🤍 / Cow Print Gel Nail,https://www.youtube.com/watch?v=pROIDCYiVCA,1775,2022-11-13,0:06:57,56
15,🍂저는 가을하면 골드와 브라운이 먼저 떠올라요..🥺 그래서 해본 반지 네일 / Gold Brown Gel Nail,https://www.youtube.com/watch?v=o4H5AbygoYk,1540,2022-10-23,0:06:28,46
16,힙한데 색이 오묘해서 너무 예쁨.. 메탈 스마일🙂 네일  / Metal Smile Gel Nail,https://www.youtube.com/watch?v=hebMJGBS1t8,1820,2022-10-16,0:05:02,64
17,블랙&화이트로 귀여운 🎃할로윈👻 네일 준비하기!  / Halloween Gel Nail,https://www.youtube.com/watch?v=gMCr9FpGYMs,2237,2022-10-07,0:05:31,76
18,손톱연장과 그라데이션을 한번에! 파츠만 올리면 웨딩네일💍 완성 / Canoe Tip Nail Extension / Wedding Nail,https://www.youtube.com/watch?v=_NupF0x_U0Q,1925,2022-09-23,0:07:12,54
19,베이비부머 네일에 펑키한🖤 스티커와 파츠를 콕콕!  / Baby Boomer Gel Nail,https://www.youtube.com/watch?v=6ptjjXYcowU,4283,2022-09-08,0:04:14,85
20,(귀여움 주의❗) 꽃밭에 놀러간 큐티 강아지🐶 네일 / Flower Puppy Gel Nail,https://www.youtube.com/watch?v=RZSBMlwYvmU,1533,2022-09-03,0:07:04,63
21,나의 최애 🌈무지개 컬러와 우주가 만난 덩어리 네일 / Rainbow Universe Gel Nail,https://www.youtube.com/watch?v=tFt80pCwBtI,2842,2022-08-28,0:08:44,66
22,보기만해도 차가운 얼음꽁꽁🧊 네일 / Ice blue Gel Nail,https://www.youtube.com/watch?v=ouEdTQ5aU2s,1982,2022-08-13,0:05:23,74
