,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
1,가벼운 여름 데일리 메이크업 grwm☔ ft.화.잘.먹 쫀쫀 선크림🌞 피부표현 예쁜 선크림 추천⛱ 여름 메이크업⛱,https://www.youtube.com/watch?v=GKVjmv_nhFQ,1008,2023-08-01,0:13:07,13
2,"블랙헤드, 모공의 계절 이즈 커밍😅🏝️올영세일 모공앰플 추천🫒(ft.루트리 오디앰플)쿠팡 식단템 언박싱📦 올영추천템, 올리브영 세일, 모공세럼, 나비존모존, 헬린이 브이로그",https://www.youtube.com/watch?v=Egl5o5hHe_Q,446,2023-06-04,0:10:52,13
3,365일 피부 민감러의 진정에 진심인 스킨케어🌿 올영세일 추천템🫒어성초 진정세럼 (ft.다자연) 와린이의 인생 펫낫🥂 넷플릭스 추천 영드 올리브영세일 올영추천템,https://www.youtube.com/watch?v=wdoNFQg7vBE,269,2023-06-01,0:10:00,6
4,집에서 헤어샵 단백질케어 효과 보는 법🧼손상모케어/머릿결관리 (ft.아도르 트리트먼트) 카즈하트리트먼트 올영추천템 트리트먼트추천 올영추천템 아도르퍼펙트헤어필업,https://www.youtube.com/watch?v=qr59s9TORis,1039,2023-05-01,0:08:33,18
5,"시술❌ 뷰티디바이스❌ 홈케어로 블랙헤드, 모공 끝장내기 🫒올리브영추천템 👃블랙헤드제거 🌿패드팩 🐼마스크팩추천 넘버즈인 클렌징팩밤 결세럼팩 초록패드 클렌징밤 올영세일 나비존",https://www.youtube.com/watch?v=4KeRjqEJZAc,7311,2023-03-17,0:10:38,42
6,좋아서 추천하는 일상템들 🌻 올리브영추천템 비타민 각질제거토너 수분크림 호박팥차 종아리마사지 텀블러 폰타나스프 올영추천템 추천템 간식추천 트루알엑스 제스파 락앤락,https://www.youtube.com/watch?v=X1b6-wVi4HI,350,2023-03-13,0:10:59,9
7,"속광피부 만드는 수분케어✨ 초간단 겟레디 ⏰ ft.아침붓기 뿌시는 꿀팁  (수분토너, 수분세럼, 더샘컨실러, 클리오메쉬글로우쿠션, 괄사추천, 네이밍듀이립밤, 헉슬리립밤 )",https://www.youtube.com/watch?v=W7MN71dJT7U,420,2023-03-01,0:09:51,9
8,"건조함 절.대 막아😶‍🌫️보습에 진심인 나이트케어🌙 내돈내산 부스터힐러, 수분크림추천, 생리통 진통제,  홈케어 스팀팩, 스킨케어루틴, 수분케어, 올영추천템",https://www.youtube.com/watch?v=0TNJDXpoDWU,396,2023-02-13,0:10:44,10
9,"6,900원 모공세럼?! #올리브영추천템 😍 간단 but 필수! 모공관리템👩‍🔬 리뷰 + 5% 추가 할인코드🎫 #모공케어 #모공축소 #세럼추천 #올리브영 #올영세럼",https://www.youtube.com/watch?v=ohoQhf-UaxM,3705,2023-01-20,0:10:37,24
10,"올리브영추천템 🧼 비누향 섬유향수, 화잘먹 토너, 꿀잠 안대, 수분폭발 마스크팩, 프랑스 1등 바디로션, 제모 필수템, 쑥 기름종이🌿",https://www.youtube.com/watch?v=6oV2FK6mLic,1451,2023-01-16,0:14:04,24
11,(유산균)먹고 (콜라겐)마시고 스킨케어하라🧘🏻‍♀️트러블진정 스킨케어 + 부스터힐러 입문🪄패드팩 콤부차추천 바이탈뷰티 질유산균 올리브영추천템 나이트케어,https://www.youtube.com/watch?v=FmPtyqigtIY,1793,2022-12-21,0:13:04,20
12,"의류제작 - 코트 편📍겨울아우터, 머플러까지 누구나 할 수 있어요! 🧥 #개인브랜드 #패션브이로그 #쇼핑몰사장 #코트추천 #머플러 #겨울코트 #겨울패션하울 #겨울패션",https://www.youtube.com/watch?v=G61X_xOwv6A,5903,2022-12-09,0:14:33,142
13,의류 제작📍10분만 보면 누구나 할 수 있어요🧥👚👖개인브랜드 #의류제작 #옷만들기 #쇼핑몰사장 #동대문 #바라클라바 #패션브이로그 #패션하울 #겨울패션,https://www.youtube.com/watch?v=U6fAP7ls-fU,32885,2022-12-04,0:10:10,1316
