,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"🌋Hawaii  / maui 🤎  / 트레킹🏃🏽‍♀️, 헬기투어🚁, 거북이랑 수영🐢  / jella 젤라",https://www.youtube.com/watch?v=devzfsKUMDE,17176,2023-09-10,0:15:02,
1,"🎀경기도 나트랑시🇻🇳  챱쌀떡이랑 물놀이 ""겟레디윗위"" 🎀  /jella 젤라",https://www.youtube.com/watch?v=UIwynnepDHI,44944,2023-08-25,0:13:56,
2,eng🤎 🇻🇳 MBTI를 맞춰보는 재미가 있는 베트남 무이네 투어 브이로그~ / jella 젤라,https://www.youtube.com/watch?v=g2ZalW5pCpo,27229,2023-08-01,0:12:21,
3,eng) 혼자 나트랑가서 생긴 일 썰 풀면서 당신들 플러팅하는 메이크업이야 / jella 젤라,https://www.youtube.com/watch?v=5OVA8oXJWps,41768,2023-07-29,0:20:13,
4,정말 하나도 힘든 행복한 첫 해외여행 🎀 / 아가와 첫 여행은 꼭 5시간 내 비행으로 시작하세요!😃(광기)  / 에이솔루션 / jella 젤라,https://www.youtube.com/watch?v=ypoY2xRtH9c,41867,2023-07-03,0:23:30,
5,이모 삼촌들 오아가 벌써 이만큼 컸어요! / 오아 참을 인 3번 / #모녀 스냅 / 5살,https://www.youtube.com/watch?v=mEmc-C_9xhY,15803,2023-06-22,0:12:17,
6,🧸대댕이랑 행복을 찾아서🧸  🏄🏽‍♀️ 핸드폰 잃어버린 썰? 한국 치안 지려ㄸㅏ.,https://www.youtube.com/watch?v=hftEC8IQjig,39023,2023-06-09,0:15:37,
7,eng) 오묘한 렌즈 + 파란 비키니 + 휴양지 =쏘 행복 워터프루프 메이크업 💙 /jella 젤라,https://www.youtube.com/watch?v=RwX0GB9ap34,37142,2023-06-01,0:12:33,
8,요즘 핫한 도산!🌹159만 원 무료체험 가능한 핫한 팝업🌹이 있다고요!! 안 보면 손해!! 안 가도 손해!! / jella 젤라,https://www.youtube.com/watch?v=qLzD6e2OYds,4819,2023-05-29,0:03:59,
9,수없이 많은 패드 중 순둥이🤍 빡둥이🧡를 써야 하는 이유? 바디트러블 대 박멸 초 진정!!! / 선런칭 초 특급 대박 할인!!! 사은품!!! / jella 젤라,https://www.youtube.com/watch?v=J1Xnb1h4Z-w,34932,2023-05-19,0:13:00,
10,cc)  여자 둘이 베트남 가면 생기는 일 /  젤라 jella,https://www.youtube.com/watch?v=RO_ITbTnOwY,49042,2023-05-17,0:16:39,
11,"틱톡 여신으로 만들어드릴게요~  #젤라이크오버 🎟 첫손님 #유경몬 /콧볼축소, 오버립,핑크빔 팍팍🍒/ 젤라 jella",https://www.youtube.com/watch?v=SiHNP6XxuhA,34363,2023-04-07,0:20:16,
