,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
4,𝗩𝗟𝗢𝗚 안녕하세요? 제 일상을 구경하시겠습니까? (데이트•브이로그•호캉스•그랜드하얏트),https://www.youtube.com/watch?v=pV-PXoMn53Y,11645,2023-08-27,0:13:06,
5,VLOG 삼척도 가고 데이트도 하고 (데이트• 브이로그•데일리룩•우정여행•바다),https://www.youtube.com/watch?v=jiy3LTNK3Y4,8181,2023-08-21,0:09:19,
6,𝗩𝗟𝗢𝗚 씨알메리가 뭐예요? (일상•브이로그•데이트•데일리룩),https://www.youtube.com/watch?v=XrH93LZhdu4,12760,2023-08-10,0:11:16,
7,𝗩𝗟𝗢𝗚 난 이제 지쳤어요 땡뻘땡뻘 (데일리룩•일상•데이트•브이로그),https://www.youtube.com/watch?v=Si0Arqz3qOk,13520,2023-08-05,0:14:58,
8,"𝗩𝗟𝗢𝗚 나의 일주일을 담았다 OOTD 브이로그다. (데일리룩, 일상, 데이트,카페)",https://www.youtube.com/watch?v=ksrn5VruLQc,19973,2023-07-24,0:17:58,
9,"𝗚𝗥𝗪𝗠 요즘 하는 청량한 여름 데일리 메이크업 (+ 셀카 꿀팁!, 보정어플)",https://www.youtube.com/watch?v=ZWIabwwtKPw,13082,2023-07-22,0:16:35,
10,𝗩𝗟𝗢𝗚 잘 먹었습니다 (부산여행•데이트•일상•데일리룩),https://www.youtube.com/watch?v=w2m9sb73Rq0,17667,2023-07-09,0:14:44,
11,𝗩𝗟𝗢𝗚 나 버스안 다녀옴 ep.1,https://www.youtube.com/watch?v=0jFXzh9HDGc,16916,2023-07-02,0:15:06,
12,𝗟𝗼𝗼𝗸 𝗕𝗼𝗼𝗸 저는 보통 여름에 반팔티를 입어요. y2k 느낌 낭낭한 여름 룩북 (feat. 하이스쿨디스코),https://www.youtube.com/watch?v=2CLP5nA9jxk,12768,2023-06-23,0:09:22,
13,𝗩𝗟𝗢𝗚 제 일상을 담아왔습니다. 좀 가져가세요 (데이트•데일리룩•일상),https://www.youtube.com/watch?v=z67vgshSVRU,23920,2023-06-18,0:13:28,
14,𝗚𝗥𝗪𝗠 인생 첫 QnA + 스모키 메이크업,https://www.youtube.com/watch?v=MgHpB_X_2lg,25330,2023-06-11,0:11:48,
15,𝗩𝗟𝗢𝗚 아는 형님에 아는 누나에 아는 삼촌에 아는 형님이요~ (파주•데이트•일상•데일리룩),https://www.youtube.com/watch?v=YfD69z_NInc,26542,2023-06-04,0:16:05,
16,𝗩𝗟𝗢𝗚 너..'T'야? (일상•데일리룩•수영장),https://www.youtube.com/watch?v=Zwr5VigxrvQ,23674,2023-05-28,0:16:57,
17,𝗚𝗥𝗪𝗠 요청 많던 첫만남 썰,https://www.youtube.com/watch?v=vYB3ThKRPmE,112020,2023-05-19,0:13:21,
