,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
5,"👰🏻‍♀️ 여리여리 드레스핏 원해요?! -10kg 체중감량 루틴 (운동없이 진짜 가능?) | 식단, 영양제, 붓기, 마사지, 예신관리, 얼굴라인, 복부, 팔뚝  | LAMUQE",https://www.youtube.com/watch?v=8W4uE7RrnEc,96703,2023-08-25,0:11:26,1457
6,드디어!💍 동화 같았던 결혼식 당일 대공개 (🤵🏻‍♂️신랑 공개+직접 부른 세레나데?!!?) | LAMUQE,https://www.youtube.com/watch?v=bDTszC8EoB0,208222,2023-08-18,0:19:51,2447
7,"남자친구와 첫 해외여행🌴 (짧지만, 소소하게 보기 좋은 괌 VLOG) | LAMUQE",https://www.youtube.com/watch?v=W0BcRFeL3E4,50866,2023-04-14,0:06:58,320
8,XXS/XS 초소형 브러쉬 추천 | 화장 완성도는 이목구비와 맞는 도구빨⭐️ (역대급 tool출현),https://www.youtube.com/watch?v=JPaB4sY9KFg,29907,2023-04-09,0:29:48,335
9,[GRWM] 쌍수 완료! 새눈으로 함께 준비해요♥︎ (눈수술썰 대장정),https://www.youtube.com/watch?v=QPq8LcClYgo,214605,2023-04-08,0:20:01,1122
10,[톤별발색] 이렇게 예쁜 누드광 봤어? 👀 분위기 맥시멀로 끌어올려주는 틴트 상륙!! | LAMUQE,https://www.youtube.com/watch?v=y58M4dm6cao,108217,2023-01-27,0:22:07,1462
11,하루3분⏰즉시 효과보장‼️고민별 얼굴형 관리법_최최종.📁(ft.네이버 라이브 출연 공지) | LAMUQE,https://www.youtube.com/watch?v=qvGZnjgLI4w,258438,2022-12-19,0:24:10,3570
12,찐! 2022🏆올영세일 추천템! 대박찬스 놓칠거야? (ft.올리브영 어워즈) | 라뮤끄 LAMUQE,https://www.youtube.com/watch?v=ugC5cklev4A,65395,2022-12-03,0:18:24,643
13,[본캐 소환] 💩색이라는 오명을 쓴 에크멀쿠션 집중분석 (ft.라이트겨쿨VS딥겨쿨VS가을뮤트) | LAMUQE,https://www.youtube.com/watch?v=YAITkVps6go,44517,2022-11-27,0:29:15,496
14,"나를 구한 템들...(멘탈관리, 탈모, 뱃살, 리프팅)",https://www.youtube.com/watch?v=-WZqAR8KDFM,105981,2022-10-24,0:17:40,920
15,결혼 준비부터 파혼까지.,https://www.youtube.com/watch?v=RFQ_byLmPUE,1828226,2022-10-22,0:21:27,30137
