,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,"이 사람은 이 팔레트, 저 사람은 저 팔레트! 타입별 추천 하며 릴리바이레드 무드키보드 발색 해봐요!",https://www.youtube.com/watch?v=EW1mm45kpok,70208,2023-08-31,0:19:58,1008
7,"구찌 립스틱💄무서운 꿈 썰, 호불호 확 갈리는 구찌립 발라봐유~ 구찌 루즈 드 보떼 브리앙 글로우&케어",https://www.youtube.com/watch?v=yIwT1Dn9unw,44943,2023-08-30,0:12:25,916
8,"속눈썹 영양제 광고, 선물 퐝퐝퐝 쏘면서 제품 소개해보았습니다. 이 날 방송 잊지 못훼!!!!",https://www.youtube.com/watch?v=fg45aau_P-A,43337,2023-08-24,0:08:32,760
9,이것은 립리뷰입니다. 요즘 프로필 사진 따라하기. 로라메르시에 하이 바이브 립컬러,https://www.youtube.com/watch?v=XSM-3p0SRq8,51592,2023-08-09,0:10:37,752
10,이름 참 잘 짓고.. 제형 참 갠챦고.. 뭐야뭐야....?! 페리페라 무드 핏 커버 쿠션,https://www.youtube.com/watch?v=V7QrFU6ZIyc,82988,2023-08-03,0:14:03,1292
11,엄마의 태몽?!!! 좁은 인간 관계 좋아여... 운전?! 영어공부 어떻게 해요?,https://www.youtube.com/watch?v=cAiwKnebz48,109541,2023-07-28,0:10:43,2125
12,여기 틴트는 구경이라도 꼭 해야해요!!! 너무 예쁨... 헤라 센슈얼 피팅 글로우 틴트,https://www.youtube.com/watch?v=9Dv6AtdBoPQ,160894,2023-07-25,0:15:05,2094
13,레몬 색깔 싱기허네... 피부 질문 주고 받으며 웨이크메이크 워터벨벳 커버 쿠션,https://www.youtube.com/watch?v=BVtDyIrDMwc,139854,2023-07-18,0:13:51,1426
14,올리브영 털어유🙋🏻‍♀️ 요즘 제품 추천! 이건 좀 아쉽다..!,https://www.youtube.com/watch?v=NiT4KJNZi_I,212134,2023-07-14,0:17:51,2949
15,정답 없어서 더 재미있는 화장품 토크!,https://www.youtube.com/watch?v=ccniDp8icSg,96647,2023-07-06,0:13:44,1462
16,예쁜거만 모였어요!!! 디올 에스티로더 에스쁘아 모아모아 립리뷰!,https://www.youtube.com/watch?v=GFOkczC_ILI,111775,2023-06-30,0:16:47,1735
17,커버력 포기 못하는분들!! 에스쁘아 비벨벳 리뉴얼이요!! 에스쁘아 프로테일러 비벨벳 커버 쿠션 뉴클래스,https://www.youtube.com/watch?v=eWIC-sKdvsg,122524,2023-06-27,0:15:57,1444
18,너무 재밌엌ㅋㅋㅋㅋ 맥 MBTI 베스트 립스틱 타입 인디케이터,https://www.youtube.com/watch?v=ELEuYKGIP10,101054,2023-06-21,0:16:26,1843
19,틴트는 진짜 사람마다 발색 너무 달라요!! 클리오 크리스탈 글램 틴트,https://www.youtube.com/watch?v=8B-2mt_J7Q0,108964,2023-06-16,0:10:08,1179
20,파데 명가 조가네.. 베이스명가로 거듭났어요!! 신상 소식입니다!!,https://www.youtube.com/watch?v=hg44juyD4TI,93571,2023-06-13,0:18:20,1325
21,"브러쉬도 써보고, 내 안경이 왜...😭 수다 떨며 크리미 텍스춰 강자 로라메르시에 리얼 플로리스 웨이트리스 퍼펙팅 파운데이션 전색상 리뷰",https://www.youtube.com/watch?v=BPDI2Kqa2hU,65659,2023-06-05,0:16:52,946
22,[썰] 나 피자 만들고 왔잖아...내가 어린이집 다니는거 같아. 유튜브 어떤거 하세여?,https://www.youtube.com/watch?v=MpGkBejpRGI,180290,2023-05-31,0:11:22,3596
23,송곳니 하얘졌어여..?!!! 치과 얘기하면서 요즘 잘 쓰는 홀리카홀리카 하트크러쉬 베어 글레이즈 틴트,https://www.youtube.com/watch?v=CAli-uIIWQk,103585,2023-05-26,0:15:04,1418
24,이건 비교 리뷰 해야지!!! 라네즈 네오 쿠션 리뉴얼 됐다!!!,https://www.youtube.com/watch?v=QLFap9D0MSU,195197,2023-05-17,0:12:31,2143
25,내사랑 바비브라운.. 솔직리뷰!! 애매...한데..? NEW 럭스 립스틱,https://www.youtube.com/watch?v=C5xJkQOofKQ,54636,2023-05-14,0:11:49,828
26,깔.끔.그.자.체. 필요한 사람을 위한 쿠션. 클리오 신상 클리오 비건웨어 퓨어 블러링 쿠션,https://www.youtube.com/watch?v=DVv-7M202yM,121020,2023-05-04,0:12:15,1639
27,"토크 모음집🏠 인바디 썰, 이것.. 저것… 모아보았어요😬",https://www.youtube.com/watch?v=LIccfd-Ee9U,134333,2023-04-29,0:14:51,2198
28,화장품 딥토크! 경험해보니 나능 그렇더라.. 뭐 그런것이여유,https://www.youtube.com/watch?v=xlO9_pQYXUc,95159,2023-04-25,0:16:36,1503
29,겨쿨 너무 챙겼네!!! 라이트톤도 챙겨주라주!!!! 샤넬 루즈 알뤼르 벨벳,https://www.youtube.com/watch?v=XW6lggeVmS8,89331,2023-04-22,0:18:56,1391
30,스파출라 왜 포기 못하는건데... 모공 너무 잘 가려지니까..!! 아워글래스 앰비언트 소프트 글로우 파운데이션,https://www.youtube.com/watch?v=2wv0rCyH2zQ,113604,2023-04-15,0:16:00,1379
31,이번 아르마니 신상 진쨔 잘 나왔다!!!! 아르마니 뷰티 립 마에스트로 사틴,https://www.youtube.com/watch?v=8bNZGbjTP58,170186,2023-04-05,0:16:48,2206
32,컨실러 어떻게 발라요?가 주제인...힌스 세컨 스킨 글로우 쿠션,https://www.youtube.com/watch?v=nH8ikjUTNR8,113197,2023-03-31,0:17:15,1328
33,금사랑 금파티 금뽀아레 립은 이뿌네...  뽀아레 루쥬 뽀아레 끌레르,https://www.youtube.com/watch?v=PN9X_rpGh6s,79086,2023-03-27,0:14:53,1157
34,운전중 공황이 왔다. 로봇 남편의 참사랑. 급.💩.썰.,https://www.youtube.com/watch?v=Qdsk9KywjzY,235703,2023-03-23,0:14:01,5257
35,'핫바디' 단어로 시작된..... 오늘도 평온한 유트루부부 🚨딥토크 주의🚨,https://www.youtube.com/watch?v=AC9HA4AFHPM,183346,2023-03-22,0:08:56,3388
36,키스를 잠궈? 그러면 진짜 안 묻나 해봐야지... 맥 락드 키스 잉크 24아워 립컬러,https://www.youtube.com/watch?v=bHruZ-RFZDw,117858,2023-03-17,0:14:54,1827
37,"✨썰✨ 질문&답변! 텐션 다른 남자친구? 생활 습관 안 맞는 부부, 둘째, 쪽쪽이 언제 떼나요?",https://www.youtube.com/watch?v=iAC6C8aRnRM,215519,2023-03-12,0:11:24,3541
38,모공엔 좋지만... 솔직리뷰!! 메이크업포에버 HD 스킨 파우더 파운데이션,https://www.youtube.com/watch?v=S1UBLyCvBcI,130921,2023-03-07,0:12:26,1497
39,"✨썰✨ 러쉬 스파, 록시땅 스파를 표현해보았다. 긍정의 힘.",https://www.youtube.com/watch?v=IP52ubWDuDs,82174,2023-03-01,0:08:31,1886
40,"진짜 반질~한 광채, 에스쁘아 신상 쿠션! 비내추럴. 요철도 숨겨주고 왕촉촉함",https://www.youtube.com/watch?v=uNSblSKLumk,254051,2023-02-25,0:15:49,3020
41,"10년 비밀연애 썰, 리뉴얼(?)된 분만시 힘주는 법. (사실 마인드컨트롤이 제일 중요하쥬!)",https://www.youtube.com/watch?v=hKr9d4WGyYU,172984,2023-02-19,0:12:04,3448
42,강.력.추.천. 명품인줄. 에스쁘아 더슬릭 립스틱 크림매트,https://www.youtube.com/watch?v=qmBJ4nTD_D0,135656,2023-02-16,0:13:35,2733
43,오랜만에 브들!! 과연 어떨지..!! VDL 커버스테인 퍼펙팅 쿠션,https://www.youtube.com/watch?v=pHe6r9xMHec,131483,2023-02-10,0:14:55,1513
44,"갑자기 다같이 인모드 상담해주는 데이지크 크림 드 로즈 틴트 리뷰, 색감 잘보여서 참 다행이당❤️",https://www.youtube.com/watch?v=fYgV_RltH5Q,159991,2023-02-06,0:13:25,2407
45,진짜 홍조는 이런거지. 소니 카메라.. 홍조 엄청 잘 잡네🤣 클리오 킬커버 메쉬 글로우 쿠션,https://www.youtube.com/watch?v=l66pBsiI3fc,301376,2023-01-31,0:15:07,3150
46,하고픈거 다 ✭헤라✷ 콩빈이 얘길 살짝 곁들여서...라 센슈얼 누드 밤,https://www.youtube.com/watch?v=_pyvLi09INs,206527,2023-01-26,0:13:45,2531
47,"유트루의 주방용품 후기? 스타우브, 커피머신, 조리도구는 이거지! 가구? 런닝머신은? 식기세척기!!",https://www.youtube.com/watch?v=PMDvkanDVIM,224190,2023-01-20,0:11:31,4425
48,내가 좋아해서 미안해 준호.. 롬앤 글래스팅 멜팅 밤,https://www.youtube.com/watch?v=HbL7eZT1_3Q,240453,2023-01-17,0:12:51,3739
49,좋은데 아쉽고 좋은데 아쉽네... 네이처리퍼블릭 진생 앰플 쿠션,https://www.youtube.com/watch?v=iOZtkMx2rvQ,74133,2023-01-13,0:12:40,1156
50,복잡.. 어렵.. 이거 뭐야...? 했던 집 매매 썰🏠 부동산 어렵다...,https://www.youtube.com/watch?v=JeeQ0ozk6hQ,295141,2023-01-06,0:20:59,5980
51,한참 마음이 힘들때... 이것으로 힐링 했다.,https://www.youtube.com/watch?v=D0GHo6OiWyI,128234,2023-01-04,0:08:19,2457
