,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,이렇게 입으면 여자친구 조ㄴ나사귈수있음 | 남자 초가을룩북 | 늦여름코디 | 초가을코디 | 남자여름코디  [거노건호],https://www.youtube.com/watch?v=-NXemVfZOr4,3728,2023-08-17,0:02:58,30
1,섹시한남자 되고싶은사람? | 2023 남자 여름룩북 | 남자여름코디 | 남자섹시코디 |여름 바캉스룩 | 남자바캉스룩 [거노건호],https://www.youtube.com/watch?v=pgPWF2zDjSg,5821,2023-07-19,0:02:47,65
2,'이브랜드' 여름 꾸안꾸룩 여름 남친룩 대맛집이네??ㄷㄷ | 패션 브랜드별 여름 코디 룩북 | 여름 꾸안꾸룩 [거노건호],https://www.youtube.com/watch?v=3zUHDSEtz8E,3540,2023-06-15,0:03:15,55
3,(어그로X)가족같은 친구가 가족이 됐습니다 | 친구결혼식 브이로그 | 결혼식vlog | 결혼식하객브이로그  [거노건호],https://www.youtube.com/watch?v=w-XONQlSJpc,7535,2023-06-06,0:06:32,49
4,남자들이 꼭 봐야되는 여름 필수 꿀팁 아이템 TOP 9 총정리,https://www.youtube.com/watch?v=YGRiHMHxA8M,2778,2023-06-01,0:09:04,58
5,"스냅로그 1화 - 팔로워 46만이 알려주는 사진 핵심 꿀팁, 일반인 vs 모델의 차이 (가또)",https://www.youtube.com/watch?v=sCUKvJM6bWg,1704,2023-05-06,0:05:09,40
6,성수동 출퇴근하는 코디맛있는 남자 초여름코디 늦봄코디 | 여름룩북 | 남자여름코디 | 남자여름룩북 | 남자봄코디 | 봄 남친룩,https://www.youtube.com/watch?v=HNtFnLX3FGY,1514,2023-05-01,0:02:24,28
7,"남자 거지존 극복 존버 스타일링... 가르마컷,애즈컷,장발,리프컷 하실 분들 필수 꿀팁 영상[거노건호]",https://www.youtube.com/watch?v=7YIchvsiRbM,2276,2023-04-21,0:03:35,37
8,5000원이면 누구나 배우프로필 사진 찍을수있다 ㄷ ㄷ | 모델이 알려주는 인생네컷 무조건 잘 나오는 꿀팁 4가지,https://www.youtube.com/watch?v=RDd2Aq9BhdM,2743,2023-03-29,0:04:41,55
9,100만원어치 50만원으로 샀다 ㄷ ㄷ 역대급 무신사 블랙 프라이데이 패션하울! 기본템부터 아우터까지! [거노건호],https://www.youtube.com/watch?v=QpiQAc8aRT8,3130,2022-11-21,0:11:18,38
10,2분요약 남자가을코디 | 겨울 오기전에 마지막으로 돌려입기 좋은 늦가을 룩북 | 늦가을코디 | 남자룩북 | 초겨울코디 [거노건호],https://www.youtube.com/watch?v=deBhy8YRuOg,3903,2022-11-18,0:02:23,40
11,역대급 개망한 룩북 근데 웃음을 줄순있음 개웃겨 ㅠㅠ (with 가또) | 남자룩북 |남자 가을코디 | 가을룩북 | 남자가을패션  [거노건호],https://www.youtube.com/watch?v=eJN8rNGr3So,2574,2022-10-21,0:06:20,35
12,흡연자+커피러버가 알려주는 현실적인 치아 미백 데일리 루틴 홈케어 | 셀프치아미백 | 치아미백후기  [거노건호],https://www.youtube.com/watch?v=NqtAtTPWfns,2822,2022-10-19,0:04:57,50
13,남자가을룩북 꾸안꾸 댄디 미니멀 캐쥬얼 남친룩맛집 모음집 | 가을남친룩 | 남자가을코디,https://www.youtube.com/watch?v=tFdjQ4e0W10,8202,2022-10-15,0:04:53,104
14,코성형 망한줄 알았습니다. 남자 코수술 1년차가 말해주는 리얼 후기 / 썰 / 주의사항 /참고사항  [거노건호],https://www.youtube.com/watch?v=BgR8Fy3wAYs,16444,2022-09-29,0:06:53,86
15,처음으로 영상찍다가 만취할뻔..ㄷㄷ 압구정 카페+음주 브이로그(with 신쿡) | 만취브이로그 | 취함브이로그 | 압구정핫플 | 카페브이로그  [거노건호],https://www.youtube.com/watch?v=Gr4t69OZwAo,5181,2022-09-16,0:06:55,51
16,남자 가을 꾸안꾸 코디 ! 간절기 남자코디모음!  | 간절기코디 | 남자가을룩북,https://www.youtube.com/watch?v=p7yDORhEvSU,6418,2022-09-02,0:05:43,67
