,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
5,실패없는 가을 세미매트 이거지!!😉 웨이크메이크 워터벨벳 커버 파운데이션 & 스파츌라 브러시 사용법까지!,https://www.youtube.com/watch?v=SDQDQfBC2Sk,26864,2023-08-30,0:09:19,
6,클리오 하이글로우 쿠션 이렇게 바르세요! 지나가던 사람도 피부좋다고 한마디 합니다🤭,https://www.youtube.com/watch?v=T_QOw4n2Ucw,42242,2023-08-27,0:07:44,
7,"흔한 컬러 없음! 은은하고 고급진 💫백화점 블러셔💫 가을컬러 모아봤어요 (가을뮤트, 봄웜라이트 꼭 보세요!) (SUB)",https://www.youtube.com/watch?v=4XNCs-z05l8,37073,2023-08-26,0:07:38,
8,뭐가 바꼈지?! NEW 더마토리 패드🌟 3종 비교/바뀐점/올리브영 세일 소식까지!,https://www.youtube.com/watch?v=hm98Y4Cehfk,8565,2023-08-20,0:05:46,
9,맞춤 제작한 탈모샴푸 한 달 사용후?! 🤔,https://www.youtube.com/watch?v=Hk9QAzwm4aM,5616,2023-08-17,0:04:49,
10,기미없애는법 🌝 '기미 치료제' 성분 들어간 미백화장품 이거에요👨‍🔬,https://www.youtube.com/watch?v=o_cYWW46Y5Y,14204,2023-08-12,0:06:47,
11,데이지크 썸머코랄💕 컬러분석 & 타사 코랄팔레트 비교까지!! [SUB],https://www.youtube.com/watch?v=rX2EpF-Oeng,11135,2023-08-06,0:05:34,
12,올리브영 1등 수분 세럼? 제가 써보니까요...더보기,https://www.youtube.com/watch?v=rqMpGrgL3bc,9460,2023-08-02,0:04:51,
13,⚠압출 클로즈업 주의⚠  싹싹 밀면 쏙쏙 다 뽑힌다!!  블랙헤드 제거 종결템 일소 코팩 리얼후기,https://www.youtube.com/watch?v=1ik6ySFyIz8,31644,2023-07-29,0:05:07,
14,[나눔이벤트] 샴푸 맞춤제작 해드립니다! 🙋‍♀️ 국뽕이 차오르는 K뷰티 근황 (쓰리와우 런칭 콘서트🎤),https://www.youtube.com/watch?v=mdshUxS_qtM,6149,2023-07-26,0:04:58,
15,디올 쿠션 5년 유저의 내돈내산 NEW 포에버 쿠션 글로우/매트/전색상/지속력 탈탈리뷰💥 [SUB],https://www.youtube.com/watch?v=joRLFkcedGc,39945,2023-07-23,0:10:18,
16,"[나눔이벤트] 누가 요즘 선크림만 써? 😎 선크림,선쿠션,선스틱 상황별 사용방법과 꿀팁까지!",https://www.youtube.com/watch?v=0v6PTrIGtoE,7465,2023-07-17,0:06:33,
17,헤라 센슈얼 피팅 글로우 틴트 실제 발색은 여기서 확인하세요🤔 [SUB],https://www.youtube.com/watch?v=lcJmy4swLC8,70272,2023-07-15,0:06:54,933
18,봄웜라가 청량해지는 방법?! 💎 지속력까지 다 갖춘 여름 메이크업 꿀팁 다 퍼드립니다😘 [SUB],https://www.youtube.com/watch?v=F3GbDvJyizU,25620,2023-07-07,0:11:30,
19,[2023 상반기 결산] 담쓰는 화장품 뭐 쓴대?🤔 재구매의사 200% 제품들만 모아봤습니다 & 나눔이벤트🎉🎉🎉 [SUB],https://www.youtube.com/watch?v=hrgV2Ryrzqg,49770,2023-07-02,0:16:28,1414
20,효과보장💯 두피각질 비듬 가려움 샴푸법을 바꿔보세요! & 비듬샴푸 추천까지!,https://www.youtube.com/watch?v=jl_AmD-2lAU,8991,2023-06-24,0:05:38,
21,광고❌ 쿠션유목 그만하고 밀착력 좋은 파운데이션 씁시다⚡ 백화점 파운데이션 추천 완벽정리 [SUB],https://www.youtube.com/watch?v=QXTtk7ZyCWE,432132,2023-06-15,0:08:02,7892
22,광고❌ 레오제이 쿠션 살지말지 정해주는 영상 (feat. 올리브영 쿠션 총정리) [SUB],https://www.youtube.com/watch?v=zcPGJHpkBXY,259340,2023-06-04,0:10:27,3021
23,쿠션 안무너지는 깔끔한 스킨케어가 뭐에요? 이겁니다😘 지복합성은 꼭 보세요!!,https://www.youtube.com/watch?v=HvhbAbtRLlo,258471,2023-05-31,0:04:29,
24,NEW 클리오 크리스탈 글램틴트 사기 전에 꼭 봐야할 실제발색! [SUB],https://www.youtube.com/watch?v=rUCb95lUBK8,107837,2023-05-28,0:07:38,1777
25,NO광고☀ 30도 날씨에 지속력테스트 해봄🔥🔥 에스쁘아 비벨벳 쿠션 VS 웨이크메이크 워터벨벳 쿠션 [SUB],https://www.youtube.com/watch?v=cA-mkuxRpWE,35750,2023-05-20,0:10:39,
26,페리페라 섀도우 팔레트 페리티지💗 스모키 메이크업하기 너무 좋은데요? [SUB],https://www.youtube.com/watch?v=UFBxrE5ht14,15798,2023-05-15,0:08:51,
27,드라마틱한 광채 '물톡스'가 답입니다💎 집에서하는 물광필링 홀리추얼 필링패드 효과 미쳤네요!!,https://www.youtube.com/watch?v=EOkTvzRd1j0,10341,2023-05-06,0:05:04,
28,광고❌색은 똑같은데 뭐 다른가? 데이지크 아이스크림 컬렉션 아이섀도우 전색상 궁금증 다 풀어드림🤔 [SUB],https://www.youtube.com/watch?v=DtrIzWgcblM,53121,2023-05-01,0:09:09,1060
29,나눔이벤트🎉아이패치 유목민이 써본 더마토리 레티날 아이패치! 한달 썼더니 이런 변화가?!,https://www.youtube.com/watch?v=vBKRVjB7n8k,15643,2023-04-29,0:04:59,
30,다크서클 컨실러 어렵죠?😥 손으로 막발라도 끼임없는 #컨실러아이크림 이 있어요!,https://www.youtube.com/watch?v=J-sta81lvjI,10318,2023-04-24,0:04:48,
31,입생로랑 바이닐 크림틴트의 귀환! 독보적인 신규컬러까지 미리만나봐요! 😉 ysl vinyl cream lip stain #제품제공 [SUB],https://www.youtube.com/watch?v=zMwnDCl66QM,71845,2023-04-22,0:07:34,
32,광고❌ 지속력은 보고 사세요!! 루나 컴피라이트 쿠션 VS 에스쁘아 비내추럴 쿠션 : 피부결 이거 맞아요??🤦‍♀️ [SUB],https://www.youtube.com/watch?v=W0AGpX7jRoU,29853,2023-04-15,0:10:25,
