,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,묵은 블랙헤드 & 화이트헤드 코팩으로 녹여서 시원하게 퍼내기 with 메디힐 ! 시각적 팅글 ASMR 애니메이션 LULUPANG,https://www.youtube.com/watch?v=PwhlJU_Uti8,93582,2023-08-25,0:04:06,2979
3,"ASMR 팅글 폭발 귀청소! 피어싱 염증 짜기, 왕건이 귀지 제거 / Ear Cleaning LULUPANG",https://www.youtube.com/watch?v=W7gUfqRc51Q,159966,2023-08-06,0:10:13,3698
4,"쌩얼 2배 예뻐지고 남친까지 생긴 비결? 다크서클, 개기름, 주름까지 피부고민 해결완료! feat.아이레놀 / LULUPANG 피부관리 ASMR",https://www.youtube.com/watch?v=weAm0mkgfHQ,137381,2023-07-23,0:05:08,4162
5,여드름 피부관리 ASMR 21개 모아보기! 시각적 팅글 스킨케어 / 루루팡 LULUPANG,https://www.youtube.com/watch?v=yF1srONebxw,108781,2023-07-16,0:26:52,1995
6,⚠️강아지 때문에 엄마가 죽었다. / Justin Bieber - Unstable 루루팡 단편 애니메이션,https://www.youtube.com/watch?v=E4UoWnTHT0g,37126,2023-06-24,0:04:39,1629
7,팅글 ASMR 지수 메이크업 애니메이션 ! 여드름 피부관리 LULUPANG 화장 스톱모션,https://www.youtube.com/watch?v=Z4_g-c3T2Dc,269044,2023-05-28,0:04:32,6082
8,ASMR 시원함 주의! 내성발톱 케어 애니메이션 4탄 / Ingrown toenail removal treatment,https://www.youtube.com/watch?v=yvUVJRuwcGA,704849,2023-04-19,0:05:29,11422
9,ASMR 인그로운 헤어 몽땅 뽑아버리는 애니메이션 / Ingrown hair removal 루루팡,https://www.youtube.com/watch?v=OnegfrncVno,393806,2023-03-31,0:03:58,6123
10,ASMR 내성발톱 제거 치료 모음집 / Ingrown toenail removal compilation,https://www.youtube.com/watch?v=4QFkbddH_Zs,1811731,2023-03-04,0:11:08,25982
11,"ASMR 시각적 팅글 가득한 간질간질 눈청소! 마이봄샘, 비립종 압출 Eye Cleaning, Eye Spa / LULUPANG",https://www.youtube.com/watch?v=WGm0tV85ZXI,464082,2023-02-20,0:15:02,7347
12,공포 ASMR⚠️ 사실 왕자는 시체 애호가였다? 백설공주의 비밀 / 시각적 팅글 메이크업 애니메이션,https://www.youtube.com/watch?v=7TLjrMi2Dck,1661265,2023-02-08,0:07:20,15845
13,ASMR 대왕귀지 귀청소+여드름 압출! Ear cleaning animation,https://www.youtube.com/watch?v=VsiGexEsGC8,1050465,2023-01-21,0:02:48,12570
14,ASMR 웬즈데이 애니메이션 무도회 메이크업 튜토리얼 Wednesday Makeup Tutorial Animation,https://www.youtube.com/watch?v=MdKywu5DbP0,676731,2023-01-17,0:02:47,13223
15,"피부관리 ASMR 애니메이션 모음집! 시각적팅글 편도결석, 비듬, 코피지, 여드름 압출 / 구강케어, 스킨케어, 두피케어 LULUPANG",https://www.youtube.com/watch?v=4E0UCqTX64o,2485522,2022-12-16,0:25:32,30320
16,2022 MAMA 르세라핌 사쿠라 메이크업 애니메이션 / 화장 ASMR Kpop Idol Makeup,https://www.youtube.com/watch?v=xtGNp5lkj4E,104115,2022-12-09,0:01:26,3412
17,"너드에서 훈남으로! 피부관리, 여드름 압출, 왁싱, 치아교정, 화장 ASMR 애니메이션 ! The nerd gets a makeover !",https://www.youtube.com/watch?v=UEVVuQHqYmE,227609,2022-12-02,0:03:12,5606
18,코피지 핀셋으로 뽁뽁!! 피지뽑기 시각적팅글 ASMR 애니메이션 / 루루팡,https://www.youtube.com/watch?v=o8T26wv7lS0,2287260,2022-11-11,0:03:58,26736
19,ASMR 내성발톱케어 3탄 Ingrown toenail removal,https://www.youtube.com/watch?v=kZ1Ne4xhP64,3236899,2022-10-15,0:04:14,43455
20,"ASMR 늘어진 모공, 주름 안티에이징 피부관리! 셀프 스킨케어  with 키엘",https://www.youtube.com/watch?v=r74WI9V5Pug,811955,2022-09-09,0:02:53,16753
21,"ASMR 두피 비듬케어, 피부관리 메이크업 애니메이션! 인간이 된 토끼♡ Satisfying dandruff scalp, Skincare animation",https://www.youtube.com/watch?v=1CkL9y3NHi8,658720,2022-08-31,0:06:46,17394
22,우울증 depression / 아이돌 악플 현실 / 루루팡 애니메이션,https://www.youtube.com/watch?v=zDuA4lHLmTg,212045,2022-08-05,0:03:18,9515
