,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,살거 다사본🔥 올영 VVIP의 올리브영 세일 추천템👍🏻 (+ 급속 진정쿨링템 / 웜쿨평화 미지근 색조추천템 / 립덕후의 최애 립추천 / 올영 숨은꿀템‼️) I 루치나Luchina,https://www.youtube.com/watch?v=Vmyb-pcDhf8,24331,2023-08-30,0:32:46,
7,cc) 글로우파 필수시청🔥 감성 물든 MLBB 볼륨광택립 모음.ZIP💦 (+ 누즈 케어 립추얼 / 얼터너티브스테레오 립포션 / 어모브 듀이 도톰 틴트) I 루치나Luchina,https://www.youtube.com/watch?v=R6w7Iy6K5Jg,7007,2023-08-12,0:13:00,
8,"cc) 올영에도 입점한 ‘그립밤🔥’ AOU 글로이 틴트 밤 전색상 & 립펜슬, 립브러쉬, 픽서 전제품 리뷰💖 (구매전 필수시청‼️) I 루치나Luchina",https://www.youtube.com/watch?v=N7m2ne9D3x0,5693,2023-08-03,0:07:10,
9,이거 하나면 다~돼🔥 요즘 대세 ★하이브리드형★ 멀티 뷰티템 모음.ZIP (속눈썹영양/ 피부탄력/ 주름케어/ 괄사/ 미백케어/ 홈케어러들 필수시청‼️) I 루치나Luchina,https://www.youtube.com/watch?v=jp5FuxX1-Xg,2664,2023-07-29,0:25:00,
10,cc) 핑크 어디까지 발라봤뉘~🩷 핫한 쿨톤저격 NEW 핑크립 모음.ZIP💜 (+ 에뛰드/ 토니모리/ 헤비메이크업/ 웨이크메이크/ 레미유/ 에크멀/ 헤라) I 루치나Luchina,https://www.youtube.com/watch?v=WXaVBnRFBPw,7535,2023-07-17,0:15:31,
11,안보면 후회할 역대급 부티나는 메잌업 GRWM🎂 & 결혼후 첫 생일데이트 VLOG📸 (코타바이뎐/ 파라다이스시티호텔 온더플레이트/ 아버님이 사주신 셀린느👜) I 루치나Luchina,https://www.youtube.com/watch?v=x6eF7p5g9wM,2143,2023-07-08,0:28:14,
12,올리브영 신상 폼미쳤다🦄 존좋템 폭발하는 올리브영 NEW 신상 뷰티템 리뷰🔥 (ft.여름대비템💦) I 루치나Luchina,https://www.youtube.com/watch?v=69VMePP6yKY,11557,2023-06-27,0:34:44,
13,Make Your Playlist🎶 싹-바뀐 에뛰드의 신상 전제품 리뷰💖 (플레이 컬러 아이즈 / 하트팝 블러셔 / 글로우 픽싱 틴트 / 컬픽스 마스카라 I 루치나Luchina,https://www.youtube.com/watch?v=oN0VyfOwiRM,13368,2023-04-03,0:11:02,
14,"ENG/JPN) Hoxy 파데프리 할때 뭐써요..⁉️ 수부지, 민감성 피부의 컬러별 톤업크림 5가지 추천☀️ & 밀림없이 바르는 꿀팁💚 I 루치나Luchina",https://www.youtube.com/watch?v=GW088O4VxJE,43029,2023-04-01,0:15:57,
15,솔직히 이거 모르면 손해..🙄🔥 깐달걀 피부성수기 클렌징루틴 & 추천템🫧 + 본사 털어 네고해옴‼️ 선착순 증정품도 있음‼️ I 루치나Luchina,https://www.youtube.com/watch?v=GTamBQryBWQ,3194,2023-03-23,0:21:29,
