,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,"칙칙 안색 탈출 치트키템! (올리브영 추천✨비타민C 앰플, 미백, 모델링팩, 콜라겐 마스크, 다크서클 커버)",https://www.youtube.com/watch?v=JqrBB6AG1bo,3368,2023-08-03,0:12:26,57
3,"👕여름 쿨톤 상의 추천 l 살안타템, 유교걸과 꾸안꾸 그 어디쯤,,",https://www.youtube.com/watch?v=cW_12H2mfOQ,4692,2023-08-02,0:07:30,168
4,"✨관리의 날 브이로그 ㅣ톤다운 염색, 여름 맞이 페디, 네일케어, 여름 기초 루틴, 지복합 홈케어",https://www.youtube.com/watch?v=sulERHsnJ7E,3029,2023-07-24,0:14:57,61
5,grwm. 얼마 전에 생일이었던 사람의 외출 준비,https://www.youtube.com/watch?v=1A-sot-0yIA,3082,2023-07-23,0:13:30,82
6,같이 잘 준비해요😴 나이트 케어 루틴 (30초 물미역 머릿결 꿀팁 l 여름 지복합 스킨 / 바디케어),https://www.youtube.com/watch?v=L8aqqup01zM,2442,2023-06-26,0:17:01,51
7,🙆‍♀️지복합 & 여쿨 필수! 여름 올영세일 추천템 l 신상 간식까지💚,https://www.youtube.com/watch?v=nYrH7Ffx73o,3255,2023-06-05,0:12:28,77
8,"VLOG🌼 자취 새내기치곤 나름 잘 살고 있는 것 같은 일상 l 향수 만들기, 디올 행사, 지독한 새집 증후군,,",https://www.youtube.com/watch?v=LKsLkJxJG8w,3240,2023-06-04,0:11:02,100
9,grwm. 여름 쿨톤 라이트 개안하는 조합💜 (짱짱한 여름 베이스 l 파데프리 꿀템🍯),https://www.youtube.com/watch?v=oxwGD9boel8,5014,2023-05-31,0:17:07,107
10,grwm. 해사한 봄볕 느낌 가득 담아봄🌞 여름아 오지마 . .,https://www.youtube.com/watch?v=mU7rwonYl4k,2714,2023-05-25,0:15:15,82
11,독립 한 달 차 근황 얘기하면서 grwm🤤 l 입큰 쿨 프레스드 리뉴얼✨,https://www.youtube.com/watch?v=eSbjQVFjnIA,5442,2023-05-09,0:17:24,110
12,초간단! 꾸안꾸 투명 메이크업 grwm🤍 다이슨 슈퍼소닉 new 플라이어웨이 스무더 후기,https://www.youtube.com/watch?v=UDtTdRLjqO4,7131,2023-04-14,0:14:26,176
13,속눈썹 폼 미쳐따..! 품절대란 뮤드 스키니 컬링 마스카라 소개합니다~! (✨오특행사✨),https://www.youtube.com/watch?v=1fg332ogDX4,57710,2023-04-03,0:11:04,374
14,요즘 근황. 독립도 하고 . . 마스카라 제작도 참여하고💨,https://www.youtube.com/watch?v=vdq298iLf3A,3954,2023-03-24,0:16:50,110
15,쿨톤 고양이상  메이크업🐈‍⬛(렌즈미 아이포캣 l 고양이 렌즈 l 릴리바이레드 무드키보드 쿨멤버십),https://www.youtube.com/watch?v=n3IZl4ebyII,7757,2023-02-15,0:11:48,156
16,연진아. 난 오늘 릴바레 쿨톤 신상을 써봤어. 나 지금 되게 추워❄,https://www.youtube.com/watch?v=gVs4oiYUmdM,7933,2023-01-25,0:23:01,109
17,연말모임 핑크가득 grwm💗 트러블 고민 싹 해결해준 기초 케어 추천!,https://www.youtube.com/watch?v=5Dj-jHsxNbs,5789,2022-12-29,0:19:20,125
18,vlog. 15년지기 잇프제 둘이 떠나는 제주도 2박 3일🕺,https://www.youtube.com/watch?v=UwmJImZrDrQ,2994,2022-12-16,0:17:35,76
19,애교살 섀도우 추천템👀 쉬머한 제형으로만 골랐어요. (쿨 컬러 다수✨ 웜컬러도 있어요!),https://www.youtube.com/watch?v=zq94RWNVVBE,7253,2022-12-04,0:09:44,187
20,grwm. 쿨톤의 하객 메이크업 l 무난 + 단정한 사계절 하객룩 추천🤗,https://www.youtube.com/watch?v=RTQYkNv_TGQ,11214,2022-11-11,0:18:01,280
21,감성맛집 뮤드 신제품! 리파인드 미 펜슬 브로우 & 아이라이너 전컬러 발색 I 가을 메이크업 조합 추천,https://www.youtube.com/watch?v=silYH-lIH_w,4654,2022-10-26,0:12:48,94
22,애쉬핑크 메이크업🍂 웨이크메이크 쿨 토프 블러링 써봤어욤!,https://www.youtube.com/watch?v=0CU0wgTffc0,10235,2022-10-25,0:12:31,245
23,가을무드 빈티지 로즈 음영 메이크업🥀,https://www.youtube.com/watch?v=fPz0VJy2RZ8,5504,2022-10-02,0:05:47,162
24,"vlog. 여름이 다 갔다🖐 부산 여행, 내 생일, 친구의 첫 공연, 호캉스 동창 모임",https://www.youtube.com/watch?v=bPQ9vSq6Xks,3865,2022-09-14,0:17:41,88
25,내가 찾던 자연스러운 아이라이너 이거잖아🥹 롬앤 한올 쉐이드 라이너 전컬러 발색 & 꿀조합 추천!,https://www.youtube.com/watch?v=oZngJjyZYXI,43925,2022-08-24,0:13:12,538
