,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
1,이번 여름 잘산템으로 만든 여름 룩북 🩵 블록코어 ✴ 시스루 바람막이 ✴ 후드조끼 ✩˚ ｡◌,https://www.youtube.com/watch?v=0ztF3L2Xee0,10674,2023-08-21,0:07:32,196
2,요즘 교복처럼 입는 최애 반팔들 🖤🐈‍⬛ 힙하고 핏 예쁜 스트릿 브랜드 위주 *｡⋆˚.,https://www.youtube.com/watch?v=48H_uSaaD34,36284,2023-07-17,0:08:31,1104
3,핫한 브랜드 크롭티 8종 추천 ✦ aeae • leey • Yuse • 러브이즈트루 • 파베르핑거,https://www.youtube.com/watch?v=Oy7QavoHSJw,87614,2023-06-22,0:10:08,3078
4,지금 사기 좋은 고무고무 여름 신발들☔️🩵 킨 • 어그 • 크록스 • 아디다스 • 키르시,https://www.youtube.com/watch?v=nOna-Lw3stM,34474,2023-06-13,0:10:27,424
5,옴브레 염색 맞다구요ㅠㅠㅋㅋㅋㅋ 망한 머리 썰 🥹 + 결국 흑발..🖤,https://www.youtube.com/watch?v=dgU1GAwGSDU,7572,2023-06-03,0:06:31,78
6,한끗 차이로 센스 있어지는 힙한 패션 아이템들 추천💜✨ 키링 • 헤어핀 • 무선이어폰 • 선글라스 • 넥타이 ••,https://www.youtube.com/watch?v=08soODpwacc,8893,2023-05-12,0:07:57,151
7,기본이 제일 간zi 나는거 알zi. 힙한 브랜드 기본 반팔 7종 리뷰 ✦,https://www.youtube.com/watch?v=OFDow6RnUzQ,75665,2023-05-08,0:10:41,1618
8,[이벤트] 요즘 유행인 고프코어룩 & 블로코어룩 입문템 추천 ✦ NBA • 산산기어 • 아트오브필드,https://www.youtube.com/watch?v=lySYqdXDK9c,11100,2023-04-29,0:06:25,197
9,힙하고 예쁜 봄 옷 볼래?.. 🌸 미스치프 • 마하그리드 • 알에스씨 • 카비시 • 진주유즈,https://www.youtube.com/watch?v=lNuaNit2deY,13255,2023-04-27,0:07:42,255
10,✦ zi존 힙한 쇼핑몰을 발견했다...! ✦ 인생 바지 찾음.. 👖,https://www.youtube.com/watch?v=ZtE8jBM8_7g,57228,2023-04-10,0:09:17,1491
11,에이블리 웃긴 리뷰 옷 사보기 3탄 ㅋㅋㅋㅋㅋㅋㅋㅋ,https://www.youtube.com/watch?v=GvAU9DuHoE8,68532,2023-03-30,0:08:25,799
12,가성비 셔츠 맛집..🫢 봄 필수템과 함께하는 데일리 코디 추천🌸,https://www.youtube.com/watch?v=-2hFx572p0Q,18426,2023-03-17,0:07:06,235
13,데일리 운동화 이거면 끝… 힙함을 한스푼 넣은 운동화 추천👟 아식스 • 나이키 • 아디다스 • 뉴발란스 • 컨버스,https://www.youtube.com/watch?v=Ro6a6gtfVOo,297751,2023-02-27,0:08:13,5148
14,카카오톡 선물하기 찐 숨은 꿀템 추천 ★ + 생일선물 언박싱 🎁 잔스포츠 가방 • 아이다스 져지 • 아식스 운동화,https://www.youtube.com/watch?v=GyPORZ7OQ3E,21871,2023-02-13,0:11:31,317
15,★단독 할인★ 지금 사면 봄까지 뽕 뽑는 스트릿 코디✦ 니트 집업 맛집 • 핏 존예 팬츠들 • •,https://www.youtube.com/watch?v=_zskg414ZGw,26333,2023-02-05,0:09:01,404
16,ⁿᵉʷ진스 𝒅𝒊𝒕𝒕𝒐요.. 빈티지 캠코더로 담아본 삿포로 여행기📹 ft.산요작티𝒆,https://www.youtube.com/watch?v=67oF0BPGKuA,5941,2023-02-03,0:03:08,139
17,JPN) 인생사진 잔뜩 건진 겨울 삿포로 여행룩❄️☃️ + Vlog ★ 공항룩 • 비에이 • 오타루,https://www.youtube.com/watch?v=VlIkoQ8Kjg0,15299,2023-01-28,0:15:27,332
18,줄 안서도 되는 120만원 에버랜드 드림투어 다녀옴🎡 𝚗𝚎𝚠 에버랜드 룩ꨄ,https://www.youtube.com/watch?v=jtFxjHEEYcg,13943,2022-12-29,0:07:02,188
19,이번 겨울 힙한 유행템 모음 ★ 패딩 슈즈 • 아디다스 운동화 • 에어팟맥스 케이스 • y2k 폰케이스,https://www.youtube.com/watch?v=ytqlqjLFKlo,13343,2022-12-22,0:10:14,173
20,한파에 찰떡스••⛄️ 따뜻하고 알록달록 귀여운 겨울 아이템💝🎄 장갑 • 겨울모자 • 패딩부츠 • 비니 • 양말 • 파우치,https://www.youtube.com/watch?v=n4jrDPBC3Dg,12869,2022-12-17,0:08:46,240
21,패션유튜버의 묵혀뒀던 겨울 택배뜯기…📦 패딩만 6개?! ★신상 대량 등장★,https://www.youtube.com/watch?v=aKbkvezcy-I,24516,2022-12-04,0:10:43,446
22,가성비 갑 스파오 푸퍼 4종 다 입어봄❄️ 사이즈 비교 • 패딩 코디 • 착샷 위주✨,https://www.youtube.com/watch?v=GrbibUPWAcg,44378,2022-11-30,0:08:30,408
23,★핏 보장★ 조거팬츠 7종 추천 • 신상 존예템 • 매일 입는 템 • 연예인 손민수 • 댄서템,https://www.youtube.com/watch?v=Z2o--sqwoUs,65563,2022-11-19,0:11:00,870
