,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,"이런 간단 방법을😂👍""생율무가루 물에타먹었습니다 효과즉방 이던데요”",https://www.youtube.com/watch?v=p7EA_NhULxM,10661,2023-08-27,0:05:23,345
4,"검버섯,잡티, 편평사마귀 뽑는 신의 한방울💧 율무추출물로 완벽 깨끗한 관리!",https://www.youtube.com/watch?v=F18L7Eqdza4,9495,2023-08-21,0:05:50,270
5,"누구나😮🫢피부과 안가고 집에서  검은 검버섯, 기미, 잡티 완전 싹 뽑고, 다 지움! OO가루만 있으면 쌉가능!",https://www.youtube.com/watch?v=Sgsn2VR68h4,24851,2023-08-13,0:07:33,572
6,"와 🫢🤩 실크피부 되는법 ""얼굴에 광나요"" 후기다수",https://www.youtube.com/watch?v=zluEqop25Sk,9875,2023-07-31,0:08:31,267
7,피부과 안가고 최근 주름 쫙 편 비결을 다 공개합니다!,https://www.youtube.com/watch?v=i5hLFxDAQcE,13449,2023-07-23,0:10:54,368
8,"피부과 안 가고😮🤩 검은잡티, 검버섯, 사마귀는 이번 영상 보시면 됩니다!",https://www.youtube.com/watch?v=5i4sejT_omc,139248,2023-07-09,0:11:00,3228
9,머리숱 많아져💇🏻‍♀️외모80% 바꾸는 법! OO만💦바꿔도 외모👩🏻👩🏻‍🦰 진짜 바뀜,https://www.youtube.com/watch?v=HfvL2n6lWuI,13227,2023-06-18,0:10:05,341
10,너무 하얘져서 고민인 팩!👩🏻‍🦰👩🏻‍🦳✨피부하얘지는 법! 10살이상 어려보일 수 있는 팩,https://www.youtube.com/watch?v=fplromCY42c,159382,2023-06-05,0:06:58,2605
11,우와!!😮🤩피부과 안가고 3일만에 똑! 아빠 언니꺼까지 깨끗 제거! 사과식초+OO만으로 기미검버섯사마귀제거!,https://www.youtube.com/watch?v=eivexW20U68,409263,2023-05-21,0:06:38,6481
12,"세안 후🤩🤩💦 다음날 일어난 일들(초간단 집에서 만든 천연클린저) 기미, 검버섯, 화장독, 잡티 싹 녹임! 후기 인증!!",https://www.youtube.com/watch?v=XLPRbbiAvQo,54460,2023-05-07,0:08:37,1120
