,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
10,올리브영 9월 빅세일💚나이트케어에서 절.대. 놓치기 싫은 이것! 프로귀찮러 모여라〰️+이벤트🔔(올리브영 추천템/ 클렌징밤 추천｜뷰티펄진주),https://www.youtube.com/watch?v=a3UTpKcVqRY,27175,2023-08-31,0:07:53,53
11,가을에도 뽕뽑을 직접 써보고 반해버린 9가지 캔버스백 추천🎒⭐️(가방 하울/ 가성비템/ 실버백/ 보부상백/ 직장인 백/ 디자이너 브랜드 가방 추천|뷰티펄진주),https://www.youtube.com/watch?v=1vH46iN90R8,5000,2023-08-28,0:19:15,102
12,핫한 신상!💄바닐라코 쉬어 벨벳 베일 틴트 6가지 전컬러 발색 리뷰💓+베일 글로스 ( 매트립 추천/ 글로우립 추천/ 신상립 추천｜뷰티펄진주),https://www.youtube.com/watch?v=HEwR2RRf0FM,4349,2023-08-21,0:07:37,52
13,"같은사람 맞음😦..? -10살 동안만들어주는 나에게 맞는 화장법의 중요성! (ft.스타일링, 화알못 화장｜뷰티펄진주)",https://www.youtube.com/watch?v=kheYJvESU_M,5333,2023-08-20,0:20:55,115
14,한번 써보고 바로 정착해버린⭐️올리브영 추천템 8가지🍀(향수 추천/ 올영추천템/ 올리브영 세일/ 생일선물추천｜뷰티펄진주),https://www.youtube.com/watch?v=1P4uVJGWcxI,7750,2023-08-14,0:19:31,166
15,여전히 핫한 백팩! 뭘 사야할까? 10가지 백팩 리뷰🎒⭐️(가성비템/ 실버백/ 보부상백/ 직장인 백/ 디자이너 브랜드 가방 추천|뷰티펄진주),https://www.youtube.com/watch?v=DCOMDSMj2TM,24068,2023-08-12,0:23:10,318
16,향수만 70개인 향덕후가 반해버린 바캉스에 딱인 향수 추천💓+구독자 이벤트 (휴가시즌 추천/ 여행 아이템 추천/ 생일템 추천/ 니치 향수 추천｜뷰티펄진주),https://www.youtube.com/watch?v=Ok8kBXMMnW4,6015,2023-08-04,0:11:09,139
17,여름을 버텨줄 돈 안아까운!! 7가지 여름 슈즈 하울🩴🍊내돈내산💸(여름 샌들 추천/ 레인부츠/ 솔트워터/ 미닛뮤트/ 차하야/ 프리플라/ 누스|뷰티펄진주),https://www.youtube.com/watch?v=aqNRRWHIYZE,6190,2023-07-29,0:14:45,122
18,(시술X 꿀템ㅇ)쌩얼 예뻐지는 법 중 가장! 효율적인 방법👀✨ (올영추천템/ 속눈썹 영양제/ 속눈썹 관리/ 속눈썹 연출｜뷰티펄진주),https://www.youtube.com/watch?v=RSUsyXB6pIQ,68706,2023-07-19,0:08:30,708
19,"여름 원피스 이걸로 종결!⛱️데일리룩, 휴가룩, 하객룩까지 퀄리티 좋은 ""6가지"" 원피스 하울👒(여름 패션하울/ 여름 룩북/ 여름 코디 추천｜뷰티펄진주)",https://www.youtube.com/watch?v=rU5NiOcUAOE,7062,2023-07-16,0:12:08,99
20,Haul🍉 무더위도 두렵지 않을 18가지 여름패션하울🩵(여름 코디/ 가방추천/ 볼캡 추천/ 슬리브리스 추천/ 디자이너브랜드 가방),https://www.youtube.com/watch?v=mR0BjKvIjS4,6968,2023-07-09,0:20:02,140
21,"HAUL💚 1~10만원대! 센스 대박 생일 선물부터 집들이, 핫한 아이템들까지 10가지 추천🐝🍯(향수 추천/ 택배언박싱/ 백팩 추천/ 요가매트｜뷰티펄진주)",https://www.youtube.com/watch?v=V1FAAmKuRrg,13219,2023-06-28,0:18:15,213
22,"삶의""질"" 상승!⬆️직접쓰고 광명찾은 Y존 케어템 모음.zip🩵 (유기농 순면 생리대/ 여성 청결제/ 질 세정제/ 팬티 추천｜뷰티펄진주)",https://www.youtube.com/watch?v=r2H7F7lsHrM,5560,2023-06-26,0:13:28,126
23,grwm. 플리마켓 스포하며 해본 여쿨라의 여름 메이크업🍉+반묶음 가시번💈(속눈썹 뭉치는 법/ 가방 추천/ 여쿨라 메이크업),https://www.youtube.com/watch?v=pa4T94L_XHc,3512,2023-06-24,0:18:34,68
24,WHAT’S IN MY BAG?👒 훅 더워진 여름맞이! 꿀템만 쏙쏙 담은 가방 속 대공개💚 (왓츠인마이백/ 백팩 추천/ 가방 추천/ 지갑 추천/ 쿨톤템｜뷰티펄진주),https://www.youtube.com/watch?v=WdjVVABfCRA,9980,2023-06-18,0:19:44,144
25,VLOG. 친구 부자의 쉬는 날 기록🎬｜일상 브이로그｜유튜버 친구들｜한남동 데이트 코스｜이태원 맛집 추천｜파주 카페｜모어온 헤어 강남｜뷰티펄진주,https://www.youtube.com/watch?v=WAUIQoOhbf8,4160,2023-06-11,0:23:22,79
26,쇼핑몰 사장님+인간 체리의 파우치 털기🍒💖 (여름쿨톤 블러셔/ 쿨톤 립 추천/ 30대 여자 파우치 털기/ 여쿨라 추천템｜뷰티펄진주),https://www.youtube.com/watch?v=Diigv5Ac08w,20272,2023-06-07,0:18:16,440
27,올리브영 빅세일‼️흙톤에서 벗어나고 싶다면 이거까지만 보고 사세요💸💚(올리브영 추천템/ 클렌징 추천/ 올영 기초템 추천｜뷰티펄진주),https://www.youtube.com/watch?v=9ULbfD1uztw,33331,2023-06-02,0:09:15,56
28,6월 올영 빅세일! 놓쳐선 안될 핫한 신상&추천템만 모음.zip (올리브영 추천템/ 올영 추천템/ 바닐라코 츄파츕스 에디션｜뷰티펄진주),https://www.youtube.com/watch?v=hhG51QI07Ho,11540,2023-05-30,0:18:50,148
