,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
1,"[헬스초보 운동 순서] 20,30대 생애 첫 운동과 다이어트를 시작했습니다🏋🏻‍♀️",https://www.youtube.com/watch?v=tPqMuh4cbzQ,4141,2023-07-18,0:14:38,70
2,[가족 브이로그] 역시 딸랑구가 최고여🙋🏻‍♀️,https://www.youtube.com/watch?v=szYkpVuhK2Q,5577,2023-07-11,0:12:23,130
3,[근황 GRWM] 요즘 데일리 메이크업과 초간단 헤어스타일 + 맥주닭발 먹방🍺,https://www.youtube.com/watch?v=iwfdVm7qYtI,4534,2023-05-31,0:18:05,100
4,[가족 브이로그] 조카야 그건 계획에 없던 장난감이잖아,https://www.youtube.com/watch?v=6vXVao7eqpU,10144,2023-04-23,0:11:42,204
5,예산시장 못 가니까 모란시장 브이로그😎,https://www.youtube.com/watch?v=uXeYkxtjZ84,8213,2023-03-19,0:09:01,121
6,30대의 회춘기 브이로그 (육아웹예능 패널이 되었어요👶🏻),https://www.youtube.com/watch?v=wK6IBUklZ58,3916,2023-03-07,0:08:36,49
7,단점? 박비단의 말할 수 없는 비밀🤫 (맥주먹방🍺),https://www.youtube.com/watch?v=5eUGM3lN6Wk,4860,2023-03-01,0:08:37,84
8,특이점이 온 저세상 건강 양초 만들기🕯,https://www.youtube.com/watch?v=QHOHCACfIv0,1694,2023-02-23,0:05:38,54
9,피부과 시술 부작용.. 엉엉ㅠㅠ,https://www.youtube.com/watch?v=SRRCboX1JqI,10970,2023-02-19,0:04:26,87
10,[🛖랜선집들이] 진품명품 나가시게요? 14평 투룸 서울자취 인테리어 룸투어 (리모델링X),https://www.youtube.com/watch?v=Yf-VGizGylw,4381,2023-02-16,0:25:11,114
11,[룸투어 D-1] 웬만하면 엄마아빠랑 같이 살아..👶🏻,https://www.youtube.com/watch?v=ZlRZdFsTbH4,4200,2023-02-11,0:09:37,84
12,살림 체력쓰레기의 소라게 엔딩🐚,https://www.youtube.com/watch?v=JCE70lvVZNg,2280,2023-02-03,0:06:09,77
13,당근마켓 직거래 브이로그🥕 +언박싱📦 (개꿀🍯),https://www.youtube.com/watch?v=UDgWKBdWBtg,3721,2023-01-21,0:09:39,85
14,[일상 브이로그] 조카야 사촌은 없어 그렇게 됐다🫠 (feat.아빠회갑),https://www.youtube.com/watch?v=HzX3o258BDo,5341,2023-01-14,0:11:55,113
15,연말 누구보다 맥주에 진심인 사람 모음.zip,https://www.youtube.com/watch?v=ylUGgkkz9AA,2398,2022-12-31,0:02:17,50
16,[일상 브이로그] 셀프 히메컷✂️ 중요한 것은 꺾이지 않는 마음❤️‍🔥 귀찮음주의,https://www.youtube.com/watch?v=Of6cscC3snE,3094,2022-12-29,0:11:04,67
17,[연말 셀프 증명사진👩🏻] 기본vs300만원 망원렌즈 비교,https://www.youtube.com/watch?v=g-iZkgfz-IE,3771,2022-12-24,0:11:22,79
18,[자취 일상브이로그] 게으른 완벽주의자의 이케아 가구 조립하기,https://www.youtube.com/watch?v=6Gqm5Ogqkzo,8368,2022-12-18,0:14:53,163
19,"[자취 일상브이로그] 소소하지만 확실한 석화🦪ㅣ시장 구경, 맥주 먹방, 고양이🐈‍⬛",https://www.youtube.com/watch?v=ggjj69my2JI,3525,2022-12-08,0:07:14,84
20,[일상 브이로그] 박비단의 리얼 자취 탐구생활,https://www.youtube.com/watch?v=n2nbt-wtjOc,6413,2022-12-01,0:10:04,141
21,"자취 일상브이로그🧺 자취만렙 꿀템들📝 섬유유연제 오래가는 방법, 실패없는 귤🍊, 살림템 언박싱📦, 난장판 집🏚, 빨래, 비건우유, 나무 텀블러🪵",https://www.youtube.com/watch?v=zwOGaz58wRY,4259,2022-11-27,0:21:18,126
22,"집순이의 하루🫧 (식탁 치우기, 빨래, 설거지, 꿀물 타마시기, 세수하고 스킨케어, 마무리는 맥주🍻)",https://www.youtube.com/watch?v=Zvj5vEWR4JE,3676,2022-11-18,0:19:49,106
23,"[살림 일상vlog] 이렇게 된 이상 이집에 눌러 앉기로 했다🧹 (살림 근황, 거실-안방-부엌-다용도실, 빨래 개기, 첫 끼 냉면 먹방, 커피수혈)",https://www.youtube.com/watch?v=8hnY2xdn-ts,5816,2022-11-14,0:15:39,124
24,세상 씻기 귀찮은 여자의 GRWM (부제 : 곧 퇴사할 것 같아요🕊),https://www.youtube.com/watch?v=47gSo1rz5-E,4453,2022-10-28,0:19:06,99
25,[4K] 뉴진스 아이돌 메이크업✨신상 유튜브 카메라📸 동네 사람들~ 캐논 EOS R10 화질 좀 보세요🤩,https://www.youtube.com/watch?v=RXgRRErsWhk,3496,2022-10-09,0:14:32,78
26,"😱그간 있었던 일 모음 브이로그 (피부 뒤집어짐, 조카랑 청담동 미용실, 직장 동료들과 핫플 방문, 건강식 만들기)",https://www.youtube.com/watch?v=PPNR-wvpH6o,5138,2022-09-24,0:15:05,78
27,30대가 되고 깨달은 것들,https://www.youtube.com/watch?v=0QHBM4-yvnk,5039,2022-09-11,0:15:30,161
28,[GRWM] 아니 분명하게 싫은 그런 사람 있잖아요 🧟‍♂️🧟‍♀️,https://www.youtube.com/watch?v=_-H0w0KTouk,3691,2022-08-28,0:18:05,71
29,🚗CAR퇴근부터 잠들기 전까지 하는 것들🌙 나이트 루틴(이라고 쓰고 먹방이라 읽는다),https://www.youtube.com/watch?v=PBHzd71LBB8,4128,2022-08-12,0:14:16,89
