,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,메이크업 원장님 가방엔 무엇이 들어있을까? 상은언니 왓츠인마이백,https://www.youtube.com/watch?v=ISQ3uSu5tOY,4278,2023-08-25,0:11:25,110
4,y2k 메이크업 / 초세련 그 잡채 / 그레이 톤온톤 메이크업,https://www.youtube.com/watch?v=AgRy2RWgDZ0,2188,2023-08-22,0:12:46,62
5,예비신부 추천템 / 메이크업 샵 선생님 추천/ 구독자 이벤트,https://www.youtube.com/watch?v=BTqgod9upqg,7677,2023-08-14,0:12:59,242
6,글로우 메이크업 다 한 끗차이 라구요! 메이크업 아티스트 꿀팁 대방출,https://www.youtube.com/watch?v=HaB9NPutoOo,3854,2023-08-10,0:13:19,97
7,프헤 샵 프로젝트/ 모녀 프댕이/ 우리 엄마 공주만들기,https://www.youtube.com/watch?v=S9p80QtNxVs,2056,2023-07-30,0:12:07,59
8,여름 페스티벌 메이크업 꿀팁 대방출/ 글리터 쉽게 바르기,https://www.youtube.com/watch?v=JxPh5dnsaJ0,2189,2023-07-16,0:12:09,46
9,fmgt x 상은언니 협업 섀도우 출시/ 단독 선런칭/ 메이크업 아티스트가 만든 섀도우 팔레트 3종!!,https://www.youtube.com/watch?v=bElccK4tx60,16060,2023-05-20,0:17:02,298
10,"구독자 고민해결/ 봄웜라 추천 메이크업/ 옆광대, 짝짝이 쌍꺼풀, 비대칭 고민",https://www.youtube.com/watch?v=nqg8rgomBFg,5487,2023-05-14,0:12:34,130
11,나들이 메이크업 / 베이스 유목민 주목 / 지속력 꿀팁 가득 메이크업 / 지베르니 파데소개 / 구독자이벤트,https://www.youtube.com/watch?v=DR5v0ZOOCgw,13974,2023-05-03,0:16:43,196
12,메이크업 샵에서 받은 듯/ 물먹립 연출법 / 탕후루광택 / 오버립 꿀팁,https://www.youtube.com/watch?v=314D90GCeIo,7459,2023-04-17,0:12:16,132
13,"퇴근하고! 클렌징, 피지관리 루틴",https://www.youtube.com/watch?v=7fZi06jjJ-Q,7681,2023-04-07,0:07:33,143
14,구독자 고민 해결/ 부드러워보이는 인상/ 음영 메이크업,https://www.youtube.com/watch?v=re5aKef8c10,4490,2023-03-29,0:13:45,104
15,올리브영 vvip / 올리브영 추천템 / 재구매 200% / 한번도 안써본 사람은 있어도 한번만 써본 사람은 없다,https://www.youtube.com/watch?v=8dMxFnqXAAw,7335,2023-03-16,0:12:47,134
16,샵에서 사용하는 비법 /샵민수템 / 아이프라이머/ 구독자이벤트,https://www.youtube.com/watch?v=M4O-3Qy3ITQ,15437,2023-03-07,0:13:24,158
17,오랜만에 겟레디윗미/ 릴스를 찍어보아요,https://www.youtube.com/watch?v=-WsC3huCQDg,3232,2023-02-28,0:07:32,48
18,레드 포인트 메이크업/아르마니 신상 세럼틴트/이벤트까지,https://www.youtube.com/watch?v=l-DIsuGZPLM,10505,2023-02-15,0:12:52,125
19,메이크업샵 추천템/속보습 크림/애교살브러쉬/수딩밤/구찌립스틱/음영섀도우/애교살필수,https://www.youtube.com/watch?v=4I667-Np1-c,9952,2023-02-09,0:08:18,181
20,"셀럽 홍영기님 모셨습니다/ 팝업스토어, 행사장 헤메해드렸어요",https://www.youtube.com/watch?v=vhFAj6lNY-s,5636,2023-01-20,0:05:07,105
21,아이돌 눈매의 비밀 눈밑 뒷트임/ 언더속눈썹 으로 눈 밑뒷트임 완성/ 상은언니 속눈썹 런칭이벤트,https://www.youtube.com/watch?v=rxNItI-__A8,6022,2023-01-17,0:08:46,126
22,"눈화장 번지는 사람, 눈에 유분끼는 사람 다 모여",https://www.youtube.com/watch?v=R95K5tKOqtA,16790,2022-12-23,0:10:45,201
23,구독자 이벤트/ 구독자명을 지어주신 상꼬미님 메이크업해드렸어요!,https://www.youtube.com/watch?v=O8GFI5AwlSE,3246,2022-12-17,0:12:19,62
24,"구독자 이벤트! 이 방법으로만 하면 -5kg 감량효과, 메이크업 아티스트가 알려주는 음영 메이크업 (feat.데이지크)",https://www.youtube.com/watch?v=uvaRm96keFQ,6074,2022-12-12,0:11:35,180
25,메이크업 아티스트 상은언니가 알려주는 맑고 청초한 음영 메이크업,https://www.youtube.com/watch?v=ttxP8ydTttw,16121,2022-12-01,0:09:38,285
26,"구독자 이벤트/ 분위기 있는데 촉촉해, fw 무드 코시림 메이크업",https://www.youtube.com/watch?v=N4wTJu1YOFI,3029,2022-11-18,0:12:59,75
27,hip한데 맑은 makeup의 비밀,https://www.youtube.com/watch?v=rRBH8iSbQ1Y,4653,2022-11-13,0:14:25,96
28,브이로그 카메라 산 기념으로 테스트 메이크업 해봤어요 !,https://www.youtube.com/watch?v=0pknrzFsZ5Q,1972,2022-11-06,0:04:24,29
29,프로필 촬영날 브이로그 도전! (feat. AHC아이크림 이벤트),https://www.youtube.com/watch?v=rn1k_bJpZ7Y,1761,2022-10-26,0:10:31,47
30,유투버계의 아이돌 소윤님 등판!! 라이브 방송 헤메 해드렸어요,https://www.youtube.com/watch?v=zFZhHCseSjw,5306,2022-10-21,0:10:06,115
31,오늘 컨셉 꾸꾸꾸 메이크업! with 발렌티노 뷰티,https://www.youtube.com/watch?v=GZGyYOE_rNo,2642,2022-09-30,0:11:33,46
32,웨이크메이크 x 상은언니 협업쿠션 전격공개,https://www.youtube.com/watch?v=WBEXCIkh1RM,13737,2022-09-07,0:10:14,161
33,휘뚜루마뚜루 아무때나 해도 예쁜 색조 메이크업,https://www.youtube.com/watch?v=q-tR3KycZHU,7549,2022-08-28,0:11:38,127
34,본격 가을준비! 음영메이크업,https://www.youtube.com/watch?v=T2-lT1fEeys,8979,2022-08-18,0:09:05,190
35,(구독자 애칭 이벤트) 사진 잘나오는 행사장 메이크업/다이슨 뉴에어랩 후기,https://www.youtube.com/watch?v=DWk4M8BNf4s,5036,2022-08-06,0:11:44,130
