,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,안녕하세요? 지난주에 신발 이제 안 산다고 했던 사람입니다.,https://www.youtube.com/watch?v=mriLJCPT6SM,4075,2023-08-31,0:08:02,
4,"비 올 때 신으려고 구매한 신발들과 옷 소개 (이지폼러너, 크록스 살레헤 벰버리, 스투시)",https://www.youtube.com/watch?v=y-zyVgHokfA,4652,2023-08-30,0:06:17,
5,【신발 사는 이야기】슈프림 서울(도산) 방문 전 꼭보고 가세요!! 후기 및 그 뒷이야기들,https://www.youtube.com/watch?v=jw44PkJKIvg,11620,2023-08-25,0:30:39,
6,나만 못 들어가... 슈프림 서울(도산) 오픈 2일차 구매 언박싱 및 후기,https://www.youtube.com/watch?v=aPDDLeJbyp8,19865,2023-08-22,0:08:00,
7,【신발 사는 이야기】 지난주 구매한 신발 감상회 (아식스 젤카야노14 & 나이키 앰부쉬 업템포),https://www.youtube.com/watch?v=Gm4LGsMF08w,4588,2023-08-21,0:15:51,
8,신발 좋아하는 사람들은 다 이 정도 들고 다닌다니까!?,https://www.youtube.com/watch?v=Vvis56ez4UM,5139,2023-08-17,0:07:50,
9,오직 무신사에서만 나온다는 초 킹성비 신발 추천 (아식스 조그 100 S SMU 3종),https://www.youtube.com/watch?v=MF6qqfTmrxM,5548,2023-08-16,0:06:49,
10,【신발 사는 이야기】 드디어 한국도 슈프림(SUPREME) 보유국 명단에 등재!!!,https://www.youtube.com/watch?v=kvP8dnhmqzg,4794,2023-08-12,0:18:05,
11,【신발 사는 이야기】 나이키 리유저블 쇼핑백 커스텀 판매 논란에 대하여,https://www.youtube.com/watch?v=itf9lCD2Ztw,5072,2023-08-10,0:15:48,
12,"아니... 나는 진짜... 더 안 나올 줄 알았다고... (조던1 로우 블랙토, 덩크 로우 커리)",https://www.youtube.com/watch?v=juZzpOgUiV4,13015,2023-08-04,0:08:43,
