,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,"한국모델, 브라질 유행하는 메이크업 받아보기",https://www.youtube.com/watch?v=Pkr4eHnAmcc,8647,2023-08-21,0:12:45,812
4,머리 감을때 빠지는 이유! [해결방법 & 탈모에 좋은 습관],https://www.youtube.com/watch?v=-r5VX6hhFh4,26629,2023-08-01,0:10:52,2394
5,"여자들이 꼭 알아야하는 관리, 먹어야 하는 음식들",https://www.youtube.com/watch?v=CSrG-pJexDA,22310,2023-07-08,0:10:31,2158
6,블랙헤드 턱 피지 5분만에 없애기,https://www.youtube.com/watch?v=qW4tiQA3geA,27187,2023-07-02,0:13:42,2024
7,피부가 좋아질 수밖에 없는 나이트루틴,https://www.youtube.com/watch?v=H6-6vb6yDYE,251689,2023-06-16,0:15:00,9182
8,"정말 간단한 홈케어 모음) 돈 ❌ , 피부 좋아지는 꿀팁 ⭕️",https://www.youtube.com/watch?v=TWGqxzUuThg,217560,2023-06-02,0:14:51,12528
9,[20-30대 필수] 30대가 되고 깨달은 뷰티꿀팁🍯,https://www.youtube.com/watch?v=wo5F26q1GTs,147693,2023-05-19,0:14:20,8941
10,뷰티 디바이스 뭐가 젤 좋을까? / 메디큐브 | 글램온| 벨로큐어 | 파나소닉 | 리파,https://www.youtube.com/watch?v=cxy58k4MLxg,19986,2023-05-04,0:15:33,891
11,"""모닝루틴"" 피부, 모발이 좋을 수 밖에 없는 루틴",https://www.youtube.com/watch?v=NkFwg2UAat4,701193,2023-04-26,0:16:56,22050
12,브라질에서 유명한 스킨케어 브랜드 리뷰 (Simple Organic),https://www.youtube.com/watch?v=W6k5Bs0e-iw,18855,2023-04-23,0:12:48,1297
13,림프독 빼고 50kg 감량한 비법,https://www.youtube.com/watch?v=PoJup2MjeiA,19860,2023-04-03,0:07:33,1784
14,늙기 싫으면 무조건 클릭 / 의사가 말하는 노화를 늦추는 방법은?,https://www.youtube.com/watch?v=KblnXyidHmU,14831,2023-03-23,0:10:12,1446
15,너무 쉬운 목주름 관리법 /5분 관리 (홈케어),https://www.youtube.com/watch?v=IviY742R7xE,23618,2023-03-14,0:10:24,2076
16,젊은 나이에 머리가 빠지는 사람 보세요 (탈모 예방 방법),https://www.youtube.com/watch?v=k5C4toWzqlE,20694,2023-03-09,0:10:20,1628
17,7일 안에 기미 없애는 방법!,https://www.youtube.com/watch?v=GIofnQWZU3k,27769,2023-03-05,0:13:19,1862
18,하루 5분 마사지 효과 / 얼굴 작아지고 윤곽이 잡히는 림프 마사지,https://www.youtube.com/watch?v=BgnBSyeHqyY,63544,2023-02-21,0:10:29,3972
19,"피부 좋아지는 습관인줄 알고 했는데, 오히려 '피부를 망치는 10가지' 습관들 ❌",https://www.youtube.com/watch?v=EgTnTTvmElA,165571,2023-02-10,0:11:09,14773
20,5분 괄사마사지 제대로 하는 방법 / 단기간 최대 효과 보장 👍,https://www.youtube.com/watch?v=tU9qBKSfa3E,18379,2023-02-01,0:10:37,1299
21,🇨🇱칠레 산티아고 여행 브이로그 / 여행때 꼭 챙겨야 하는 뷰티템들,https://www.youtube.com/watch?v=xLQPClptq3k,12053,2023-01-26,0:20:02,1017
22,브라질 배우한테 '한국 아이돌'메이크업 해 보기,https://www.youtube.com/watch?v=Gy-3f5Agqgs,22372,2023-01-16,0:13:23,2184
23,"""10년이 젊어진다고?"" 건강하게 일주일에 -3kg (1일1식 다이어트)",https://www.youtube.com/watch?v=JMVJ5GhdnZI,33483,2023-01-09,0:20:13,2605
24,"샤워하면서 예뻐지는 습관 [겨드랑이 착색해결, *소녀시대 관리법]",https://www.youtube.com/watch?v=4YzCHhYfd-A,533902,2023-01-02,0:10:57,28988
25,"브라질 핫한 언니들 받는 관리 받아보기 / 힙업, 뱃살, 옆구리",https://www.youtube.com/watch?v=btnqgKG02ks,14317,2022-12-21,0:11:14,1083
26,피부가 좋아지려면 제일 먼저 알아야 할 성분 (검증완료) 💚,https://www.youtube.com/watch?v=aLQZwbBjDac,34676,2022-12-12,0:08:23,2380
27,내돈내산 경락 마사지 1회 후기 / 5회 받았을때 효과는? (약손명가),https://www.youtube.com/watch?v=6vLe7kJTmZ0,14592,2022-12-03,0:11:54,923
28,"한국에서 연예인들이 많이하는 피부관리, 필링✨(라라필)",https://www.youtube.com/watch?v=hidM7i20xKQ,23454,2022-11-23,0:12:11,1278
29,홈케어로 나만의 관리샵 만들기💚 이렇게 하니 피부가 좋을 수 밖에 없죠 (나이트루틴),https://www.youtube.com/watch?v=c8nSbYFQes0,549788,2022-11-17,0:14:20,18661
30,"세상에 하나밖에 없는, 특별한 아마존 원료로 만들어지는 스킨케어",https://www.youtube.com/watch?v=fSEm6Hdp4g4,10908,2022-11-08,0:12:04,820
31,누구나 따라하기 쉬운 청순한 가을 메이크업💄,https://www.youtube.com/watch?v=yrtUyJtmI40,11445,2022-10-26,0:08:29,906
32,30분만에 붓기빼는 방법 [필라테스 다이어트],https://www.youtube.com/watch?v=VtJahNd3rr8,12469,2022-10-20,0:09:18,775
33,"❌필러부작용, 절대 맞지 말아야 할 5부위 인터뷰 / 엑소좀 VLOG",https://www.youtube.com/watch?v=pv-hX3J_JZQ,8087,2022-10-14,0:24:29,626
34,"하루만에 2키로 빠지는 건강한 디톡스 3가지 (콤부차, 레몬디톡스, 하루비움)",https://www.youtube.com/watch?v=Lt88fya20go,30291,2022-10-04,0:10:02,2439
35,웜톤 쿨톤 어울리는 메이크업과 색상은? / (퍼스널컬러 진단),https://www.youtube.com/watch?v=mqAd5Apqy8Y,15061,2022-09-28,0:11:31,1167
36,브라질에서 브라질리언 왁싱 받기 / 한국왁싱이랑 다른점은?,https://www.youtube.com/watch?v=qX7kw0VkiUE,251002,2022-09-21,0:11:50,9803
37,한시간에 체지방 -1.1kg 다이어트 관리(예신),https://www.youtube.com/watch?v=vwwbj8-Azlc,11614,2022-09-18,0:10:11,855
38,한국모델이 브라질여자처럼 관리하기 [눈썹문신 입술],https://www.youtube.com/watch?v=m7DYswSKE-U,108212,2022-09-14,0:08:37,4831
39,"한국모델 ""브라질 몸짱🇧🇷 ""한테 트레이닝 받기 [상체운동💪🏻]",https://www.youtube.com/watch?v=IOxzPt5YBzU,19243,2022-09-03,0:10:03,1475
40,겨드랑이 돈 안들이고 하얘지는법(10년노하우),https://www.youtube.com/watch?v=86JRleSNVtc,731294,2022-08-29,0:10:51,33555
41,틱톡 유명한 신기한 뷰티템 리뷰,https://www.youtube.com/watch?v=RDWmEnsmIRY,11360,2022-08-23,0:10:20,936
42,주름이 고민이신분들 무조건 클릭 [5분관리법],https://www.youtube.com/watch?v=OQoO-_zlT1g,30153,2022-08-15,0:10:32,2622
43,뿌릴때마다 물어보는 향수 TOP20,https://www.youtube.com/watch?v=ZaB7Qoa6Yzs,14242,2022-08-09,0:11:17,1033
