,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,피부과 10년차 직원이 유일하게 쓰고있는 '진짜' 재생크림,https://www.youtube.com/watch?v=H84z1G1s_Wc,32194,2023-08-27,0:04:37,401
7,수많은 리프팅레이저 중 앞으로 저는 얘로 정했습니다 l 리프테라2 리얼후기(대받녀),https://www.youtube.com/watch?v=NvURsALKR-E,32103,2023-08-25,0:11:57,440
8,피부과 모공관리 집에서 그대로 해버리기 (오메가라이트 드디어샀어요),https://www.youtube.com/watch?v=GCD8VfmFJZ4,28629,2023-08-20,0:18:35,486
9,여드름 하나라도 나는 사람들은 꼭 봐야할 영상,https://www.youtube.com/watch?v=OPCtNc3G3G4,25685,2023-08-17,0:05:28,644
10,강남에서 핫한 시술받고 집에서 관리하는 브이로그 (솔직후기),https://www.youtube.com/watch?v=h0NS4amDHCM,25902,2023-08-10,0:14:29,304
11,"부품 교체한 썰 푼다  l 성형,시술 모든 비용부터 롱텀 후기까지 전부 공개",https://www.youtube.com/watch?v=v8PFyvEtTDk,35497,2023-08-03,0:08:47,563
12,내가 집에서 최대로 할 수 있는 럭슈어리 관리,https://www.youtube.com/watch?v=rIYzk5SJ5RA,29484,2023-07-30,0:13:23,451
13,전직 피부과 10년 고인물이 수년째 꾸준히 쓰고있는 최애들,https://www.youtube.com/watch?v=e_Q3h4BQ9Ro,52133,2023-07-27,0:05:07,960
14,내가 했던 얼굴형 관리의 모든것 (솔직주의),https://www.youtube.com/watch?v=CENRVLVsEi0,59079,2023-07-20,0:06:35,923
15,13년된 아파트 전체 리모델링하는 브이로그 (중간점검),https://www.youtube.com/watch?v=b9nBJYRhzeo,14320,2023-07-16,0:17:31,151
16,연예인들이 밝힌 나만의 스킨케어법,https://www.youtube.com/watch?v=L9wKkTtd2Vo,14368,2023-07-13,0:03:22,195
17,여름철 겨드랑이 관리법 (#겨드랑이색소침착),https://www.youtube.com/watch?v=JTTg89n60YE,72243,2023-07-08,0:04:26,1010
18,가구보러 부산가서 먹방찍고오는 브이로그 ㅣvlog,https://www.youtube.com/watch?v=qYJzML8-JVU,9903,2023-07-02,0:25:19,127
19,써마지보다 싸고 효과 좋다고해서 받으러갔습니다🔥 #신상리프팅레이저,https://www.youtube.com/watch?v=1PxY-NVSP3s,35427,2023-06-30,0:12:16,412
