,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
7,10만원대 가성비 신발 3가지 추천!!,https://www.youtube.com/watch?v=4rBdUYbRiyg,12203,2023-08-30,0:10:06,188
8,자켓 진짜 이쁘다..! 가을 준비 시작!,https://www.youtube.com/watch?v=RF35vw0pKzA,21281,2023-08-25,0:09:47,411
9,vlog) 셀프로 붙임머리 제거하고 흑발 염색 + 붙임머리까지... 머리 찐 최종본,https://www.youtube.com/watch?v=wXuR5CS7MIg,11621,2023-08-23,0:10:29,204
10,10-20만 원대로 남들과 겹치지 않는 신발 5개! 웨않사?🤔,https://www.youtube.com/watch?v=THa3iyMq7C8,25614,2023-08-20,0:10:28,434
11,[집밥 쿸필드] 자취생 현실 집밥 브이로그 🍖 (된장술밥 / 닭꼬치 / 콩나물 국밥) / EP8~EP10,https://www.youtube.com/watch?v=_OLJQpNs6mY,11260,2023-08-13,0:12:51,255
12,촬영하고 옷 만들고 알차게 사는 현대사회 VLOG 👼 (룩북 촬영 • 슈프림 • 생일 • 생일선물),https://www.youtube.com/watch?v=HMlVxWzo77M,13865,2023-08-02,0:09:54,247
13,⋰˚✩2만원대 반팔티로 힙하게 코디하기✨✩⡱ 여름 반팔티 추천☆彡 (스트릿•여름룩북•크롭티),https://www.youtube.com/watch?v=iuxKgUQY4mQ,13743,2023-07-27,0:12:13,273
14,여름🌞 멋쟁이 다 모여있는 진짜 핫플레이스 을지로✨ 을지로 갈 때 신고 갈 신발 선물해드림🎁 #핫플레이슈 을지로편,https://www.youtube.com/watch?v=37lC0AJTIf0,22437,2023-07-23,0:15:56,413
15,"여름 신발 추천! 여름 신발 잔뜩 샀어🥰 (아디다스, 아디폼, 우포스, 푸마, 나이키, 반디더핑크, 크록스💜)",https://www.youtube.com/watch?v=2HwYm223ub0,47121,2023-07-19,0:13:16,529
16,인스타 사진 맛집으로 떠오른 북한산🌄  등산 갈 때 신고 갈 신발 선물해드림🎁 #핫플레이슈 북한산편,https://www.youtube.com/watch?v=WGAONS144Kk,12391,2023-07-16,0:14:20,232
17,워터밤💧흠뻑쇼💧 여름 페스티벌에 신고 갈 신발 선물해드림🎁 #핫플레이슈 워터밤편,https://www.youtube.com/watch?v=jLOuvUJ5H-M,18223,2023-07-09,0:13:32,346
18,VLOG ] 드디어 옷 만듭니다! / 옷 제작부터 친구들 만나고 바쁘다 바뻐 내 일상😱 / 게으름 동기부여 / 일찍 일어나야하는 이유 ㅎㄷㄷ,https://www.youtube.com/watch?v=QIYDdqs1p30,16775,2023-06-29,0:10:16,414
19,번장에서 산 100만원어치 매물 언박싱! / 구독자 매물 언박싱!,https://www.youtube.com/watch?v=iv93dn4awhg,22258,2023-06-26,0:17:18,359
20,무신사 할인! 이거부터 사야할 듯!! 할인율 미쳤네🥵🥵,https://www.youtube.com/watch?v=3267t_jOeKI,30071,2023-06-22,0:14:35,511
21,[집밥 쿸필드] 자취생 현실 브이로그🍔 (햄버거･파스타･오무라이스) / EP5~EP7,https://www.youtube.com/watch?v=E5OTUL0kjXc,21911,2023-06-21,0:13:32,451
22,구독자님들이랑 중고거래하는데 옷 상태가..!ㅋㅋㅋ,https://www.youtube.com/watch?v=SvGVuLIlxsg,17983,2023-06-15,0:14:05,300
23,여름 코디! 이걸로 끝내자! 지금 입기 딱 좋은 반팔티 추천💦,https://www.youtube.com/watch?v=o3pWvarYgBE,18997,2023-06-12,0:11:18,333
24,"제 최애 여름 악세사리! 요즘 많이하는 가방, 지갑, 벨트, 키링 등등 다 가지고 왔어요💦",https://www.youtube.com/watch?v=Mw7a8wJbIC0,23981,2023-06-11,0:18:25,464
25,"써저리 150만 원 하울! 이번 시즌 미쳤는데..? / SURGERY, 어나더유스",https://www.youtube.com/watch?v=qIAqs6aJOvQ,20616,2023-06-07,0:09:58,300
26,[집밥 쿸필드] 집순이는 집에서 제일 바쁘다..😇 (삼겹살･명란솥밥･라면정식･닭죽) / EP1~EP4,https://www.youtube.com/watch?v=RkWo3gpcu34,15096,2023-06-04,0:15:40,322
27,2만원대 갓성비 반팔 5개 추천! 🥵🥵 4가지 브랜드 다 혜자임 ㅎㄷㄷ,https://www.youtube.com/watch?v=Q9J4SYDPhpI,20053,2023-05-29,0:11:02,423
28,신발 쇼핑은 못 참지!!  최근 산 신발 10개! 🔥,https://www.youtube.com/watch?v=S3mI-lKzUHI,51432,2023-05-24,0:22:54,630
29,인공지능이 시키는대로 홍대 룩 입어봄ㅋㅋ,https://www.youtube.com/watch?v=8Cj-07I7zHQ,16342,2023-05-17,0:11:37,305
30,여름 스타일링은 한 끗 차이! 스타일링 잘하는 법 딱 대! 🤩,https://www.youtube.com/watch?v=YB81ItaeEKM,20910,2023-05-15,0:11:48,328
31,최근 구매한 티셔츠들! 왜 이렇게 이쁜게 많아ㅠㅠ,https://www.youtube.com/watch?v=apdsWeVqRJk,25453,2023-05-14,0:18:20,481
32,이 브랜드 콜라보는 못 참지ㅋㅋ! 꼭 알아둬야 할 상승세 브랜드 두곳 알려드립니다,https://www.youtube.com/watch?v=IuiZedtvWcg,28038,2023-05-03,0:12:58,429
33,신발만 350만 원어치 샀다! 새로산 신발 언박싱! 🔥 (구독자 이벤트 있음!),https://www.youtube.com/watch?v=Zg-6yOT0sfE,32760,2023-04-30,0:15:24,590
34,실패없는 컬러 매치! 💕 컬러풀한 여름 스타일링 딱 대!,https://www.youtube.com/watch?v=XGclO1kWIHY,20116,2023-04-16,0:13:07,379
35,사고 후회없는 신발 11개 추천!❤️‍🔥 살때보다 지금 더 좋아 ✨,https://www.youtube.com/watch?v=ZbY_27f_g70,59730,2023-04-13,0:17:10,890
36,여름 준비해야지?! 그래픽 티셔츠 추천! 무신사 둘러보기🔥,https://www.youtube.com/watch?v=2Z_X23KiZCk,33102,2023-04-10,0:10:11,636
37,블록코어? 사이버 코어? 23ss 트렌드🔥,https://www.youtube.com/watch?v=7K_dZ8kSgOA,32596,2023-04-05,0:13:24,501
38,"자취 15년차의 자취 꿀템 추천! 옷 정리 꿀템 추천이랄까,, 제발 이거 써주세요💦",https://www.youtube.com/watch?v=0Cb_75_4fQM,22546,2023-04-02,0:13:53,705
39,500만원짜리 자전거! 슈퍼73 완벽 리뷰🔥🔥 / GD 자전거 / 전기 자전거 / SUPER73 X LMC,https://www.youtube.com/watch?v=LiQ33JOjsq4,38870,2023-03-31,0:12:26,488
40,진짜 괜찮은 간절기 아우터 7개 추천💦 폼 미쳤다이🔥,https://www.youtube.com/watch?v=Qhm7NnAVUME,21083,2023-03-30,0:14:31,347
41,학상시절 사건에 대해 해명합니다,https://www.youtube.com/watch?v=sbanWk2I0Q4,39851,2023-03-26,0:11:44,439
42,"3월 쇼핑 리스트! + 봄 패션템 언박싱😋 / 슈프림 다마고치, 나투시, 그레일즈, 더 바이닐하우스, 레져렉션, 오베이💦",https://www.youtube.com/watch?v=6mUcZKhMPtI,20568,2023-03-23,0:17:00,349
43,"10만원으로 코디 쌉가능! 가성비 아이템, 가성비 브랜드 추천 💨💨",https://www.youtube.com/watch?v=EzwN1DJQklo,15999,2023-03-20,0:11:44,265
44,"힙한데 귀여운 티셔츠...💕💕 / 베이프, 언더커버, 썬데이오프클럽, 베트멍, 반스, 에반게리온, 인터네셔널💦",https://www.youtube.com/watch?v=koDkMABlbgg,15995,2023-03-19,0:15:57,338
45,인생 팬츠! 이거 하나만 있어도 끝입니다!,https://www.youtube.com/watch?v=v8BO16LDpJI,23360,2023-03-15,0:13:17,498
46,옷태기를 극복하는 방법..🤔 (부제 : 옷 살때 가장 중요하게 생각하는 부분),https://www.youtube.com/watch?v=0xWmuq2bYsI,14512,2023-03-10,0:15:24,241
47,봄 옷 사기 전에 꼭 봐야 할 가성비 브랜드!,https://www.youtube.com/watch?v=6-1-y8mJLSk,27718,2023-03-06,0:12:57,584
48,vlog) 느슨해진 y2k 패션에 진짜 이모 등장..ㅎㄷㄷ   / y2k 파티 / y2k 패션,https://www.youtube.com/watch?v=50BLSwua34w,21048,2023-03-02,0:11:40,359
49,🔥내가 10년째 입고 있는 브랜드!🔥 스트릿 입문 브랜드 추천! 💦,https://www.youtube.com/watch?v=40ObYpKDelY,19942,2023-02-26,0:10:46,335
50,매일 쓰고 다니는 볼캡 추천💦 / 밴슨 / mpq / 디네댓 / 이지 갭 / 베트멍 / 그레일즈,https://www.youtube.com/watch?v=2fZHiMwJ7js,17142,2023-02-23,0:11:52,360
51,"보더룩, 스트릿 패션 좋아한다면 필수로 알아야 하는 브랜드",https://www.youtube.com/watch?v=_97Ipit6TWI,30089,2023-02-20,0:11:02,590
52,내돈내산 개 멋있는 바지 추천해줄게 ✌😉✌/ 발렌시아가 / 알릭스 / 율리우스 / 나이키 / 앰부시,https://www.youtube.com/watch?v=beTr6IwtGKg,34047,2023-02-16,0:12:09,640
53,이모 좀 멋지지? 일본 슈프림 잔뜩 하울! 🥵🥵,https://www.youtube.com/watch?v=J7YOt0GEV7w,44951,2023-02-09,0:10:45,659
54,2023트랜드! 고프코어 입문 브랜드 추천!! 찐 가성비! 여기 귀하네요..😲😲,https://www.youtube.com/watch?v=jZxTHVPzBQE,47654,2023-02-05,0:10:52,855
55,"옷을 안 사면 후회가 남지만, 옷을 사면 후회와 옷이 남는다😊✌ / 일본 쇼핑 1편 / (마스터 마인드, 베트멍, BBC ICECREAM, 밴슨, 오토링거 등등!)",https://www.youtube.com/watch?v=FoGyfB82S_4,32539,2023-01-31,0:14:40,661
56,"결국 일본 여행 중도 포기하고 한국으로 돌아왔다,, 😢 (도쿄→오사카 / 도쿄 편집샵 / 오사카 쇼핑 / 오사카 맛집 / 신칸센 )",https://www.youtube.com/watch?v=bGFV10yRKZM,37883,2023-01-27,0:15:34,503
57,일본에서 모에모에뀽을 외치다💖💦,https://www.youtube.com/watch?v=UNX81VPRB3s,25864,2023-01-22,0:15:12,444
58,4일 만에 500만 원 쓴 사람 나야... 일본의 동묘! 여기 있는 거 다 살게요😍,https://www.youtube.com/watch?v=f2HvobpprKQ,39874,2023-01-19,0:16:49,710
59,엄마 전 커서 송필드가 될래요,https://www.youtube.com/watch?v=NfVyZen0SpU,20690,2023-01-17,0:09:57,323
60,친구들이랑 2주간 일본 여행..! 쉽지 않다 😅,https://www.youtube.com/watch?v=_g7Ifn__7Zw,28266,2023-01-16,0:10:43,553
61,슈프림 아우터 잔뜩! 아우터 하울 🤤🤤❤,https://www.youtube.com/watch?v=AJGUjr4uEkE,30911,2022-12-20,0:15:08,534
62,"치트키 브랜드 전 제품 할인,, 내 인생 마지막 기회..🤤❤",https://www.youtube.com/watch?v=SpwGUAEofMU,37914,2022-12-18,0:15:51,596
63,아더에러X자라 팝업! / 아더에러 매장가서 100만원 쇼핑하고옴😘💸💸,https://www.youtube.com/watch?v=bcrwReTVsOc,30681,2022-12-11,0:10:33,502
64,200만원 + 슈프림 노스페이스 패딩 쏠게! 🥰🎁고마워💸,https://www.youtube.com/watch?v=AcjLE4mVT2k,43599,2022-12-04,0:12:48,2325
