,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
1,"보고사세요^^ 클리오 신상 킬커버 하이글로우 쿠션 추천?! 남편 트러블 피부 커버 가능할까, 커버력, 지속력 알려줌! 클린 피부 메이크업",https://www.youtube.com/watch?v=nxW8Yr5rRsU,9239,2023-08-26,0:08:26,129
2,통장지켜! 입술타투 내생에 가장 안묻는 틴트 추천! 이제 립스티커! 오아드 립티커 전색상 내돈내산 #썸블립 OIAD LIPTICKER KBEAUTY,https://www.youtube.com/watch?v=cyGKzgTxrVY,11648,2023-08-05,0:06:01,144
3,"목소리 수술하고 첫 영상ㅠ..상반기 추천템 이건사도됨! 헤라 쿨톤 틴트 추천,올리브영 추천 팩트 쿠션,쿨톤 블러셔,장원영 렌즈,향수 추천,아로셀 콜라겐 마스크팩,연작 카밍,",https://www.youtube.com/watch?v=eb8_1ixHcgc,24448,2023-07-29,0:14:35,405
4,이제 촉촉립 그만..사지마! 아워글래스 글로시밤 전색상 발색 남편더빙^^!! 입생로랑 캔디밤 비교! 망한 틴트&착색 틴트 조합 #썸블립 틴트추천!,https://www.youtube.com/watch?v=qV-LEQ6T5Ck,22273,2023-07-01,0:04:41,248
5,"통장지켜!솔직리뷰~어뮤즈 듀파워 쿠션,데이지크 섀도우 팔레트,페리페라 튤립 올테이크 무드 팔레트,혜림쌤 속눈썹 더툴랩,피카소 스파츌라,투쿨포스쿨 틴트 추천 올리브영 추천~",https://www.youtube.com/watch?v=Xqc-tO58Ggo,13976,2023-03-11,0:13:22,246
6,"양꼬치 먹어도 안지워지는 틴트추천! 아르마니 세럼 틴트, 입생로랑 틴트 비교 ! 립 마에스트로 사틴 with 남편 더빙 2편 #썸블립 korea beauty",https://www.youtube.com/watch?v=jPIymxxMbMI,34690,2023-03-04,0:04:43,365
7,"신상 쿨톤 이건사야해! 라카 블러셔 전색상,힌스 글로우 쿠션,릴리바이레드 쿨멤버십, 클리오 아이섀도우 쿨톤, 입생로랑 틴트,에뛰드 마스카라,올리브영 추천템",https://www.youtube.com/watch?v=GdSWc0a7Euo,7083,2023-02-17,0:15:17,139
8,"오사카 일본 여행 브이로그! 일본집에서 스끼야끼 만들기&현지마트 일본물가 오사카 교토, 난바 가성비 호텔 에어비엔비 추천,신혼 부부 vlog~",https://www.youtube.com/watch?v=RptloB6PeIQ,2542,2023-02-11,0:14:20,57
9,"공홈 발색..어뮤즈 젤핏틴트 추천?! 듀 틴트 비교,전색상 발색은 너가해~ 더빙은 남편이합니다! 썸블립 복숭아젤리,장미우유,고져스모브,카라멜,헬시살몬,누핑크,오트무화과,서울걸",https://www.youtube.com/watch?v=E6aPd2C1wp8,26513,2023-02-04,0:06:35,372
10,"신상 추가! 쿨톤 사야해..입생로랑 틴트 추천 전발색 같이 발라봐요~_ +사담  ㅋㅋ/ 썸블립 여쿨 틴트 바르는법 220,221,222,201,202,204,211,212,216",https://www.youtube.com/watch?v=eV7PAYYp7T0,54243,2023-01-28,0:12:01,452
11,"수술 회복..! 썸블립 돌아왔습니다..🐰 페리페라 틴트 잉크더벨벳 신상, 릴리바이레드 틴트 프리즈 섀도우 쿹톤 저격! 페립포터, 봄웜레이더, 봄상특파원, 봄파민중독, 햇살주의보",https://www.youtube.com/watch?v=sSU1PR2SXbc,20545,2023-01-16,0:10:07,372
12,"수술 후 일상 E남편과 브이로그!내집 이사준비,옷 마켓 기부,홈카페 끝판왕 커피머신,이케아 가구,레어로우 시스템선반,신혼부부 vlog 다 행복하자고 하는 일이잖아요💓",https://www.youtube.com/watch?v=rY762kmLOGc,10301,2022-09-03,0:16:00,166
13,"완치따위 없는..목소리 수술  병원 브이로그! 악플에 대한 생각, 2주동안 한마디도 못함..ㅠ 맨날 싸우지만 잘 지내는 신혼부부 일상^^💕",https://www.youtube.com/watch?v=7kw9M-ou56U,30670,2022-08-27,0:16:12,386
14,"이건사도됨!💕상반기 틴트 추천 여쿨 프리패스^^어뮤즈 듀틴트,디올 틴트,라카 프루티 글램 틴트 ,머지,페리페라 잉크 무드 글로이 틴트 ,롬앤 머머핑크,에스투엔디 썸블립",https://www.youtube.com/watch?v=y8d37lSY4q4,48565,2022-08-15,0:15:17,703
