,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,세종 가든쇼🌱세종시 축제 🌱모든날모든순간,https://www.youtube.com/watch?v=qRkGv2oxsSc,423,2023-05-19,0:06:59,10
1,세종시 축제🌱세종대왕 나신날 기념행사,https://www.youtube.com/watch?v=q9ZWSPmL4Zs,147,2023-05-15,0:06:20,7
2,유성 온천 문화 축제 한국무용 공연2,https://www.youtube.com/watch?v=D3eKBm9OIcY,213,2023-05-13,0:03:22,6
3,전국노래자랑 설특집 1020 녹화 브이로그✌️Vlog|촬영장|거미랑 폴킴봤다🫢,https://www.youtube.com/watch?v=ZnqeA-xU6ho,618,2023-02-18,0:04:21,5
4,세종국제고 합격 면접 영상|면접 잘 보는 법,https://www.youtube.com/watch?v=0P9LM57-mzU,2593,2023-01-03,0:06:39,37
5,국제고 합격 조회 하기|세종국제고,https://www.youtube.com/watch?v=4_zQWRmpGRE,1730,2023-01-01,0:01:42,14
6,브이로그|전국노래자랑 본선진출자의 하루(인기상수상) 👀촬영현장Vlog,https://www.youtube.com/watch?v=xAB0dh4A2ZM,1174,2022-12-12,0:02:17,11
7,kbs 전국노래자랑 세종특별시편 인기상 수상 고등학생 이송현의  1차 예선 합격영상,https://www.youtube.com/watch?v=OlfuTRsuU4U,837,2022-12-11,0:01:27,9
8,늦게올리는 롯데월드VLOG🎢|민속박물관🏛|정글탐험보트|후렌치레볼루션,https://www.youtube.com/watch?v=IhSaeGu7JSs,221,2022-11-28,0:06:30,3
9,후발 백내장 수술 리얼 후기. 실비보험 청구,https://www.youtube.com/watch?v=LEpqhY5CcR8,986,2022-09-21,0:03:36,14
10,초등부  한국 창작 무용 대상수상작,https://www.youtube.com/watch?v=8eivSMUjAbQ,467,2022-09-16,0:02:04,6
11,푸들 미용|전신 가위컷|실버푸들🐩 첫 미용|애견미용실,https://www.youtube.com/watch?v=b76VuCPPkRs,725,2022-09-12,0:09:51,9
12,강아지  유치 발치 수술,https://www.youtube.com/watch?v=PvvJcHNAphA,475,2022-09-10,0:02:58,3
13,롯데월드 퍼레이드,https://www.youtube.com/watch?v=_Ws66v4wyk8,158,2022-09-09,0:05:41,4
14,드론 볼링,https://www.youtube.com/watch?v=5aZ19un6eFE,126,2022-08-13,0:03:32,6
15,소설호텔리뷰 /서초구/일상브이로그,https://www.youtube.com/watch?v=9yLKtKxWHiw,870,2022-08-03,0:03:26,7
