,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,💜74kg💜 무료나눔 이벤트⭕️ 77사이즈 윈드자켓 룩북! (With 라퍼지스토어),https://www.youtube.com/watch?v=xrTXX2-cqk8,1685,2023-08-24,0:07:30,
3,74kg⭐️ 살안타템을 하고 싶었는데 간절기까지 입게될거같다 (통통녀코디/룩북/여자쇼핑몰/여름코디/간절기코디/개강룩/직장인룩/통통녀/66사이즈/77사이즈/가을코디),https://www.youtube.com/watch?v=W6LxPB7zzyc,2759,2023-08-19,0:11:07,43
4,💙74kg💙 여름뿌셔~!~! 통통녀 여름 데일리룩✨ (77사이즈/66사이즈/통통녀/통통녀여름코디/체형커버/대학생룩/y2k/하체통통/여름코디/여자쇼핑몰),https://www.youtube.com/watch?v=q0OmDiW5OQI,3025,2023-07-21,0:11:44,37
5,✨73kg✨ 여름에 원피스 하나로! 통통녀 원피스 룩북👗💕 슬쩍 세트 코디 껴있음 헷 (66사이즈/77사이즈/직장인룩/하객룩/여름코디/통통녀코디/휴가룩/여름원피스/여행룩),https://www.youtube.com/watch?v=c2k56y7gPLk,2029,2023-07-15,0:06:06,28
6,73kg✨통통녀여름 오버핏 반팔티 코디 (with 밀로) 이벤트⭕️🩷,https://www.youtube.com/watch?v=1V4WckYWcT0,1824,2023-07-06,0:03:09,49
7,🩵70kg🩵 본격 통통녀 여름룩북🫧 (여자쇼핑몰/통통녀코디/통통녀/키큰여자코디/66사이즈/77사이즈/여름코디/데일리룩/outfit/lookbook/통통코디),https://www.youtube.com/watch?v=hSZvqZbDvNI,4923,2023-06-21,0:10:04,70
8,🌼70kg🌼 여름에도 예쁘게✨ 통통녀 여름코디💛 (66사이즈/77사이즈/통통녀코디/하체통통/여름코디/데일리룩/대학생룩/직장인룩/키큰여자코디/outfit/룩북/여자쇼핑몰),https://www.youtube.com/watch?v=bgMy9KZxA8k,9105,2023-06-03,0:11:14,116
9,🩵70kg🩵 통통녀 여름코디🍀 (여자쇼핑몰/통통녀코디/통통녀/데일리룩/ootd/하객룩/직장인룩/키큰여자코디/하체통통/66사이즈/77사이즈/여름코디),https://www.youtube.com/watch?v=U6vYFq3z22E,3974,2023-05-21,0:10:19,50
10,70kg🖤 무료나눔 이벤트🔥 남자옷으로 입어보는 여름코디🍀오버핏 좋아하면 꼭 보기🥺💖 (with 라퍼지스토어),https://www.youtube.com/watch?v=sd7lm05APyY,4224,2023-05-04,0:09:10,104
11,🧡70kg🧡 여름까지 통통녀 예쁜 코디🙂 요번 룩북 너무 마음에 들어요🫢💕 (여자쇼핑몰/66사이즈/77사이즈/여름코디/통통녀코디/키큰여자코디/직장인룩/대학생룩),https://www.youtube.com/watch?v=-qD-flBSnN4,8438,2023-04-27,0:10:52,107
