,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,천사같은 나의 신부님 예식날 :) / 본캐 청담샵 메이크업원장!,https://www.youtube.com/watch?v=8T4FNbns9sI,4028,2023-08-26,0:04:10,
3,미스트 그냥 쓰지마세요! 미스트 완벽한 활용법청담동 / 메이크업원장 베이스 실꿀팁,https://www.youtube.com/watch?v=TjfeAfV8neA,2218,2023-08-20,0:17:56,
4,겉쌍커풀+졸려보이는 눈들 모여요!! 자연스러운 사방트임법 / 요즘 푹 빠진 맑은 브라운렌즈 하파크리스틴🧡,https://www.youtube.com/watch?v=TyEc9HhobKM,4982,2023-08-12,0:07:43,
5,웜톤쿨톤 상관없이 잘 어울리는 블러셔 꿀조합🩷🧡 블러셔 활용법 / 신상 블러셔,https://www.youtube.com/watch?v=jHeTferBogQ,4848,2023-08-07,0:08:43,
6,청담 샵 원장이 추천하는 신상 립추천🩵 자세한 발색샷 설명많음주의^.^!,https://www.youtube.com/watch?v=OKAW1ZiqYhY,6145,2023-07-30,0:13:42,
7,애제자에게 메이크업 받고 인생 프로필 촬영하기💙 / 프로필촬영 이벤트중!!,https://www.youtube.com/watch?v=i-OwUfM8vOs,2936,2023-07-25,0:08:44,
8,더위로 열린 모공 싹 가리는 초간단 베이스 메이크업 / 여름쿠션 추천🌟,https://www.youtube.com/watch?v=9y499X2kOTg,5399,2023-07-16,0:09:04,
9,이뻐미처버린 나스 신상 리퀴드 블러쉬 ! 여름휴가지 메이크업을 찢어보겠습니다 / 나스무한사랑주의..,https://www.youtube.com/watch?v=cPK3CSyLpqk,13058,2023-07-07,0:12:01,
10,습한 여름 흘러내리는 피부화장을 고정하는 꿀팁! / 청담 샵 원장 영업비밀,https://www.youtube.com/watch?v=NIphY5yfR8w,18320,2023-07-02,0:10:55,
11,쿠팡 화장품으로 페스티벌 메이크업 하기 / 파워P들 모여 꿀템들🩷,https://www.youtube.com/watch?v=xPwDAZKvxTk,2940,2023-06-26,0:08:20,
12,사랑스러운 에그민 신부님 본식드레스 고르는 날🎀 / 청담 샵 웨딩메이크업 보여드릴게요! 본캐 메이크업원장🙋🏼‍♀️,https://www.youtube.com/watch?v=MTiDNimZMyA,6231,2023-06-12,0:06:21,
13,"올리브영 6월 세일 1만원대 아이템 추천! ( 수분미스트, 촉촉한 각질제거템, 앰플시트 나이트팩, 번지지않는 마스카라, 웜쿨 립밤 )",https://www.youtube.com/watch?v=ZS2hGlMxD0s,4752,2023-06-04,0:11:28,
14,습한 여름! 기름 꽉 잡아주는 여름 메이크업 / 건성도 가능한 지속력 높은 코팅베이스,https://www.youtube.com/watch?v=EwJ_MdQAOs8,5793,2023-05-28,0:12:07,
15,"내돈내산! 백화점 화장품 쇼핑다녀왔어요! 너무 많이 예쁜것들.. ( 끌레드뽀 파운데이션, 샤넬볼터치, 라메르 립글로스, 디올 립글로우, 디올섀도우 )",https://www.youtube.com/watch?v=X5pC5q0V7n4,17530,2023-05-23,0:18:13,
16,(눈 성형편) 초보자도 쉽게 할 수 있는 틱톡 아이메이크업 따라잡기 / 초보자 아이템추천!,https://www.youtube.com/watch?v=Uk0sbyh9sS8,8475,2023-05-14,0:09:50,
17,청담 샵 원장이 알려주는 촬영.본식 전 피부를 위한 준비사항! 주의사항 필독❗️ / 한달전부터 꼼꼼히 같이 준비해요!,https://www.youtube.com/watch?v=hZXLEkTbMYc,4055,2023-05-07,0:16:47,
18,홍조&트러블 이제 두껍게 깔지 말아요! 초밀착 얇은 파워유지력 / 청담 샵 베이스 교육 3탄! (feat. 곰손도 쉽게따라하는 전문가베이스),https://www.youtube.com/watch?v=xdfTmRRUzu0,13584,2023-04-30,0:12:37,
19,본식 드레스 고르러 가는날!! 함께해요 신부님들~~ 메이크업 꿀팁수다 길어요...,https://www.youtube.com/watch?v=UhqrQ5SnVGY,14045,2023-04-23,0:07:05,
20,끈적이는 바디로션은 NO! 바디로션이 필요없는 바디케어법 소개합니다! + 각질케어,https://www.youtube.com/watch?v=HLxEW-HW940,2437,2023-04-16,0:09:00,
21,플러팅 메이크업 / feat. 제자혜진이가 더빙해줬어요!! 애제자인 만큼 완전 꼼꼼한 꿀팁 설명!!,https://www.youtube.com/watch?v=0-FF_S3NcrY,11263,2023-04-09,0:10:44,
22,초보자를 위한 초간단 홍조 요철 베이스 메이크업 / 활용도 10000% 초간단 비밀아이템을 꼭 알구가세요!,https://www.youtube.com/watch?v=YZgNMTOAlfE,42236,2023-04-02,0:15:59,
23,(GRWM) 봄맞이 신상제품으로 메이크업하면서 근황수다해요~~,https://www.youtube.com/watch?v=hOHnY28t9o4,7579,2023-03-23,0:16:27,
24,쌍커풀 두꺼운 눈을 위한 특급 아이메이크업 / 꼭 알아야 할 고급 꿀팁! 눈이 세배가 됩니다!,https://www.youtube.com/watch?v=6zoyaPC5pa8,52588,2023-03-12,0:05:35,
25,트러블 피부 완벽 커버 / 청담 샵 베이스교육 2탄 같이 들어요!,https://www.youtube.com/watch?v=Tteg9kRGeDU,739744,2023-02-22,0:15:50,
26,멍들지않는 데일리 세미스모키! / 초보자용 쉬운 꿀팁가득으로 준비했어요⭐️,https://www.youtube.com/watch?v=6pBDDwBVhco,8424,2023-02-16,0:06:21,
27,(청담 샵) 단점을 완벽히 보완하는 메이크업 실제 수강영상! / 질문폭팔로 꿀팁이 정~~~말 많습니다,https://www.youtube.com/watch?v=OQRdBua3Dag,25434,2023-02-06,0:17:13,
28,컬러 컨실러 팔레트 완전 정복 / 사용하기 어려우셨죠 제가 싹 다 알려드릴게요!!,https://www.youtube.com/watch?v=c2MSgFFicpM,26567,2023-02-01,0:13:31,
29,눈화장 할수록 답답한 눈 모엿👀 / 어디에서도 볼 수 없던 꿀팁+제품까지 알고가세요!,https://www.youtube.com/watch?v=sbaIbkYa4J0,563831,2023-01-23,0:09:50,
30,청담 메이크업 원장이 꼭!! 알려드리고 싶은 메이크업 하루 전! 24시간 푹~ 잔듯한 피부로 재탄생시켜줄 나이트 피부 케어법🌙,https://www.youtube.com/watch?v=-iGrCTBxwNs,5509,2023-01-13,0:09:10,
31,청순 러블리 그 자체 화보촬영 메이크업🎀,https://www.youtube.com/watch?v=qb5udTsEZ6c,8488,2023-01-10,0:03:18,
32,겨울철 피부화장이 안먹고 다 뜨는 이유 / 피부에 쫀쫀하게 붙어있는 베이스 꿀팁!,https://www.youtube.com/watch?v=lk427zG6JMI,10178,2023-01-01,0:13:19,
33,청담 샵 베이스 완전 정복 교육 같이 들어요! / 14년차 메이크업아티스트의 어려운 고급 꿀팁💗 안본사람 없어야할 베이스교육영상,https://www.youtube.com/watch?v=dEaVFlint0U,108235,2022-12-27,0:12:07,
34,"이목구비 재탄생! 사진, 화면빨 확실한 방송 메이크업  ( with.쇼호스트 주서현 )",https://www.youtube.com/watch?v=qQCHP_uwSdY,10813,2022-12-18,0:06:25,
35,100% 소개팅 성공하는 메이크업💗 / 아이메이크업 꿀팁대잔치!! / 샵 메이크업헤어 할인이벤트⭐️,https://www.youtube.com/watch?v=qf5n299wbec,16997,2022-12-11,0:09:12,
36,직장인을 위한 뜨지않는 퀵 메이크업 / 빨리해도 안뜨는 꿀팁!!,https://www.youtube.com/watch?v=mJZ2VTVbDi8,10110,2022-11-27,0:09:20,
37,드레스 화보 모델 메이크업  / 트랜디한 웨딩메이크업 (with.vivatamtam),https://www.youtube.com/watch?v=8re9m2iTgN4,2287,2022-11-20,0:03:14,
38,"청담 샵 데일리 메이크업 , 사랑스러운 핑크 무드 닉낌 듬뿍 ~ 🎀💗 분위기 여신 메이크업으로 완성 시켜요 우리",https://www.youtube.com/watch?v=OyOZc6-Jr8Q,6429,2022-11-13,0:05:20,
39,"청담 샵 원장의 퍼스널 메이크업 특강 / 쿨톤,웜톤 다 드루와요!",https://www.youtube.com/watch?v=TFSrld6BpOo,3074,2022-11-06,0:08:00,
40,MZ 인턴에게 메이크업을 월넛 메이크업을 받아보았습니다. 정말 깜짝놀랐어요 / 샵 바다 소개영상도 준비했어요!! / 자그마한 이벤트,https://www.youtube.com/watch?v=uGSpyFNpuVQ,10094,2022-10-23,0:13:10,
41,"속눈썹 포인트 가을 메이크업🍂 , 코쉐딩, 언더속눈썹 그리기 꿀팁 대방출⭐️",https://www.youtube.com/watch?v=bTeypvHUfGE,5402,2022-10-09,0:09:00,
42,실제 샵에서 하는 웨딩 본식메이크업을 생생히 담아봤어요! / 그리구 샵을 옴겼어요!!,https://www.youtube.com/watch?v=5Q2l-d4nxiE,17301,2022-10-02,0:04:01,
43,☀️여름에 올라온 잡티 살리는 특급 꿀TIP 메이크업! / 어두워진 피부에 딱 좋은 가을템 추천🍂,https://www.youtube.com/watch?v=XlhhiwKGFfM,4338,2022-09-25,0:08:53,
44,"부어보이는 눈, 사방트임으로 눈매교정하는 법 / 청담동 메이크업원장 아이메이크업 특강! / 앞뒤 쌍커풀 두께가 다른 눈에 관한 강력한 꿀팁 ( 없어서 준비했어요! )",https://www.youtube.com/watch?v=csakjZC-U28,8385,2022-09-11,0:05:14,
45,랑콤 팝업 스토어 GRWM ! / 아이돌 가닥속눈썹 꿀팁 + 음영 듬뿍 가을메이크업,https://www.youtube.com/watch?v=txrs5-wCLzo,2450,2022-09-04,0:05:24,
46,"(NO광고) 눈매별 가닥속눈썹 추천! 쌍커풀 얇은 눈, 무쌍, 풀린눈, 속눈썹 안 어울리는 눈, 맞춤 속눈썹 / 청담샵에서 찐 사용템 with.깜빡속눈썹",https://www.youtube.com/watch?v=_NaPUP2-7q4,40422,2022-08-28,0:10:26,
47,눈썹정리부터 무조건 기본적으로 알아야할 기본 남자 메이크업 / 이건 모르면 안됩니다..!,https://www.youtube.com/watch?v=24qoZfqXCnA,3427,2022-08-21,0:13:03,
48,사랑하는 반려견과 함께한 특별한 웨딩촬영 / 웨딩드레스 안입고 원피스+캐쥬얼 세미촬영!,https://www.youtube.com/watch?v=kx0DZ2lqg_I,1914,2022-08-17,0:05:30,
49,"풀린 눈, 졸린 눈을 또렷하게 만드는 눈성형 메이크업 / 메이크업 원장 영업꿀팁 + 렌즈추천",https://www.youtube.com/watch?v=WwYejh-JC1A,18604,2022-08-07,0:05:48,
