,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,아디다스가 도자기로 만든 신발! 실착 가능?,https://www.youtube.com/watch?v=QM8ihQR4qmI,5979,2023-08-30,0:05:05,148
7,10분만 투자하면 외화벌이가 가능하다고!?,https://www.youtube.com/watch?v=beO5mVDUeEk,11255,2023-08-28,0:11:33,152
8,"경영자들, 매드몬스터, 빵송국, 메타코미디 비하인드 스토리",https://www.youtube.com/watch?v=ZGLGw4vrgug,14261,2023-08-27,0:38:04,268
9,새로운 신발의 왕 등장? 4시간 촬영 종료!!,https://www.youtube.com/watch?v=D2n4LkXsQDU,34646,2023-08-26,0:07:00,433
10,소다가 생각하는 미필의 기준,https://www.youtube.com/watch?v=Q3sLbeVFglg,26319,2023-08-25,0:09:22,380
11,월드클래스의 오빠는 과연 누구?,https://www.youtube.com/watch?v=AEGnwR2oHYc,29199,2023-08-24,0:08:45,374
12,신발만 남기고 떠나간 그XX,https://www.youtube.com/watch?v=eTPxQs-xGKU,34513,2023-08-23,0:09:50,395
13,"와디 'KICKS (feat. Paloalto, Chancellor)' Official MV",https://www.youtube.com/watch?v=M-wGaQiZRe8,17970,2023-08-14,0:02:21,458
14,취중진담 스윙스의 비밀이야기 [WABAR EP.4],https://www.youtube.com/watch?v=XUVRY0MEPlw,22272,2023-08-13,0:22:45,491
15,와디님한테만 말할게요,https://www.youtube.com/watch?v=gFtZZtyvODU,72225,2023-08-11,0:08:18,708
16,"와디 'KICKS (feat. Paloalto, Chancellor)' MV Teaser",https://www.youtube.com/watch?v=d-vLhl7Xjq0,5876,2023-08-10,0:00:10,88
17,[소다의신발장] 역대급 게스트! 월클 그녀의 압도적인 컬렉션!!,https://www.youtube.com/watch?v=Uh4--dVtrUw,158510,2023-08-09,0:10:23,1164
18,스니커 씬의 정상을 위한 치열한 경쟁!!,https://www.youtube.com/watch?v=7SwpshxXuYI,11894,2023-08-02,0:05:20,181
19,최근 스니커 씬의 대하여 어떻게 생각하시나요..?,https://www.youtube.com/watch?v=5z6BV8pAqeA,20521,2023-07-29,0:07:42,273
20,여러분들을 위해 오사카에서 선물을 가져왔습니다!!,https://www.youtube.com/watch?v=G2312E5eKWU,8322,2023-07-22,0:02:24,959
21,여러분!! 이번 기회에 꼭 꿀 빠세요!!,https://www.youtube.com/watch?v=JWV4i8rcmsk,15454,2023-07-20,0:07:19,183
22,국내 최초 리뷰!! 화제의 신제품 바조우 x 아디다스 NMD 제품을 소개해 드립니다!!,https://www.youtube.com/watch?v=JFrDB440sxo,11529,2023-07-19,0:05:11,199
23,아더에러와 컨버스의 두 번째 협업!! 과연 어느 정도의 인기를 가져갈까?,https://www.youtube.com/watch?v=eG45d-Lqwrg,14695,2023-07-17,0:05:49,186
24,커플 운동화로 신으면 완전 꿀템 추천드립니다!!,https://www.youtube.com/watch?v=T1yZlD9fiHE,13500,2023-07-16,0:06:12,168
25,30주년을 맞이한 베이프!! 아디다스와 새로운 협업을 진행하다!,https://www.youtube.com/watch?v=JTZGeciHWzM,10645,2023-07-15,0:05:30,156
26,일본에서 직접 보고 느낀 일본의 스니커즈 문화!! [스니커 콘],https://www.youtube.com/watch?v=IeUY9FHnaBg,35382,2023-07-09,0:06:17,403
27,"""나이키와의 이별, 아디다스의 부활""은 정말 사실일까?",https://www.youtube.com/watch?v=6Em0qQ1VtrI,14046,2023-07-08,0:06:00,228
28,슈프림과의 협업은 언제나 성공적일까?,https://www.youtube.com/watch?v=nnkmRu92BTI,15662,2023-07-07,0:05:11,203
29,고급 크록스 탄생,https://www.youtube.com/watch?v=SDDv7Ej3GNo,10935,2023-07-02,0:03:19,161
30,슈퍼스타와 함께 들어간 은밀한 공간…,https://www.youtube.com/watch?v=od9jL8EbORs,8992,2023-06-28,0:04:10,172
31,무한히 뻗어나가는 나이키의 영향력,https://www.youtube.com/watch?v=1MnYnhLA7aE,11347,2023-06-27,0:06:24,171
32,페노메코가 에어팟을 훔치게 된 계기 [WABAR EP.3],https://www.youtube.com/watch?v=94-1heQBZcY,10101,2023-06-25,0:14:17,399
33,늦으면 손해 봅니다 지금 꿀 빠세요!!,https://www.youtube.com/watch?v=FyNp59tur1g,21361,2023-06-23,0:06:49,193
34,하루 만에 300억을 번 칸예..,https://www.youtube.com/watch?v=sxF4mXt_ZYo,36115,2023-06-22,0:08:01,399
35,SNEAKERS UNBOXED F&F에서는 어떻게 진행되었을까?,https://www.youtube.com/watch?v=NdlQ2yQMIEk,5862,2023-06-17,0:05:10,147
36,휴가 가서 이렇게 입으면 인싸시켜주나요..?,https://www.youtube.com/watch?v=wFNPQQ_PyiY,6534,2023-06-15,0:06:28,104
37,"디자인 합격, 가격 합격, 실착러 개꿀템 등장!?",https://www.youtube.com/watch?v=IWseucJhQkU,24268,2023-06-13,0:04:48,253
38,여러분!! 이 신발 어떤가요? 호? 불호??,https://www.youtube.com/watch?v=qemQRTNoQFA,18683,2023-06-11,0:06:35,257
39,세상의 모든 신발을 보여드립니다.,https://www.youtube.com/watch?v=GOhR5H6qf84,28485,2023-06-08,0:11:25,683
40,글로벌 브랜드와 함께 하는 LMC 디테일 미쳐따..,https://www.youtube.com/watch?v=myCUZ_0Ttnk,9801,2023-06-05,0:04:49,141
41,키드밀리가 말하는 이영지의 의미..? WABAR에 와바!! [WABAR EP.2],https://www.youtube.com/watch?v=tEM47_o80do,35702,2023-06-04,0:17:24,888
42,버질 아블로에게 신발 선물을 받는 홍콩 30조 부자의 컬렉션 썰 푼다.,https://www.youtube.com/watch?v=9Ivos98y0Mw,29512,2023-06-02,0:14:45,399
43,'나이키 고소 = 떡상..?' 맞나요..?,https://www.youtube.com/watch?v=DnIaAFP-Jcs,24838,2023-05-30,0:05:18,351
44,보고 또 봐도 재미있는 역대급 신발장 문돼의 신발장,https://www.youtube.com/watch?v=k9XqZNV4Jcs,58834,2023-05-28,0:23:44,742
45,문돼를 유혹하는 기술 [문돼의 신발장],https://www.youtube.com/watch?v=3_ty_UkojQM,75121,2023-05-26,0:09:02,932
46,??? : 여유증 있습니다!!!!,https://www.youtube.com/watch?v=mMaHLw9FP1E,100009,2023-05-23,0:08:34,1258
47,[문돼의 신발장] ??? : 이거 오프화이트 찐이에요?,https://www.youtube.com/watch?v=EZoV3qlv9cA,234951,2023-05-21,0:08:13,2434
48,X밥처럼 보여도 X밥이 아닙니다..,https://www.youtube.com/watch?v=FL4ygVaER7s,40097,2023-05-19,0:08:01,488
49,나이키가 인정한 브랜드?,https://www.youtube.com/watch?v=55iS94i9RkY,41334,2023-05-16,0:07:16,367
50,[一石三鳥] 근데 사지는 마세요,https://www.youtube.com/watch?v=iDLkxSPbKHY,12958,2023-05-14,0:06:41,171
51,신발 끈 코디 어디까지 해봤니? [천하제일 신발 끈 대회],https://www.youtube.com/watch?v=9uYzG--bPGo,13080,2023-05-12,0:08:58,197
52,혹시 이 광고를 아시나요? 한국 스트릿 씬의 전설 리뷰 2탄 민석룩,https://www.youtube.com/watch?v=UkPkBRi9KC4,30016,2023-05-09,0:05:58,345
53,피죤 덩크 탄생의 비하인드!! [본인등판],https://www.youtube.com/watch?v=CSkyMPBIYNU,11932,2023-05-07,0:10:28,253
54,세종문화회관에서 꼭!! 와디를 찾아주세요.,https://www.youtube.com/watch?v=dXFwAZb8XsY,20038,2023-05-03,0:08:12,348
55,윤성빈? 앙 물어볼게요~ 😉 [WABAR EP.1],https://www.youtube.com/watch?v=rr_YmUP4R2w,69360,2023-05-01,0:29:38,1834
56,뉴진스는 어떤 조던을 신었을까?,https://www.youtube.com/watch?v=utpTMU3ITuw,37380,2023-04-30,0:06:05,518
57,"스캇과 조던, 이제 마지막이라고요?",https://www.youtube.com/watch?v=_LpZ0tYv8Gk,31774,2023-04-26,0:06:38,401
58,아트모스 x 살로몬은 인기 많던데요??,https://www.youtube.com/watch?v=up61QOX4N7s,22827,2023-04-25,0:04:49,215
59,박물관에 있어야 하는 게 여기에 있다고?,https://www.youtube.com/watch?v=9T5A6EF0ukI,21752,2023-04-23,0:05:08,342
60,[홍콩🇭🇰 마지막 편] 신발도 예술이 되는 공간,https://www.youtube.com/watch?v=466PLS85hCA,6127,2023-04-22,0:18:28,144
61,여러분들의 드림슈가 모여있는 곳!! [스니커 콘],https://www.youtube.com/watch?v=ESwkzIONQLo,22157,2023-04-21,0:08:02,325
62,세종문화회관 입성,https://www.youtube.com/watch?v=KmD7GcKQcbE,10600,2023-04-19,0:02:22,307
63,"[홍콩🇭🇰 3편] 5억짜리 신발, 5000만 원 짜리 화장실",https://www.youtube.com/watch?v=rDHBf9b8L9k,13944,2023-04-17,0:15:34,201
64,인기가 정말 예전만 못하네요..,https://www.youtube.com/watch?v=ciB4kTh3Ol4,45016,2023-04-16,0:06:56,409
65,일본 진출한 무신사와 뉴진스 그리고 조던,https://www.youtube.com/watch?v=uAsPXUDx5j0,28822,2023-04-15,0:10:25,449
66,[홍콩🇭🇰 2편] 홍콩갈래??,https://www.youtube.com/watch?v=d97Jkbvb7hY,9480,2023-04-12,0:07:36,156
67,모른다고 직원에게 혼났습니다..,https://www.youtube.com/watch?v=gp-dkCaXi_w,10642,2023-04-10,0:07:57,226
