,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
4,VLOG⛅️ 여행 다녀와서 해야 할 것들(feat.여독풀기) 짐 치우고/한식력 채우고/도서관 갔다가 칼국수 맛집/탕후루 잔치열기🍓🥝🍇🍒 yosmwoorin vlog.,https://www.youtube.com/watch?v=q46PqJU6Crs,28192,2023-08-31,0:19:01,488
5,불행배틀⚡️이렇게 운이 안 좋을 수 있나요?😵‍💫 시드니&뉴질랜드 여행기GRWM (feat.웃으면 복이오나요..?🐰) 잘 쓰는 제품들과 신상템으로 준비해요!💚,https://www.youtube.com/watch?v=oLs2G0Dt5Jg,29785,2023-08-30,0:32:46,486
6,시드니 고수가 되어버린 나..#03🇦🇺 (블루마운틴🌌/맛집추천/고래투어🐋/🧶) 비와도 여행을 잘 즐길 수 있는 코스🌧️ 다같이 함께해서 더 좋은 여행 yosmwoorin vlog,https://www.youtube.com/watch?v=mg_DPnaoQSg,20113,2023-08-27,0:27:59,380
7,호주 고수가 데려간 시드니 투어#EP02🦘🇦🇺(feat.맛집투어+친구 선물몰카📷) 샌드위치 핫플/분위기 좋은 음식점 추천! 유명한 곳은 다 갔다옴🐨 SYDNEY YOSMWOORIN,https://www.youtube.com/watch?v=U9g1BfxXcc0,28030,2023-08-18,0:26:19,448
8,시드니에서 아침GRWM☀️ 조용조용하게 준비! 호주 첫 인상+파넬 개발파데🦘(가을 날씨 너무 좋아~🤍),https://www.youtube.com/watch?v=M-0BqgfZQ_U,33455,2023-08-13,0:29:39,523
9,친구 만나러 떠나는 시드니 여행#EP01🐨🇦🇺 (feat.먹고 웃으러 떠난✈️) {{캐리어 3개/대한항공 비지니스/라운지추천/기내파우치/시드니 맛집}} yosmwoorin,https://www.youtube.com/watch?v=DB78ZPlkirk,42868,2023-08-12,0:22:52,735
10,갑자기 겨울여행🐨🦘맥시멀의 호주~뉴질랜드 캠핑 짐까지 PACK WITH ME🇦🇺🇳🇿(feat.캐리어 3개..?) 여행자 꿀템 추천+소소한 꿀팁!,https://www.youtube.com/watch?v=xOVdKkMlebQ,33810,2023-08-10,0:20:17,618
11,진짜 잘 입는 옷만 모은 여름 #패션하울 🍉⛱️ +실패없는 여름바지 추천 (킨더살몬/포스터/보웬/스무드무드/아워코모스/그린버터💛) #fashionhaul,https://www.youtube.com/watch?v=ORaPXI3t3Y8,73005,2023-08-05,0:20:56,1048
12,직장인 여름 데일리룩 5가지 🌿🦋🐳🐚💛 (with abib) #OOTD {{완전 찐 데일리룩/백팩 코디/흰옷이 좋아요🤍/#마스크팩 추천}},https://www.youtube.com/watch?v=jT4_39MQvGc,39652,2023-07-25,0:11:38,489
13,데일리룩 맘에 듦💗 일상 얘기하면서 GRWM💬 (더마토리&파넬 이야기)+주말을 잘 보내는 방법! 같이 준비해요🫧 (텀블러 추천+반바지 추천),https://www.youtube.com/watch?v=mrQoRikhLmA,36838,2023-07-23,0:29:41,492
