,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"VLOG | 화장품 브랜드 만든 근황,, |빠지지 않는 먹로그 | 진짜 일상 (feat.오랜만이에요♥︎)",https://www.youtube.com/watch?v=6TGnzRFPCLI,18849,2023-08-21,0:17:49,307
1,일상 모음.zip | 화장품 미팅 | 염색 | 최고심 팝업 | 서울 나들이 | 등산 브이로그,https://www.youtube.com/watch?v=pul6ZmM1nNU,21488,2023-06-16,0:20:07,250
2,내일이 달라지는 🌱 2023 버전 얼굴형 관리 & 나이트 케어! (*이벤트 있음 ♥︎),https://www.youtube.com/watch?v=vg1sT5lAxzQ,10323,2023-06-01,0:12:32,194
3,"(이벤트있음) 제주브이로그| I로 바뀜 😭 , 캐럿서프 , 제주 하얏트 , 요즘 고민 , 제주에서 힐링 🌱",https://www.youtube.com/watch?v=w_xBA4InTfI,15136,2023-05-20,0:25:52,211
4,이거 알면 사진 다 살리기 가능 😎! 애매하고 필터써도 안되는 사진 무조건 시청!🧡,https://www.youtube.com/watch?v=0KdhDF6FkqM,8606,2023-05-18,0:16:17,248
5,*이벤트있음!|댓걸챌린지2|나를 위한 습관 들이기|일상 루틴 브이로그,https://www.youtube.com/watch?v=gXfFYWccqjI,26042,2023-04-23,0:23:09,399
6,요즘 산 것들 shopping haul / 목걸이 추천 / 샤넬 코코크러쉬 / 디올 스카프 / 렌즈추천 / 인생립 추천 / 밀크터치 다이어트 /  나이키 보메로 / 의류쇼핑,https://www.youtube.com/watch?v=lN9c0vil6hw,49057,2023-04-05,0:17:56,519
7,결혼식 갈 준비 같이해요! *붙이는 콜라겐 패드 이벤트있음/하객룩/인생템 조합,https://www.youtube.com/watch?v=5HJ3exPCdmo,18077,2023-04-01,0:16:29,253
8,(제주코디나눔있음!) 제주브이로그/렌트카 추천 / 제주숙소 추천 / 이것저것 ♥︎,https://www.youtube.com/watch?v=JXJO0UoIvhs,16472,2023-03-26,0:21:36,274
9,(이벤트있음)다이어트를 곁들인 그냥 일상 브이로그 🌱(feat.봄이다~!),https://www.youtube.com/watch?v=16r5DJ1uAbk,16891,2023-03-25,0:16:39,246
10,"(이벤트있음)가방소개 2탄 🛍 소장하고 있는 보세부터 디자이너브랜드,명품까지 ♥︎",https://www.youtube.com/watch?v=-KQgrdgYiZU,54563,2023-03-19,0:19:17,593
11,(이벤트 있음!)VLOG 동생 독립 시키는 날 🥲 온가족 호캉스 VLOG ♥︎,https://www.youtube.com/watch?v=st5K0TMCPM0,19643,2023-03-04,0:18:47,274
12,"혼먹방이 되어버린 일본행 🇯🇵 (feat.히타여행,숙소 옮긴 썰..,일본인 구독자동생♥︎)",https://www.youtube.com/watch?v=tuyG4T6-t-Y,15526,2023-02-25,0:26:15,252
13,[브이로그]늦었지만 2022 연말 브이로그 모음 🎄,https://www.youtube.com/watch?v=lTfPw0VfvNM,15307,2023-02-04,0:17:04,226
14,6박7일 일본여행 짐싸기 (feat.수하물 추가20만원 나옴 🤦🏻‍♀️),https://www.youtube.com/watch?v=1AbiGVJFy7c,31885,2023-01-21,0:14:15,344
15,[2022 연말결산] 매일 쓰는 삶의 질 수직 상승템들! ☃️,https://www.youtube.com/watch?v=qrG08Bq79aw,25009,2022-12-23,0:20:33,346
16,노광고 찐템들로 겨울 포근 포근 grwm ❄️☃️,https://www.youtube.com/watch?v=3PozZboyXik,22120,2022-12-17,0:16:25,329
17,3년만에 오사카 여행 ✈️  2박3일 조지다 여행 브이로그♥︎ (feat.벌써 다시가고파..),https://www.youtube.com/watch?v=A-egQHiopCI,46711,2022-11-13,0:16:06,563
18,양양 vlog ⛱ 핫한 숙소와 잃어버린 피부 광 찾기 🥲,https://www.youtube.com/watch?v=fctdOEAlLN0,17420,2022-11-06,0:27:25,236
19,일상부터 자기관리까지 갓생 살기 댓걸 챌린지를 해봤어요.,https://www.youtube.com/watch?v=lmksF7I4DU4,32302,2022-10-23,0:23:55,433
20,긴머리 안녕..5년만에 단발 grwm ♥︎,https://www.youtube.com/watch?v=3983Z121cw4,51797,2022-10-08,0:13:41,603
21,VLOG|은조미위크7|-4kg다이어트중 | 식단만들기 |팥물 끓이기 | 스타일링,https://www.youtube.com/watch?v=tiq47piKuQY,26391,2022-09-21,0:14:45,373
22,VLOG|은조미위크6|망가녀와 데이트| 선산곱창에 혼술|가방 정리 |용인 나들이,https://www.youtube.com/watch?v=i5NCjWuQU2w,38238,2022-09-19,0:16:03,456
23,"VLOG|은조미위크5| 재택근무|화장품 테스트| 호호불똥|또 마라탕,고맥|",https://www.youtube.com/watch?v=13mgcQsckdE,19406,2022-09-18,0:15:34,337
24,은조미위크4 | 쉬는 날 청소하고..마라탕 먹는 브이로그,https://www.youtube.com/watch?v=-bdLRbQRC0Y,22979,2022-09-17,0:11:03,354
25,은조미위크3| 맛있는거 먹고..일하고..마시는게 인생..,https://www.youtube.com/watch?v=D87q4hUjQ90,14295,2022-09-16,0:13:07,237
26,은조미위크2| +3kg브이로그... (feat.포천 풀빌라),https://www.youtube.com/watch?v=wefTgc7mA6M,15784,2022-09-15,0:15:47,260
27,은조미위크1| 경상도 여자들의 생일 호캉스 (feat.싸우는거아님),https://www.youtube.com/watch?v=W_3nM2h6RF0,18314,2022-09-14,0:14:20,325
28,"VLOG | 7일동안 입고 꾸몄던 스타일링 브이로그 (친구랑 데이트,꾸안꾸 외출,소주 뿌수기..🍻)",https://www.youtube.com/watch?v=3JZo1MXDZF8,30818,2022-09-04,0:23:59,422
29,"🎂25살 생일 브이로그 1편 | 친구랑 둘이서 호캉스 ♥︎ ,호텔에서 마라탕 닭발 , 생일주 , 행복했다..🎂",https://www.youtube.com/watch?v=GqB9ou39cvs,31723,2022-08-13,0:24:21,442
