,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,레전드 황비홍 탈출 이마축소술 리얼 후기,https://www.youtube.com/watch?v=fBK-bGNn3Cs,244963,2023-08-31,0:19:57,2833
7,내가 했던 최악의 알바 썰....🫠 그리고 인생 첫 짝사랑 썰까지....🩷 혼밥 혼술 메이트 책임진다,https://www.youtube.com/watch?v=1FUA_5cKZCs,51528,2023-08-28,0:16:00,848
8,"이제 그만 물어봐주세요,,, 시술없이 풍성한 머리숱 두피관리법 공개합니다 🦚",https://www.youtube.com/watch?v=WK-N2KnayhU,24378,2023-08-25,0:12:46,262
9,🍊하루 5끼 먹고 각 한라산 3병 이상 마신 제주 먹방음주 브이로그 part.1🍊,https://www.youtube.com/watch?v=BDmJyofVchg,39889,2023-08-22,0:28:17,378
10,여름 진짜 별루였던 28년 인생 바꿔준.....,https://www.youtube.com/watch?v=LpiSdlCVKcQ,22502,2023-08-17,0:15:16,182
11,같이 술 마시는 데 아이돌 해도 되겠다고 소리 들은 남동생과의 먹방 브이로그 🎤✨ (친동생 아님),https://www.youtube.com/watch?v=sdA-e_IkVNI,57997,2023-08-16,0:17:52,511
12,"음주 먹방 브이로그 : 나의 남자친구는 소주...💚 (교양있게 헤더윅 전시회보고 구수한 노포가서 막창, 소등골에 술 뿌심, ‎‎아무도 알려주기 싫은 인생 막창집 발견)",https://www.youtube.com/watch?v=dNbO9kd8ZPk,47323,2023-08-11,0:22:44,361
13,"친구 다이어트 -10kg 성공 시킨 비법 공유합니댜,,,,,🔥👙 (+영양제, 식단, 운동 정보 추가)",https://www.youtube.com/watch?v=1DWV15xHeh0,49014,2023-08-06,0:23:41,469
14,이사정리 후 새집에서 먹는 마라탕 먹방 (with. 연태고량주 레알 JMT....♥️),https://www.youtube.com/watch?v=YsMJ0ar060I,93177,2023-08-02,0:18:27,995
15,먹방 음주 브이로그 : 존맛 약과 털고 소맥 리필집가서 만취하고 비 맞으면서 ‎‎‎‎‎‎‎‎‎‎‎‎아이스크림 먹었다고 한다...☔️,https://www.youtube.com/watch?v=7N4krg2Qy_A,31643,2023-07-29,0:20:11,325
16,🔥귀차니즘 개쩌는 사람의 10초 만에 화장 지우는 법 알려드림🔥,https://www.youtube.com/watch?v=OK39HCNSxzk,14524,2023-07-26,0:13:04,140
17,"먹방음주 브이로그 : 더현대서울 갔다가 드디어 첫 영접 금돼지 식당가서 폭탄주 뿌셨어요 🍻(훈남 천국 더현대서울, 박나래 나혼자산다 하이볼)",https://www.youtube.com/watch?v=OyVqgmhqWKI,41877,2023-07-22,0:12:21,395
18,마라탕 중독자의 마라엽떡 먹방....‼️ (엽떡 신메뉴 솔직 후기),https://www.youtube.com/watch?v=sqIyYU3obWk,257612,2023-07-21,0:17:59,2977
19,"내가 겪었던 막장 드라마급 썰 풀며 화장하자 🔥 (애딸린 유부남과 여행, 당당한 바람)",https://www.youtube.com/watch?v=1l2xmDUIYe0,164616,2023-07-19,0:21:10,2222
20,Vlog: 태국 베프 휴가라길래 같이 놀아주려고 비지니스 클래스 타고 날라감 ✈️ (2달 전에 예약해야 하는 방콕 미슐랭 후기),https://www.youtube.com/watch?v=I26rXfPWbbU,58751,2023-07-17,0:18:49,598
21,"태국 현지인 친구가 한국 친구보다 더 많은 사람의 방콕 브이로그 (방콕에서 옷 쇼핑하기, 방콕 맛집 추천 🇹🇭) ♥️대한 태국인♥️",https://www.youtube.com/watch?v=_NNhVn7aKfs,56166,2023-07-13,0:15:47,499
22,내가 전남친에게 받은 상상초월 이상의 가스라이팅 이야기 풀어볼게...🥲 + 인생 교훈까지,https://www.youtube.com/watch?v=JVAbL3wCAKA,117795,2023-07-03,0:22:12,1461
23,잘 준비 하면서 발리에서 만났던 나한테 핸드폰 요금 내달라고 했던 남자 썰 풀어볼게 💸,https://www.youtube.com/watch?v=EimbQHEM7Bc,41073,2023-06-30,0:17:13,563
24,태국 여배우 친구랑 함께하는 Get ready with me 🇹🇭💄,https://www.youtube.com/watch?v=zuqMIVKf2qg,45828,2023-06-28,0:12:43,779
25,"먹방 브이로그 : 여름 밤 감성 야외 노포에서 배 터지게 먹고 마시는 게 진정한 행복💛 (feat.서울 역대급 존맛탱 곱창집 발견, 추억의 투다리 김치우동)",https://www.youtube.com/watch?v=EHTyuaZ44es,42499,2023-06-23,0:19:12,411
26,누구나 따라 할 수 있는 세상 간편한 5분 붓기 빼고 탄력 잡는 방법 (세상 쉬움🔥),https://www.youtube.com/watch?v=LE8k8pVlYPc,22726,2023-06-19,0:20:06,285
27,"음주 먹방 브이로그 : 태어나서 처음 가본 서울 재즈 페스티벌 후기 및 준비물 💚 (폴킴, 김필 봤다!)",https://www.youtube.com/watch?v=YAzxZaKQwWU,31646,2023-06-18,0:18:58,258
28,마라탕 중독 인간의 요즘 핫한 두찜 마라로제 찜닭 후기🔥 (혼밥 친구 내가 책임진다),https://www.youtube.com/watch?v=cQmrz1Ci1f8,90606,2023-06-15,0:23:33,933
29,‼️마라탕 엽떡 소주 맥주 + 고칼로리 안주 정신줄 놓고 먹어도 살 안 찐 비법‼️제발 봐주세요 신세계니까....,https://www.youtube.com/watch?v=e57gzgGcLyg,86825,2023-06-12,0:29:19,1082
30,"발리 브이로그 : 지치고 우울하고 스트레스 많은 현대 사람들에게 천국의 여행지 드디어 찾았다 ✨ (저렴한 물가, 눈 호강, 잔잔한 힐링까지)",https://www.youtube.com/watch?v=XfVzkcLbE9M,47498,2023-06-10,0:20:11,576
31,식욕 성욕 수면욕 중 단연코 식욕이 1등인 여자의 먹방 브이로그 (feat.먹기 위해 살아요 🐷),https://www.youtube.com/watch?v=4evHWu46XnQ,69308,2023-06-08,0:21:47,745
32,분노주의 : 최악의 전남친 썰 풀며 하는 겟레디윗미 🔥,https://www.youtube.com/watch?v=Ka98ULhPdEY,462567,2023-06-03,0:36:19,7402
33,어제도 쓰고 지금도 쓰고 있는 리얼 찐 추천템 🔥 (feat.2000원 짜리 니플패치),https://www.youtube.com/watch?v=fiOKWikW5Gw,67079,2023-05-30,0:22:30,1066
34,레알 효과 쩔었던 침샘 보톡스 후기...🫢,https://www.youtube.com/watch?v=qb6u3YPMIuk,73964,2023-05-28,0:06:35,637
35,다크서클과 이별 ❗️눈 밑 지방재배치 수술 18일차 후기 👁👄👁,https://www.youtube.com/watch?v=p5HqnsoqMCg,77358,2023-05-22,0:11:59,694
36,이제 마라탕 안 먹을란다 인생 마라샹궈 찾았어요....(feat.진실의 미간),https://www.youtube.com/watch?v=NxKlW95LU7c,167721,2023-05-18,0:12:54,1489
37,많은 분들이 기다려주셨던 태국 재벌과 이별 썰 🇹🇭💧,https://www.youtube.com/watch?v=2LUqILB0cWQ,360515,2023-05-12,0:24:30,3081
38,먹기 위해 사는 남사친과 함께하는 먹방 브이로그 (feat.걸어다니는 인간 맛집 백과사전),https://www.youtube.com/watch?v=0WWIUuLq1Og,59410,2023-05-10,0:15:46,531
39,"이날 예쁘다고 칭찬 들어서 신나서 6차까지 달렸던 만취 브이로그 (을지로 82올리언즈, 만선호프, 홍대 클럽 라밤바)",https://www.youtube.com/watch?v=NuMHWh3S234,69852,2023-05-05,0:12:35,574
40,GRWM : 3년 만에 염색했더니 쿨톤에서 봄웜톤 됐어요...🌸,https://www.youtube.com/watch?v=E2YvKqWGlfo,54073,2023-05-03,0:11:35,373
41,치맥 하면서 역대급 통 큰 중국인 남사친에게 명품 니트 받은 썰 💸 + 덤으로 급 사랑(❤️) 고백까지..?,https://www.youtube.com/watch?v=ABIyUHV1tm8,67792,2023-04-30,0:25:24,745
42,드디어 눈 밑 지방재배치 실밥 풀었어요 🙏🏻 (feat. 성형수술 때문에 뒤집어진 피부 관리 꿀팁),https://www.youtube.com/watch?v=-eWoV42hKCc,48642,2023-04-26,0:11:05,261
43,먹방 브이로그 : 보톡스 3종 맞고 맛집 푸파하느라 일주일에 3kg 쪘어요 ‼️ 이럴거면 보톡스 왜 맞‎‎‎‎은거야?,https://www.youtube.com/watch?v=e9AqnSGeHl4,45330,2023-04-24,0:13:17,388
44,내가 당해본 역대급 가스라이팅들 썰 풀기,https://www.youtube.com/watch?v=kkXT7Ck6Dz0,140399,2023-04-18,0:19:37,1896
45,마라탕 먹고 8키로 쪘던 마라 처돌이의 4개월 만에 먹는 감격의 마라탕 먹방 + 뉴진면 첫 경험,https://www.youtube.com/watch?v=IXdS5qt6rsw,121734,2023-04-15,0:16:02,1063
46,"1년 만에 다시 ‼️ 침샘 보톡스‼️ 맞으러 가는 겟레디윗미,  눈 밑 지방재배치 속닥속닥 스포하기,,,,,",https://www.youtube.com/watch?v=yjtwlyDryFY,56318,2023-04-11,0:12:24,483
47,술 주정으로 엽떡 먹고 싶어서 울고 드디어 4개월 만에 먹는 엽떡 +  명랑 핫도그 먹방,https://www.youtube.com/watch?v=XaaA-ul6Pck,129649,2023-04-07,0:10:03,1150
48,요즘 떠오르는 용산 핫플에서 만취할 때까지 마시고 잠실에서 리얼 맛집 도장 깨기 (각 소주 주량 4병인 우리는 10년 우정🍻),https://www.youtube.com/watch?v=CYPdiZv_4GI,42486,2023-04-01,0:30:03,384
49,탄력 쳐짐 관리에만 돈 수천만원 썼구요? 그래서 진짜 자신 있습니다 ‼️ (feat.국민템 에이지알 마켓 공지 50% 특가✨),https://www.youtube.com/watch?v=XqZwIymaNYE,29554,2023-03-27,0:23:23,223
50,"음주 먹방 브이로그 : 술 마시면 찐 행복 표정 3단 변화, 그리고 얼굴형 관리법, 얼굴 안 붓는 꿀팁 🍻",https://www.youtube.com/watch?v=9YRVch4ruMw,39232,2023-03-25,0:14:11,309
51,소주 주량이 4병인 여자의 혼술 맥주 3캔 마시고 취해서 혼자 한 시간 떠드는 브이로그 (20대 후반이 돼서 느낀 인생의 조언),https://www.youtube.com/watch?v=1TOdxIU-zDw,33972,2023-03-23,0:45:50,361
52,술만 들어가면 찐 행복 표정 자동 발사하는 여자의 먹방 음주 브이로그 (짱친+감자탕+소주=천국❤️),https://www.youtube.com/watch?v=qYADaKZf-tc,44072,2023-03-19,0:29:41,372
53,베트남 여행하다 백지장처럼 하얗고 빨간 원피스 입은 귀신이 춤 추는 거 본 썰 후기 (feat.무당 친구의 예언),https://www.youtube.com/watch?v=X-8mGFSL8T0,34288,2023-03-12,0:13:14,512
54,"VLOG : 인생 처음으로 마취 크림만 바르고 울쎄라 500샷 맞기 ,울쎄라 고통, 짜뚜짝 시장 갔다가 마사지 받고 태국 음식 먹었어요 🙏🏻",https://www.youtube.com/watch?v=dqnOfELh4oI,37450,2023-02-25,0:20:40,298
55,요즘 내가 겪은 진짜 신기한 경험 썰 풀어보기 💬‼️,https://www.youtube.com/watch?v=5tA-nfzUBcI,78317,2023-02-19,0:11:20,1232
56,모든 걸 겪었고 이겨냈기에 현실적으로 고민을 상담해 줄 수 있는 고민 상담소 (feat. 나이트 루틴🌙),https://www.youtube.com/watch?v=-CBbU0t5ffw,46695,2023-02-16,0:20:56,800
57,출근 할 때 틀면 시간 순삭 보장 : 별명이 여자 노홍철이었던 사람의 겟레디윗미 ⏰,https://www.youtube.com/watch?v=LPIWXZo1XWY,37914,2023-02-09,0:13:13,462
58,태국 재벌에게 만난 지 하루 만에 다이아몬드 받은 썰 세 번째 : 반지가 컸던 이유 💍‼️,https://www.youtube.com/watch?v=XYpIJVhK1L8,87157,2023-02-05,0:12:56,1297
59,"VLOG : ""여기가 바로 진정한 천국인가요..?"" 싶었던 wonderfruit 2022 🍐🎇",https://www.youtube.com/watch?v=LqSqq5ds1oM,64911,2023-01-21,0:17:25,735
60,"GRWM : 요청 많았던 태국 친구들 첫 만남 썰 그리고 외국인 공포증, 외국인 친구 사귀는 법 ♥️",https://www.youtube.com/watch?v=dG7hPmDbaCs,55059,2023-01-13,0:22:04,782
61,"20대 후반이 돼서 진정으로 느낀 것들 : 멘탈 관리법, 연애 실패 극복, 자존감 높아지는 법, 남 눈치 안 보는 법 + 맥주 한 캔씩 필참 🍺",https://www.youtube.com/watch?v=dqsz4_o_XDw,89991,2023-01-09,0:28:14,2244
62,"VLOG : ""이게 바로 인생 사는 맛이구나"" 싶었던 Wonderfruit 2022 페스티벌 브이로그 🍐",https://www.youtube.com/watch?v=SJfR5nPDQVg,89168,2023-01-05,0:16:06,1079
63,태국 재벌에게 만난 지 하루 만에 다이아몬드 받은 썰 두번 째 💍🌹,https://www.youtube.com/watch?v=VV5kKthwT1Q,129862,2023-01-01,0:16:58,1799
64,중국 틱톡에서 본 것 같은 중국 예쁜 여자들 본 후기 풀며 나갈 준비하자 🔥,https://www.youtube.com/watch?v=e_BTzPk4ApU,67502,2022-12-26,0:16:15,710
65,태국 재벌에게 만난 지 하루 만에 다이아몬드 반지 받은 썰 💍 + 초고속 결혼 고백?! 🌹,https://www.youtube.com/watch?v=txTQFuY1bkM,247972,2022-12-20,0:17:40,3372
66,GRWM 나랑 같이 폭풍 수다 떨면서 나갈 준비하자 💄,https://www.youtube.com/watch?v=QiEbEQ6hj78,79262,2022-11-25,0:22:09,820
67,마라탕 먹고 +8kg 쪄서 끊으려고 했지만 포기한 기념으로 돌아온 마라탕 먹방,https://www.youtube.com/watch?v=TgObjrLG6ao,142899,2022-11-21,0:14:37,1179
68,보는 사람마다 “진짜 얼굴형 예쁘다…”소리 듣는 사람의 홈케어 얼굴형 관리 꿀팁 💎,https://www.youtube.com/watch?v=HVnc8dTVh6M,52238,2022-11-13,0:16:27,397
69,치앙마이 여행 브이로그 : 치앙마이에서 개미알로 만든 국 먹은 후기...🐜  (치앙마이 풀빌라 추천),https://www.youtube.com/watch?v=mP9AiuYhuiY,33943,2022-11-07,0:10:28,364
70,한순간에 100만 원 날리고 화나서 먹는 분노의 엽떡 먹방,https://www.youtube.com/watch?v=0sP67TGWSb8,316530,2022-10-24,0:09:22,2518
71,💸 평생동안 관리에 3천 이상 쓴 관리 중독자의 집에서 고가 물광 테라피 하는 법,https://www.youtube.com/watch?v=2pX3JxgmTOc,47940,2022-10-10,0:16:02,383
72,훈녀 겨드랑이라고 칭찬 평생 들은 사람의 겨드랑이 관리법 + 말 짱 많은 겟레디윗미,https://www.youtube.com/watch?v=UUuC366ml5U,338836,2022-10-07,0:19:10,4429
73,다이어트의 중요성: 먹고 싶은 거 다 먹고 지금보다+5kg 쪘을 때 먹방 음주 브이로그 🐷,https://www.youtube.com/watch?v=83DnamiYJZk,48060,2022-10-01,0:14:49,418
74,🇸🇬싱가포르 vlog 두 번째 :싱가포르 맛집 저만 따라오세요 + 뭉순임당♥️,https://www.youtube.com/watch?v=tm5jDrF_Z2M,34368,2022-09-27,0:15:30,369
75,💯 이 영상 올리기 5분 전까지도 쓴 삶의 질 수직 상승템 = 이것은 레전드,https://www.youtube.com/watch?v=GJwInTZDPoQ,61685,2022-09-22,0:15:55,886
76,🇸🇬싱가포르 vlog 첫 번째: 싱가포르 맛집 저만 따라오세요 + 뭉순임당♥️,https://www.youtube.com/watch?v=aw41oA5Qy8Y,35399,2022-09-21,0:12:51,386
77,발리하면 요가라면서요?🧘🏻‍♀️ 인생 첫 발리 프라이빗 요가 후기,https://www.youtube.com/watch?v=LVBfxuhGLTw,24942,2022-09-20,0:10:27,211
78,친구야 유럽 여행하며 달달 설렜던 이야기 듣고 갈래? (Feat. 모쏠 필수 시청‼️),https://www.youtube.com/watch?v=-RPiFDtQX-M,42679,2022-09-15,0:15:42,546
79,"너무 쉬워서 놀랄 수도 있는 효과 쩌는 목주름 관리법 (+ 얼굴형 관리, 탄력 관리)",https://www.youtube.com/watch?v=d8v-59OjBs0,382216,2022-09-08,0:17:50,9487
80,"먹방 브이로그 : 자취 인생 8년차 인생 우리 집에서 밥 먹고 갈래? (갓김치, 베이컨, 콘치즈 엽떡, 고추통닭, 계란말이)",https://www.youtube.com/watch?v=gmEvkEQlIlk,55585,2022-09-05,0:20:20,473
81,직업 만족도 최상‼️ 프리랜서 유투버의 태국 방콕 24시간 밀착 브이로그 (feat. 수분 만땅 물광피부 만드는 법),https://www.youtube.com/watch?v=cTPoteUrWRE,45611,2022-08-31,0:17:51,497
82,"ไทย)방콕 여행 vlog : 카오산로드 분위기 대리만족하기 (현지인 추천 핫플 술집, 차이나타운 백종원 맛집 후기)",https://www.youtube.com/watch?v=zTDIgNgiUR4,45637,2022-08-29,0:15:04,583
83,"혼자 하는 여행에 중독된 사람들의 해외여행 꿀팁 (외국인 친구 사귀는 법, 혼자 여행 외로움 극복하는 법, 환전 꿀팁, 해외 사용 카드 추천, 유심&로밍 추천)",https://www.youtube.com/watch?v=_cKvLQby_yI,47945,2022-08-25,0:26:11,772
84,"먹기 위해 사는 사람의 먹방 브이로그 : 한우 차돌박이 갈비살 토시살, 초계국수, 앙버터, 육쪽마늘빵, 한식 오마카세, 랍스타",https://www.youtube.com/watch?v=1Opq2VzBdMQ,49061,2022-08-21,0:28:48,532
85,화장할 때 틀어놓으면 친구랑 같이 수다 떨며 화장하는 느낌인 겟레디윗미 👭🏻(28살 인생 청순 유리알 틴트 추천 투쿨포스쿨),https://www.youtube.com/watch?v=QLOG2BzNh7A,89826,2022-08-16,0:21:28,935
86,"먹기 위해 전신지흡 한 사람의 요즘 제일 핫한 풀빌라가서 먹고 또 먹고 계속 먹는 브이로그 (티볼리 빌, 포천 맛집, 포천 여행)",https://www.youtube.com/watch?v=8mv5ymku12s,69062,2022-08-15,0:16:31,570
87,🇮🇩 발리 브이로그 마지막 : 발리에서 제일 핫한 비치클럽 어제 가고 또 갔어요 🔥,https://www.youtube.com/watch?v=f5hFyd_F14E,89228,2022-08-11,0:09:01,1105
88,"💸 5억 회원권 고급 골프 리조트 설해원 친구 덕에 호캉스 하고 온 날, 양양 서피비치, 청년다방 신상 (핫버터갈릭 옥수수튀김, 수비드 통닭 떡볶이 먹방",https://www.youtube.com/watch?v=Y0DY-jWTz24,109285,2022-08-02,0:20:21,763
