,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,프로 여행러의 여행 필수템! 추석 연휴에 여행 갈꺼죠? 준비물 챙겨가세요~  / 깡나,https://www.youtube.com/watch?v=gZBHO54Oq_o,15219,2023-08-31,0:16:50,331
7,별 거 안하는데 말 많은 Vlog l 이사 계약 완! l 운동하고 먹고 l 찐 데일리 메이크업까지 🚲/ 깡나,https://www.youtube.com/watch?v=UQSGP1PFSwA,15350,2023-08-24,0:19:40,299
8,수다 겟레디위드미🤗 현실적인 에프터 바캉스 케어 해봅시당 / 깡나,https://www.youtube.com/watch?v=uLqC6ikrX10,15056,2023-08-14,0:18:43,244
9,택배깡나 📦 I 택배 까다 늙고 지치는 중...백팩 이벤트 예고🩵 / 깡나,https://www.youtube.com/watch?v=XxEAkqS1S7s,64509,2023-08-09,0:23:48,862
10,드디어 레전드 레티놀 크림 공개💙 이니스프리 레티놀 시카 흔적 크림 I 레티놀 맛집에서 레티놀 덕후랑  일냈쥬? / 깡나,https://www.youtube.com/watch?v=a3qxZwyHWZg,30019,2023-07-22,0:10:32,453
11,2023년 상반기 결산 추천템 💜깡추템💜 찐코덕이 고르고 골라 왔슴다 / 깡나,https://www.youtube.com/watch?v=p48E4mcWQv8,103045,2023-07-21,0:18:30,1185
12,"(구독자 이벤트❤) 텍스처, 효능, 패키지까지 다 내가 고를 수 있다고 ㄴㅇㄱ?!/ 깡나",https://www.youtube.com/watch?v=ay-CoSvZmSU,13805,2023-07-15,0:08:29,140
13,"삶의 질 상승템💥 수중 이어폰, 부종 빼는 제품, 교정용 치실 I 안 보면 손해! feat. 부종 타파템 / 깡나",https://www.youtube.com/watch?v=NpQUWwd2jKY,32967,2023-07-11,0:12:23,745
14,궁금했던 신상으로 겟레디💕 +운전하다  봉변 당한 썰 / 깡나,https://www.youtube.com/watch?v=OsVVwnylDVs,30302,2023-07-04,0:22:24,497
15,문의 많았던 여름 필수템 다 알려드림💦 이거면 올여름 뚝딱^^! I 자외선 철통 방어템 I 여름용 화장품 / 깡나,https://www.youtube.com/watch?v=eG6UeKeCFic,40028,2023-06-26,0:16:04,704
16,"트러블,잡티,다크써클 커버까지 한 방에! ❌갈라짐 ❌무너짐 ⭕완벽커버 컨실러 만들어옴 🤗 / 깡나",https://www.youtube.com/watch?v=t1E5ZRQLDKQ,59067,2023-06-24,0:18:17,943
17,신상 다 써본 후! 업데이트 버전 올리브영 추천템🎨 소수 정예로 모셔봤습니다 / 깡나,https://www.youtube.com/watch?v=ZFP3tW5g-oI,40116,2023-06-06,0:11:19,661
18,"택배깡나 2탄📦 I 깡나 HUB 오픈🤗 장비 업글, 내가 콜라겐 고르는 방법, 자잘한 추천템들 / 깡나",https://www.youtube.com/watch?v=4QQsV8ZRimU,31345,2023-06-05,0:16:45,624
19,봄웜 찰떡🤗 시술 받았냐 오해 받는 요즘 데일리 메이크업🧀 올영 추천템 가득~~ / 깡나,https://www.youtube.com/watch?v=lLiVQPs58so,20803,2023-06-04,0:14:28,362
20,"돌고돌아 결국 순정! ""피부 예민러""라면 절대 놓치면 안 되는 에뛰드 기획전 공지 💦/ 깡나",https://www.youtube.com/watch?v=aZFh-KI0f_Y,10235,2023-05-28,0:08:58,160
21,택배깡나📦 I 택배 까느라 인생 절반 쓰는 사람 나야 나~ (부제 : 드디어 받았다. 실버버튼) / 깡나,https://www.youtube.com/watch?v=nFC44GTTKfQ,44062,2023-05-25,0:25:13,830
22,요즘 잘~ 쓰는 Favorite Item💜 /깡나,https://www.youtube.com/watch?v=f7xixEd5yOk,35835,2023-05-16,0:17:43,559
23,쌍수 효과?! 내돈내산 아이라인 문신 제거 생생한 후기👁️반영구 문신 후회하는 이유ㅠㅠ 신중하게 하세요 / 깡나,https://www.youtube.com/watch?v=XZWmkS01j1E,20351,2023-05-15,0:12:08,340
24,(EVENT) 신상 제품들 같이 사용해봐요! I 에뛰드 신상 최초 스포💟,https://www.youtube.com/watch?v=Jmv4Q_NWmBo,33062,2023-05-03,0:17:45,616
25,이벤트)깡추템+신상으로 하는 GRWM 마스크 벗은 기념 광채 메이크업! 영업 당할 준비하고 들어와요~~ / 깡나,https://www.youtube.com/watch?v=GrKjcTJlyRA,27865,2023-04-21,0:19:56,602
26,[핀란드 여행 VLOGII] 오로라 너무 많이 봐서 로또 살 거임 I 공포10+힐링90 브이로그 / 깡나,https://www.youtube.com/watch?v=09voTMN8F0w,9479,2023-04-20,0:25:21,219
27,"나 오로라 보고 왔다🤗인생 여행지, 북유럽 감성 듬뿍! 핀란드 여행 VLOG 1탄✴ I 헬싱키, 산타마을, 오로라 헌팅 / 깡나",https://www.youtube.com/watch?v=8785QFlUTV8,22858,2023-04-08,0:39:44,421
28,세상에 없던 역대급 비주얼 블러셔💗 무지개맨션 신상 피팅 블러쉬 전색상 발색&리뷰 / 깡나,https://www.youtube.com/watch?v=g7zMJoRUdfo,22889,2023-04-02,0:06:27,382
29,"갤럭시 S23 울트라로 찍은 브이로그 : 요즘 쓰는 기초, 파데 조합, 부종 제일 잘 빠지는 관리(?), 다이어트샵  / 깡나",https://www.youtube.com/watch?v=RZnoTF5uEZk,17812,2023-03-19,0:19:51,315
30,신상 립제품 품평회🤗 화장품 수다에 목 말랐던 코덕들 모여라~with 경선 / 깡나,https://www.youtube.com/watch?v=A7Yr-RoXR5Q,39365,2023-03-17,0:24:20,765
31,"[구독자 이벤트] 올리브영에서 N번째 재구매한 ""내 화장대 지박령템"" / 깡나",https://www.youtube.com/watch?v=ypvX_muRgZk,26889,2023-03-14,0:10:25,454
32,"홈케어 종결자, smts 마켓 공지💚 피부 고민 많은 사람 나 한번 믿어봐요🤗병맛 더빙 공지 / 깡마마카",https://www.youtube.com/watch?v=O4wE3ebFC_s,22821,2023-03-07,0:13:07,313
33,[택배깡나] 화장품 하울 같은 택배 언박싱! 올리브영 신상 다 턴 듯..?🛒 / 깡나,https://www.youtube.com/watch?v=XgSjVoGPsu0,49017,2023-03-04,0:25:19,718
34,[EVENT] 진정 스킨케어 하면서 2023년 신년 계획&목표 짜봐유 / 깡나,https://www.youtube.com/watch?v=YBNLlGOBd88,16613,2023-02-19,0:14:37,241
35,"오늘 하루치☝🏻  택배깡나📦 I 입생 신상 틴트, 에스쁘아 더슬릭 립스틱, 가방 진열대, lg 에어로퍼니처 등등 / 깡나",https://www.youtube.com/watch?v=idSPDsDfUqY,41319,2023-02-02,0:15:30,739
36,뉴욕 여행 짐싸기!! Pack with me✈️ I 1년 동안 쓸 물건이 있어야지 일주일을 버틴다 / 깡나,https://www.youtube.com/watch?v=dBITkgkVXBA,55160,2023-01-24,0:30:12,710
37,택배깡나📦  I 이런 거까지 산다고요?! ㄴㅇㄱ 새해 기념 역대급 지출했심다 I tmi 대잔치 / 깡나,https://www.youtube.com/watch?v=WdRctZJJeJs,48941,2023-01-14,0:23:43,826
38,"지금 당장 올리브영 가서 사야 할 스킨케어, 기초화장품! feat. 파워지성피부 I 올리브영 추천템 / 깡나",https://www.youtube.com/watch?v=Ns_bLm3RnE4,18351,2023-01-02,0:06:09,
39,커플화보 촬영 전날 같이 준비해용👰🏻🤵🏻 수정 화장 파우치 I 중요한 전날 스킨케어 I 결혼 1주년 기념 신혼부부 화보💗 / 깡나,https://www.youtube.com/watch?v=BdiJcL4IRwI,16412,2022-12-27,0:11:49,211
40,우윳빛 쌩얼피부를 위한 톤업크림 바르는 방법🥛 I 올리브영 톤업크림 추천템! / 깡나,https://www.youtube.com/watch?v=qnf5wZP8s74,25701,2022-12-19,0:09:30,264
