,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,💚올영세일 똑똑하게 이용하는 꿀팁 7가지💚 절대 실패없는 올영 추천템 모음🫒| 채르니Chaerny,https://www.youtube.com/watch?v=HgkRsgqSDkU,6610,2023-08-31,0:20:07,97
4,늦여름 to 초가을🍂 하체 통통녀의 딱 요즘 간절기 초가을 코디룩 ‧₊˚ 🍁 발레코어 미시룩 에슬레저룩 | 170cm 61kg | 채르니Chaerny,https://www.youtube.com/watch?v=p86KOEdlBmU,2591,2023-08-29,0:11:10,46
5,광고❌ 치과에 수천만원 쓰고 느낀 前교정러의 구강관리템 모음🦷 | 현실적인 치아관리 입냄새 박멸 | 구강세정기 추천 | 채르니Chaerny,https://www.youtube.com/watch?v=1JvMWRxtwfg,1275,2023-08-27,0:09:51,59
6,🧡웜vs쿨💙 웜톤 쿨톤 비교 메이크업 | 퍼스널컬러 자가진단법 | 웜 쿨 구별법 | 채르니Chaerny,https://www.youtube.com/watch?v=QnnAl9fO_iU,1962,2023-08-24,0:25:03,22
7,"MZ세대 퇴사, 그 이후의 삶👩🏻‍💻 수익공개 | N잡 파이프라인 | 속마음 토크 | 프리랜서의 하루 | 채르니Chaerny",https://www.youtube.com/watch?v=tP08S5Yn7Y0,2450,2023-08-21,0:24:15,49
8,"“뚱뚱→ 마름”으로 가면서 알게된, 나쁜 식습관 군것질 끊는 식단 꿀팁🥙 | 직장인 다이어터를 위한 식단 | 채르니Chaerny",https://www.youtube.com/watch?v=RmuUPeeh9kM,5352,2023-08-17,0:12:04,70
9,인스타에서 요청 폭발한!✨요즘 하는 화장법💗 | 채르니Chaerny,https://www.youtube.com/watch?v=sxFzQFhRiec,3410,2023-08-16,0:02:18,40
10,여름휴가 휴양지 코디룩🌴 여행 캐리어 짐싸기 꿀팁🧳 | 수영복👙🩱🩳 | 채르니Chaerny,https://www.youtube.com/watch?v=USiDCoUeIEs,4674,2023-07-26,0:24:12,57
11,66사이즈 하체 통통녀의 여름 쇼핑 하울🏄🏻‍♀️💚 만원이하 미친 가성비🔥 60kg 여름 코디 | 채르니Chaerny,https://www.youtube.com/watch?v=GkCJQX_4Kmo,4029,2023-07-17,0:11:15,76
12,지방흡입 3개월차 Q&A💪🏻 멍/붓기/회복기간/통증/부작용/효과 등 물어본 거 다 알려줌 | 채르니Chaerny,https://www.youtube.com/watch?v=QeByPpEUeEg,9183,2023-07-14,0:14:33,97
13,다이어트 도시락 추천해달라구요?🤔 n번째 내돈내산‼ 직장인 다이어트 갓성비+성분까지 다 잡은 단백질 도시락 추천 | 채르니Chaerny,https://www.youtube.com/watch?v=q_4Xb7enzk8,6579,2023-07-04,0:01:29,77
14,롬앤X산리오🐰 러블리 마이멜로디🎀💕vs 앙큼 쿠로미 메이크업☠️🖤 | 채르니Chaerny,https://www.youtube.com/watch?v=DM2kbGFEZac,2107,2023-07-02,0:01:54,38
15,-30kg 감량비결🔥 저 요요 온 거 다시 뺐어요😆 현실적인 다이어트 꿀팁 대방출💚(식단•운동•마인드셋) | 채르니Chaerny,https://www.youtube.com/watch?v=iZKaTmkF3rw,43846,2023-06-29,0:17:01,712
16,협찬/광고❌ 내돈내산! 레전드 촉촉 탕후루립💋 과즙맛집🍑 릴리바이레드 NEW 앙큼라이어 코팅틴트 리뷰 | 채르니Chaerny,https://www.youtube.com/watch?v=HV38kbSzYvM,2085,2023-06-21,0:04:13,26
17,🌦️내돈내산 헌터 레인부츠 언박싱 리뷰 | 장마철 레인부츠 코디☔️ | 채르니Chaerny,https://www.youtube.com/watch?v=iQw8s6sn4M4,3827,2023-06-20,0:01:13,25
18,유교걸 탈퇴합니다🔥10kg 감량 기념! 노출 가득 독기룩 도전기👙| 채르니Chaerny,https://www.youtube.com/watch?v=4gqjGQf2AYg,4963,2023-06-12,0:08:50,61
19,잘쓰는 헤어&바디케어 욕실템 추천🛁🧼 모공각화증 관리 | 올영세일추천| 향기 바디워시/로션 | 채르니Chaerny,https://www.youtube.com/watch?v=Et0_lpzn9W0,2343,2023-06-07,0:09:00,29
20,"인생 첫 성형, 팔/이중턱 지방흡입 브이로그💥 당일부터 2주차 후기까지 | 채르니Chaerny",https://www.youtube.com/watch?v=0fGLdzpGV0k,21044,2023-04-20,0:16:08,151
