,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,부산에서 여름 즐기기 | 부산 워터밤 클럽디 오아시스 워터파크 💦,https://www.youtube.com/watch?v=1NJ5HZW99R8,20959,2023-08-24,0:08:00,1568
1,8월 화보집 촬영현장 브이로그 | 모델의 촬영현장이 궁금해?!,https://www.youtube.com/watch?v=Z4dkOpnGMYE,16826,2023-08-11,0:07:12,940
2,2023 올여름 비키니 준비해 볼깡?! lookbook,https://www.youtube.com/watch?v=_smKTkRmpLs,46059,2023-05-24,0:05:12,1746
3,모델이 알려주는 봄맞이 에블린 lookbook,https://www.youtube.com/watch?v=FaLDSO1-Ges,33210,2023-04-14,0:08:01,1407
4,나른한 주말 퓨딩이랑 모닝 ☀️스트레칭,https://www.youtube.com/watch?v=1J__4hNo_P8,26270,2023-02-19,0:06:31,1419
5,올여름 비키니는 이거다!!👙비키니 부자 퓨딩의lookbook,https://www.youtube.com/watch?v=MuXuK2uyuKg,70600,2023-02-05,0:04:45,3204
6,내가 좋아하는 민트색 비키니 입고 👙풀빌라 vlog,https://www.youtube.com/watch?v=IVNnxIN9a3o,22544,2023-01-15,0:07:30,1122
7,빨간맛 퓨딩이의 연말 파티 lookbook🎄,https://www.youtube.com/watch?v=3Vq7-rDz2nQ,26983,2022-12-24,0:06:52,1335
8,11월 퓨딩 화보 촬영 하는날 💛그동안 고마웠어요,https://www.youtube.com/watch?v=0Nrn-JFF2Uo,40235,2022-11-23,0:04:00,1471
9,서울 초고가 한강뷰 아파트에서 하룻밤♥ #아크로서울포레스트,https://www.youtube.com/watch?v=YLEYQWBlfYQ,39375,2022-11-16,0:09:00,1435
10,할로윈 특집 다양하고 특이한 스타킹 lookbook🎃,https://www.youtube.com/watch?v=mN0zmwmgg4s,297820,2022-10-26,0:05:15,7806
11,인피니티 풀이 예쁜 곳에서 호캉스[ 그랜드 조선 부산],https://www.youtube.com/watch?v=trunRZuX_WA,35287,2022-10-19,0:11:05,1598
12,청순한 청바지룩 입고 보드 타기 🛹vlog,https://www.youtube.com/watch?v=9PoK7gQggXE,26968,2022-10-12,0:08:38,1259
13,10만원대 초저렴이 경주 풀빌라 다녀왔어요 #황리단길#불멍,https://www.youtube.com/watch?v=knESpuycNUo,30680,2022-09-28,0:10:09,1572
14,도전 !!!뉴진스 hype boy 커버댄스[100년만에 모인 댄스동아리 (•'╻'• )],https://www.youtube.com/watch?v=b3f8Csx7Vws,7790,2022-09-21,0:05:09,400
15,ep.2] 양양 바다 숨참고 스노클링 vlog,https://www.youtube.com/watch?v=c8LZtG7KFi8,151855,2022-09-07,0:06:42,3623
16,양양 탄비치 핫하다면서 ... 내가 제일 핫해,https://www.youtube.com/watch?v=W3p1S0AeNME,59293,2022-08-31,0:09:54,1983
17,핑크빛 노을과 달리기 #sunset,https://www.youtube.com/watch?v=pjHaXzTKaoQ,42878,2022-08-24,0:06:49,1941
18,광안리 핫핑크 비키니 퓨딩 역시 부산바다가 최고 👍🏻👍🏻👍🏻👍🏻,https://www.youtube.com/watch?v=UC2QXMpI_rQ,44860,2022-08-17,0:10:25,2507
19,나무꾼이 반해버린 🪓존예 !!역대급 선녀탕 풀빌라 vlog,https://www.youtube.com/watch?v=mAiYe1VEO5s,39651,2022-08-10,0:09:23,1917
20,상큼 터지는 퓨딩 8월 패트리온 화보 영상🍋,https://www.youtube.com/watch?v=jtBPY2wSnCQ,30342,2022-08-02,0:00:41,1208
