,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
4,같이 화장 지우자💋 (스킨케어 루틴),https://www.youtube.com/watch?v=8IjII2d0U-0,5047,2023-08-23,0:03:41,80
5,65kg 통통녀 가을코디🧶,https://www.youtube.com/watch?v=LmThXYmGqDc,55482,2023-08-21,0:06:31,705
6,65kg 통통녀 여름코디 룩북🩶,https://www.youtube.com/watch?v=ktD_aoNDL24,25805,2023-08-06,0:05:16,276
7,65kg 통통녀 여름코디 룩북🌿,https://www.youtube.com/watch?v=oluyZciMJ7M,43693,2023-07-21,0:05:37,403
8,통통녀 코디 어떤데?,https://www.youtube.com/watch?v=zeYjBcHS9Kg,31430,2023-07-14,0:05:23,334
9,65kg 통통녀 여름코디 룩북,https://www.youtube.com/watch?v=J_EUYnu5DsY,131520,2023-06-25,0:04:01,946
10,65kg는 여름에 뭐 입어?,https://www.youtube.com/watch?v=Js-lqh_Q_iU,34497,2023-06-16,0:05:01,366
11,65kg 통통녀 코디😎,https://www.youtube.com/watch?v=ogw67iNIqx8,36436,2023-06-04,0:04:49,354
12,65kg 통통녀,https://www.youtube.com/watch?v=H9ZxeEPqA7A,50945,2023-05-26,0:05:06,459
13,죄송합니다.. 사실 제 몸무게는요...!,https://www.youtube.com/watch?v=TBVCy8m0tV8,68945,2023-05-08,0:07:39,669
14,65kg 66사이즈 룩북입니다!,https://www.youtube.com/watch?v=whIRfnDWBNk,38240,2023-04-29,0:04:19,423
15,66사이즈 통통녀 룩북💟,https://www.youtube.com/watch?v=LXaRe2cfCgE,62306,2023-04-24,0:03:45,603
16,65kg는 봄에 뭐 입지?🤔,https://www.youtube.com/watch?v=J2agTHWPjZI,30811,2023-04-17,0:03:34,316
17,66사이즈 봄 코디 룩북🤎 (162cm 65kg),https://www.youtube.com/watch?v=4icInluAJIA,37385,2023-04-14,0:03:48,404
18,65kg 통통녀 봄 코디 룩북🌿,https://www.youtube.com/watch?v=IjOY-8hiCVI,53378,2023-04-06,0:02:15,473
19,65kg는 봄에 뭐 입지?,https://www.youtube.com/watch?v=tFEF_uGF15c,80128,2023-03-13,0:03:25,845
20,65kg 통통녀 봄코디 룩북🎧,https://www.youtube.com/watch?v=wQ4U-AbIdzk,209903,2023-03-08,0:02:13,2304
21,65kg 통통녀 봄 코디 룩북.,https://www.youtube.com/watch?v=sGbAOf7uqGA,137597,2023-02-28,0:01:56,1322
22,일본 여행 코디🎧,https://www.youtube.com/watch?v=NbyYZA3xh64,39056,2023-02-18,0:01:21,363
23,"어서와, 65kg 룩북이야",https://www.youtube.com/watch?v=zNMs-cMIQxs,132628,2023-02-05,0:04:04,1382
24,언니 코디 어떤데?,https://www.youtube.com/watch?v=40_0Le-y3IY,57336,2023-01-28,0:02:38,582
25,65kg 입니다.,https://www.youtube.com/watch?v=O6U1Y_A8QYE,50331,2023-01-20,0:04:06,448
26,"네, 저 65kg 맞아요!",https://www.youtube.com/watch?v=MRIxCVZKn1I,86846,2023-01-15,0:03:40,789
27,65kg 통통녀 코디 입니다. (진지),https://www.youtube.com/watch?v=iJwhpqme6H8,51040,2023-01-10,0:02:55,443
28,겨울에도 느낌있게 입자🥐🥖🍞 65kg 룩북,https://www.youtube.com/watch?v=YywWiVlu5mQ,37417,2023-01-10,0:02:30,333
29,65kg는 겨울에 뭐 입지?!☃️,https://www.youtube.com/watch?v=EQMRilRJX38,117705,2022-12-16,0:04:48,1283
30,하비언니 겨울코디 룩북🫶🏻 (162cm 65kg),https://www.youtube.com/watch?v=u2YhjSC2gkU,53722,2022-12-09,0:03:28,446
31,연말 파티룩 코디✨ 미리 메리크리스마스🎄,https://www.youtube.com/watch?v=hRQYm3g25ZY,54909,2022-12-04,0:04:59,601
32,65kg는 겨울에 뭐 입지?!🖤,https://www.youtube.com/watch?v=h8eYzpVQM_E,53402,2022-11-24,0:03:44,608
33,날씬해 보이는 겨울코디✨ (feat.66사이즈 통통녀),https://www.youtube.com/watch?v=_rPs33alq9w,55260,2022-11-17,0:04:07,581
34,65kg 통통녀 겨울코디 가즈아~!🔥,https://www.youtube.com/watch?v=4sGJzpXJbvs,58818,2022-11-10,0:03:08,662
35,[65kg 통통녀]날씬해 보이는 겨울코디🖤,https://www.youtube.com/watch?v=qigVn2TbYZ4,84721,2022-11-03,0:03:49,997
36,65kg 통통녀 체형커버 겨울룩북✨ (feat.66사이즈),https://www.youtube.com/watch?v=-oe_gdrSLso,44231,2022-10-27,0:03:58,527
37,65kg 통통녀의 초겨울 코디룩북🧶,https://www.youtube.com/watch?v=0YrWRmT2y6s,40810,2022-10-24,0:05:21,543
38,날씬해 보이는 가을코디🧶 (feat.65kg 통통녀),https://www.youtube.com/watch?v=dLYA13JSohU,92254,2022-10-14,0:04:35,1042
39,66kg 통통녀의 Hip한 요즘 코디🌱 (feat.세로룩북),https://www.youtube.com/watch?v=E_5kUXxA570,50618,2022-10-06,0:04:43,692
40,무드있는 가을코디🤎 (feat.66kg 하비언니),https://www.youtube.com/watch?v=V2ALtW52sHA,79320,2022-09-29,0:05:06,1278
41,66kg 통통녀는 가을에 뭐 입지?!🧶,https://www.youtube.com/watch?v=-G8eqTl2AVA,86637,2022-09-22,0:04:30,1235
42,66kg 통통녀의 가을코디 룩북🤎(feat.66사이즈),https://www.youtube.com/watch?v=FRolLzx3lYY,73318,2022-09-15,0:03:22,955
43,[66kg 통통녀] 체형커버 가을코디🧶,https://www.youtube.com/watch?v=DqZuGyFNYQg,78336,2022-09-08,0:05:05,1086
44,[162cm 66kg] 체형커버 가을코디 룩북🤎,https://www.youtube.com/watch?v=TyB6DXZo3Q4,101121,2022-09-01,0:05:52,1608
45,66kg 통통녀는 가을에 뭐 입지?!🍂,https://www.youtube.com/watch?v=VlUTnFwLtRk,89499,2022-08-25,0:04:29,1506
46,[VLOG]데이트 브이로그💗(feat. 모닝루틴ㅣ디올ㅣ언박싱ㅣ 백화점 라운지ㅣ압구정ㅣ호족반ㅣ하비언니),https://www.youtube.com/watch?v=9xAZLUbUOdI,24268,2022-08-22,0:08:14,277
47,보여줄게!! 66kg의 가을룩북❤️‍🔥 (66사이즈ㅣ여자쇼핑몰ㅣ데일리룩ㅣ니트코디ㅣ날씬해보이는코디),https://www.youtube.com/watch?v=KsqVTRMzYZc,59326,2022-08-18,0:04:52,884
48,가을준비 슬~슬 시작해야죠🍂 (66kg통통녀ㅣ66사이즈ㅣ간절기코디ㅣ데일리룩ㅣ룩북ㅣOUTFITㅣLOOK-BOOKㅣ여자쇼핑몰),https://www.youtube.com/watch?v=tbfhSNgM5Es,50181,2022-08-04,0:04:20,568
