,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
5,잔잔하게 다녀온 4박5일 후쿠오카 태교여행🍨 ep.1 (텐진 • 하카타 / 가성비 숙소추천 / 다이묘 쇼핑 / 맛집&카페),https://www.youtube.com/watch?v=TOV9ZhIEhQg,1982,2023-08-30,0:16:14,38
6,"vlog. 내돈내산. 캐논 파워샷v10으로 촬영한 브이로그!  더현대 쇼핑, 경의선숲길 맛집🍹 잘노는 16주 임산부일상, 임산부 패션 데일리룩",https://www.youtube.com/watch?v=Ym8Ro1lkG5Q,1682,2023-08-18,0:17:48,32
7,vlog. 임밍아웃.. 결혼 10년만 시험관아기 성공👼 임신 초기일상 • 쇼핑하울 • 데일리룩 • 피부회복템 추천,https://www.youtube.com/watch?v=4lX5SlBsQsc,3831,2023-08-09,0:19:39,108
8,"vlog. 알차게 채운 강릉여행🐬💙 실패없는 맛집, 분위기좋은 카페, 사근진 해변, 여름틴트추천 메이블린뉴욕",https://www.youtube.com/watch?v=_gEvOdTUERA,4270,2023-08-03,0:14:00,55
9,vlog. 여름일상🍑🤍 비즈 악세사리 만들기 • 홍대 빈티지쇼핑 • 집에서 매니큐어 • 재배한 루꼴라로 파스타 • 여름템추천 팁토우 토코보 토니모리,https://www.youtube.com/watch?v=Ug7_WXVatxk,2532,2023-07-24,0:15:24,44
10,vlog. 여름 ootd • 요즘 빠져있는 것들..♡ 후들후들 티셔츠 • 남동공단 떡볶이 • 먹태깡 • 베드락샌들 • 여름철 필수템 • 시세이도 동안세럼,https://www.youtube.com/watch?v=hXUxLNndqYU,2433,2023-07-06,0:18:49,41
11,비와도 예쁘게 입는법..♡ 10가지 레인부츠 코디☔ 장마룩 • 헌터 레인부츠 • 자라신상 • 여름패션하울 패션룩북 • 비오는날코디,https://www.youtube.com/watch?v=j74DTtHSDd8,3181,2023-07-04,0:08:16,73
12,vlog. 아디다스 삼바 결국 샀어요..👟 아르켓세일 • 가로수길 나들이 • 귀욤 잠옷구입 • 룰루레몬 • 여름데일리룩 • 메디필 리프팅앰플추천,https://www.youtube.com/watch?v=VVXexuP_3Ao,3228,2023-06-26,0:15:06,50
13,vlog. 여름맞이 폰케이스 • 식물구입🌱 연남동/한남동 쇼핑 • 폴로 빈티지 • 어썸니즈모자 • 보닐라츄러스 • 데싱디바,https://www.youtube.com/watch?v=YDlxJHhrzuU,2567,2023-06-12,0:25:13,43
14,SUMMER HAUL⛱ 내돈내산 여름 쇼핑하울! 세일정보♥ 티셔츠 • 원피스 • 미니스커트 • 바람막이 • 10가지 패션하울 여름룩북,https://www.youtube.com/watch?v=kecbFryzHg4,4035,2023-06-01,0:09:36,77
