,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
6,23년 가을 아우터 실패 없는 이거부터 사세요!,https://www.youtube.com/watch?v=ivwYhSF7MpM,71152,2023-08-30,0:05:57,1031
7,옷 가격 좀 내려!!! [23FW 신상 호수픽],https://www.youtube.com/watch?v=tjDObgTdKhs,53388,2023-08-28,0:05:58,1504
8,"나의 모발이식 1년 후기, 부작용 (+ 탈모 TIP)",https://www.youtube.com/watch?v=bPvLKHTrc0Q,23353,2023-08-23,0:11:54,511
9,"악세사리 꼭 필요한 것만 짚어줌! 💍                           + 가성비 팔찌, 목걸이, 반지, 시계",https://www.youtube.com/watch?v=R_i2ujEFV6w,54770,2023-08-10,0:12:02,1653
10,시즌오프 세일 털어봄❗️가성비 여름옷 추천,https://www.youtube.com/watch?v=mh5LfwbmSqg,30832,2023-07-06,0:06:48,272
11,요즘 뜨는 파마 추천 한다! [남자 머리 💇🏻‍♂️],https://www.youtube.com/watch?v=VvqS5CI21Tk,61545,2023-06-25,0:04:23,936
12,이 신발은 진짜 못 참겠다.. TOP7 👟,https://www.youtube.com/watch?v=Rq_FzEnc_Gw,39063,2023-06-21,0:06:55,558
13,"기본 ~ 포인트 인생 모자 추천!! 볼캡, 버킷햇",https://www.youtube.com/watch?v=gCg9kq7FnM4,28739,2023-06-13,0:06:39,432
14,여러분! 최애 반팔 니트 왔습니다~!! 🫶🏻,https://www.youtube.com/watch?v=QYVhe8ilYZg,60549,2023-06-12,0:05:40,854
15,여름 필살기 린넨셔츠! 요즘 반팔 누가 사?😛,https://www.youtube.com/watch?v=VwDoPGo8a1Y,54940,2023-06-06,0:03:33,755
16,여름 셔츠 25장! 👔 이래도 대충 살 거야?,https://www.youtube.com/watch?v=kYmFE3agkFI,140733,2023-05-29,0:10:04,3404
17,여름 근본 '반팔티’ 25개 실착 추천! 👕,https://www.youtube.com/watch?v=kTHV6i72D-k,131792,2023-05-20,0:14:35,3590
18,무신사에서 가장 맛있는 반팔 니트 골라줌!!,https://www.youtube.com/watch?v=SgYWYmzj2BQ,91451,2023-05-11,0:05:06,1284
19,23년 여름 기본템 종결 가이드 ver.🏝️,https://www.youtube.com/watch?v=NpaYrJLLnn8,156244,2023-05-07,0:09:30,3604
20,가성비 반팔티 5종! 여름 준비 합시다 🏝️,https://www.youtube.com/watch?v=cO_dlSEpBLE,53052,2023-04-21,0:05:36,653
21,남자의 필수 '치노팬츠' 20개 실착 추천!,https://www.youtube.com/watch?v=ON51Sr-iFnY,160863,2023-04-17,0:10:40,2869
22,"가성비 1등 카고팬츠, 파라슈트 대량 추천👖",https://www.youtube.com/watch?v=-q5yG-et0F4,58099,2023-04-14,0:05:55,958
23,"봄 필수 기본템, 긴팔티 대량 추천!!🙋🏻‍♂️",https://www.youtube.com/watch?v=9U7NcLap2Gs,55864,2023-03-28,0:05:18,1150
24,요즘 트렌디한 '가성비 구두' 추천! 👞,https://www.youtube.com/watch?v=4t3Bt_7yH5A,34477,2023-03-21,0:04:58,427
25,올해 최고의 셔츠 TOP 9 [👔 종결판],https://www.youtube.com/watch?v=mJsLHIrFkvA,69067,2023-03-18,0:07:15,1313
26,없으면 아쉬운 나의 인생 가방 모음!! 💼,https://www.youtube.com/watch?v=zXJm9myk5O4,46810,2023-03-16,0:06:59,729
27,캐주얼 봄 코디 감성 채워봅시다 - ! 🌸,https://www.youtube.com/watch?v=mNjJnoxP6vE,52706,2023-03-10,0:06:26,518
28,미친 '봄 아우터' 25개 실착 총정리!,https://www.youtube.com/watch?v=7dGrnkXBTfc,111412,2023-03-09,0:07:56,2361
29,상남자의 봄 아우터 추천 들어간다.,https://www.youtube.com/watch?v=JgcpwZIVNxk,73518,2023-03-03,0:05:29,784
30,마샬 메이저4 vs 에어팟 맥스 비교 코디 리뷰,https://www.youtube.com/watch?v=u_e08l6gBOw,25665,2023-03-02,0:03:54,205
31,올해의 '갓성비' 봄 아우터 딱 4종 !!,https://www.youtube.com/watch?v=lPwY1vYssDc,53598,2023-02-28,0:04:29,675
32,봄 꾸안꾸 필수템 딱 5종 추천!!,https://www.youtube.com/watch?v=dI9h40LFq78,64598,2023-02-25,0:07:02,825
33,파리에서 만난 폼 미친 한국 브랜드,https://www.youtube.com/watch?v=WSmfCZEFtzA,24551,2023-02-23,0:06:33,324
34,지갑 도둑 '유니클로 U' 가성비 미쳤네;,https://www.youtube.com/watch?v=1zU3cAD82L8,90736,2023-02-09,0:07:28,1228
35,봄 대비 기본 신발 챙겨봅시다!!,https://www.youtube.com/watch?v=7hm99LT69qw,60540,2023-02-03,0:06:03,694
36,인생 패션 아이템 딱 7개,https://www.youtube.com/watch?v=kZx7THeQQFA,110687,2023-01-31,0:06:04,2333
37,가성비 패딩으로 연말룩 찢어봄 🎄,https://www.youtube.com/watch?v=K4jvP_t39nQ,42358,2022-12-18,0:07:25,364
38,내 기준 역대급 신발 추천 👟 [월간 호수픽],https://www.youtube.com/watch?v=fVV5WFTKz7g,60547,2022-12-17,0:08:17,633
39,겨울 코디 실수 10개 ❌ 이렇게 망쳐??,https://www.youtube.com/watch?v=rbS2tcLvxuk,64315,2022-12-13,0:06:26,1144
40,내 최애 '캐주얼 맛집 브랜드' 자 드가자!,https://www.youtube.com/watch?v=zfg_SXH8TzA,51972,2022-12-02,0:07:01,555
41,몰라서 머리 망쳤던 꿀템 6개,https://www.youtube.com/watch?v=uOF5dfXFh7g,115724,2022-11-30,0:11:21,3608
42,"선물도 좋다!! 목도리, 장갑 대량 추천🧣🧤",https://www.youtube.com/watch?v=duHUeSu8gaU,60690,2022-11-28,0:08:48,842
43,꾸안꾸 '바지' 딱 4개 추천!,https://www.youtube.com/watch?v=q2sOGFJiydM,44385,2022-11-26,0:05:04,506
44,미친 '패딩' 30개 실착 총정리!,https://www.youtube.com/watch?v=23Y1uubCEFE,99001,2022-11-23,0:11:57,1515
45,"블프 세일, 저는 이거 사겠습니다",https://www.youtube.com/watch?v=v6SXG7mP_vk,52520,2022-11-17,0:04:52,555
46,여기 코트 세일은 환장하죠.,https://www.youtube.com/watch?v=Vr6qkvpDCbg,93134,2022-11-14,0:05:22,670
47,스파 브랜드 꿀템 '족보 유출',https://www.youtube.com/watch?v=9wPSajWZT0Y,38202,2022-11-13,0:06:02,515
48,스파 브랜드 겨울 꿀템 대량 추천!!,https://www.youtube.com/watch?v=dgrAlcvS6us,46748,2022-11-12,0:06:25,814
49,코트 하나로 일주일 끝!!  + (이너 추천),https://www.youtube.com/watch?v=le7nlfCNBFc,51468,2022-11-09,0:06:56,627
50,당장 입어볼 겨울옷 모음 .zip,https://www.youtube.com/watch?v=UTf1YVp3WZE,41935,2022-11-08,0:07:09,634
51,요즘 떠오르는 겨울 코디 (?),https://www.youtube.com/watch?v=h0antdbiUOg,42627,2022-11-04,0:08:10,584
52,올해 가성비 패딩은 이거!!,https://www.youtube.com/watch?v=Tvqpk7ULHFs,88361,2022-10-26,0:04:57,1046
53,역대급 코트 다 모았습니다!!!,https://www.youtube.com/watch?v=NekOn39PJZw,150012,2022-10-25,0:07:26,1874
54,코트 구매 전 꼭 보세요,https://www.youtube.com/watch?v=YYiGZoZcDys,98464,2022-10-20,0:04:40,1288
55,리셀 없는 신발 5종!! 👟 나만 신을래..,https://www.youtube.com/watch?v=xPWjk4nt3-g,69030,2022-10-17,0:06:00,1111
56,요즘 말 많은 브랜드 아이템,https://www.youtube.com/watch?v=3-6liQHc0A0,64116,2022-10-10,0:04:31,520
57,바지 4개로 가을 코디 씹어먹음,https://www.youtube.com/watch?v=2L9ni_Ju7LI,62404,2022-10-07,0:05:34,839
