,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
2,"2023년 선크림 1위 성분, 제조사, 자외선 차단 방식, 순한 썬크림 추천",https://www.youtube.com/watch?v=nE8Gf1tBW5o,633,2023-08-24,0:06:28,18
3,2023 수분크림 1위? 올리브영 크림 TOP2 비교 분석!,https://www.youtube.com/watch?v=85PwZb-60tQ,1356,2023-07-21,0:13:55,21
4,올리브영 토너 추천? 건성 여드름 피부를 위한 추천템!,https://www.youtube.com/watch?v=fMNwft7gYjc,466,2023-07-15,0:05:44,11
5,2023 립 메이크업 틴트 1위 TOP OF THE TOP 맥 파우더 키스 리퀴드 립컬러,https://www.youtube.com/watch?v=08MuqaNbVFE,344,2023-07-07,0:04:46,16
6,6월 올리브영 유기자차 선크림 추천 1위,https://www.youtube.com/watch?v=qgkWM9F5uD0,832,2023-06-27,0:03:28,16
7,선스프레이는 어떻게 자외선을 차단할까?,https://www.youtube.com/watch?v=57p7RDy2DbI,1979,2023-06-26,0:04:08,12
8,샤넬에서 한 가지 화장품만 구입할 수 있다면,https://www.youtube.com/watch?v=jsI7qQsYuuM,445,2023-06-19,0:03:41,19
9,탈모 초보를 위한 탈모약 입문 설명회,https://www.youtube.com/watch?v=WBh7DgeGyf4,400,2023-06-17,0:06:10,9
10,올영세일! 이건 꼭 사야해! 올리브영 세일 추천템 TOP1!,https://www.youtube.com/watch?v=XGIvipwrqLM,1391,2023-06-01,0:03:08,21
11,선크림 자외선 차단제 그냥 바르지 말까?,https://www.youtube.com/watch?v=Em-MPoffL1E,1093,2023-05-24,0:03:25,25
12,진짜 피부과 찾는 방법,https://www.youtube.com/watch?v=0tid1i4-lJM,783,2023-05-06,0:02:24,21
13,가득 담아도 3만원대 올리브영 필리밀리 브러쉬 추천 네고왕 세일,https://www.youtube.com/watch?v=NxHISTxy-LI,882,2023-05-04,0:04:00,15
14,2023년 1위 신기한 메이크업 피니쉬 파우더 추천,https://www.youtube.com/watch?v=KO09L0Gjhso,9842,2023-05-04,0:06:59,38
15,한 달에 2만원대 초간단 탈모 치료 미녹시딜 탈모약,https://www.youtube.com/watch?v=uADmU3menBk,533,2023-04-29,0:07:23,14
16,유기자차 무기자차 구분 방법? 달바 선크림 2가지로 비교!,https://www.youtube.com/watch?v=jUXgfCME0oI,10373,2023-04-23,0:06:02,57
17,2023년 선크림 1위는? 썬크림 10가지 성분 비교 분석! 자외선 차단제 그냥 이거 쓰세요!,https://www.youtube.com/watch?v=db1EFtLkAlg,11453,2023-04-14,0:12:38,107
18,도브비누 1위 비누로 머리감고 탈모와 지루성 두피염을 없애고 싶다면?,https://www.youtube.com/watch?v=xRp0ckCKuIA,3561,2023-04-06,0:08:10,47
19,질레트 가성비 면도기 딥클렌징바 현실적인 후기 언박싱,https://www.youtube.com/watch?v=PZyxKEy1k1c,12660,2023-04-01,0:01:19,21
20,2023년 1위 미스트 추천! 효과 사용법 뿌리는법 모두 공개!,https://www.youtube.com/watch?v=8JzT68190zM,6964,2023-03-28,0:06:13,53
21,올리브영 마스크팩 추천? 고민하지 말고 그냥 이거 쓰시면 됩니다!,https://www.youtube.com/watch?v=rmiRd97Pgsw,10999,2023-03-23,0:07:06,63
22,엘지프라엘 뷰티디바이스 리프팅기기 LG프라엘 더마쎄라 내돈내산,https://www.youtube.com/watch?v=F6iNV-TfAgo,4602,2023-03-12,0:03:39,49
