,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
7,총 12kg 감량한 핫걸 지망생인데여...💚💙 바디프로필 찍었습니다😎,https://www.youtube.com/watch?v=ZUXbkhXWL1E,220553,2023-08-30,0:22:08,4024
8,시부야 찐갸루✌언니한테 K-메이크업 끼얹으니🎀러블리즈 멤버가 됐는뎁쇼...?🥹😲(에뛰드 유료광고 포함),https://www.youtube.com/watch?v=GhL3QKg0rBE,216126,2023-08-25,0:11:17,4456
9,🎠세상에서 제일 작은 디즈니랜드? 홍콩 디즈니랜드 VIP 투어해봄! 🎉🎉,https://www.youtube.com/watch?v=_F9vu8xDZdQ,249827,2023-08-20,0:18:25,3532
10,🏰홍콩 디즈니랜드 갈 준비 같이 합시닷 ❤️덥고 습한 홍콩에서도 살아남는 메이크업!❤️ (feat.케이스티파이),https://www.youtube.com/watch?v=xaCOHQsEMjI,89964,2023-08-19,0:12:38,1434
11,70kg뚱떠히에서 10kg 감량했습니다리!❤️ 다이어트 비법 대공개🎉,https://www.youtube.com/watch?v=xYRtaQ2tp3k,385158,2023-08-12,0:13:33,5610
12,시술💉 음주🍺 운동🏋️ 자극에도 끄떡없는 내 청량 피부 케어법 소개를 시작하지💙,https://www.youtube.com/watch?v=i4YOPS0Q9P8,73025,2023-08-07,0:16:28,793
13,9월달에 출시할 회사원이 만든 화장품 살짝 보여드림,https://www.youtube.com/watch?v=ySOPWGxbC_M,137668,2023-08-05,0:12:14,3112
14,2편 🎆🎈 디즈니에 720만원 쓰면 캐릭터들이 나에게 인사박으러 옵니다...🤑🤑,https://www.youtube.com/watch?v=udmTmMMkEds,461661,2023-07-30,0:21:11,6606
15,🎆🎈720만원 태웠습니다💸세상에서 제일 비싼 디즈니랜드 VIP투어!도쿄 디즈니랜드 갔다옴 😨,https://www.youtube.com/watch?v=4p2rgLgXPA0,592253,2023-07-29,0:23:05,6888
16,🤡천하제일 망한 뷰티 대회🤡｜엉엉 울었습니다,https://www.youtube.com/watch?v=08ebrQM6BJk,104962,2023-07-22,0:14:44,1609
17,"130만원???💸사우나, 마사지, 럭셔리 호텔방, 냉탕, 온탕까지 원큐👍에 해결할 수 있는 스파 갔다옴💸",https://www.youtube.com/watch?v=X0G39X4LjAk,145024,2023-07-15,0:13:57,2209
18,나는 60kg넘으니까 속옷이라도 잘 입어서 덜 둔해보여야 한다,https://www.youtube.com/watch?v=IHa2UZzMt1g,558327,2023-07-09,0:11:04,9430
19,🤨다이슨 그동안 즐거웠고...👋쿠쿠에서 만든 드라이기? 핸드폰보다 가벼운 드라이기? 다~ 사서 비교해봤습니다💸,https://www.youtube.com/watch?v=gHYJMbRlmK8,322270,2023-07-08,0:18:29,3068
20,🌲나뭇잎 방맹이로 온 몸을 팡팡팡?🌲 핀란드식 사우나 하고 왔습니다리💚,https://www.youtube.com/watch?v=8ChLCtc0E7M,75413,2023-07-02,0:12:46,1249
21,당신이 선크림을 꼭 발라야하는 이유.. 피부가 바로 까맣게 타버림😱😱,https://www.youtube.com/watch?v=7tGgdbaeELs,64355,2023-07-01,0:13:55,787
22,의자 없이 🏖둥가둥가 해먹에서 💇‍♀️머리자르고 🧖‍♀️감겨주는 요상한 미용실😲,https://www.youtube.com/watch?v=FhXxBqthYYw,112125,2023-06-25,0:09:56,1845
23,55만원짜리 트리트먼트 하러 미용실 갔는데 왜 산소마스크 연결부터 하세요?🐱‍🏍｜도쿄 이너케어 헤어 클리닉,https://www.youtube.com/watch?v=az8WOl1WbRs,321186,2023-06-24,0:12:44,3359
24,"으아닛? 벌써 2023년의 절반이 지나갔다구?! 그래서 하는 상반기 정산템🎉 (광고X, 협찬X)",https://www.youtube.com/watch?v=ZByyaKHyVhg,200291,2023-06-18,0:18:08,2646
25,아니 그러니까 이러는 이유가 있을 거 아녜요?🤷‍♀️ ｜킹받는 틱톡 메이크업💋으로 풀 메이크업 해봄,https://www.youtube.com/watch?v=JsrZvYHcQ9k,141948,2023-06-17,0:12:00,1850
26,요상한 물건대회 ✨악세서리편✨ 과연1등은?!👑,https://www.youtube.com/watch?v=uJkt4SWPZOs,139602,2023-06-10,0:11:02,2298
27,✈️해외에서 인기라는 뷰티 디바이스? ✈️다 사서 리뷰해봄!,https://www.youtube.com/watch?v=FJEropk6jWc,106696,2023-06-04,0:14:52,1272
28,지구인들아 나에게 힘을 줘!!!🌞 산다라박 초사이언 머리 불꽃머리🔥 해체쇼쇼쇼｜힐링버드 유료광고,https://www.youtube.com/watch?v=BotssXWtOj4,61244,2023-06-03,0:10:05,640
29,💄케이콘 재팬 GRWM + (건물 사이에 피어난) 짧은 VLOG 🌹,https://www.youtube.com/watch?v=-aMFM9q5saM,63563,2023-05-28,0:12:39,797
30,홈 리프트업 루틴👼이걸 시작하고 울뛔라 뜌링크 생각이 안나게 되었습니다(진심),https://www.youtube.com/watch?v=k66eVo5jWOc,216885,2023-05-27,0:12:48,3140
31,😯머글 출입금지?! ｜자격증 있는 사람만 들어갈 수 있는 일본 미용 도매상💄 갔다옴,https://www.youtube.com/watch?v=B0m4irW8k_c,122141,2023-05-21,0:08:39,1721
32,"⏱5분만에 아이백이랑 눈가 주름을 없애주는 필러 화장품이라는데, 그게 되겠냐?😱 필러 화장품 3종 리뷰!💸",https://www.youtube.com/watch?v=GA-_qLVvSbQ,116410,2023-05-20,0:15:22,1104
33,🎊 인스타그램 알고리즘에 뜨는 물건 전부 다 샀습니다🙋‍♀️🙋‍♀️🙋‍♀️,https://www.youtube.com/watch?v=PYabApwpARA,352127,2023-05-14,0:19:11,4309
34,🏆세계 랭킹1등 💅네일살롱 한국에 있었다!!🎖,https://www.youtube.com/watch?v=f3QYmO7C64I,126186,2023-05-13,0:16:23,1656
35,사무실에 사우나♨️가 있다고??? 헬스🏋️‍♀️부터 사우나까지 풀코스로 돌려주는 부자 언니 클라스👍,https://www.youtube.com/watch?v=fJbYsHWzbhg,165646,2023-05-06,0:09:38,2258
36,어린이날 특집! 세상에서 제일 작은 화장품으로 화장 가능??,https://www.youtube.com/watch?v=SlbpX7ywADs,225468,2023-05-04,0:10:47,3855
37,👁LED속눈썹 연장 드디어 한국 상륙! 조선볼륨 디자인으로 💘아이돌 속눈썹st로 연장해봤습니다리,https://www.youtube.com/watch?v=I-S_IqVkrm8,263153,2023-04-30,0:14:11,2500
38,🎭코스프레 한국 챔피언!🏆️  마이부님 만나서 게임 캐릭터로 변신해봄💃💃,https://www.youtube.com/watch?v=WcY4pOAU8hk,228658,2023-04-29,0:15:57,3631
39,바쁘다 바빠 현대사회에선 뿌려서 화장을 한다? 민첩한 하루되세요 🏃💨💨,https://www.youtube.com/watch?v=ejBLDy-fOCs,285287,2023-04-23,0:12:52,3335
40,내가 탈모라니..😨😨 여성 탈모인들 일단 와보셈｜려 유료광고,https://www.youtube.com/watch?v=TFm3PwEV0Jo,97022,2023-04-22,0:18:30,1390
41,5년의 연애를 마쳤습니다.,https://www.youtube.com/watch?v=wX0OK5T2CLc,1105724,2023-04-21,0:09:16,9975
42,🤖인공지능계의 MZ 챗 GPT🤖가 시키는대로 화장해봤더니?!,https://www.youtube.com/watch?v=vSYGVaX_tos,170331,2023-04-09,0:17:40,2341
43,오다기리 히로 선생님에게✨일본 최신 트렌드 잡지 모델 메이크업✨받아 봄,https://www.youtube.com/watch?v=dMSba02hEQw,202271,2023-04-08,0:18:06,4328
44,🇦🇺  호주여행 혼자여도 ㄱ..괜..찮아(⌐■_■) | 호주,https://www.youtube.com/watch?v=tt5Fk-Ct5hc,66763,2023-04-01,0:17:57,841
45,안녕 04년생 애기들아~😘 06학번이라고 들어봤니? 한국외대🏫 슨배님의 샌액이 피부 프로젝트! (feat 홈토닝) | 아이오페 광고,https://www.youtube.com/watch?v=4LdliFi_7Mk,60613,2023-03-27,0:19:58,746
46,일본 닌자들은 이런 걸 먹는다고!? 닌자레스토랑🐱‍👤,https://www.youtube.com/watch?v=uSobj0037Ak,97887,2023-03-19,0:14:27,1851
47,❤️이렇게 된 이상 세상에서 제일 큐티빠띠한 40세가 되는 수 밖에 없또😘❤️23년차 로리타 모델과 만나서 변신 해 봄❤️,https://www.youtube.com/watch?v=q0FnoIuxEGw,273982,2023-03-18,0:12:18,5601
48,"💁‍♀️일본은 왜 이런 걸 바를까?..💁‍♂️ 한국 화장품, 일본 화장품 전격비교",https://www.youtube.com/watch?v=jtpootrLRBk,387534,2023-03-12,0:14:55,7388
49,😱 스틸레토 작품 네일 끝판왕 쌤에게 슈퍼 롱 네일 받아보고 왔습니다리~~😘,https://www.youtube.com/watch?v=fPjCPshmQdI,222472,2023-03-11,0:15:01,2710
50,06학번도 새내기야😜 대학교 상황별 개강룩북👖,https://www.youtube.com/watch?v=_QCruhQFky0,74564,2023-03-04,0:10:53,785
51,저는 여기 눕습니다🛌🛌🛌LG 프라엘 홈케어 신제품! 더마쎄라 한 달동안 써본 후기 ㅣ더마쎄라 유료광고,https://www.youtube.com/watch?v=OWtJLZOCbsw,106880,2023-02-25,0:18:33,818
52,★찐 갸루★가 해주는 ★찐 갸루★ 메이크업 받아보고 왔습니다리😭,https://www.youtube.com/watch?v=edHyxL7g9iM,452450,2023-02-24,0:12:50,8314
53,📣맞춤형 화장품 최종보스 등장이요📣 최첨단 K-뷰티란 이런 것이다! (◔д◔) 비스포크 에센스?!  | 커스텀미 광고,https://www.youtube.com/watch?v=QIBBO2Rnpa0,60236,2023-02-18,0:10:28,949
54,ㄴr 떠희쓰 37살인디...  일본 한 달 살기 하는데 왜 눙무리 나지...😭,https://www.youtube.com/watch?v=D-mlhZJd4KA,192960,2023-02-11,0:16:25,3378
55,일본 어학연수 1주차!✏️ 갓생 한번 살아보려구요😭 | 바이오힐보 광고,https://www.youtube.com/watch?v=7BIaqDVlGak,121756,2023-02-09,0:18:47,1781
56,세븐틴 승관 버논 민규님이 손미남으로 거듭난 비결!,https://www.youtube.com/watch?v=iMZMPkveyIA,234540,2023-02-05,0:17:28,3851
57,탑 아이돌들이 받는다는 퀵! 헤어관리가 있다고라?🧖‍♀️💇‍♀️ 케라스타즈 광고,https://www.youtube.com/watch?v=qzQ6wW1qDDo,104218,2023-02-04,0:15:14,1488
58,작년에 사놓고 이제야 생각나서 찍는 프라다 미우미우 하울&룩북👜👚👒,https://www.youtube.com/watch?v=XNgPIXXI9Do,134070,2023-02-03,0:15:37,1765
59,-6kg 감량완료! 23학번이랑 같이 학교 다녀야 되니까 회춘 프로젝트 시작합니다😱😱브링그린 광고,https://www.youtube.com/watch?v=o7DrAWk8wPk,149572,2023-01-31,0:10:35,1867
60,2023년 떠히 프사 메이크업 이렇게 했습니다리,https://www.youtube.com/watch?v=4Y5HBp6pL4w,241624,2023-01-21,0:13:57,3585
61,모래 속에 파묻히면 운동한거랑 비슷한 효과가 난다굽쇼?? 효소찜질 갔다 옴✌️회사원Ax토리든 광고,https://www.youtube.com/watch?v=MSjCBwx0rPU,143759,2023-01-15,0:13:50,1831
62,2023 일본 드럭스토어 근황 : 여기..한국 올영인뎁쇼??,https://www.youtube.com/watch?v=U9gubGAGb9w,266813,2023-01-14,0:21:01,3850
63,💙GRWM💙어학연수 갑니다리! 결심한 이유❤️대학 재입학 준비❤️헌팅 당한 썰❤️,https://www.youtube.com/watch?v=UpPPURqDIUc,323662,2023-01-08,0:14:20,4340
64,여기에 정착했습니다🛌연장으로 아이돌 속눈썹 쌉가능👍언더 속눈썹도 연장 가능‼️한 달 이상 유지되는 최강의 속눈썹 연장 👁LED속눈썹 연장,https://www.youtube.com/watch?v=v4a12CiQdy8,312124,2023-01-07,0:12:39,3990
65,새해 복 많이 받으세요🎊,https://www.youtube.com/watch?v=2_PpMk9F7Bs,80645,2023-01-01,0:08:04,1937
66,2022년 사길 잘한 물건들,https://www.youtube.com/watch?v=1CrtLfBE-Vk,239394,2022-12-30,0:10:22,3796
67,💎100만원 겔랑 캘린더💜60만원 입생 캘린더❤️100만원 디올 캘린더 한방에 뜯기,https://www.youtube.com/watch?v=6pswnKF7fI4,631938,2022-12-25,0:19:53,9110
68,안녕 나의 하루를 브이로그로 찍었는데 봐 주지 않겠니...?,https://www.youtube.com/watch?v=0djl4T1GXUw,123773,2022-12-24,0:12:42,1828
69,샤넬 레스토랑💎불가리 카페에서 야무지게 먹고옴,https://www.youtube.com/watch?v=0pvjoNb3YSI,184499,2022-12-18,0:19:18,2470
70,주얼리 브랜드 스와로브스키에서 나온 100만원짜리 어드벤트 캘린더,https://www.youtube.com/watch?v=4-K8_8mtRT0,584419,2022-12-17,0:10:36,8081
71,일본 유명 연예인은 전부 다~ 다니는 1회 300만원짜리 관리 받고 옴,https://www.youtube.com/watch?v=0qrVjUcMcMk,219028,2022-12-11,0:11:09,3915
72,🤵‍♂️집사카페 전세 내서 대접 받아버렸습니다...🕴내 항마력...😱황송함 어쩔티비...🫠,https://www.youtube.com/watch?v=FxNhcDx0gqg,687500,2022-12-10,0:18:53,16191
73,디즈니랜드🏰디즈니 크루즈🛳유니버셜 스튜디오🎡VIP투어 다녀왔으니 굿즈 하울 합니다리🧸,https://www.youtube.com/watch?v=uGHuh_z-O9s,132146,2022-12-04,0:08:49,1839
74,외람되지만 장원영이 되고싶었습니다...(재업),https://www.youtube.com/watch?v=fPhOuZyC5Oo,69196,2022-12-04,0:16:15,859
75,여성용 이발소라굽쇼⁉️ 전신 면도를 왜 받지?? 그래서 제가 받고 옴 💚김정문알로에 광고,https://www.youtube.com/watch?v=tUZk6hU1zKk,417652,2022-12-03,0:17:12,4019
76,올랜도 유니버셜 스튜디오 VIP투어로 다녀왔슴다리,https://www.youtube.com/watch?v=OnesOYW94b4,246187,2022-11-27,0:14:37,3734
77,🛀이거시 뉴노멀 사우나 문화인가...🧖‍♀️1인용 프라이빗 사우나 가따옴ㅇㅇ,https://www.youtube.com/watch?v=RpY5nAK1vm0,161263,2022-11-19,0:14:48,2047
78,🚢2편🛳디즈니 크루즈 손님만 들어갈 수 있는 캐리비안 섬🏝갔다옴 ❤️디즈니 크루즈 3-4일차 ❤️일리윤 광고,https://www.youtube.com/watch?v=790vWCQFl78,205172,2022-11-12,0:14:36,2818
79,🛳1편🚢바다 위의 디즈니 랜드‼️ 3박4일 디즈니 크루즈 여행 갔다왔습니다!!,https://www.youtube.com/watch?v=wZ1sxxzylbk,531995,2022-11-11,0:17:12,7901
80,💅일본 네일아트 1인자! 🏆세계 챔피언🏅쿠로사키 에리코 쌤한테 네일 받고 옴,https://www.youtube.com/watch?v=4KrYpQ4TjBE,874601,2022-11-05,0:15:34,9923
81,🇰🇷펄🇰🇷뉴욕 하이패션 네일 1인자!👍 는 한국인이라굽쇼?🇰🇷럭🇰🇷,https://www.youtube.com/watch?v=ykTSnwobBOo,291067,2022-10-22,0:11:58,5595
82,🇺🇸핵 불닭 매운 맛 🏝누드 리조트🏕 갔다왔는데요...또 가고싶슾셒다??,https://www.youtube.com/watch?v=Agk--IWL_ME,329222,2022-10-22,0:12:09,4806
83,천조국 재벌집 자제들이 이용한다는 VIP투어보다 한 단계 위! 하루 1000만원짜리 VVVVIP투어 갔다옴,https://www.youtube.com/watch?v=e3ogwU0HwxY,1283655,2022-10-16,0:23:02,16417
84,유니버셜 스튜디오 놀러가는 김에 요새 맨날 하는 메이크업으로 겟레디윗미 🌱달바마켓공지,https://www.youtube.com/watch?v=UQmkT0C1WH4,71745,2022-10-09,0:17:20,885
85,구찌 가방을 만 원에 파는 요상한 가게,https://www.youtube.com/watch?v=B56Ww4rkH0w,318740,2022-10-08,0:08:36,5740
86,🇺🇲어딘가에 있을거야... 미국에서도 개떡같이 안하는 네일샵...뉴욕7대 네일샵 갔다 옴,https://www.youtube.com/watch?v=pmbd5HYOOD8,225944,2022-10-02,0:10:09,3189
87,이사했슴닷! 룸투어,https://www.youtube.com/watch?v=sKKPeoZqNM4,293947,2022-10-01,0:12:18,3489
88,🇺🇲🇰🇷물속에서 마사지 받아보셨수?🏊‍♀️인간 해파리 물미역체험,https://www.youtube.com/watch?v=FBykhWiwURA,208948,2022-09-24,0:14:42,4793
89,브라만 바꿨는데...왜 날씬해 보이져??,https://www.youtube.com/watch?v=ai6kf6jUe5s,172657,2022-09-18,0:09:17,3207
90,글로벌 네일 국룰템💅스킨케어 근본템😻뷰티 디바이스 핫템🧖‍♀️싹 다 리뷰함 💙키엘광고,https://www.youtube.com/watch?v=N-xALwEDsB0,172429,2022-09-17,0:16:06,2236
91,세계 1등🏆네일 케어 달인에게 케어만 받았는데...내 손톱 왜 영롱하져?,https://www.youtube.com/watch?v=mhZzq_VPN2s,424732,2022-09-10,0:14:54,5196
92,에르메스 카페 디올 카페 가서 🙋‍♀️메뉴판에 있는 거 💥다 주세요!💥 해 봄,https://www.youtube.com/watch?v=m2urA1MU2UM,366767,2022-09-09,0:18:01,6093
93,디즈니랜드 보고있나?? 절대 꿀리지 않아~~에버랜드 VIP투어,https://www.youtube.com/watch?v=IVy18_dHEus,1136849,2022-09-04,0:14:44,14473
94,🛀개인용 사우나+🏊초대형 욕조+💆마사지까지 한 큐에 쌉가능??? 한옥호테..ㄹ.. 아니고🏡우리집이거든여?? 어퓨 광고,https://www.youtube.com/watch?v=CD3kHSx3boQ,96262,2022-09-03,0:12:46,1354
95,잘하는 네일샵 고르는 법,https://www.youtube.com/watch?v=KOtWISmR0yE,176733,2022-08-27,0:13:48,2741
96,인생 최대 피부 뒤집어짐 : 피부 사막화 됐는데요... 홈케어로 어떻게든 되돌려 보겠습니다... LG 프라엘 광고,https://www.youtube.com/watch?v=o-5ParZR7d4,152031,2022-08-20,0:12:19,1680
97,🇺🇲미국에서 사 온 짐머만 그리고 프라다 미우미우,https://www.youtube.com/watch?v=MxhkfpvnjVo,335684,2022-08-14,0:14:06,4333
98,🇺🇲미국 억만장자 화장품회사 사장이 지은 지하벙커에 사우나 수영장이 있다고??,https://www.youtube.com/watch?v=LGh_nG36-Ss,246540,2022-08-13,0:10:34,4109
