,youtube_id,comment,like_num,comment_date
0,OhMyDaisy521,사토루센세...아이시떼루..,84.0,1년 전(수정됨)
1,mmandu0987,"0:18 귀멸의칼날
3:15 주술회전
7:07 스파이패밀리
10:00 빨간머리 백설공주

애니 오타쿠의 세계로 함께 빠져보세요️",32.0,1년 전(수정됨)
2,uservj5bg6kn5i,"백설이 취향이시라면 새벽의 연화 추천합니다!! 특히 애니 보시고 만화책을 보셔야 해요ㅠ 로맨스+성장물, 여주가 진짜 갈수록 멋있어요! 근데 넷플에 없어요ㅠ
웃긴거 좋아하시면 극주부도, 월간순정노자키군 추천!
코타로는 1인 가구도 슬프면서 재미있어요.",33.0,1년 전
3,silverhand7785,어릴때는 진짜 이런 느낌들의 애니 잘 챙겨 봤는데 추천해주시는거 한번 보고싶어요!,1.0,1년 전
4,suxf4fe,애니추천 너무 좋아요!!ㅎㅎㅎ,0.0,1년 전
5,SYjb1ur,"로이드 포저…. 진짜…. 애니 사상 최고의
남자…. 
다정하고 잘 생기고 목소리도 좋고 
요리도 잘 하고… 진짜 사랑해요",7.0,1년 전
6,aecj4391,귀칼이랑 주술회전은 진짜 최소 3번씩은 봐야되여ㅠㅠㅠㅠ 약속의 네버랜드도 재미있어요!!!,7.0,1년 전(수정됨)
7,vuheejo196,이 언니 나랑 잘맞다 잘맞다 했더니 애니취향까지 맞아버리네,6.0,1년 전
8,syeunggg1296,"꺄 너무 재밌어요
저는 애니 잘 안보는 편인데 진격의 거인은 진짜 재밌게 보는 중이에요!! 2탄도 기대할게용️️",2.0,1년 전
9,userzh8co1dd4l,"꺄 데이지님 넘 귀여워영
데이지님 특유의 밝은 분위기 때문에 영상 보면 항상 기분이 좋아져요! 오늘 영상도 고맙습니당 잘볼께여",2.0,1년 전(수정됨)
10,userre8wm9qd1u,데이지님 약속의 네버랜드도... 띵작이에여.. 쫌 밝은내용은 아니지만 추천합니다,8.0,1년 전
11,usergc7sx4lv6k,다른사람이 귀칼 추천해도 별로재미없을거같아서 안봤는데 데이지님 리뷰보고 귀칼보고 일주일만에 다봤어요.. 넘재밌음 ㅠ 빨리 3기나왔으면,0.0,9개월 전
12,usergk8ii4zv4v,"주술회전, 스파이 패밀리 안 봤는데 꼭 봐야겠네요",1.0,1년 전
13,userbh8md3rq1b,"헿.. 넷플 애니 좋아하는 저는 이미 다 보아버렸..
힐링물 좋아하시면 나츠메 우인장, 코타로는 1인가구, 아노하나 추천!
코믹느낌은 극주부도, 암살교실(+감동), 카구야님은 고백 받고 싶어 추천!
나름 의미가 있는 애니는 나만이 없는 거리, 청춘 돼지는 바니걸 선배의 꿈을 꾸지 않는다☞청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다(시리즈) 추천!
이제 전 문호 스트레이독스와 이별의 아침에 약속의 꽃을 장식하자, 바이올렛 에버가든을 볼거야요..",10.0,1년 전(수정됨)
14,userfj2wd9ur5i,다 아는 애닌데 데이지님이 설명해주니꺼 다른 작품 같아여 ㅋㅋㅋ 보러 가야징 ㅎ.ㅎ,0.0,1년 전
15,userqv2et5ry5m,다 봤으니까 어서 2탄 주세여,1.0,1년 전
16,userdk6zs3pv1l,않이.....이거보고 주술회전 하루만에 다 봄 ㅋㅋㅋㅋㅋ눈빠지는줄.......2기 언제나오냐 진짜,4.0,1년 전
17,TVno5cz,왓챠랑 넷플이랑 합작하면 대박날텐데,0.0,8개월 전
18,jeong207,백설 젠도 좋지만 서브 오비...못 잃어... 흑흑 ㅠㅠㅠㅠ,8.0,1년 전(수정됨)
