,유튜버,월,term
13,@Mingokim,2022/08,
14,@Mingokim,2022/09,
15,@Mingokim,2022/10,
16,@Mingokim,2022/11,
17,@Mingokim,2022/12,
18,@Mingokim,2023/01,
19,@Mingokim,2023/02,
20,@Mingokim,2023/03,
21,@Mingokim,2023/04,
22,@Mingokim,2023/05,0.0
23,@Mingokim,2023/06,0.0
24,@Mingokim,2023/07,0.0
25,@Mingokim,2023/08,0.0
26,@yekooooong,2022/08,19.0
27,@yekooooong,2022/09,24.0
28,@yekooooong,2022/10,24.0
29,@yekooooong,2022/11,24.0
30,@yekooooong,2022/12,25.0
31,@yekooooong,2023/01,25.0
32,@yekooooong,2023/02,23.0
33,@yekooooong,2023/03,21.0
34,@yekooooong,2023/04,20.0
35,@yekooooong,2023/05,19.0
36,@yekooooong,2023/06,17.0
37,@yekooooong,2023/07,17.0
38,@yekooooong,2023/08,15.0
52,benny8282_nail,2022/08,11.0
53,benny8282_nail,2022/09,11.0
54,benny8282_nail,2022/10,11.0
55,benny8282_nail,2022/11,12.0
56,benny8282_nail,2022/12,13.0
57,benny8282_nail,2023/01,14.0
58,benny8282_nail,2023/02,14.0
59,benny8282_nail,2023/03,16.0
60,benny8282_nail,2023/04,15.0
61,benny8282_nail,2023/05,16.0
62,benny8282_nail,2023/06,17.0
63,benny8282_nail,2023/07,18.0
64,benny8282_nail,2023/08,19.0
65,bird 정은,2022/08,20.0
66,bird 정은,2022/09,16.0
67,bird 정은,2022/10,15.0
68,bird 정은,2022/11,14.0
69,bird 정은,2022/12,12.0
70,bird 정은,2023/01,13.0
71,bird 정은,2023/02,14.0
72,bird 정은,2023/03,14.0
73,bird 정은,2023/04,14.0
74,bird 정은,2023/05,15.0
75,bird 정은,2023/06,14.0
76,bird 정은,2023/07,15.0
77,bird 정은,2023/08,15.0
78,Coco Riley,2022/08,15.0
79,Coco Riley,2022/09,16.0
80,Coco Riley,2022/10,20.0
81,Coco Riley,2022/11,20.0
82,Coco Riley,2022/12,19.0
83,Coco Riley,2023/01,17.0
84,Coco Riley,2023/02,16.0
85,Coco Riley,2023/03,17.0
86,Coco Riley,2023/04,17.0
87,Coco Riley,2023/05,15.0
