comment,label
언니 화장 너무 잘해용,1   
언니 영상볼 때마다 옷 정보 궁금했는데 더보기란에 적어주셔서 감사해욤 ,1
당장 올리브영 가야해~~ 저도 금발이라 이번 메이크업 너무 좋아요>_<,1
진짜 제 모델이자 워너비 ㅠㅠ 사랑해요 언니 항상 언니같은 삶을 꿈만 꾸며 사네요 용기내서 처음 댓글 달아봐요 삶에 치이고 사람에 치이고 너무 많이 힘든 와중에도 언니 영상만 보면 너무 힐링 그 잡채에요 늘  응원합니당 전 오늘도 언니 영상 정주행하면서 잠에 들어볼께용ㅎㅎ,1
탈색 넘 고생인것 같아요ㅠㅠ 하지만 너무너무 잘어울리는 샌..,1
블론드도 잘어울리는 우리 새은언니~~ 항상 건강하고 평안하세요,1
메이크업 관리 영상 개조하ㅜㅜㅜ??? 생얼도 존예인 울언닝 ??,1
새은님 메이크업이 너무 예뻐요,1
You look stunning. We wish you all the best.,1
"드뎌 제가 원하던 언니의 메콥영상  전에 바닐라코쿠션 추천해주셔서 믿고 구매했어용 ! 쉐딩 진짜 좋아보여요
바르자마자 윤곽 빡 살아나는거 실환가..? 근데 이미 생얼부터 완성된 얼굴인데 어쩌지? 아니 근데... 생강이여서가 아니라 진짜 진심으로 너무 이뻐요 ㅠㅠ  언니 고데기 하실때 입으신 상의정보 알수있을까요??",1
포차코 삔 완전 귀엽당?울 언니 금발하니까 더 바비같애 역쉬 갓닐라코 ,1
"아니,, 원래 짱옌데 오늘영상 미모ㄹㅈㄷ임니더,,,,웜쿨 다 소화해버리는 샌엉니 ,,, ,,,,,,,,,,,,,,,,,,,,,",1
진짜 스모키 오져요,1
제 워너비예요?? 진짜 해보고싶은 꿀팁들이 가득한 영상 잘봤슴당,1
"안녕하새은~~~~
새은님 간사이 공항에서 본거 같은데. 
아는 척을 할 수가 없었어여. 
불편해 할 수도 있겠다 싶어 참았네요
긴가민가 했는데. 
아무리 생각해봐도 맞는거 같습니다.
영상보다 실물이 더 아름다우십니다.",1
멋있어여,1
"실제로 봐도 이르케 생기셔서 정말 놀라워요 여러부운,,,,,,믿기지 않는 얼굴 ㅜㅜ",1
새은님은 검정머리가 레전드^^,1
20:34 ふわふわで綺麗な?,1
뭐아....???쌩얼도 이쁘자나!!!,1
전 금발은 아니지만 대리만족하면서 봤어요 언니 ㅎㅎ 바비인형 같은 샌언니 ..,1
데님 부츠 정보 알고시퍼요ㅠ,1
생일이 일단 넘 이뻐서..,1
화장 진짜 ㅈㄴ잘한다..,1
이번 영상 미모 무슨일이에요... 너무 이쁘신거 아닌가욥???,1
렌즈정보부탁해요ㅜㅜ?,1
맨얼굴도이쁜귀요미씨,1
 아이 이뻐라아~~~~~~~~~~ ,1
"5:22
여기 나오는 팔레트 어디껀지 아시는 분 ㅠㅠ",1
언니 화장할때 니트 뭐예용?,1
자켓사이즈 알고 싶어요오 !!,1
언니 혹시 자켓 사이즈가 몰까요 ..? 너뮤 예뻐서 손민수 각 ..,1
너무 이쁘시네요 해리포터 젤리 먹방 리뷰 한번 해주세요,1
웅니. 저 심장이 멈춰버렸어요.,1
타이즈를 추천드려요,1
치마 너무 예뻐욤 정보 알수있을까욤?,1
조오오온Na 예쁘새은,1
언니 말씀하시는게 주현영같아여!!!,1
꺄??,1
세은님 니트입으신고 오니껀가효 ㅎㅎ,1
여전히 이쁘시긴 한데 뭔가 갈수록 인조인간 같아지심..예전이 진짜 예뻤는데,0
징짜 인간 바비…,1
미모의 축복이 끝이 없다 언니 이번 머리하니까 완전 갸루력 뿜뿜 근데 그게 또 넘나리 찰떡이야 ,1
금발 진짜 찰떡.. 흑발이 최고라 생각했는데 금발도 그만큼 최고예요..,1
