,Unnamed: 0,유투버,월,연도,평균 조회수,구독자
0,0,@Mingokim,8,2022,,
1,1,@Mingokim,9,2022,,
2,2,@Mingokim,10,2022,,
3,3,@Mingokim,11,2022,,
4,4,@Mingokim,12,2022,,
5,5,@Mingokim,1,2023,,
6,6,@Mingokim,2,2023,,
7,7,@Mingokim,3,2023,,
8,8,@Mingokim,4,2023,,
9,9,@Mingokim,5,2023,1444.0,1230.0
10,10,@Mingokim,6,2023,,
11,11,@Mingokim,7,2023,,
12,12,@Mingokim,8,2023,,
13,13,@yekooooong,8,2022,6035.333333333333,35700.0
14,14,@yekooooong,9,2022,11492.0,35800.0
15,15,@yekooooong,10,2022,,
16,16,@yekooooong,11,2022,,
17,17,@yekooooong,12,2022,,
18,18,@yekooooong,1,2023,7347.0,35900.0
19,19,@yekooooong,2,2023,4712.666666666667,35900.0
20,20,@yekooooong,3,2023,3798.5,35900.0
21,21,@yekooooong,4,2023,7727.5,35900.0
22,22,@yekooooong,5,2023,12351.0,36200.0
23,23,@yekooooong,6,2023,19637.75,36500.0
24,24,@yekooooong,7,2023,4605.5,37600.0
25,25,@yekooooong,8,2023,5818.0,39300.0
26,26,benny8282_nail,8,2022,2412.0,70500.0
27,27,benny8282_nail,9,2022,2580.3333333333335,70600.0
28,28,benny8282_nail,10,2022,1865.6666666666667,70600.0
29,29,benny8282_nail,11,2022,1775.0,70600.0
30,30,benny8282_nail,12,2022,1565.0,70600.0
31,31,benny8282_nail,1,2023,1644.0,70700.0
32,32,benny8282_nail,2,2023,1843.0,70900.0
33,33,benny8282_nail,3,2023,1203.0,71000.0
34,34,benny8282_nail,4,2023,4507.0,71200.0
35,35,benny8282_nail,5,2023,2270.0,71200.0
36,36,benny8282_nail,6,2023,1622.0,71400.0
37,37,benny8282_nail,7,2023,2448.0,71600.0
38,38,benny8282_nail,8,2023,766.0,71800.0
39,39,bird 정은,8,2022,,
40,40,bird 정은,9,2022,7116.8,35900.0
41,41,bird 정은,10,2022,13220.333333333334,35800.0
42,42,bird 정은,11,2022,8380.0,35800.0
43,43,bird 정은,12,2022,8070.0,35700.0
44,44,bird 정은,1,2023,6602.0,35600.0
45,45,bird 정은,2,2023,10257.0,35500.0
46,46,bird 정은,3,2023,19000.0,35600.0
47,47,bird 정은,4,2023,8042.5,35600.0
48,48,bird 정은,5,2023,6179.666666666667,36400.0
49,49,bird 정은,6,2023,,
50,50,bird 정은,7,2023,14879.0,36800.0
51,51,bird 정은,8,2023,8853.0,37100.0
52,52,Coco Riley,8,2022,,
53,53,Coco Riley,9,2022,,
54,54,Coco Riley,10,2022,8280.0,276000.0
55,55,Coco Riley,11,2022,,
56,56,Coco Riley,12,2022,,
57,57,Coco Riley,1,2023,7068.5,275000.0
58,58,Coco Riley,2,2023,4439.25,274000.0
59,59,Coco Riley,3,2023,7216.0,273000.0
60,60,Coco Riley,4,2023,6607.0,272000.0
61,61,Coco Riley,5,2023,12714.25,271000.0
62,62,Coco Riley,6,2023,3730.5,271000.0
63,63,Coco Riley,7,2023,10498.2,270000.0
64,64,Coco Riley,8,2023,3853.25,269000.0
65,65,COLIZET콜리젯TV,8,2022,17737.333333333332,108000.0
66,66,COLIZET콜리젯TV,9,2022,46511.0,110000.0
67,67,COLIZET콜리젯TV,10,2022,32574.333333333332,112000.0
68,68,COLIZET콜리젯TV,11,2022,35751.166666666664,112000.0
69,69,COLIZET콜리젯TV,12,2022,43542.833333333336,113000.0
70,70,COLIZET콜리젯TV,1,2023,203758.0,120000.0
71,71,COLIZET콜리젯TV,2,2023,36480.333333333336,128000.0
72,72,COLIZET콜리젯TV,3,2023,25465.75,137000.0
73,73,COLIZET콜리젯TV,4,2023,19023.0,139000.0
74,74,COLIZET콜리젯TV,5,2023,13629.2,139000.0
75,75,COLIZET콜리젯TV,6,2023,31875.0,139000.0
76,76,COLIZET콜리젯TV,7,2023,7775.0,139000.0
77,77,COLIZET콜리젯TV,8,2023,30826.5,138000.0
78,78,Coral코랄,8,2022,2470.0,3450.0
79,79,Coral코랄,9,2022,6940.0,3600.0
80,80,Coral코랄,10,2022,2248.0,3800.0
81,81,Coral코랄,11,2022,9287.0,3990.0
82,82,Coral코랄,12,2022,4249.25,4130.0
83,83,Coral코랄,1,2023,2283.0,4310.0
84,84,Coral코랄,2,2023,2267.0,4450.0
85,85,Coral코랄,3,2023,2695.3333333333335,4560.0
86,86,Coral코랄,4,2023,2466.0,4660.0
87,87,Coral코랄,5,2023,1507.0,4720.0
88,88,Coral코랄,6,2023,2278.0,4790.0
