유투버,월,충성시청자_비율,댓글 수,영상 수
@Mingokim,2022/08,,0.0,0.0
@Mingokim,2022/09,,0.0,0.0
@Mingokim,2022/10,,0.0,0.0
@Mingokim,2022/11,,0.0,0.0
@Mingokim,2022/12,,0.0,0.0
@Mingokim,2023/01,,0.0,0.0
@Mingokim,2023/02,,0.0,0.0
@Mingokim,2023/03,,0.0,0.0
@Mingokim,2023/04,,0.0,0.0
@Mingokim,2023/05,0.0,8.0,1.0
@Mingokim,2023/06,,0.0,0.0
@Mingokim,2023/07,,0.0,0.0
@Mingokim,2023/08,,0.0,0.0
@yekooooong,2022/08,0.16129032258064516,37.0,3.0
@yekooooong,2022/09,0.0,20.0,1.0
@yekooooong,2022/10,,0.0,0.0
@yekooooong,2022/11,,0.0,0.0
@yekooooong,2022/12,,0.0,0.0
@yekooooong,2023/01,0.08695652173913043,26.0,2.0
@yekooooong,2023/02,0.09803921568627451,60.0,3.0
@yekooooong,2023/03,0.13333333333333333,17.0,2.0
@yekooooong,2023/04,0.13636363636363635,26.0,2.0
@yekooooong,2023/05,0.11428571428571428,40.0,2.0
@yekooooong,2023/06,0.14516129032258066,72.0,4.0
@yekooooong,2023/07,0.14814814814814814,33.0,2.0
@yekooooong,2023/08,0.15384615384615385,139.0,6.0
benny8282_nail,2022/08,0.0,7.0,2.0
benny8282_nail,2022/09,0.14285714285714285,8.0,3.0
benny8282_nail,2022/10,0.0,5.0,3.0
benny8282_nail,2022/11,0.0,2.0,1.0
benny8282_nail,2022/12,0.0,2.0,1.0
benny8282_nail,2023/01,,0.0,1.0
benny8282_nail,2023/02,0.0,2.0,1.0
benny8282_nail,2023/03,0.0,2.0,1.0
benny8282_nail,2023/04,0.0,10.0,2.0
benny8282_nail,2023/05,0.16666666666666666,14.0,3.0
benny8282_nail,2023/06,0.0,3.0,1.0
benny8282_nail,2023/07,0.0,4.0,1.0
benny8282_nail,2023/08,0.0,2.0,1.0
bird 정은,2022/08,,0.0,0.0
bird 정은,2022/09,0.19327731092436976,302.0,5.0
bird 정은,2022/10,0.22727272727272727,58.0,3.0
bird 정은,2022/11,0.21568627450980393,77.0,5.0
bird 정은,2022/12,0.05263157894736842,20.0,1.0
bird 정은,2023/01,0.0,15.0,1.0
bird 정은,2023/02,0.0,17.0,1.0
bird 정은,2023/03,0.0,39.0,1.0
bird 정은,2023/04,0.06451612903225806,33.0,2.0
bird 정은,2023/05,0.3181818181818182,31.0,3.0
bird 정은,2023/06,,0.0,0.0
bird 정은,2023/07,0.0,14.0,1.0
bird 정은,2023/08,0.0,11.0,1.0
Coco Riley,2022/08,,0.0,0.0
Coco Riley,2022/09,,0.0,0.0
Coco Riley,2022/10,0.14705882352941177,41.0,3.0
Coco Riley,2022/11,,0.0,0.0
Coco Riley,2022/12,,0.0,0.0
Coco Riley,2023/01,0.22033898305084745,82.0,4.0
Coco Riley,2023/02,0.2631578947368421,54.0,4.0
Coco Riley,2023/03,0.22857142857142856,51.0,4.0
Coco Riley,2023/04,0.15789473684210525,74.0,2.0
Coco Riley,2023/05,0.125,75.0,4.0
Coco Riley,2023/06,0.2702702702702703,56.0,4.0
Coco Riley,2023/07,0.21818181818181817,86.0,5.0
Coco Riley,2023/08,0.16279069767441862,55.0,4.0
COLIZET콜리젯TV,2022/08,0.10714285714285714,32.0,3.0
COLIZET콜리젯TV,2022/09,0.1,57.0,3.0
COLIZET콜리젯TV,2022/10,0.14383561643835616,179.0,3.0
COLIZET콜리젯TV,2022/11,0.12,181.0,6.0
COLIZET콜리젯TV,2022/12,0.1223021582733813,167.0,6.0
COLIZET콜리젯TV,2023/01,0.0,98.0,1.0
COLIZET콜리젯TV,2023/02,0.07894736842105263,83.0,3.0
COLIZET콜리젯TV,2023/03,0.12857142857142856,84.0,4.0
COLIZET콜리젯TV,2023/04,0.025,42.0,2.0
COLIZET콜리젯TV,2023/05,0.14285714285714285,96.0,5.0
COLIZET콜리젯TV,2023/06,0.07692307692307693,43.0,2.0
COLIZET콜리젯TV,2023/07,0.0,13.0,1.0
COLIZET콜리젯TV,2023/08,0.11538461538461539,29.0,2.0
Coral코랄,2022/08,0.13333333333333333,17.0,2.0
Coral코랄,2022/09,0.05263157894736842,20.0,2.0
Coral코랄,2022/10,0.09090909090909091,12.0,2.0
Coral코랄,2022/11,0.0,21.0,1.0
Coral코랄,2022/12,0.2,18.0,4.0
Coral코랄,2023/01,0.0,8.0,1.0
Coral코랄,2023/02,0.0,6.0,1.0
Coral코랄,2023/03,0.15384615384615385,30.0,3.0
Coral코랄,2023/04,0.0,12.0,1.0
Coral코랄,2023/05,0.2222222222222222,11.0,2.0
Coral코랄,2023/06,0.13333333333333333,17.0,2.0
Coral코랄,2023/07,0.14285714285714285,24.0,2.0
Coral코랄,2023/08,0.125,9.0,2.0
DAISY 데이지,2022/08,0.09345794392523364,123.0,5.0
DAISY 데이지,2022/09,0.0684931506849315,78.0,2.0
DAISY 데이지,2022/10,0.04854368932038835,217.0,3.0
DAISY 데이지,2022/11,0.0574468085106383,502.0,3.0
DAISY 데이지,2022/12,0.11290322580645161,142.0,4.0
DAISY 데이지,2023/01,0.05263157894736842,40.0,2.0
DAISY 데이지,2023/02,0.09259259259259259,61.0,3.0
DAISY 데이지,2023/03,0.11578947368421053,115.0,5.0
DAISY 데이지,2023/04,0.046153846153846156,414.0,4.0
DAISY 데이지,2023/05,0.05263157894736842,20.0,1.0
DAISY 데이지,2023/06,0.05128205128205128,85.0,3.0
DAISY 데이지,2023/07,0.12931034482758622,143.0,5.0
DAISY 데이지,2023/08,,0.0,0.0
DrDr,2022/08,,0.0,0.0
DrDr,2022/09,,0.0,0.0
DrDr,2022/10,,0.0,0.0
DrDr,2022/11,,0.0,0.0
DrDr,2022/12,,0.0,0.0
DrDr,2023/01,0.0,14.0,2.0
DrDr,2023/02,,0.0,0.0
DrDr,2023/03,,0.0,0.0
DrDr,2023/04,,0.0,0.0
DrDr,2023/05,,0.0,0.0
DrDr,2023/06,,0.0,0.0
DrDr,2023/07,,0.0,0.0
DrDr,2023/08,,0.0,0.0
Hazel하정,2022/08,,0.0,0.0
Hazel하정,2022/09,,0.0,0.0
Hazel하정,2022/10,,0.0,0.0
Hazel하정,2022/11,,0.0,0.0
Hazel하정,2022/12,,0.0,0.0
Hazel하정,2023/01,0.0,14.0,1.0
Hazel하정,2023/02,0.0,5.0,1.0
Hazel하정,2023/03,0.0,1.0,1.0
Hazel하정,2023/04,,0.0,0.0
Hazel하정,2023/05,,0.0,0.0
Hazel하정,2023/06,,0.0,0.0
Hazel하정,2023/07,,0.0,0.0
Hazel하정,2023/08,,0.0,0.0
"hello,jiyoung안녕하신지영",2022/08,,0.0,0.0
"hello,jiyoung안녕하신지영",2022/09,0.14285714285714285,16.0,3.0
"hello,jiyoung안녕하신지영",2022/10,0.0,6.0,1.0
"hello,jiyoung안녕하신지영",2022/11,0.09090909090909091,24.0,3.0
"hello,jiyoung안녕하신지영",2022/12,0.07692307692307693,14.0,4.0
"hello,jiyoung안녕하신지영",2023/01,0.14285714285714285,8.0,2.0
"hello,jiyoung안녕하신지영",2023/02,0.0,6.0,1.0
"hello,jiyoung안녕하신지영",2023/03,0.031746031746031744,67.0,4.0
"hello,jiyoung안녕하신지영",2023/04,0.09090909090909091,24.0,3.0
"hello,jiyoung안녕하신지영",2023/05,0.03333333333333333,32.0,4.0
"hello,jiyoung안녕하신지영",2023/06,,0.0,0.0
"hello,jiyoung안녕하신지영",2023/07,0.34782608695652173,39.0,6.0
"hello,jiyoung안녕하신지영",2023/08,0.18181818181818182,29.0,4.0
HYEBBEUM혜쁨,2022/08,0.0,22.0,1.0
HYEBBEUM혜쁨,2022/09,,0.0,0.0
