,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,DEAR ME BEAUTY SERUM LIP TINT | SWATCHES | TRY ME REVIEW ME,https://www.youtube.com/watch?v=RRoeh-aKS_s,570,2022-12-24,0:02:39,
1,EASY MAKEUP TUTORIAL | TIKTOK VIDEO,https://www.youtube.com/watch?v=NqLjJrZZ2Tg,81,2022-07-13,0:02:47,
2,SKINCARE REMAJA MULAI DARI 20RIBUAN | REVIEW,https://www.youtube.com/watch?v=l5KKNDEkWrQ,57,2021-12-26,0:06:52,
3,MAC X LISA BLACKPINK | TRY ME REVIEW ME,https://www.youtube.com/watch?v=v-RLWR68-PE,1797,2021-11-30,0:09:41,
4,BEST COSRX PRODUCT RECOMMENDATION | MUST WATCH BEFORE BUY!!,https://www.youtube.com/watch?v=UuhEIHI14Nw,339,2021-10-28,0:10:43,
5,KULIT CERAH DALAM 2 MINGGU | REVIEW SKIN1004 MADAGASCAR CENTELLA TONE BRIGHTENING,https://www.youtube.com/watch?v=slsXMIfVlpE,5155,2021-08-27,0:08:26,
6,SKINCARE ROUTINE FOR ACNE SKIN | STEP BY STEP,https://www.youtube.com/watch?v=ZrQZSt2_5jo,135,2021-05-19,0:10:10,
7,PENTING GAK SIH DOUBLE CLEANSE WALAUPUN DIRUMAH AJA | GIMANA CARANYA DAN HARUS PAKAI APA??,https://www.youtube.com/watch?v=6BzMKIcB750,84,2021-05-12,0:07:06,
8,NOTE COSMETICS FROM TURKEY | ONE BRAND MAKEUP TUTORIAL & FIRST IMPRESSION,https://www.youtube.com/watch?v=8uDGjrujH8k,236,2021-03-09,0:10:27,
9,NEW CUSHION INSTAPERFERCT BY WARDAH | FULL REVIEW,https://www.youtube.com/watch?v=BOP9quZa5lw,906,2020-04-10,0:08:06,
10,NEW INNISFREE LIGHT FIT CUSHION [TRY ME REVIEW ME],https://www.youtube.com/watch?v=iH-wBdEqMc4,4613,2020-02-25,0:10:33,
11,MAYBELLINE SENSATIONAL LIQUID MATTE [REVIEW & SWATCHES],https://www.youtube.com/watch?v=wmka0hJZ9G8,3239,2019-12-20,0:11:04,
12,TIPS & TRICK MAKEUP KE KAMPUS PAKAI PRODUK LOKAL | MAKEUP TUTORIAL,https://www.youtube.com/watch?v=6y3Yt0OW2dY,439,2019-10-10,0:09:57,
13,TRY NEW PIXY COSMETICS COLOREINVENTION [FIRST IMPRESSION & MAKEUP TUTORIAL],https://www.youtube.com/watch?v=nsiCPW5fjFU,778,2019-08-18,0:09:35,
14,NYOBA DRESKIN PRODUK KOREA BARU [FIRST IMPRESSION],https://www.youtube.com/watch?v=0vtA1_JtbCE,3586,2019-07-24,0:15:03,
15,MAKEOVER POWERSTAY DEMI MATTE COVER CUSHION IMPRESSION [TEST SELAMA 12 JAM],https://www.youtube.com/watch?v=PP5zJGaPNbU,960,2019-07-03,0:12:45,
16,LUXCRIME LE REVEUR ULTRA LIPMATTE [SWATCH & REVIEW],https://www.youtube.com/watch?v=bDWAPWtiAxk,2737,2019-06-14,0:10:46,
17,Ikut ke Event Laneige | Makan Makan di Summarecon Mall Serpong,https://www.youtube.com/watch?v=4Xt4lqHdFz0,353,2019-02-25,0:06:00,
18,Valentines Makeup Tutorial | Tips and Trick Makeup | Stylekorean & DOKU e-Wallet,https://www.youtube.com/watch?v=wKv8g10_dcI,712,2019-02-12,0:14:49,
19,Easy Korean Makeup feat Stylekorean and DOKU,https://www.youtube.com/watch?v=TBgQiZf6s2M,1072,2019-01-04,0:08:25,
20,BB Glow setelah 5 kali Treatment,https://www.youtube.com/watch?v=yvQdo5VDSAY,125567,2018-10-10,0:10:28,
21,Luxcrime x Tokopedia | Shafa Harris - Titan Tyra - Rachel Goddard,https://www.youtube.com/watch?v=Id4O13IiwGw,17071,2018-09-27,0:11:02,
22,My Hair Routine | How to Get Smooth Shiny Hair,https://www.youtube.com/watch?v=cQKtjfyPgG8,720,2018-08-29,0:11:23,
23,Sonic Facial Cleansing Brush Spin & Clean Review | How to Clean My Makeup,https://www.youtube.com/watch?v=XWvkFTCQ_oA,487,2018-07-06,0:15:28,
24,UNBOXING Produk Terkini dari STYLEKOREAN | Try Me Review Me,https://www.youtube.com/watch?v=vb5BlkiAn8g,592,2018-06-29,0:14:19,
25,BERL Cosmetics Lip Cream Matte Swatch & Review | Try Me Review Me,https://www.youtube.com/watch?v=B0ZST2PNZPQ,12313,2018-05-31,0:08:46,
26,QL Cosmetics Nude Lip Matte Series Swatch | Try Me Review Me,https://www.youtube.com/watch?v=hFp_FlFkPcA,33999,2018-05-20,0:09:12,
27,BLP Lip Stain Swatch and Review | Try Me Review Me,https://www.youtube.com/watch?v=GZMauVamUz0,23787,2018-04-22,0:07:40,
28,Holy Lip Series Looke Cosmetics | Try me Review Me,https://www.youtube.com/watch?v=Rv2vEzIDQlw,738,2018-03-21,0:08:44,
29,QL Cosmetics Eyebrow Cream | Try Me Review Me,https://www.youtube.com/watch?v=vYcbdznRULk,1667,2018-03-17,0:05:52,
30,#TRAVELVLOG Singapore 2018,https://www.youtube.com/watch?v=aVS_1DqNn34,525,2018-03-06,0:05:09,
31,3 Ways to Style Short Hair with NYU Hair Color,https://www.youtube.com/watch?v=ynAzX3hw5v8,8524,2018-02-27,0:04:37,
32,Try Me Review Me New Product from QL Cosmetics,https://www.youtube.com/watch?v=2gye9fFVg0c,1426,2018-02-02,0:14:53,
33,Maybelline THE POWDER MATTES | 19 lipstick Swatches & Review | TORTURE TEST CHALLENGE,https://www.youtube.com/watch?v=W8-2lPOWdkk,1348,2017-12-09,0:10:11,
34,QL Cosmetics Lip Cream Matte | Swatches & Review,https://www.youtube.com/watch?v=lxXBkRugXzw,7891,2017-12-03,0:11:43,
35,ZAP Beauty Lip Matte First Impression & Swatch,https://www.youtube.com/watch?v=UQmFbh3lZcc,5660,2017-10-25,0:04:41,
36,V 10 PLUS | Try Me Review Me,https://www.youtube.com/watch?v=ggXWl69KGNk,356,2017-10-24,0:10:06,
37,Recreate Tasya Farasya Makeup | Challenge,https://www.youtube.com/watch?v=oLt7pfei0oE,1236,2017-10-11,0:08:40,
38,My Husband Does My Makeup | Challenge | Hisafu,https://www.youtube.com/watch?v=_iiqlfEY3mQ,1549,2017-09-30,0:07:54,
39,Maybelline The Loaded Bolds 12 Shades First Impression,https://www.youtube.com/watch?v=d9siBVB6Hn8,2869,2017-09-22,0:08:05,
40,Selfie Color at Irwan Team Salon PIK Avenue | Hisafu Vlog,https://www.youtube.com/watch?v=Hz5flAvC2f8,1339,2017-09-21,0:07:29,
41,MAD Long Nails Makeup Challenge | Mad For Makeup | Hisafu,https://www.youtube.com/watch?v=mNtWlPSJ4tY,2072,2017-09-18,0:11:00,
42,PIXY Lip Cream Nude Series | Try Me Review Me,https://www.youtube.com/watch?v=usbguD5GCsg,4459,2017-09-05,0:07:05,
