,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"가을 신상템들로 ""올드머니 beauty"" 스킨케어부터 패션까지 🩵🫧",https://www.youtube.com/watch?v=al9hsuaeC7E,4774,2023-09-20,0:12:25,
1,나의 삶을 한층 Upgrade 시켜준 상반기 잘썼다템! #쿠팡 #올리브영 #스몰럭셔리 #2023결산템 🩵,https://www.youtube.com/watch?v=N6YVsIny5Ow,9784,2023-08-26,0:13:41,
2,요즘근황 브이로그 ❤️ 연프 출연? 나의 과거? 인간 관계? 하루 먹방? and GRWM! 🎀,https://www.youtube.com/watch?v=zM1VG9BNVwk,14357,2023-08-12,0:18:10,
3,3월일상모음zip/히피펌고데기/cider옷하울/요즘하는메이크업/엄마랑꽃이랑 나무사러/노탄수연어롤/레몬오이물,https://www.youtube.com/watch?v=FYHiBWAuDkA,13617,2023-03-10,0:14:18,
4,"요즘 트렌드라는 건 다 사 본 봄옷 하울 👚👗👠 ZARA,구찌,낫유어로즈,그로브waar,etdemain, rrace, tillidie ..",https://www.youtube.com/watch?v=f5T0XcPWQ1k,15528,2023-02-28,0:07:50,
5,드디어 마스크 해제!! 😷 모공을 싹싹 가려주는 역대급 쿠션 추천! 🤍 이벤트 있어요 😺 #인생템,https://www.youtube.com/watch?v=SNTIyai1C1A,11155,2023-02-11,0:08:03,
6,"GRWM 요즘 하는 고민들, 생각들 같이 얘기하면서 나갈 준비 해요! ❤️‍🔥 #TMI #자존감회복? #요즘하는생각들#30대의끝자락 #2022년추천템",https://www.youtube.com/watch?v=b7OEXilHBDw,13996,2023-01-16,0:24:16,
7,163cm/52kg 겨울 패션 하울 ❄️ Zara.난닝구.타임.더캐시미어. 같이 입어봐요 🤍,https://www.youtube.com/watch?v=gk7fQq17viU,16389,2022-11-25,0:11:16,
8,24hr VLOG ❤️‍🩹 쇼핑하고 집밥 만들어 먹고 폴댄스 타다가 꿀피부 만들어 주는 홈케어 까지..🌟/코스트코.바나나브륄레.고양이간식.가을스킨케어.폴댄스 🍌,https://www.youtube.com/watch?v=PvgOMK3IuFw,14624,2022-10-29,0:17:51,
9,나의 10월 추천템 / 이건꼭사세요쿠션.요즘립조합.가을향수.레그워머.예쁜니트.스커트추천 등등..,https://www.youtube.com/watch?v=nvE6y3_O-uU,14159,2022-10-18,0:14:03,
10,마켓컬리 N년차의 재구매템/추천템 #건강하고 #맛있는 #다이어트간식 #최고의오트밀크를찾아서 #밀키트 #크래커 등등등,https://www.youtube.com/watch?v=BVvVrEzQZ04,29351,2022-10-02,0:22:08,
11,ᴄʜᴀɴᴇʟ #요즘핫한 #신상 #샤넬레인부츠 #22백 하울 + #미국마트 #세포라 #traderjoes,https://www.youtube.com/watch?v=1mlrKfa3t1M,16759,2022-09-27,0:23:58,
12,같이 메이크업 하고 가을 옷 입어봐요! 🍁 자라/cider/w컨셉/추천템/MBTI바뀜/우울증극복?/요즘하는생각들...,https://www.youtube.com/watch?v=yGeu7AAbQE4,17090,2022-09-07,0:32:05,
13,나 혼자 산다 👩🏻 20평대 아파트 구경오세요! ❤️‍🔥 with 🐱🐱 #집사라이프 #랜선집들이,https://www.youtube.com/watch?v=QOaSUcr4Xnw,18536,2022-08-23,0:13:18,
14,"역대급 크기,무게의 샤넬백 언박싱❗️❗️ + 여름 필수템으로 가득한 what's in my bag? 🎒 #샤넬언박싱 #샤넬선글라스 #데오도란트 #아로마롤온 #넘버5샤워젤",https://www.youtube.com/watch?v=JXGh718T2FQ,16885,2022-06-18,0:15:35,
15,"택배뜯기,인스타 인기(?) 초콜렛라떼, 마켓컬리, 요리 그리고 잡담들..",https://www.youtube.com/watch?v=m4cxwRAV1_Y,13611,2022-06-12,0:16:56,
16,여름 준비 🌿 5월에 구입한 이것저것들.. #여름향수 #여름원피스 #디올선글라스 #바디케어,https://www.youtube.com/watch?v=lPspDprYA3w,12195,2022-06-04,0:17:47,
17,요즘 사는 얘기 하면서 같이 메이크업 해요 🌴 #5월최애템 #GRWM #데일리메이크업 #코랄살몬,https://www.youtube.com/watch?v=1e9KO3OKsuA,14906,2022-06-01,0:14:31,
18,"Living alone AGAIN! 🧚‍♀️ 저 또 이사했어요! 🏡 이런저런 수다,잡담../자라홈하울/코스트코와인/레몬버터파스타/넷플릭스",https://www.youtube.com/watch?v=_z4UjnnT_RE,15482,2022-05-25,0:19:39,
19,인터넷 쇼핑 하울/162.52kg👗/W컨셉/서쿠키/그로브/오버듀플레어 등등,https://www.youtube.com/watch?v=6F4d2a9q5i0,16449,2022-04-21,0:13:45,
20,A day in my life 💓 Night routine 🌙 그로서리쇼핑/봉골레파스타/환절기스킨케어/grwm+ootd,https://www.youtube.com/watch?v=MI4C8z_LAho,11979,2022-04-13,0:12:48,
21,2월 하울 & 추천템 👛💄👡 샤넬19백/ 원피스/ 파운데이션 / 블러셔/ 립라이너/ 치약 등등,https://www.youtube.com/watch?v=2GLJVcgMY0k,19898,2022-02-21,0:17:35,
22,가을 패션 하울 + 데일리 룩 🍂 기본템 가득/가디건/트위드/니트/캐시미어/레더쟈켓/블라우스.. 21개 아이템 👚👖,https://www.youtube.com/watch?v=1BJVAeginjA,21194,2021-10-06,0:15:16,
23,"🛍 𝒄𝒉𝒂𝒏𝒆𝒍 𝒉𝒂𝒖𝒍 🛍 가을-겨울 신상 가방, 신발, 악세사리 같이 뜯어봐요 !",https://www.youtube.com/watch?v=aqhCS_qiDhE,20815,2021-08-24,0:04:54,
24,30대 N년차 뷰티유튜버의 하루..⭐️ 주름관리/그릭요거트 in 복숭아/예쁜와인bar추천/소확행/INFP,https://www.youtube.com/watch?v=9a4qD_RBdJ8,17650,2021-07-20,0:12:49,
25,같이 메이크업 하면서 수다 떨어요! 👻윤곽주사/승모근보톡스/속눈썹펌/샤넬 염색/112 신고썰까지.. 다사다난했던 한주 😵,https://www.youtube.com/watch?v=uKsnNjRtpZo,19808,2021-07-02,0:25:04,
26,디올 악세사리 추천템 ✨ 같이 뜯어봐요! 😀 바이저/귀걸이/반지/벨트/뮬/삭스..,https://www.youtube.com/watch?v=wbHUOtnNzZo,34017,2021-06-24,0:10:08,
27,🌻 Daily Beauty Routine with California Almonds 🌻,https://www.youtube.com/watch?v=t1MoqeZUTxI,9248,2021-06-18,0:07:48,
28,"163/55 현실몸매의 인터넷 쇼핑 하울 😂 /자라, 앤아더스토리즈, W컨셉, 홀리스터, 메이메이 등등 #여름룩북",https://www.youtube.com/watch?v=EfDTMhxY5Dc,75483,2021-06-05,0:06:41,
29,물욕 폭발 💥2000만원 하울 👀롤렉스 데이저스트/프라다 버킷햇/디올 목걸이/여름 머리띠 추천,https://www.youtube.com/watch?v=mXf0WZ-drMY,40193,2021-05-21,0:13:02,
30,A day in my life + 요즘 데일리 메이크업 GRWM/청담SSG 장보기/샤넬 woc 염색,https://www.youtube.com/watch?v=iai9AY93Zck,29138,2021-05-15,0:16:26,
31,🏡 HOUSE TOUR / 랜선집들이 / 10년 된 70평형 아파트 리모델링 했어요!,https://www.youtube.com/watch?v=EGCGnhHSvO8,36781,2021-04-30,0:09:58,
32,Spring has Sprung 🌷 봄 추천 원피스 👗 블러셔 🌸 향수 🧚🏼‍♀️ 9가지 하울,https://www.youtube.com/watch?v=_M6gRSQuatI,19733,2021-04-20,0:10:44,
33,"새 집에서의 첫 브이로그 [룸투어,외출준비,풀드포크샌드위치] First Vlog in my new room 💖",https://www.youtube.com/watch?v=1oHJQtTrP7Q,32683,2021-04-08,0:17:45,
34,"[ENG] 봄/간절기 패션하울 👗👙👑 샤넬 신발, 디올 악세사리 언박싱 ✨",https://www.youtube.com/watch?v=ZpyL7BDLjuM,20925,2021-03-09,0:13:33,
35,what's in my bag/모닝루틴/커피머신/파스타만들기 등등 요즘 내가 좋아하는 것들 모음 [달바 ppl 포함],https://www.youtube.com/watch?v=Qf5QeqbsSRE,19988,2021-02-20,0:15:18,
36,가디건 하울 + 투명 복숭아 메이크업 🍑👗앤아더스토리즈/For love and lemons  직구,https://www.youtube.com/watch?v=Pc6__wb4PBs,25784,2020-12-25,0:22:14,
37,집순이의 첫눈 온 날 집콕 브이로그 ⛄️ #홈케어 #앙버터붕어빵 #굴밥 #새로운취미 #좋은습관들이기 #힐링,https://www.youtube.com/watch?v=2gXisH2_rYI,15470,2020-12-18,0:10:43,
38,[VLOG] 마지막 FLEX /오래된 샤넬 가방 복원염색/취향저격 쇼핑몰 발견/스몰 토크 with wine 🍷,https://www.youtube.com/watch?v=D4liGi-hlDk,27266,2020-12-11,0:24:20,
39,"가을 패션 하울 🍂 / 요즘 산 것들 같이 입어봐요/ 대부분 자라, 프라다 부츠, cos 니트, 목걸이",https://www.youtube.com/watch?v=wQcn7VLwGRM,32158,2020-10-03,0:07:52,
40,요즘 근황 💛 집순이 브이로그 / 물욕 넘치는 요즘 🥺,https://www.youtube.com/watch?v=r6bCZ42wpfU,17088,2020-09-26,0:07:02,
41,[ENG] 플라워 가득가득한 여름 패션 하울 🌼 #로맨틱 #여신룩 #제작원피스 Summer Fashion haul 🌸,https://www.youtube.com/watch?v=ZpHs97rdvKo,19638,2020-06-25,0:12:59,
42,의식의 흐름대로 수다 떠는 겟레디  ❤️ #근황토크 #추천템 #스킨케어 #추억의베네틴트 #3CE디즈니,https://www.youtube.com/watch?v=RRnQb27nzls,18820,2020-05-12,0:19:51,
43,맛있어서 자꾸 시키게 되는 다이어트 추천템 👙 #마켓컬리 #토망고 #떡볶이 #베지누들,https://www.youtube.com/watch?v=Z6hNcuWI-wU,31378,2020-04-29,0:14:07,
44,"루이비통 언박싱 🎁 + 이제 곧 초여름 🌻고급스러운 코디, 옷 하울 👗✨✨",https://www.youtube.com/watch?v=80QT63SGs2A,28800,2020-04-17,0:09:23,
45,GRWM 봄 데일리 메이크업 🍑 #살구 #립조합 #지속력 👍🏻 #봄신상 #다이슨 #같이준비해요,https://www.youtube.com/watch?v=ujm3_BqkSHY,26118,2020-04-10,0:15:54,
46,[VLOG] 내츄럴와인/오로라테이블/SSG/서리태스프레드/꽃배달/집순이 VLOG 🌷,https://www.youtube.com/watch?v=7EeXNgWGe4I,22888,2020-04-04,0:22:57,
47,"🍒홈웨어,체리탑,플라워프린트,체크 🍒봄에 입으면 예쁜 옷 하울 🌻",https://www.youtube.com/watch?v=_FFWQYznmNY,25599,2020-03-27,0:16:25,
48,특별한 거 없는 집순이의 하루 #하우스투어 #마켓컬리 #달고나커피 #혼자놀기 #vlog #housetour,https://www.youtube.com/watch?v=BDoZOa_O8E8,37383,2020-03-14,0:23:16,
49,봄 트렌드 하울 /뉴트럴 얼씨/ 블라우스 슬랙스 가디건 + 파스텔 도트탑 Spring Fashion Haul,https://www.youtube.com/watch?v=z28q0F4Vchg,26144,2020-03-10,0:14:40,
50,스트레스엔 메이크업 하울 💘#로드샵 #어뮤즈 #롬앤 #헤라 #미샤 #에뛰드하우스,https://www.youtube.com/watch?v=KfBiuxB3kDA,22857,2020-03-03,0:14:41,
51,봄 트렌드 다 모아 놓은 봄신상 하울 👚🌸🤍  #솜사탕 #퍼프소매 #데님 #오프숄더 #스퀘어넥,https://www.youtube.com/watch?v=7M6RFFz50dc,33115,2020-02-24,0:11:29,
52,"3CE 신상 누드에디션, 에스티로더 액트포 사용해서 같이 메이크업 해요! 💜#여쿨뮤트 #여쿨라이트",https://www.youtube.com/watch?v=VIqYW0x_eBo,25858,2020-02-17,0:15:50,
