,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,편한옷 패션하울! 임부복만큼 편한옷 추천! 여름옷 같이 쇼핑해요 / 하이맵시 맵시어워즈 성공옷vs실패옷,https://www.youtube.com/watch?v=-y5DEF8dt18,955,2022-07-07,0:10:18,
1,"마켓비 셀프인테리어 드레스룸 투어! 근데 이제 키작녀 패션하울을 곁들인..(위드윤,폴로,무아무아,버버리 명품백)",https://www.youtube.com/watch?v=VNhC1zktdQI,1430,2021-08-22,0:10:37,
2,"택배 언박싱 하울! 여름 화장품, 옷 패션하울 (프라다 명품백,프롬비기닝, 마리끌레르 썸머박스,쿠팡) / 하이맵시",https://www.youtube.com/watch?v=jISK3NDbDFQ,1180,2021-06-28,0:08:51,
3,"맨투맨 추천&후드티 추천! 브랜드 고민 끝~ 패션하울 (키르시,꼼파뇨,퍼즈 베스트는?)",https://www.youtube.com/watch?v=zMsEMJYj0yY,3019,2021-02-28,0:09:43,
4,패션하울! 키작녀 바지원정대 겨울 바지 하울 (모든프로젝트 인생바지 추천) / 154cm 하이맵시,https://www.youtube.com/watch?v=z0KHgAvb638,3095,2020-12-13,0:06:22,
5,"브랜드 패딩 추천! 잘 산 패딩vs잘못 산 패딩 하울 (숏패딩,롱패딩? 키작녀 고민 끝) / 하이맵시 맵시어워즈 패션하울",https://www.youtube.com/watch?v=okG-DsWZ1Cw,17631,2020-12-06,0:08:21,
6,"겨울 기모 2~5만원대 맨투맨 하울! 서울스토어 스웻셔츠,맨투맨 브랜드 추천 / 하이맵시",https://www.youtube.com/watch?v=apr4g51wRp4,997,2020-11-26,0:06:15,
7,"갓성비 디자이너브랜드 가방! 5~10만원대 중저가 가방 하울 (두마딴,디어니스,돈키,엘바테게브) / 하이맵시",https://www.youtube.com/watch?v=u8n2AuSDixA,4395,2020-11-15,0:06:13,
8,"데일리 악세사리 하울! 다니엘웰링턴 여자시계,팔찌,목걸이 소개 / 하이맵시 신비한 맵시상점",https://www.youtube.com/watch?v=ZF3qSkp8A1w,2856,2020-11-12,0:04:04,
9,"드레스룸 소개! 마켓비,이케아로 셀프인테리어한 드레스룸 투어 할래? / 하이맵시 옷장",https://www.youtube.com/watch?v=hzIr4Tbkcqw,7038,2020-11-10,0:08:49,
10,스파오 패션하울! 160cm 이하 바지추천 / 154cm 하이맵시 키작녀 코디,https://www.youtube.com/watch?v=YOVEqSkQOCg,6865,2020-10-30,0:07:05,
11,"패션하울! 가을,겨울 지금 딱 입기 좋은 디자이너브랜드 옷 (디어드,게이트리스,핑크파인애플)/ 154cm 키작녀 하이맵시",https://www.youtube.com/watch?v=H-KGYgEmRoA,836,2020-10-25,0:06:46,
12,패션하울 여자 슬랙스 코디! 인생바지 추천 / 154cm 키작녀 하이맵시 바지원정대,https://www.youtube.com/watch?v=kNqFC9asG8U,10686,2020-10-18,0:07:16,
13,남자친구 선물 가격대별 추천 베스트6 (남친?남편! 선물 준비 이거면 끝) / 하이맵시,https://www.youtube.com/watch?v=w0jY3fmOOUM,2315,2020-09-27,0:07:47,
14,패션하울 바지맛집! 최고의 바지vs최악의 핏 바지는? 키작녀의 판도라핏 바지하울 / 154cm 하이맵시 바지원정대,https://www.youtube.com/watch?v=Ct3ntLtUg_U,14055,2020-07-05,0:08:05,
15,패션하울! 키작녀 바지 쇼핑몰 추천? 모든프로젝트 / 154cm 키작은여자 하이맵시 바지원정대 fashion haul,https://www.youtube.com/watch?v=Xw-KLDjKgsw,8521,2020-05-18,0:11:38,
16,"키작녀가 아이유 따라사면? 아이유 사복&IU 블루밍 패션하울 (널디,아코스튜디오 후리스,마가린핑거스 벨벳원피스,블리다 벨벳스커트) /키작은여자 하이맵시",https://www.youtube.com/watch?v=iCo94ZjPkRE,13187,2019-12-15,0:13:09,
17,"154/42kg 하이맵시 키작녀 패션하울! 키작은여자 겨울코디 원피스,니트,바지,스커트 모음 (~12/20까지 구독자이벤트)",https://www.youtube.com/watch?v=d6olBkighus,8782,2019-11-28,0:10:47,
18,"올리브영 추천템 쿠션 특집! 한스킨 매드쿠션&치크쿠션 전색상 발색 (블레미쉬 커버 컨실 쿠션 비교,로즈 물온 치크 쿠션 블러셔)",https://www.youtube.com/watch?v=NYzAZCiRwQ0,15081,2019-08-12,0:01:32,
19,워터파크 틴트 추천! 컬러그램톡 썬더볼 틴트 라커 전색상 발색&퍼스널컬러 립 추천 / 하이맵시,https://www.youtube.com/watch?v=YUOygh5Xxo0,13519,2019-07-29,0:01:32,
