,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"여기가 바로 브이로그 맛집입니다. 제 ootd를 소개합니다. (데일리룩, 블록코어, 맨투맨추천,코디)",https://www.youtube.com/watch?v=KKa_qPSSBOI,9870,2023-09-16,0:17:26,
1,"내돈내산 추천템 '난 이거 없으면 안돼,,,' (쿨톤립, 피부관리,탈색모,손상모관리)",https://www.youtube.com/watch?v=HZAID6V5Fvk,7483,2023-09-11,0:10:39,
2,"𝗚𝗥𝗪𝗠 요청 많던 요즘 자주하는 여쿨 메이크업 (ASMR, 여쿨메이크업, 여쿨템추천,탕후루립)💄🤍",https://www.youtube.com/watch?v=k4k0Y7c0YXQ,18997,2023-09-03,0:12:44,
3,𝗩𝗟𝗢𝗚 안녕하세요? 제 일상을 구경하시겠습니까? (데이트•브이로그•호캉스•그랜드하얏트),https://www.youtube.com/watch?v=pV-PXoMn53Y,11432,2023-08-27,0:13:06,
4,VLOG 삼척도 가고 데이트도 하고 (데이트• 브이로그•데일리룩•우정여행•바다),https://www.youtube.com/watch?v=jiy3LTNK3Y4,8102,2023-08-21,0:09:19,
5,𝗩𝗟𝗢𝗚 씨알메리가 뭐예요? (일상•브이로그•데이트•데일리룩),https://www.youtube.com/watch?v=XrH93LZhdu4,12663,2023-08-10,0:11:16,
6,𝗩𝗟𝗢𝗚 난 이제 지쳤어요 땡뻘땡뻘 (데일리룩•일상•데이트•브이로그),https://www.youtube.com/watch?v=Si0Arqz3qOk,13351,2023-08-05,0:14:58,
7,"𝗩𝗟𝗢𝗚 나의 일주일을 담았다 OOTD 브이로그다. (데일리룩, 일상, 데이트,카페)",https://www.youtube.com/watch?v=ksrn5VruLQc,19719,2023-07-24,0:17:58,
8,"𝗚𝗥𝗪𝗠 요즘 하는 청량한 여름 데일리 메이크업 (+ 셀카 꿀팁!, 보정어플)",https://www.youtube.com/watch?v=ZWIabwwtKPw,12930,2023-07-22,0:16:35,
9,𝗩𝗟𝗢𝗚 잘 먹었습니다 (부산여행•데이트•일상•데일리룩),https://www.youtube.com/watch?v=w2m9sb73Rq0,17564,2023-07-09,0:14:44,
10,𝗩𝗟𝗢𝗚 나 버스안 다녀옴 ep.1,https://www.youtube.com/watch?v=0jFXzh9HDGc,16850,2023-07-02,0:15:06,
11,𝗟𝗼𝗼𝗸 𝗕𝗼𝗼𝗸 저는 보통 여름에 반팔티를 입어요. y2k 느낌 낭낭한 여름 룩북 (feat. 하이스쿨디스코),https://www.youtube.com/watch?v=2CLP5nA9jxk,12725,2023-06-23,0:09:22,
12,𝗩𝗟𝗢𝗚 제 일상을 담아왔습니다. 좀 가져가세요 (데이트•데일리룩•일상),https://www.youtube.com/watch?v=z67vgshSVRU,23840,2023-06-18,0:13:28,
13,𝗚𝗥𝗪𝗠 인생 첫 QnA + 스모키 메이크업,https://www.youtube.com/watch?v=MgHpB_X_2lg,25183,2023-06-11,0:11:48,
14,𝗩𝗟𝗢𝗚 아는 형님에 아는 누나에 아는 삼촌에 아는 형님이요~ (파주•데이트•일상•데일리룩),https://www.youtube.com/watch?v=YfD69z_NInc,26474,2023-06-04,0:16:05,
15,𝗩𝗟𝗢𝗚 너..'T'야? (일상•데일리룩•수영장),https://www.youtube.com/watch?v=Zwr5VigxrvQ,23649,2023-05-28,0:16:57,
16,𝗚𝗥𝗪𝗠 요청 많던 첫만남 썰,https://www.youtube.com/watch?v=vYB3ThKRPmE,111220,2023-05-19,0:13:21,
17,𝗩𝗟𝗢𝗚 헉! 그녀의 일상을 밀착취재! (데이트•일상•메이크업•데일리룩),https://www.youtube.com/watch?v=R9VVwzJfVH8,34900,2023-05-05,0:14:06,
18,요즘하는 화장 (쿨톤•여쿨•메이크업),https://www.youtube.com/watch?v=Vr6HFNzlhNs,48519,2023-04-28,0:10:04,
19,"𝗩𝗟𝗢𝗚 우리가좍!! 여행 다녀옴 (대구, 부산, 데이트, 일상, 브이로그)",https://www.youtube.com/watch?v=0Ws49M55Qhs,11098,2023-04-10,0:16:06,
20,[DAILY] 데일리 나이트 케어 루틴! 향 덕후가 추천하는 바디로션부터 피부 케어 제품까지! (피부관리•탈색모•붙임머리 관리•셀프케어•바디케어),https://www.youtube.com/watch?v=lv13miYko4s,6641,2023-04-05,0:18:08,
21,[Haul•LookBook] 나 혼자 여름준비 Cider에서 산 옷 같이 같이 입어봐요🤍 (내돈내산•데일리룩•코디•샵 사이다),https://www.youtube.com/watch?v=L16LKd7yAko,65620,2023-03-26,0:12:34,
22,𝗩𝗟𝗢𝗚 갑자기 바다가고 남자친구랑 데이트 함,https://www.youtube.com/watch?v=GvmEgXpB2rc,24003,2023-03-17,0:13:43,
23,"𝗚𝗥𝗪𝗠 깻잎논쟁 머리 하는 법 알려주께!! 생일파티 가는 날 같이 준비해요🐰 (가시머리, 반묶음 하는 법, 트임라이너 추천)",https://www.youtube.com/watch?v=WZUQZPEfL1E,22553,2023-03-09,0:11:42,
24,[Haul] AliExpress Haul 7천원 짜리 니트.. 천원짜리 틴트.. 가성비 쩌는 알리 아이템 하울&추천 (알리 하울•추천•메이크업•데일리),https://www.youtube.com/watch?v=eLa9g28rPtk,34426,2023-03-04,0:11:12,
25,"[VLOG] 꿈은 없고요 그냥 놀고 싶습니다. (브이로그, 데이트, 술, 메이크업, 여쿨, 데일리룩)",https://www.youtube.com/watch?v=QwEK2-oe1Yc,13921,2023-02-24,0:12:32,
26,[GRWM] 염색하기 전에 찍은 데일리 메이크업 🥸 (속눈썹 추천•여쿨 메이크업•붙임머리•메이크업•알리익프레스),https://www.youtube.com/watch?v=5j2ENiPBNUs,21634,2023-02-15,0:09:01,
27,"[VLOG] 엉망진창 뒤죽박죽 앨범 털이범 (메이크업, 데이트, 일상, 데일리룩)",https://www.youtube.com/watch?v=KukRjedhTrk,16657,2023-02-11,0:11:40,
28,"[MAKEUP] 요청이 많았던 생일 날 메이크업! 출근 준비하며.. get ready with me (렌즈, 속눈썹, 건성피부, 화장품 추천, 여쿨 메이크업)",https://www.youtube.com/watch?v=IoUHoCQozBs,37604,2023-01-13,0:13:16,
29,[VLOG] 나이 한살 반품 요청드립니다^^ 마지막 2022 브이로그 (데이트•술•크리스마스•마니또•일상),https://www.youtube.com/watch?v=Hj-ucn3gj7s,10435,2023-01-06,0:14:21,
30,"[VLOG] 브이로그 폼 미쳤다; (생일, 음주, 브이로그, 일상, 피부관리, 메이크업, 뷰링크, 데일리룩)",https://www.youtube.com/watch?v=nMjD3Lr9QRs,18248,2022-12-19,0:15:37,
31,"[GRWM] 일하고 술약속 있는 날 같이 준비 하자 (ꔷ̥̑.̮ꔷ̥̑) (여쿨, 피부관리, 쿨톤 메이크업, 데일리룩)",https://www.youtube.com/watch?v=EaMnGgAqXiA,16975,2022-11-23,0:11:51,
32,[VLOG] 수능후최고의 선택 (수험생은 아닙니다^^) (사무실•브이로그•메이크업•졸전),https://www.youtube.com/watch?v=tIgELR3Zlg4,9096,2022-11-18,0:09:58,
33,"[VLOG] 구제불능인 것 같습니다.. 조만간•••(친구랑 강릉으로 우정여행, 롯데월드, 메이크업, 여쿨)",https://www.youtube.com/watch?v=4J_HnuPVZG8,20437,2022-10-29,0:10:54,
34,"[MAKEUP] 당신의 파우치를 털어보겠습니다.. 내껏도.. (여쿨라 파우치털기, 봄웜라 파우치털기, 여쿨추천템, 봄웜추천템,메이크업)",https://www.youtube.com/watch?v=ZZg5dERy1GA,9486,2022-10-28,0:12:41,
35,[MAKEUP] 블러셔 광인이 알려주는..블러셔로 이미지 변신하기 ( ͡° ͜ʖ ͡°)━☆ﾟ.*･｡ﾟ (쿨톤 여쿨메이크업 블러셔추천),https://www.youtube.com/watch?v=t5lI2N16_r4,127452,2022-10-22,0:08:42,
36,[VLOG] 바보가 바보에게.. (얼렁뚱땅스 서울 브이로그 •일상•자매•패션•메이크업),https://www.youtube.com/watch?v=d5dRe_YXZqk,13422,2022-10-17,0:13:42,
37,"[VLOG] 흥 웃기는 소리. 내일 봬요 누나 (얼렁뚱땅 일상 모음, 화장, 메이크업, 브이로그, 일상,패션)",https://www.youtube.com/watch?v=0PhoiT7rmJ0,15605,2022-10-10,0:13:32,
38,[GRWM] 여름 쿨톤의 가을 메이크업  (#여쿨#여쿨메이크업#메이크업#grwm #브이로그),https://www.youtube.com/watch?v=R5qLFJYfU_E,17624,2022-09-30,0:12:08,
