,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"event) 7DAYS OOTD VLOG☔️비 내리던 주간, 동네콕 일상🍳(가디건,블라우스,와이드팬츠,나시,롱스커트,통굽샌들,반묶음까치번,요즘색조템)",https://www.youtube.com/watch?v=HjVhDdpAqMA,4981,2023-08-31,0:28:21,
1,"수원여행vlog🍃 달달구리 후르츠산도🍓, 가성비 장어덮밥, 소품샵, 신박한 셀프사진관, 혼술",https://www.youtube.com/watch?v=YcCSsxgOmAM,4660,2023-08-26,0:17:36,
2,나만의 비밀병기꿀템 소개 모음zip.📦(패션템~관리템)✴︎요즘핫한 괄사. new데일리렌즈. 친구랑 안겹치는 향수. 여름패션 기본템,https://www.youtube.com/watch?v=MUB4NZ2EtvA,5884,2023-08-11,0:14:12,
3,VLOG🐻 혼자 나고야 당일치기 여행ㅣglowny팝업ㅣ감자샐러드와 명란구이 홈술ㅣ내기준 국내 1위 통닭&불닭발ㅣ피부회복 관리,https://www.youtube.com/watch?v=LyqpeowYzsg,6142,2023-08-09,0:22:24,
4,"여름샌들 TOP5🍇 4~12만원대 가성비,착화감,디자인,굽높이 다챙김🧊(ft.봄여름가을 ㅇㅋ!)",https://www.youtube.com/watch?v=arG52H7rbqk,4574,2023-08-07,0:08:44,
5,"나혼자 대만여행🇹🇼 맛있어서 화난다구⸜❤︎⸝‍ 마음따뜻 친절한 여행지, 인생 우육면&도넛, 대만이자카야, 카페거리, 샤오롱바오, 쇼핑, 혼밥혼술",https://www.youtube.com/watch?v=po_-Aexhka4,17376,2023-08-06,0:28:28,
6,"여름ver 왓츠인마이백♪♪ (ft.보부상 데일리백 추천)👛향기집착, 생존영양제, 일반치약 이긴 고체치약, 여름쿠션, 외출필수품",https://www.youtube.com/watch?v=StERrlX-GUY,5811,2023-08-01,0:13:51,
7,EVENT🎁 나의 소소한 혼술홈술 ep.01🍻 두부전골ㅣ연어구이ㅣ명란구이ㅣ김치어묵전골ㅣ관자버터꼬치ㅣ와규ㅣ타코와사비,https://www.youtube.com/watch?v=CJfVffszYn0,4058,2023-07-28,0:18:35,
8,"⌁❤︎⌁﻿7월 페이보릿 items⌁❤︎⌁﻿ 여행가방, 살안타가디건, 볼륨킹브라, 2만원대 디자이너나시, 여름촉촉립&독보적색감 블러셔, 여름스킨추천, 악세사리",https://www.youtube.com/watch?v=OZa5DcuF2HQ,7158,2023-07-25,0:14:17,
9,Hot Summer☀️교토에서 데일리메컵 grwm❤︎ 나홀로여행토크ㅣ17000걸음도 거뜬한 키높이샌들ㅣ부유방 걱정X! 만원대나시ㅣ여름 데일리룩,https://www.youtube.com/watch?v=_EsrUooGLRs,6872,2023-07-21,0:13:37,
10,친구가 내옷 손민수각⋆⸜♥⸝‍⋆여름 패션하울 24개!🍉포인트반팔·블라우스·롱스커트·와이드팬츠·목걸이·헤어핀·백팩˚ෆ*₊,https://www.youtube.com/watch?v=Q1ZrGpG5yEE,7760,2023-07-07,0:16:10,
11,"일주일 ootd vlog ☆̶ ִׂ ٭ 여름 데일리 데님코디 모음⌁❤⌁﻿살안타룩,데님 버뮤다&와이드팬츠,샌들,가방,악세사리 (with V&A 신상 데님매트쿠션)",https://www.youtube.com/watch?v=1bNoeAQSilU,6813,2023-07-06,0:29:19,
12,"🍧삶의질 향상템 라이프,다이어트.관리Verෆ 자취생꿀템ㅣ가성비 다이어트쉐이크ㅣ저칼로리 존맛푸드ㅣ습관노트ㅣ노트북멀티파우치ㅣ6구 고속충전기ㅣ설거지꿀템ㅣ몸드름케어+etc..",https://www.youtube.com/watch?v=scfVICi7wUI,6972,2023-06-24,0:17:52,
13,"🇪🇸vlog 먹으러가는 스페인 여행ミ★ 바르셀로나 중심지부터 근교 시체스까지⠂˖❥ (ft.꿀대구,에그감자프라이,감바스,갈비찜,샹그리아, 버섯볶음,양파스타)",https://www.youtube.com/watch?v=aAFMY8AEagg,5317,2023-06-08,0:20:12,
14,자취VLOG 방꾸미고 집밥 만들어먹고ε♡з 편안하고 행복한 삶! (인테리어템+의류하울 · 마켓컬리 · 이연복짬뽕 · 쭈꾸미덮밥 · 우삼겹밀푀유 · 양갈비&알배추구이 · 명란구이),https://www.youtube.com/watch?v=v2AL1uscu6c,8821,2023-05-30,0:18:48,
15,여름 패션하울☀︎절대 안.흔.한 15가지 데일리템들~❥ 반팔티·나시·오프숄더·여름후드·카고팬츠·와이드팬츠·반바지,https://www.youtube.com/watch?v=pWI3y6gEMnQ,9212,2023-05-28,0:10:16,
16,[163cm 59kg] 아이돌 협찬 1순위! '레터프롬문' 여름신상 입어보기*⁀➷♥ 55~66도 입어보쟈구!🍧 반팔블라우스/기본티/스커트/슬리브리스/원피스,https://www.youtube.com/watch?v=R6lFZMuv5KM,7347,2023-05-10,0:10:15,
17,✿∘˚ 봄 추천템 ✴︎흔하지 않은 템들로만!✴︎ 3천원짜리 인생가방ㅣ봄코디추천ㅣ6~8만원대 부츠&운동화ㅣ붓기&다이어트템ㅣ디올립오일 대체템,https://www.youtube.com/watch?v=TEV7Zzc5GTs,7898,2023-04-07,0:14:24,
18,"Vlog 후쿠오카 이자카야 모음zip🍲 한국 무시하던 일본인이랑 화해하고 친구되기ㅣ현지인 강추 주점,오뎅바, 초저렴 하이볼바🍺",https://www.youtube.com/watch?v=8Z8i8SiKyNc,7011,2023-04-06,0:15:13,
19,24Hrs Vlog ✿∘˚혼쇼핑과 혼밥 그리고 드라이브&친구집에서 낙곱새🚲🥘,https://www.youtube.com/watch?v=jYDhq2QuFZ0,5112,2023-04-05,0:16:50,
20,일본잡지 속 뽀용한 데일리 메이크업☁️ ✴︎ fwee 퓌 s/s 블러셔&틴트 신상컬러 출시💘✴︎,https://www.youtube.com/watch?v=8BV1DLmgpDE,27902,2023-03-31,0:11:31,
21,163/59의 샌드위치&샐러드만 먹고 다이어트해보기🥗🥙diet vlog,https://www.youtube.com/watch?v=gRvhEKAA6Ao,10031,2023-03-27,0:22:47,
22,러블리힙이 바로 이거구나..ෆ가성비 넘치는 봄신상 패션하울🌷🌷,https://www.youtube.com/watch?v=Az1GipM925w,6657,2023-03-25,0:11:48,
23,오키나와vlog🏝 직원분에게 술 사는 메뉴가 있는 술집 ✴︎오키나와 전통 안주?!✴︎ 모기 300마리 감성 포장마차카페 (ft.요즘 데일리 메이크업),https://www.youtube.com/watch?v=KZ9UBHclMwQ,4994,2023-03-24,0:23:41,
24,"163/58kg 평범치 않지만 과하진 않은, 봄데일리룩 스타일링 5LOOKS✿∘˚˳ 패션,헤어,뷰티zip📂 (트위드, 가디건, 롱원피스, 블라우스, 반묶음깃털번, 땋기헤어)",https://www.youtube.com/watch?v=fRaycOK_2tw,6529,2023-03-23,0:14:51,
25,"봄 데일리룩🍃가격대 착한 고급스러운 모던st 기본템들! 뻔하지 않게 깔끔하게🦥 (ft.가디건,반팔니트,자켓,니트 etc..)",https://www.youtube.com/watch?v=od12GeOAM-o,6749,2023-03-20,0:13:37,
26,근심걱정 내려놓게 되는 일본 유후인 1박2일 vlog🍵 일본마트 리얼 물가탐색ㅣ가성비 료칸ㅣ꼭 먹고 와야하는 사과사탕🍎,https://www.youtube.com/watch?v=OdMrTRXqGo8,8327,2023-03-13,0:23:41,
27,"커피, 음료가 무제한인 일본 피씨방 리얼 체험💾  (ft.가기 전에 이거 꼭 보고 가세요!)",https://www.youtube.com/watch?v=Hk8J6VUD8Go,5388,2023-03-12,0:08:00,
28,"163cm 57kg 봄 일주일 룩북🍧 with 새내기, 보부상 취향저격 가방코디🎒 과하지 않은 꾸안꾸룩, 학생룩, 새내기룩",https://www.youtube.com/watch?v=D4191U9YHY0,14092,2023-03-10,0:18:08,
29,도쿄여행 : No계획이고 도착했더니 그 관광지가 없어져있는 대책없는 vlog🗼,https://www.youtube.com/watch?v=k-ZvRoReOUY,10609,2023-03-10,0:29:58,
30,VLOG: 후쿠오카의 봄🌷이자카야 옆자리 손님이 구독자분이라니🧃(ft.텐진거리 쇼핑 &야끼토리 킬러🐔),https://www.youtube.com/watch?v=oWLDAKEysig,12038,2023-03-07,0:35:40,
31,VLOG 잠시 내려놓고 지냈는데 -3kg diet성공✌🏻일상재정비 기간이었던 2월의 어느 날들.zip📂,https://www.youtube.com/watch?v=XD6GTkpwo5g,9852,2023-03-04,0:18:07,
32,P가 티켓 끊었으면 준비 다끝난거야~✌🏻후쿠오카 8박9일 여행준비 & 캐리어 챙기기🚀,https://www.youtube.com/watch?v=K9GiRRU7XKo,7530,2023-03-01,0:27:25,
33,‘달님’을 떠나보내며🎂 채널명 변경+채널개편 공지ㅣ2년간의 길었던 슬럼프 이야기,https://www.youtube.com/watch?v=F5vGgHfCB1A,20861,2023-02-12,0:13:29,
34,163cm 60kg의 가성비가 내려오는 봄 패션템 하울🌸 봄가디건 소개ㅣ3~5만원 아우터ㅣ하체통통 완벽커버 데님추천,https://www.youtube.com/watch?v=WAi6V9b7BIA,20621,2023-02-01,0:14:00,
35,일주일동안 -4kg 다이어트vlog🔥 살 빠질 수 밖에 없는 식단/ 스파르타 PT🤬 [먹은죄 +12kg 없애기 ep.1],https://www.youtube.com/watch?v=KCiAXIdh09Q,20765,2023-01-22,0:28:40,
36,일본 교토 카페에서 알바를 해보았다☕️ (ft.요즘 뜨는 일본 현지인핫플ㅣ이것은 마치 일드의 한장면),https://www.youtube.com/watch?v=V55Hq8GNeuw,8065,2023-01-01,0:11:52,
37,촉촉딸기광 연말메이크업🍓 수부지/건성을 위한 겨울베이스 루틴∙피브 컬러세럼∙파이브바이브 메이크업펜슬∙어뮤즈 스킨튠 쿠션∙플린 워터틴트,https://www.youtube.com/watch?v=fcPON4roMO0,7382,2022-12-08,0:17:00,
38,✴︎연말정산 TOP11 추천템✴︎🏆이거쓰면 이제 투명파우더 못씀ㅣ겨울 건성쿠션ㅣ인사일런스우먼 패딩ㅣ인스턴트펑크&소프트서울 데님ㅣ생활 속 붓기잡기 + ETC..,https://www.youtube.com/watch?v=v6xuNt5htfs,8237,2022-12-02,0:14:29,
39,[VLOG] ZARA신상쇼핑ㅣ나만 알고싶은 인천맛집들ㅣ친구들과 보내는 평소 일상,https://www.youtube.com/watch?v=Umf0wOOggpk,8604,2022-11-29,0:17:59,
40,연말느낌 가득한 오사카 브이로그🇯🇵🏮 애니 속에 나올 법한 오사카 수족관 데이트ㅣ신사이바시보다 우메다 홀릭ㅣ한국인픽 와규집,https://www.youtube.com/watch?v=iTOcBwcBhbs,10376,2022-11-26,0:14:55,
41,🇯🇵교토 2층짜리 가정집 살아보기 브이로그⛩  잠시 힐링이 필요할 때 클릭하세요.ㅣKYOTO VLOG,https://www.youtube.com/watch?v=DzmmG1Pb8rI,12167,2022-11-20,0:20:11,
42,"오키나와 4박5일 vlog🏝가성비 리조트&호텔추천✴︎야끼니꾸&맥주,하이볼무한리필✴︎커피포장마차✴︎역대급 이자카야✴︎아사히 거품캔맥주",https://www.youtube.com/watch?v=jaBGGLIPLz4,51958,2022-10-22,0:26:47,
43,"3년만의 나홀로 후쿠오카 여행🇯🇵 캐널시티&유후인 쇼핑, 현지인추천 이자카야, 편의점털이, 드럭스토어",https://www.youtube.com/watch?v=uCq4YRn_210,163566,2022-09-23,0:31:26,
44,"혼술로그 후쿠오카편🍺간판없는 현지인맛집 이자카야&나카스강 포장마차⛺️ㅣ야키토리, 딸기하이볼, 레몬사와, 오뎅, 토스트, 스지탕",https://www.youtube.com/watch?v=18_AwoINDpQ,15372,2022-09-12,0:05:04,
45,인생 여행지 등극..🇵🇹포르투갈 리스본 4박5일 여행VLOG🍷🥧 계획없이 그냥 살아보듯 즐기는 여행의 묘미,https://www.youtube.com/watch?v=Fy1hCLk-YNY,20782,2022-09-07,0:21:15,
46,나 곧 거지존 되네..?🙂 깔꼼캐주얼 다홍빛 메이크업grwm📂 가을쿠션추천▪︎역대급 웜톤 립&치크 조합▪︎님님픽 1등 마스카라▪︎페리페라 신상팔레트,https://www.youtube.com/watch?v=5EhzrDGRV08,6276,2022-08-27,0:13:34,
47,스페인 세비야 브이로그🇪🇸🔥 이 신비로운 이국적인 곳은 뭐지..⛲️ (ft.41도의 폭염ㅣ숙소에서 역대급가위눌림),https://www.youtube.com/watch?v=gzd1qGH91_Q,11593,2022-08-12,0:18:31,
48,스페인 바르셀로나 브이로그🇪🇸🍷공항호텔추천︎/ 샹그리아/ 타파스&핀초스/ 까탈루냐광장/ 바셀야경/ 까르푸마켓,https://www.youtube.com/watch?v=1h6du22H9DE,8030,2022-08-05,0:16:18,
49,스페인 한달살이에 챙겨온 여행룩들🛋후크데님팬츠/부유방커버나시/원피스/블라우스/츄리닝🌷인쇼부터 디자이너브랜드까지 성공한 템들만!,https://www.youtube.com/watch?v=6AEDC0URdQk,12807,2022-07-12,0:19:36,
50,"지금 입기 딱 좋은,여름 데일리룩 패션하울👕가격대 착한 인터넷 쇼핑몰 위주🔍 (ft.하체통통이의 찐강추 와이드팬츠ㅣ블라우스ㅣ원피스ㅣ볼레로ㅣ크롭티",https://www.youtube.com/watch?v=ToUFmY6xiBQ,19722,2022-05-23,0:12:09,
