,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,15년차 디자이너가 바라보는 서울패션위크..큰일입니다..,https://www.youtube.com/watch?v=Qy0RdGrsZt0,24616,2023-09-16,0:12:09,
1,올해 FW시즌 트렌드 올드머니룩! 이 브랜드로 정했습니다,https://www.youtube.com/watch?v=yOEIxOIq66g,5565,2023-09-09,0:11:58,
2,[태용백과] 고프코어룩 이건 알고 입으셔야합니다 (feat. 동묘),https://www.youtube.com/watch?v=ar0UTVeoyfE,4510,2023-09-02,0:08:31,
3,"2년만에 다시 찾은 동묘시장, 빈티지에도 트렌드가 있을까? (ft. 뉴진스)",https://www.youtube.com/watch?v=RLB2-Xzzooo,8404,2023-08-26,0:08:28,
4,[태용백과] 슈프림! 드디어 대한민국 상륙 : 10분안에 슈프림의 모든 것 알려드립니다,https://www.youtube.com/watch?v=dW3SbGJR5RE,6677,2023-08-19,0:08:49,
5,"[태용백과] 루이비통의 시작부터 현재까지, 11분만에 알려드립니다.",https://www.youtube.com/watch?v=p7c93i5Y3v0,3268,2023-08-12,0:11:40,
6,"[골목옷장] 출연 이후 매출 X배 상승, 사무실 이전까지.. 1년만에 다시 만났습니다.",https://www.youtube.com/watch?v=Ng_uylYG8gE,3068,2023-08-05,0:12:37,
7,[태용백과] 가방 하나에 1억이 넘어가는 시대.. 세계 4대 패션의 도시 '파리'에 왔습니다,https://www.youtube.com/watch?v=s_yaqiZPMVA,4022,2023-07-29,0:12:20,
8,"고태용, 돌아온 골목옷장! 지금까지 두 장 팔린 옷도 있어요..",https://www.youtube.com/watch?v=A8SAMZMSnIc,3775,2023-07-22,0:14:44,
9,패션 하나로 사람의 이미지가 바뀐다 [태용백과 Ep.1],https://www.youtube.com/watch?v=BlgJYsVMvxw,3586,2023-07-15,0:09:36,
10,"고태용, 유럽에서 에어비앤비 쓰지마세요.. 빈집털이 당함 3000만원..😱",https://www.youtube.com/watch?v=5K0aAaMH8vY,7559,2023-07-08,0:13:43,
11,"고태용, 파리패션위크 비하인드! 패션쇼 직전 백스테이지에서는 무슨 일이 일어날까?",https://www.youtube.com/watch?v=VUVs3tVjpLY,2872,2023-07-01,0:13:47,
12,"고태용, 파리패션위크 24S/S 컬렉션 [유튜브 최초공개]",https://www.youtube.com/watch?v=Ze-rHvVD-X0,3080,2023-06-29,0:05:38,
