,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"네일국시, 네일 폼지 연장을 실전처럼 연습해봐요! - 네일그랜마 #240",https://www.youtube.com/watch?v=kM1o1DCBLrQ,811,2023-09-22,0:16:50,
1,"네일국시 제 2과제, 핀 타입 램프 효율적으로 사용하기 - 네일그랜마 #239",https://www.youtube.com/watch?v=g9BcYK3IQu8,2065,2023-09-15,0:27:59,
2,"입체감 가득한 꽃, 거기에 15초 그라데이션을 곁들인 I 살롱꿀팁 - 네일그랜마 #238",https://www.youtube.com/watch?v=fdEKI7wy-N0,2566,2023-09-08,0:12:29,
3,단언컨대 이 그라데이션은 가장 쉽습니다♥ I 살롱꿀팁 - 네일그랜마 #237,https://www.youtube.com/watch?v=Lzeof8yrCAA,5084,2023-09-01,0:17:44,
4,"글리터 그라데이션, 클리어젤 하나로 쉽게 만들기 I 살롱꿀팁 - 네일그랜마 #236",https://www.youtube.com/watch?v=upkvzMDW580,2000,2023-08-21,0:07:08,
5,"짧은손톱네일, 플라워네일로 예쁘게 받아봤어요!",https://www.youtube.com/watch?v=EF_EcKuhXnk,1472,2023-08-14,0:01:14,
6,DIY! 청담동 네일샵 원장님 원픽♥ 셀프로 쉽게 만들어보자! I 살롱꿀팁 - 네일그랜마 #235,https://www.youtube.com/watch?v=Cfj2vcTtwd0,3653,2023-08-11,0:09:23,
7,셀프네일케어에 진심인 사람~ 여기 여기 모여라! I 살롱꿀팁 - 네일그랜마 #234,https://www.youtube.com/watch?v=vFXqmHx0LGs,3179,2023-08-04,0:13:12,
8,[How to] 쉽게 만드는 🍑복숭아 네일아트 디자인 I 살롱꿀팁 - 네일그랜마 #233,https://www.youtube.com/watch?v=ZjgiUyRbPC0,2626,2023-07-28,0:13:42,
9,시럽네일 & 유리네일 받았어요!,https://www.youtube.com/watch?v=iUkWdiCvT7E,1424,2023-07-27,0:02:13,
10,생기 넘치는 그라데이션 & 미러 파우더 조합으로 치크네일 만들기 I 살롱꿀팁 - 네일그랜마 #232,https://www.youtube.com/watch?v=0ZEyaBEucZw,1995,2023-07-21,0:11:28,
11,[ENG Sub] 여름네일에 포인트를 주고 싶다면.. 이 아트 어떠세요? I 살롱꿀팁 - 네일그랜마 #231,https://www.youtube.com/watch?v=RjYGmadAIog,2115,2023-07-14,0:10:30,
12,"[ENG Sub] 여름 샌들 코디 고민되셨죠? 이 아트 하나면, 고민 해결! I 살롱꿀팁 - 네일그랜마 #230",https://www.youtube.com/watch?v=Qp22Sf3SmSk,1783,2023-07-07,0:11:25,
13,[ENG Sub]다이아미가 인도에 갔어요! - 네일그랜마 #229,https://www.youtube.com/watch?v=N7DFRv6khes,1178,2023-06-30,0:10:20,
14,"여름 휴가철, 뭐부터 받는다? 페디부터 받는다!",https://www.youtube.com/watch?v=i7aSS-2Ksvo,2316,2023-06-26,0:06:00,
15,자석젤 200% 끌어올리기 비법! I 살롱꿀팁 - 네일그랜마 #228,https://www.youtube.com/watch?v=iD6V8Rmq24k,7497,2023-06-23,0:03:34,
16,Creating a Glassy Elegance: Crafting Glass Nails Using Magnetic Gel [E-222],https://www.youtube.com/watch?v=DmumlG_ggbs,1011,2023-06-16,0:10:21,
