,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,[둘째X마리몬드] 셀럽마켓 오픈!,https://www.youtube.com/watch?v=grGjinig9kk,1558,2021-08-29,0:05:36,
1,"엄청난 택배 언박싱🎁가방,옷,아베다,키엘 등등",https://www.youtube.com/watch?v=u_LdXcc1qhs,968,2021-08-17,0:10:19,
2,제주 한달살기Ep.3 이상과 현실/제주도민 놀이/한라산 완등했을까!?/쇼핑🛍,https://www.youtube.com/watch?v=E6EyL6EDRsg,1522,2021-07-24,0:13:53,
3,제주도 한달살기 Ep.2🐙같이 준비해요/스노클링/애월 카페거리/문어 잡았다!,https://www.youtube.com/watch?v=ZaH8RvtKvrM,1341,2021-07-16,0:13:01,
4,제주 한달살기 Ep.1🌴배 1등실/총비용/숙소/장보기,https://www.youtube.com/watch?v=I-BJ-KVPzVI,20099,2021-07-09,0:12:51,
5,날씬해보이는🌴여름옷 16벌 하울🌴데일리룩::하객룩::바캉스룩🌊,https://www.youtube.com/watch?v=T7HTIJJgGBs,1042,2021-07-02,0:06:30,
6,코덕의🌷가방+파우치 털기🌷(+올리브영 추천템까지!),https://www.youtube.com/watch?v=HUXr1T6lOjY,1961,2021-06-25,0:05:51,
7,고데기 5종 비교!👩🏻‍🦱보다나/바비리스/라브엘/벤하임,https://www.youtube.com/watch?v=cozqu714dKI,45964,2021-06-16,0:06:52,
8,"신혼 Vlogㅣ서울 난지캠핑장 꼼꼼 리뷰✨바베큐존,예약 방법🥓",https://www.youtube.com/watch?v=qbcEegtfufg,9734,2021-05-14,0:12:12,
9,머릿결 확실히 좋아지는법! 4개 제품 추천✨,https://www.youtube.com/watch?v=gvSabuLzayA,8875,2021-05-04,0:03:55,
10,소개팅 메이크업 with 포렌코즈! 틴트 발색,https://www.youtube.com/watch?v=LZydb_Ra3Q4,1597,2021-04-20,0:10:01,
11,봄옷 12개 하울🌺아우터들/블라우스들/쇼핑몰 추천!,https://www.youtube.com/watch?v=cBVtay7K8ug,1078,2021-04-11,0:05:54,
