,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,💕 페스티벌.. 메이크업이라기엔 좀 늦은 쿨톤 데일리 메이크업 ^^ 💕,https://www.youtube.com/watch?v=FvzVzACy49U,3230,2022-09-20,0:13:30,
1,"✨앤디얼 마스카라 보고가세요✨ 마스카라 잘하는 법, 뷰러하는법 까지 꿀팁 대공개",https://www.youtube.com/watch?v=WiO4rakAlwQ,4238,2022-09-03,0:16:27,
2,🍑무르익은 복숭아 메이크업에 상큼함 더하기🍑 + 애교살 그리는 방법 l 디얼빈 dearbeauty,https://www.youtube.com/watch?v=W1cPcZrdTzE,3766,2022-08-07,0:14:31,
3,GRWM.. 아무튼 겟레디윗미가 맞아요💦 l 일년만에 머리 뿌염했당 그리고 주절주절 TMI l 디얼빈 dearbeauty,https://www.youtube.com/watch?v=VJ36CXDXfXs,6032,2022-07-17,0:32:46,
4,내 기준 핀터레스트 감성 낭낭한 메이크업.. 언니 좀 사연있어보이지..? l 디얼빈 dearbeauty,https://www.youtube.com/watch?v=RuTIZSGYWeQ,2269,2022-07-10,0:02:07,
5,드디어 보여드리는..🔥 앤디얼 매트 립 컬러 틴트 (이래봬도 런칭 1.5년차♥) l 웜톤 쿨톤 립 꿀조합 추천💋 l 디얼빈 dearbeauty,https://www.youtube.com/watch?v=pvsM5ZXJT3k,9525,2022-06-20,0:13:18,
6,🐱냐옹ㅋ 하얀 고양이상 메이크업🐱 앤디얼 신제품 스포.. l 디얼빈 dearbeauty,https://www.youtube.com/watch?v=dmdNb-1x3aA,5706,2022-06-12,0:11:33,
7,"1분 아이메이크업 영상, 코랄 메이크업 룩 (+아이폰 기본카메라) 🍑  | 디얼빈 dearbeauty",https://www.youtube.com/watch?v=HEzii4JsCDE,7467,2021-08-10,0:01:21,
8,긴머리 고데기 헤어스타일링 💇‍♀️ 파마 아니구 고데기한거얏    | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=nonSU-fpGBU,7448,2021-06-07,0:08:20,
9,내 동생 누가 괴롭혔어? 뭐.. 그런 느낌의 플럼 메이크업..ㅎ  | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=NNpMtxdFlXM,7972,2021-05-30,0:08:23,
10,가을웜톤 메이크업 왔댜! 갈웜 베베들 일루와바! 🥰 | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=_u5CqXronio,212218,2021-05-10,0:07:57,
11,🌷봄봄봄~~ 핑크베이지 메이크업🌷 | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=mem_RFVUsoQ,19235,2021-04-01,0:05:34,
12,물 한방울 떨군 로즈..플럼.. 메이크업..? 🌹💜 아몰랑.. | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=pJXL5t7C90g,6611,2021-03-03,0:04:01,
13,내 취향 100% 레드립 메이크업 💋💄   | 디얼빈 dearbeauty,https://www.youtube.com/watch?v=i5Cjc161wxM,11079,2021-02-17,0:06:20,
