,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"❄겨울을 더욱 포근하게 해줄 포인트아이템⛄퍼 가방,버킷햇,니트장갑,머플러,롱부츠,퍼슬리퍼/패션하울/신발,가방,쥬얼리/winter item!!",https://www.youtube.com/watch?v=9YS6jOYDGk4,16268,2022-01-08,0:15:06,
1,❄⛄자라 겨울 아우터 하울/자라세일 전에 살펴보기!!/ZARA HAUL/겨울데일리룩북/체크 블레이저/퍼재킷/롱코트/숏패딩,https://www.youtube.com/watch?v=O1vScFEF-PM,60922,2021-12-14,0:09:35,
2,🍂니트하울/spa브랜드에서 골라본 가을 겨울 이너템!! 니트 knit !!/자라/h&m/망고/가을데일리룩북~,https://www.youtube.com/watch?v=oNE6pgqK80M,59099,2021-11-08,0:11:38,
3,👜디자이너브랜드 30만원대이하 가을신상백 추천!!/가을 데일리백 스타일링/w컨셉/가방하울/가을가방/조이그라이슨/아카이브앱크/호재/레멜/아뜰리에 드 루멘/아더앤드/애테,https://www.youtube.com/watch?v=x4F70db6JRI,58108,2021-10-13,0:16:59,
4,"🍂가을 화이트셔츠 스타일링 10outfits🥼/가을, 겨울에도 기본템 화이트티셔츠로 다양하게 입어보기~!!/white shirt  10 outfits~/자라/h&m/망고/데일리룩북",https://www.youtube.com/watch?v=rs4ZqSQlCeM,104073,2021-09-28,0:09:43,
5,2021 자라 가을 신상 하울🍂/가을분위기 물씬!! 가을 데일리룩~/ZARA/zara haul/블레이저/니트베스트 /원피스/2021 FW신상품 추천템/패션하울,https://www.youtube.com/watch?v=myynhKQAg54,137143,2021-09-16,0:16:09,
6,"화이트셔츠 사기전에 보세요~!! 드디어 돌아온 셔츠의 계절~ SPA 브랜드(자라,h&m)에서 골라본 화이트셔츠/가을 기본필수템/zara/패션하울/fashion haul",https://www.youtube.com/watch?v=U4UkZhO262Q,63349,2021-09-05,0:11:36,
7,자라하울ZARA💖지금부터 간절기까지 입을 자라 신상소개!!/여름 간절기 데일리룩/ZARA/zara haul/블라우스/니트가디건 /스커트/자켓/2021 자라 신상품 추천템/패션하울,https://www.youtube.com/watch?v=mnaxm9mdpZ8,37576,2021-08-12,0:13:01,
8,여름 가방으로 스타일링해본 바캉스룩과 데일리룩👜(feat.H패션몰/루즈앤라운지)/고퀼 트렌디한 가방 추천!! 썸머백스타일링/여름 패션룩북/자라/h&m/앤유/데카브/라룸/패션하울,https://www.youtube.com/watch?v=_5kpG78_KUw,18824,2021-07-30,0:12:12,
9,어떤게 더 내 취향일까?/베이직한 오버핏의 린넨자켓🧥 VS 트렌디한 반팔 크롭자켓🥼/여름자켓스타일링/여름데일리룩/H&M/8seconds/에잇세컨즈/,https://www.youtube.com/watch?v=XdXwn4cG2is,35972,2021-07-19,0:13:46,
10,2021 여름 망고 세일 하울❤/망고 세일 득템 상품 같이 구경해요~!/mango haul/패션하울/패션룩북/여름 데일리룩/블라우스/팬츠/니트베스트/데님팬츠,https://www.youtube.com/watch?v=ywBhaaT0lj8,81313,2021-06-24,0:17:27,
11,✨2021 여름 자라하울/🎉곧 있을 자라세일 전 마지막 하울~!!/zara/패션하울/여름 데일리룩북!!,https://www.youtube.com/watch?v=7PvED_Tt1Ug,61149,2021-06-12,0:10:36,
12,여름 원피스와 잘 어울리는 고퀄 데일리백추천~!!👜(feat.H패션몰/루즈앤라운지)/가방스타일링/SPA원피스하울/앤아더스토리즈/자라/마시모두띠/코스/패션하울/여름 데일리룩북,https://www.youtube.com/watch?v=zAzOASK2zII,57403,2021-06-02,0:13:35,
13,[여름샌들 하울]올 여름 데일리로 진짜 잘 신을 스타일리쉬한 샌들~👡/솔트워터/자라/망고/zara/mango/saltwater/sandal haul,https://www.youtube.com/watch?v=YDjyBuzmrW8,88876,2021-05-25,0:15:18,
14,🌼베이직한 얼리썸머 데일리 룩북 18outfits/뉴트럴 컬러로 편안하면서도 안정감있는 스타일링!!/summer lookbook!/여름필수템코디!!얼씨룩/자라/망고/h&m/직장인룩,https://www.youtube.com/watch?v=QJfLvF_4dns,106679,2021-05-19,0:11:32,
15,"화이트티셔츠 12가지 스타일링🥼/봄,여름 기본템 화이트티셔츠로 다양하게 입어보기~!!/ 스타일링 꿀팁~/white t-shirt  12 outfits~/코스/cos/자라/데일리룩북",https://www.youtube.com/watch?v=nwbLySosZ9w,47310,2021-05-05,0:11:51,
16,"화이트티셔츠 사기 전 꼭 봐야할 영상~!!🥼/spa브랜드에서 골라본 봄,여름 기본템 화이트티셔츠 추천~/자라/코스/h&m/마시모두띠/zara/베이직 아이템/반팔티셔츠/라운드티셔츠",https://www.youtube.com/watch?v=wIvKOxEOQok,76235,2021-04-25,0:10:37,
17,2021 자라 봄 신상 하울🌼🌈/봄 분위기 물씬 스프링 데일리룩~/ZARA/zara haul/자켓/팬츠/블라우스/2021 봄 신상품 추천~/자라하울/패션하울,https://www.youtube.com/watch?v=ZxNdoCsL33M,76245,2021-04-15,0:12:42,
18,"봄 데일리룩에 포인트 주기 좋은 필수 아이템, 가방, 신발, 쥬얼리/포인트악세사리 믹스매치법(feat.지그재그)/봄 데일리룩북/패션하울/베리유/가내스라/미뉴에트",https://www.youtube.com/watch?v=vQc3LSfmseo,49574,2021-04-05,0:17:04,
19,"올 봄 꼭 갖추어야할 기본템 3가지 추천🌼/봄 기본템 잘고르는 법~/기본템으로 21가지스타일링/셔츠,블레이저, 니트베스트 활용법/데일리룩 21outfits",https://www.youtube.com/watch?v=gohIBP0looo,126651,2021-03-24,0:13:03,
20,"어떤게 더 내 취향일까? 봄 신발 스니커즈 vs 러닝화  스타일링별 비교👟👞/스니커즈, 러닝화 8가지 outfits/h&m/뉴발란스 530/봄 신발 코디/new balance",https://www.youtube.com/watch?v=gDzSNpIVuUg,84109,2021-03-06,0:13:01,
21,2021 자라 봄 신상 하울🌼/지금부터 봄까지 입기 좋은 데일리룩~/ZARA/zara haul/블레이저/니트 /원피스/2021 ss 신상품 추천템/자라하울/패션하울,https://www.youtube.com/watch?v=DfUPf8MMsVA,315501,2021-02-14,0:16:46,
22,악세사리/주얼리하울💍/ 진~짜 오랜만에 쥬얼리 하울~/진주목걸이/레이어드 조합/실버925/안나루이사(단순협찬)/ana luisa/베흐트/럽은/necklace/rings/목걸이/반지,https://www.youtube.com/watch?v=o7u05yxj2Sw,60099,2021-02-03,0:14:22,
23,조거팬츠 8가지 스타일링 👖/조거팬츠 고르는법/스타일링 한끗차이 꿀팁~!!/jogger pants 8 outfits~/조거팬츠 코디/라룸/원마일웨어/데일리룩,https://www.youtube.com/watch?v=L9T9L-3XTRU,80421,2021-01-31,0:12:31,
24,옷장속에 두고두고 입을 프리미엄 니트 추천🥼/코스/마시모두띠/제이리움/프리미엄 spa브랜드/고퀄 기본템 니트/니트 스타일링하는법~/패션하울/cos/massimo dutti,https://www.youtube.com/watch?v=bvBw2Bm6JIc,50590,2021-01-20,0:15:48,
