,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,[158cm/ 77kg]✨통통녀도 고급져보이는 올드머니룩!💸 Simple is the best!,https://www.youtube.com/watch?v=gBYwryCz3zY,1797,2023-09-26,0:10:07,
1,[158cm/77kg] ❤️‍🔥통통이도 분위기 여신으로 만들어줄 가을 데일리룩❤️‍🔥🍂/ 통통하다고 아무거나 입지마/ 셔츠 유목민 인생셔츠 찾았다!,https://www.youtube.com/watch?v=iBAsywmwS3I,4101,2023-09-14,0:09:18,
2,[158cm/77kg] 🌊 통통해서 탑만 입기에는 부담스럽다고? 전혀!😎 핫한 휴가를 만들어줄 휴가룩북 / 페스티벌 코디 추천❤️,https://www.youtube.com/watch?v=bDcoPsNuX3c,9755,2023-07-21,0:11:08,
3,살쪄도 hip 할 수 있어😎/ 살빠졌다는 소리 듣게 해줄 체형커버 완벽한 여름 룩북,https://www.youtube.com/watch?v=v_POJvp1W4k,23446,2023-06-15,0:10:39,
4,[158cm/76kg]봄이다~🌷 검정색은 그만✋ 화사한 데일리룩 추천,https://www.youtube.com/watch?v=BzmYLQqHbFc,13669,2023-03-20,0:11:46,
5,[158cm/75kg]🎄친구들이 어디서 샀냐고 물어봐🤫/ 나 혼자 입기 아까운 겨울 연말룩❤️,https://www.youtube.com/watch?v=-OAG4sHpsYQ,12688,2022-12-19,0:09:50,
6,이번 겨울에 뭐입지🤔/ 부해보임xxx 지금부터 겨울까지 따뜻하고 예쁘게 입을 아우터 추천해줄게~~❤️,https://www.youtube.com/watch?v=Au7H9-Q31IY,10758,2022-10-31,0:05:51,
7,74kg 🍁통통녀가 가을 여신되는 가을 룩북🍁 빅사이즈 쇼핑몰 추천🤍/ 코트 핏 예술이야 🫢💕,https://www.youtube.com/watch?v=D97x0XGNLKI,13154,2022-09-23,0:12:01,
8,이 옷이 없다고..? 🍂가을에 없으면 안될 🙅🏻‍♀️100% 내돈내산 인생 기본템 추천🍂/매일 입게 될걸??,https://www.youtube.com/watch?v=s8G2Qd28gkM,26905,2022-09-10,0:12:07,
9,💘👖남들과 같은 건 싫어 🙅🏻‍♀️ 나만 알고 싶은 찐 추천템 다 알려줌~~💖,https://www.youtube.com/watch?v=1Guy5Wkm-ME,50152,2022-08-07,0:09:25,
10,🌊미운살 완벽 커버👙 내돈내산!! 나만알고 싶은 인생 수영복/ 편안하고 예쁜 수영복 가득 추천💖,https://www.youtube.com/watch?v=Yasevc8kziQ,63635,2022-07-08,0:10:04,
