,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,🎁선물🎁 80kg 통통녀가 입어본 리리앤코🍁시드니 가을 여행 코디🍁 ㅣ통통코디ㅣ통통녀가을ㅣ가을코디ㅣ가을룩북ㅣ가을원피스ㅣ가을니트ㅣ빅사이즈ㅣ시드니ㅣ여행룩ㅣ여행코디ㅣ데일리룩ㅣ하객룩,https://www.youtube.com/watch?v=Z2o4jlLZ188,168,2023-09-21,0:09:34,
1,[신상 룩북] 통통녀도 실패없는 가을 꾸안꾸룩💚ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=5U_SVfDvEbo,996,2023-09-20,0:01:29,
2,[신상 룩북] 포근한 가을 색감 낭낭한 가을 데일리룩🧸ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=8WQMd3esZik,1909,2023-09-19,0:01:31,
3,[신상 룩북] 가을 꾸안꾸룩부터 꾸꾸룩까지 다 모았어요🍁ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=J6J_iDVMAQs,720,2023-09-17,0:01:24,
4,[신상 룩북] 딱 2배 이뻐보이는 가을 데일리 코디 모음❤️ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=41tGOWCVRBQ,1379,2023-09-14,0:01:37,
5,가을옷 200% 성공👀 80kg 통통녀 가을코디룩북🍁 ㅣ통통코디ㅣ통통녀가을ㅣ가을코디ㅣ가을룩북ㅣ가을원피스ㅣ가을니트ㅣ빅사이즈ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ데일리룩ㅣ하객룩,https://www.youtube.com/watch?v=dQFFsZYO6RY,3688,2023-09-14,0:08:13,
6,[신상 룩북] 💜가을 코디! 니트부터 원피스까지 총 집합💜ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=qrp7OhxD_Ag,837,2023-09-13,0:02:07,
7,[신상 룩북] 가을 하객룩 아직 못 정했으면 CLICK🍂ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=KqIpWLK8zws,746,2023-09-12,0:01:16,
8,[신상 룩북] 누가 입어도 실패없는 리리앤코 가을코디❤️ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=Y4vaxglQfZA,719,2023-09-11,0:01:47,
9,[신상 룩북] 가을 감성 가득 담은 가을 데일리룩 코디🍂ㅣ데일리룩ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=y0GGRiqY7hk,1500,2023-09-08,0:01:34,
10,통통녀는 추석때 뭐 입어? 날씬해보이는 가을 격식룩&하객룩 추천🍂ㅣ통통코디ㅣ통통녀가을ㅣ가을코디ㅣ가을룩북ㅣ빅사이즈코디ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ데일리룩ㅣ하객룩ㅣ격식룩,https://www.youtube.com/watch?v=E9WSsEARw5w,6247,2023-09-07,0:09:58,
11,80kg 통통녀 pick 가을 등하원룩 마실룩🤎ㅣ통통코디ㅣ가을ㅣ가을코디ㅣ가을룩북ㅣ빅사이즈코디ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ데일리룩ㅣ하체비만ㅣ육아맘코디,https://www.youtube.com/watch?v=_L5A5NDmWPE,4617,2023-08-31,0:10:28,
12,[신상 룩북] 여성스러운 무드 가득 담은 ❤️리리앤코 데일리룩❤️ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=MbzNx0Vuwvk,1189,2023-08-25,0:01:48,
13,80kg 통통녀가 알려주는✨유행 타지 않는 클래식템 코디✨ㅣ통통코디ㅣ빅사이즈코디ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ데일리룩ㅣ하체비만ㅣ기본템ㅣlookbook,https://www.youtube.com/watch?v=CbA9l7vxl6Q,3706,2023-08-24,0:09:51,
14,[신상 룩북] 누가 입어도 lovely한 꾸안꾸 데일리룩💟ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=9CW7SDMROVM,610,2023-08-23,0:01:30,
15,[신상 룩북] 여성스러움 꾹꾹 눌러담은 여친룩 모음💗ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=sG1Dg1MHrW4,900,2023-08-21,0:01:38,
16,[신상 룩북] 요즘 날씨에 딱 입기 좋은 원피스 코디👗ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=_oFfE1tOD8A,1026,2023-08-21,0:02:19,
17,[신상 룩북] 따라 입으면 무조건 성공하는 여름 코디 모음✨ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=OOHvjeIyiJc,1257,2023-08-18,0:01:26,
18,무채색 코디🖤 VS 유채색 코디🌈 통통녀의 선택은?ㅣ통통코디ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ유니크룩ㅣ페스티벌룩ㅣ데일리룩ㅣ하체비만ㅣ여름원피스ㅣlookbook,https://www.youtube.com/watch?v=NdpnhupNorE,2866,2023-08-17,0:11:38,
19,[신상 룩북] 리리앤코 모델 pick 여름 꾸안꾸 데일리룩❤️ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=ySjF3uA0D1s,1470,2023-08-15,0:01:21,
20,[신상 룩북] 여친룩의 정석 리리앤코의 데이트룩 모음💞ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=PaMYEEzNoCM,839,2023-08-14,0:01:10,
21,[신상 룩북] 여름 하객룩부터 데일리룩까지 다 모았어요❤️ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=xsUsXmrWdzM,910,2023-08-10,0:01:20,
22,통통녀도 HOT하게 입을 수 있어!🖤80kg 통통녀 유니크 룩북🖤ㅣ통통코디ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ유니크룩ㅣ페스티벌룩ㅣ데일리룩ㅣ하체비만ㅣ여름원피스ㅣlookbook,https://www.youtube.com/watch?v=cFq5sg1qFGY,3179,2023-08-10,0:11:01,
23,[신상 룩북]  여름에 딱 입기 좋은 꾸안꾸 코디모음❣️ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=MG_iToj8S6U,1092,2023-08-09,0:01:54,
24,[신상 룩북] 여름 바캉스룩! 이렇게만 입으면 성공💙ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=Z03wjSeRaok,721,2023-08-08,0:02:06,
25,[신상 룩북] 시원하면서 이쁘기까지한 여름 데일리룩 12가지🖤ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=pz4izNeTx6Y,761,2023-08-07,0:01:23,
26,[신상 룩북] 날씬해보이는 여름 데일리룩 추천👗🎀ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=R0QoSBGcHo8,871,2023-08-04,0:01:25,
27,소개팅 200% 성공하는 💓통통녀 소개팅룩 추천💓ㅣ통통코디ㅣ빅사이즈ㅣ66사이즈ㅣ77사이즈ㅣ88사이즈ㅣ소개팅룩ㅣ하객룩ㅣ여름하객룩ㅣ데일리룩ㅣ하체비만ㅣ여름원피스ㅣ데이트룩,https://www.youtube.com/watch?v=jM9WqUmfGDk,7260,2023-08-03,0:09:36,
28,통통녀 러블리+페미닌 룩🧁,https://www.youtube.com/watch?v=6NLCkK2mtis,9622,2023-08-02,0:00:17,
29,[신상 룩북] 무더운 한여름! 지금 딱 입기 좋은 코디🧃💚ㅣ데일리룩ㅣ여름ㅣ여름코디ㅣ여름룩북ㅣ꾸안꾸룩ㅣ하객룩ㅣ데이트룩ㅣ출근룩ㅣ직장인룩ㅣ통통녀,https://www.youtube.com/watch?v=R0GNrwccgmw,735,2023-08-02,0:01:46,
