,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,미지근톤 러버 4탄🤎가을 신상 대.존.예 립 8가지 추천👜 | 웜톤 쿨톤 평화🫶🏻 | 글로시 촉촉 립 부터 ~ 벨벳 매트 립까지 | 미지근톤 립 | 웜톤 립 | 쿨톤 립,https://www.youtube.com/watch?v=V373LiNWe5c,2626,2023-09-13,0:08:36,
1,올리브영 9월 빅세일💚 블랙헤드 없는 사람의 습관은 이.것✌🏻클렌징 할 때 이렇게 하세요👀 블랙헤드 제거 | 피부관리 | 진정 패드 | 올영세일 추천템,https://www.youtube.com/watch?v=VQ3FMpeFUWk,33194,2023-08-31,0:06:31,
2,쿨톤의 가을웜톤 메이크업🐻 분위기 있는 베이직한 가을 메이크업🍂 | 뮤드 소프트블러틴트 | 데이지크 밀크라떼 | 컬러그램 애교살 | 노베브 립펜슬 | 속쌍눈화장,https://www.youtube.com/watch?v=6gRwCG2J4oQ,1202,2023-08-28,0:07:41,
3,내추럴한 쿨 누드 메이크업🤍지속력 최상! 베이스 꿀팁까지🌵(화잘먹 스킨케어 꿀팁 | 삐아 먼지나방 | 뮤드 블러셔 | 바이애콤 파운데이션 | 여름 쿨톤 메이크업),https://www.youtube.com/watch?v=tMY4bGd4mdA,4058,2023-08-18,0:09:08,
4,여름뮤트 실패없는! 립 조합🩰 쿨톤 베이스 립 | 누드립 | 쿨톤립 | 뮤트 립 추천 | 바닐라코 쉬어 벨벳 베일 틴트 | 삐아 먼지나방 | 벨벳 틴트 추천 | 뽀송 립,https://www.youtube.com/watch?v=vbjnO3HvFEI,5813,2023-08-16,0:04:12,
5,💞핑크 덕후의 3가지 무드의 존예립😳 힌스 무드인핸서 리퀴드 글로우💕핑크에디션 | 쿨톤립 | 웜톤립 | 글로우 립 | 수분광 틴트 |  mlbb 립 | 힌스 틴트 | 핑크 메이크업,https://www.youtube.com/watch?v=Tv2BeuMg1U8,7226,2023-08-06,0:05:34,
6,요즘 빠진 뮤트톤💜인생 여름 뮤트 메이크업🧚🏻‍♀️ 희주x오에니르 듀잇틴트 | 힌스 메쉬 매트 쿠션 | 웨이크메이크 섀도우 팔레트 | 오에니르 블러셔 | 누즈 톤업크림 | 뮤트 립,https://www.youtube.com/watch?v=V9qIjO9-G5o,3761,2023-08-04,0:07:40,
7,애교살 필수템 추천🌟 이거 아직 없는 사람..?👀 | 애교살 메이크업 |  데이지크 글리터 | 올리브영 추천템 | 올영 애교살 | 투쿨 애교살 | 노베브 애교살 | 글린트 글리터,https://www.youtube.com/watch?v=K8A3jqRlnAI,8296,2023-07-30,0:05:51,
8,여쿨 미지근톤 메이크업🧁💗장마철 베이스☔️| 여름 뮤트 메이크업 | 애교살 꿀템 | 미지근톤 립 | 투쿨 프로타주 펜슬 | 롬앤 쿠로미팔레트 | 웨메 파운데이션 | 누즈 블러셔,https://www.youtube.com/watch?v=-72QQx8P7mE,3564,2023-07-17,0:07:52,
9,맑은 수분광 글로우 립💧삐아 로 틴트 전색상 리뷰 (삐아 진짜 일냄..🌷) 올리브영 틴트 추천 | 촉촉립 | 수분광 틴트 | 광택립 | 물먹립 | 워터틴트,https://www.youtube.com/watch?v=1shbgAgFuiM,18301,2023-07-04,0:06:53,
10,확신의 쿨핑크🩷 웨이크메이크 하이 핑크 블러링 메이크업💕 워터블러링픽싱틴트 | 웨메 팔레트 | 듀이 젤 글로우 틴트 | 듀이 젤 글레이즈 스틱 | 속쌍 메이크업 | 쿨톤 메이크업,https://www.youtube.com/watch?v=gdy9au6IK4Q,12020,2023-07-02,0:12:32,
11,NEW✨헤라 센슈얼 누드 스테인&센슈얼 피팅 글로우 틴트🩰전색상 발색 리뷰 | 헤라 틴트 | 쿨톤 립 | 웜톤 립 | 글로시틴트 | 촉촉립 | 틴트 추천 | 카카오톡 선물하기 추천,https://www.youtube.com/watch?v=8hfTpcFbha0,24226,2023-06-27,0:08:29,
12,핑덕의 신상 핑크립 모음.zip🎀 (네이밍 페르소나 | 에이오유 오디밤 | 하트퍼센트 틴트 | 레미유 듀이 글로우 틴트 | 헤라 틴트 | 웨이크메이크 매트스틱 | 여름 쿨톤 립),https://www.youtube.com/watch?v=l-nQX_WLiGg,9173,2023-06-25,0:08:12,
13,뮤드 소프트 블러 틴트🍦전색상 리뷰 | 미지근톤 립 부터~겨울 딥 까지! | 쿨톤 립 | 웜톤 립 | 뮤드 틴트 | Mude Soft blur tint | 매트 틴트 | 립 추천🍇,https://www.youtube.com/watch?v=sHBf9taA3bU,10781,2023-06-20,0:11:42,
14,여쿨라이트 메이크업💝 feat.존예 신상🛼 여름 쿨톤 메이크업 | 속쌍 메이크업 | 무지개맨션 블러셔 | 여쿨 팔레트 | 헤라 틴트 | 여쿨 립 | 여쿨 블러셔 | 애교살 메이크업,https://www.youtube.com/watch?v=McaOT6DHzjA,3506,2023-06-19,0:07:33,
15,맑고 투명한 여름 메이크업✨🍬 톤별 메이크업 추천까지☝🏻 | 여름 쿨톤 | 겨울 쿨톤 | 봄 웜 라이트 | 투명 메이크업 | 리음 lieum,https://www.youtube.com/watch?v=77d6u1EvN9E,1980,2023-06-18,0:08:03,
16,필수 여쿨템💘으로 맑은 메이크업💞속쌍 눈화장 꿀팁 | 여름 쿨톤 메이크업 | 속쌍 메이크업 | 여쿨 팔레트 | 여쿨 틴트 | 여쿨 블러셔 | 롬앤 블러퍼지틴트 | 에스쁘아 모브미,https://www.youtube.com/watch?v=jYBx7oZUMcs,9585,2023-06-09,0:06:21,
17,올영세일 쿠션 추천🩵저의 올여름 쿠션..! | 힌스 세컨 스킨 메쉬 매트 쿠션 리뷰 | 리음 lieum,https://www.youtube.com/watch?v=PicRRqdmwfM,31160,2023-06-03,0:06:06,
18,컬러도 제형도 폭닥폭닥..☁️페리페라 잉크더에어리벨벳 폭닥폭닥 컬렉션 | 올영세일 틴트 | 올리브영 세일 | 올영세일 추천템 | 쿨톤 립 | 웜톤 립 | 틴트추천 | 퍼스널컬러,https://www.youtube.com/watch?v=RPW1F-w-X6E,15232,2023-06-02,0:05:09,
19,미지근톤 러버 3탄💛신상 분위기 있는 존예 립모음 | 톤 구애 없는 립 | 릴리바이레드 앙큼라이어 코팅틴트 | 클리오 크리스탈 글램 틴트 | 코스노리 글로우 웨이브 틴트,https://www.youtube.com/watch?v=lrpGNGKyfyw,11348,2023-06-01,0:04:48,
20,올영세일 추천템 모음.zip💚여름 스킨케어•선크림 추천 | 올리브영 세일 추천템 | 올리브영 추천템 | 여름 색조 꿀템 | 메이크업 치트키 | 여름철 필수템 | 여름 향수 추천,https://www.youtube.com/watch?v=qYyatls4Ano,26172,2023-05-31,0:14:16,
21,탕!💕여쿨 저격🔫여름뮤트 메이크업 | 클리오 인절미 댕댕이 | 네이밍 레이어드 매트핏쿠션 | 페리페라 폭닥폭닥 | 코스노리 민카롱틴트 | 퓌 블러셔 | 쿨톤 메이크업,https://www.youtube.com/watch?v=EILrKWIfyZQ,5571,2023-05-26,0:09:33,
22,요즘 핫한 신상 쿨톤립 모음.zip🐽라카 본딩 글로우 립스틱~올리브영 쿨톤 립 (어뮤즈 듀틴트 헬시모브 | 페리페라 쿨톤치드 쿨릉도원 | 데이지크 립잼 | 오드타입 언씬블러틴트),https://www.youtube.com/watch?v=FMu75bdoHYc,33374,2023-05-12,0:08:53,
23,미지근톤 러버 2탄🧡글로시 립 추천🫧 웜톤 쿨톤 평화🫶🏻 | 웜톤립 | 쿨톤립 | 광택립 | 미지근립 | 컬러립밤 | 촉촉립 | 립추천 | 리음 lieum,https://www.youtube.com/watch?v=dPHcqAWEhrk,32417,2023-05-07,0:05:38,
24,미지근톤 메이크업✌🏻(아멜리 보라쿠션 | 에스쁘아 비벨벳 쿠션 | 클리오 에어블러휩 | 입큰 먼지나방 | 레오제이 브러쉬 | 노베브 애교살 | 오프라 하이라이터 | 데이지크 립잼),https://www.youtube.com/watch?v=_OLcKsdKpjg,4248,2023-05-02,0:11:09,
25,미지근톤 러버💗미지근 핑크 쿨톤립 6가지 추천☝🏻 광택립부터 뽀송립까지🫶🏻 | 쿨톤립 | 뮤트립 | 미지근립 | 립추천 | 리음 lieum,https://www.youtube.com/watch?v=c3FGDu18GtU,10305,2023-04-11,0:05:36,
26,광고✖️피부 좋아보이는 베이스 방법&꿀템🍯| 꿀광피부 | 베이스 전 스킨케어 | 피부 좋아보이는 쿠션 | 꿀광 하이라이터 추천 | 어뮤즈 듀 파워 | 글린트 스틱하이라이터,https://www.youtube.com/watch?v=VdT3Z0QcU_A,2445,2023-04-08,0:11:24,
27,데이지크 워터블러틴트 베리스무디 컬렉션 리뷰🍓dasique Water Blur Tint Berry Smoothie Collection | 리음 lieum,https://www.youtube.com/watch?v=eYJ1cxxY72s,11690,2023-03-17,0:06:20,
28,페리페라 워터베어틴트 전색상 리뷰 | 올리브영 추천템•올영세일•틴트 추천 | 리음 lieum,https://www.youtube.com/watch?v=lqsaFx7lp-c,18265,2023-03-06,0:04:21,
29,인생쿠션✨어뮤즈 듀 파워 비건 쿠션 솔직리뷰 (듀젤리•메타픽싱 비교☝🏻) AMUSE Dew Power Vegan Cushion Review | 리음 lieum,https://www.youtube.com/watch?v=anXJvcJc1fg,50430,2023-03-04,0:04:07,
