,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,고급스런 데일리 동안 메이크업,https://www.youtube.com/watch?v=aF8QiZkVwHQ,775,2023-09-13,0:23:15,
1,청담동 메이크업 아티스트가 알려주는 MZ 핫템 40대 동안 메이크업,https://www.youtube.com/watch?v=Z1Xdju1NSE0,2491,2023-06-19,0:23:28,
2,전문가가 알려주는 기미 잡티 오타반점 쉽게 가리는 커버 메이크업,https://www.youtube.com/watch?v=yGuR0Xh48_4,10904,2022-11-30,0:16:34,
3,뉴트럴톤으로 세련된 웨딩 메이크업,https://www.youtube.com/watch?v=k4QfmXIgXtg,992,2022-10-07,0:24:35,
4,"40, 50 美코치 ‘화사화사’ 봄 메이크업",https://www.youtube.com/watch?v=50_xXi_boSY,1629,2022-03-20,0:14:09,
5,새내기 데일리 메이크업 배우고 싶어요. 엄마랑 딸이랑 같이 배우는 클래스,https://www.youtube.com/watch?v=ZBL5QBlTD6g,1481,2022-02-28,0:18:04,
6,메멘토설은이 여러분을 위해 준비한 브러쉬 세트 소개합니다. 데일리 메이크업 하면서 사용법 배워보아요,https://www.youtube.com/watch?v=Uu1iFJofMEM,1166,2022-02-23,0:40:53,
7,메이크업하기 변변한 브러쉬 없으셨다면?  메이크업 브러쉬 사용방법,https://www.youtube.com/watch?v=BOFNYLXAfLI,1288,2022-02-13,0:08:18,
8,"40, 50 美코치 (화사하고 어려보이게 화장으로 )",https://www.youtube.com/watch?v=lUtVegnilXw,2169,2022-01-29,0:21:48,
9,40 50 美코치  메이크업  댓글 좋아요 👍,https://www.youtube.com/watch?v=OEdEGxnHk_w,1842,2022-01-06,0:17:02,
10,"40, 50 美코치   퍼스널 컬러 메이크업",https://www.youtube.com/watch?v=V-zz7RZKs6k,1739,2021-12-26,0:27:07,
11,"40, 50 美코치      댓글 좋아요 👍 힘이 됩니다 💪",https://www.youtube.com/watch?v=9zpZbo5oz3c,2453,2021-12-12,0:30:36,
12,생기발랄 40대 워킹맘 동안메이크업   ❤️ 댓글 좋아요 👍 힘이 됩니다 💪,https://www.youtube.com/watch?v=Fvqol__q2kE,2878,2021-12-05,0:23:42,
13,2021년 올해의 메이크업 아티스트 상 받는 날 멋지게 메이크업하고 출발합니다.  ❤️댓글⌨️ 좋아요👍,https://www.youtube.com/watch?v=ZN81Rtc4FUs,1103,2021-11-28,0:09:45,
14,4학년 5반 어려 보이기 데일리 메이크업 (자막 cc  ),https://www.youtube.com/watch?v=Gfr-_4YQfuc,2973,2021-10-31,0:15:00,
15,"40, 50 동안 메이크업",https://www.youtube.com/watch?v=585OkFkNTOg,2030,2021-10-15,0:13:27,
16,나는 쿨톤일까?  메이크업 아티스트 설은 원장의 퍼스널 컬러 진단과 메이크업 클래스,https://www.youtube.com/watch?v=QbayT9jZB0g,1904,2021-10-10,0:28:00,
17,리얼 메이크업 아티스트가 알려주는 퍼스널컬러 진단 메이크업 과정 맛보기,https://www.youtube.com/watch?v=ktvNNka9PPU,943,2021-09-24,0:13:48,
18,여름 쿨 피부 ‘ 가을 메이크업 ‘,https://www.youtube.com/watch?v=u-witelx-zA,1501,2021-09-10,0:20:07,
19,꼼나나  설은원장님의  SNS 인싸 색조 메이크업 배워볼까요?,https://www.youtube.com/watch?v=bI9PbMj9TDc,1572,2021-08-05,0:04:01,
20,설은원장의 웨딩 메이크업 교육 영상 빠르게 보는 시간 ⏰,https://www.youtube.com/watch?v=c3dyRablfxU,805,2021-07-29,0:06:45,
21,"언더라인만으로 특별해 보이는 쉽지만, 효과는 큰 세미 스모키 도전해 보세요.",https://www.youtube.com/watch?v=0VeTQmfu5ms,1380,2021-07-03,0:22:51,
22,뷰티 신제품 사용하면서 추천 여름 데일리 메이크업,https://www.youtube.com/watch?v=eDXW3qRfSm0,1506,2021-06-06,0:21:55,
23,벌써 여름이 온 것 같아요. 땀나는 얼굴 뽀송한화장으로 롱 레스팅  데일리 메이크업하세요.,https://www.youtube.com/watch?v=ilBjpQFVLHs,1851,2021-05-29,0:23:53,
24,봄봄봄 데일리 메이크업,https://www.youtube.com/watch?v=cN_lVMiU5v4,1537,2021-04-30,0:19:16,
25,속눈썹 붙이기 포기 하신 분들의 후기를 듣고  why?   다시 도전하기 프로젝트,https://www.youtube.com/watch?v=8CiUe7nyUAI,2061,2021-04-25,0:11:54,
26,눈썹 숱이 없어 고민이신 분들 간단하게 눈썹 숱 풍성하게 만들어 보세요.,https://www.youtube.com/watch?v=KoU7PcOBipA,1052,2021-04-16,0:04:11,
27,빨간볼 / 다크서클 / 칙칙누런/ 기미   피부 쉽게 보정할 수 있어요.,https://www.youtube.com/watch?v=_sY9KcugeeU,6068,2021-03-28,0:17:09,
28,2021년 메이크업 트랜드 데일리메이크업,https://www.youtube.com/watch?v=3Rl-GyhiwtU,3486,2021-03-21,0:16:06,
29,원장님 제 메이크업 좀 도와주세요.,https://www.youtube.com/watch?v=-BtHviN2eoE,1335,2021-02-27,0:16:21,
30,가지고 있던 섀도우 팔레트를 이용해서 나만의 섀도우 팔레트 만들기,https://www.youtube.com/watch?v=wcWPt2vjw3k,8833,2021-02-13,0:07:06,
31,새내기 데일리 메이크업,https://www.youtube.com/watch?v=tCPYoJjIyAk,1141,2021-02-07,0:06:45,
32,원장님 제 메이크업 좀 도와주세요. 코로나 맞춤 메이크업,https://www.youtube.com/watch?v=oBdkgTYxb0Y,1365,2021-01-30,0:09:59,
33,"혼주 메이크업, 한복 메이크업",https://www.youtube.com/watch?v=d6uOtwol7yw,5360,2021-01-23,0:20:14,
34,메이크업 아티스트 40대 데일리 메이크업,https://www.youtube.com/watch?v=A9Y8FcvGCuw,6627,2021-01-16,0:05:52,
