,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,발리여행 같이가요! 대한항공 프레스티지 스위트 Bali travel,https://www.youtube.com/watch?v=iNWKaqealco,170,2023-06-22,0:01:18,
1,루이비통에서 지금 꼭 사야하는 아이템 쇼핑! 아시죠? 명품은 아마도 오늘이 제일 쌉니다..🤑 Louis Vuitton #shopping  #unboxing,https://www.youtube.com/watch?v=H7I0SSHnIvM,5234,2022-10-21,0:07:36,
2,[문군패션] 15000원으로 입어본 데일리룩 | 스파오 + H&M 세일쇼핑후기 | 문군 | SPAO + H&M DAILYLOOK HAUL,https://www.youtube.com/watch?v=q5vBzRdiqaQ,4186,2018-05-04,0:04:00,
3,[문군티비] 백색소음을 만든다고?! 어디서나 집중력 높여주는 해피이어스 이어플러그 리뷰 | HAPPY EARS | 문군,https://www.youtube.com/watch?v=R7kvTFppTEE,8310,2018-05-03,0:04:23,
4,[문군뷰티] 에스티로더 엔비립페인트 설리립스틱 런칭파티 다녀왔어요! | LipsToEnvy EsteeLauder | 문군,https://www.youtube.com/watch?v=9DgSuso2jNY,1631,2018-01-10,0:01:01,
5,[문군뷰티] 프랑스 럭셔리 브랜드 용카YONKA 와이스파에 다녀왔어요! | 청담스파체험기 | 롯데홈쇼핑 나쁜여자쇼 | 문군,https://www.youtube.com/watch?v=oZnd2R6rKlE,2532,2018-01-08,0:01:02,
6,[문군티비] 정말 오랜만이에요 구독자분들👋🏻 드릴말씀이있어요!,https://www.youtube.com/watch?v=RBn4-lI_wbw,2033,2017-12-25,0:02:43,
7,[문군뷰티] 이거실화냐? 샴푸로 두피관리가 가능해?!,https://www.youtube.com/watch?v=IT35RFPt-Gc,4305,2017-07-18,0:02:46,
8,[문군뷰티] M자이마 탈출! 헤어라인으로 흔남에서 훈남만들기! | 이니스프리 헤어틴트 | 헤어스타일링 | 문군,https://www.youtube.com/watch?v=mUo8OG1u2fc,9073,2017-02-17,0:05:00,
9,[문군뷰티] 발렌타인데이 선물 같이준비해요! get ready valentine day! | 셀프뷰티 | 문군,https://www.youtube.com/watch?v=rxywUopMeFk,1897,2017-02-09,0:05:09,
10,[문군뷰티] 미용실에서 염색하기 VLOG | 애쉬브라운염색 | 미용실 브이로그 | 문군 | hair dyed,https://www.youtube.com/watch?v=D0GktKk8Ml8,3790,2017-01-12,0:00:59,
11,[문군뷰티] 원브랜드 스킨케어(feat.크리니크 3스텝) 각질제거하는법 | ONE BRAND SKINCARE MAKEUP TUTORIAL | 문군,https://www.youtube.com/watch?v=hI6oPLwi1Qc,12025,2017-01-10,0:05:51,
12,[문군뷰티] 스웨덴에그팩 X 문군 = 문군박스 | 계이득! 스웨덴 에그팩으로하는 피부관리법 | skin care routine,https://www.youtube.com/watch?v=IDv4nzSXpuw,5165,2017-01-07,0:03:53,
13,집에서 헤어라인 교정?! 예쁜 헤어라인 만들기 (feat.이니스프리 헤어틴트 헤어컨실러),https://www.youtube.com/watch?v=doMqbqkrIfE,26242,2017-01-03,0:05:38,
14,[문군뷰티] 문군 & 아뜰리옌의 세젤예 메이크업 | 네이버 브이앱 생방송 예고,https://www.youtube.com/watch?v=kt56A5L-4V4,1132,2016-12-26,0:01:27,
15,[문군뷰티] 초간단! 1분완성! 쉽게 눈썹 그리는 방법 | 로드샵꿀템 | 눈썹그리는법 | 문군 | How to drawing my eyebrows,https://www.youtube.com/watch?v=3EznmMkzoxA,23233,2016-12-22,0:02:39,
16,[문군뷰티] SNS 핫아이템! 오렌즈 러시안벨벳 혼혈렌즈 그레이-브라운 전색상 리뷰 |  O-lens RUSSIAN VELVET REVIEW | 문군,https://www.youtube.com/watch?v=AcGk7lYhzRA,10409,2016-12-17,0:06:30,
17,[문군뷰티] 메이크업박스 샀어요!! 백화점 쇼핑하울 | MAKE-UP BOX | 문군,https://www.youtube.com/watch?v=foAWzwvyIJo,1771,2016-12-16,0:05:41,
18,[문군뷰티] 바비브라운 초콜릿 아이팔레트 홀리데이컬렉션 리뷰 | BOBBI BROWN 2016 HOLIDAY COLLECTION | 문군,https://www.youtube.com/watch?v=pGUQrn1e4-o,1336,2016-12-12,0:03:01,
19,[문군뷰티] 그루밍101 문군이 알려주는 면도하는법 | How to shaving(feat.korean),https://www.youtube.com/watch?v=0DiwfGiWwfs,76546,2016-12-10,0:03:41,
20,[문군뷰티] What is this? 이거 뭐야? 완전 신기한 뷰티템 리뷰 | AHC LED 팸토마스크(feat.Iron Man),https://www.youtube.com/watch?v=oC3ASNarjEU,7973,2016-12-09,0:07:13,
21,[문군뷰티] 홀리데이컬렉션 에뛰드하우스 마이 리틀넛 전제품 리뷰 | Etudehouse 2016 Holiday My Little Nut Collection REVIEW,https://www.youtube.com/watch?v=3a54rjrXoQQ,669,2016-12-07,0:14:15,
22,[문군뷰티] 완전리얼! 생방송 5분전 퀵 수정메이크업 하기 | 남자메이크업 | 수정메이크업 | 더툴랩브러쉬 | 문군,https://www.youtube.com/watch?v=CamtEcwJhjc,2435,2016-12-01,0:05:11,
23,[문군뷰티] 여러분 저 네이버 뷰스타 TOP10 됐어요!! 감사합니다!! from.문군,https://www.youtube.com/watch?v=rzyoycvuCT0,505,2016-11-30,0:01:39,
24,"[문군뷰티] 블랙프라이데이! 롭스 세일 ""어머이건꼭사야해"" | 롭스에서 꼭 사야되는 아이템",https://www.youtube.com/watch?v=3Uv7Tr8HaDA,2542,2016-11-25,0:09:47,
25,[문군패션] 유니클로 쇼핑 하울 | 유니클로에서 꼭 사야되는 아이템 | 문군 | UNIQLO SHOPPING HAUL,https://www.youtube.com/watch?v=FQVjeweZdfw,12202,2016-11-21,0:12:56,
26,[문군뷰티] 남자는 머리빨! 흔남에서 훈남되기 (feat.아프리모) | 남자왁스바르는법 | 남자왁스추천 | 문군(특별출연:민스코/밀크캣),https://www.youtube.com/watch?v=mpX-YrINe9w,15852,2016-11-17,0:03:44,
27,[문군뷰티] 홍조 꺼졍~ 지긋지긋한 홍조 없애는 법! (feat.홍조졸업식) | 홍조커버메이크업 | 남자메이크업,https://www.youtube.com/watch?v=ztSFEY3FIVE,4152,2016-11-11,0:03:34,
28,[문군투어] 서울시 따릉이 자전거여행 | 문군 | SEOUL BIKE TOUR | 창덕궁~광화문,https://www.youtube.com/watch?v=7j_kQieJ5iw,851,2016-10-31,0:03:49,
29,[문군뷰티] 질투의 화신! 조정석 메이크업 (feat.남자의 변신은 무죄) | 연예인 커버메이크업 | 남자메이크업,https://www.youtube.com/watch?v=ETpVfWKZkXw,3008,2016-10-27,0:05:00,
