,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,여름 근황 모음.zip | 🎞️ 23월디페 • 불꽃축제 • 통영여행 • 낚시 • 야끼니꾸 • 계곡  |,https://www.youtube.com/watch?v=_cFiI9yATk4,292,2023-09-03,0:09:53,
1,비오는날에 시현하다 찍으러가기grwm💧• 증명사진 꿀팁 • 속광 파운데이션🫧 • 밍몽드,https://www.youtube.com/watch?v=y4fzU201_MY,1206,2023-05-17,0:17:36,
2,남사친 졸업식 가기전 Vlog🎓🛍️•물결고데기추천/하는법 🫧(feat.오파트라)•조말론향수선물•뒷담도 같이 까용•,https://www.youtube.com/watch?v=7EFlsuPRGbA,1584,2023-02-23,0:10:44,
3,지나도 한참 지난 생일선물 언박싱🛍️✨•소확행 보장하는 실용성 갑 선물추천•향기추천템 ♥,https://www.youtube.com/watch?v=XGexzrixbd4,1251,2023-02-06,0:26:08,
4,화이트태닝 하고 와쪄여 🫧🤍좋은 샵 고르는법•후기•가격•로션 정보🧴 Q&A 몽땅 !!,https://www.youtube.com/watch?v=3QR-LrDVjs8,35551,2022-12-15,0:13:29,
5,"mbti 다 다른 애들이랑 술게임 하러 올사람,,~ • 환승연애 과몰입러들의 술자리 🥷🏻 • 엉진망창 술냄새 진동하는 계모임 Vlog •  밍몽드",https://www.youtube.com/watch?v=9j39mGRbbb8,1042,2022-10-15,0:15:23,
6,남자친구는 없지만 남자친구 만날때 하는 메이크업 grwm🤭 • 반말 모드 • 급발진 주의 • 인생쿠션 추천 • 밍몽드,https://www.youtube.com/watch?v=oPqcRtOstvI,2296,2022-09-16,0:20:24,
7,공복 흠뻑쇼 가보자고 💦 • 2022 흠뻑쇼 대구 총정리 • 흠뻑쇼 꿀팁 • 회에 소주까지 단백질 챙기기 • 청춘이었다 .. • 밍몽드 x psy,https://www.youtube.com/watch?v=TX70cdzh7cM,2887,2022-08-19,0:10:30,
8,혼자서도 잘먹고 잘 노는 일상 vlog • 초밥 혼밥🍣 • 자라 신상 추천 • 카페 갔다가 조용히 집 가는 영상 • 밍몽드,https://www.youtube.com/watch?v=5W-J30yHL3Q,4008,2022-08-10,0:05:33,
9,흑발로 덮고 앞머리도 잘랐다요! 👩🏻 요즘 새로 바뀐 메이크업 • 웜쿨 안가리는 립조합💄 • 커버력 좋은 쿠션 추천 • 밍몽드,https://www.youtube.com/watch?v=xvz32PJmM_o,6929,2022-07-27,0:16:37,
10,왜요 제가 맨날 술만 먹고 다니는 사람 같나요 • 인생 첫 바깥 혼술🍸 • 위스키바 추천 • 고양이에게 집 선물하기 • 밍몽드,https://www.youtube.com/watch?v=5USeRYrHMb4,664,2022-07-13,0:09:06,
11,"패디과 친구 졸업전시 보러가기 • 나름?자기관리 루틴 소개(ft.괄사마사지,얼굴리프팅🧖🏻‍♀️) • 최애 렌즈 소개하기 💖 • 밍몽드",https://www.youtube.com/watch?v=vJMZRSHZ5uE,3565,2022-06-20,0:27:00,
12,광고✖️ 깔끔한게 최고야 •  예쁜척 가득 해본 잘썼템 메이크업 💖 | 탈탈 털어 썼던 스킨케어•스킨팩 추천 💦  | 밍몽드 |,https://www.youtube.com/watch?v=2uutRvTqNBI,2464,2022-05-24,0:16:38,
13,𝗩𝗹𝗼𝗴 “그해 너거는🙎🏻‍♂️🙍🏻‍♀️” • 10년 넘은 남사친이랑 쇼핑하고 집들이 🛍 • 음주로그(ft.친구된 썰) • 시끄러움 주의 • 밍몽드,https://www.youtube.com/watch?v=qSIWK643yS8,1250,2022-05-06,0:11:33,
14,분명 자연스러운데 셀카 잘나오는 데일리 렌즈 추천 ✨❤︎(feat.렌즈미 히든라이팅 아이듀 5종) • 밍몽드MINGMONDE,https://www.youtube.com/watch?v=6-AJPJrDwS0,4187,2022-04-22,0:04:16,
15,드디어 내 차례가 온건ㄱr.. 😷 • 코로나 격리 브이로그 • 먹고 자고 놀면서 이틀만에 2키로 빼기(ft.몸무게 공개?!) • 레디톡 • 밍몽드,https://www.youtube.com/watch?v=BN7B1QI12HE,2296,2022-03-25,0:15:46,
16,남사친 두명이랑 시끌벅적 글램핑 Vlog 👨‍👨‍👧 - 남녀사이에 친구가 있다⁉️없다⁉️ 여러분들이 결정해주세요 ! - 음주로그 -,https://www.youtube.com/watch?v=PUBbfoabImk,1104,2022-03-18,0:09:59,
17,면접프리패스상 취업사진 or 증명사진 메이크업 👩🏻‍💼 • 세미글로우 럽럽쿠션 • 웜톤립 추천 •  밍몽드,https://www.youtube.com/watch?v=bmKbyDAJtkY,8344,2022-02-20,0:18:42,
18,#반오십_어서오고🙋🏻‍♀️ • 고등학교 친구들이랑 부산여행 •  인스타녀들 현실 • 광안리 브런치카페 • 오션뷰 숙소 • 음주로그 🍷,https://www.youtube.com/watch?v=K_5IopQM-w0,1537,2022-01-29,0:10:42,
19,민감피부 스킨케어 루틴 • 🟡피부관리법 • 피부 진정 스킨케어 • 쌩얼주의^^; • 오겟 • 밍몽드 •,https://www.youtube.com/watch?v=FI5yZ5vGlxU,1605,2021-12-17,0:10:49,
20,🅖🅡🅦🅜 흰눈사이로 설렘을 타고 🎅🏻🧣| 부담 없이 하기 좋은 연말 메이크업 | 구독자 이벤트 | 트러블피부 스킨케어 | 밍몽드 |,https://www.youtube.com/watch?v=bIFT3XGGtWU,2571,2021-12-13,0:16:03,
21,조회수 200만 기록하고 다시 돌아온 셀프 사이드뱅 2탄 ✂️ |  좁은이마 시스루뱅 | 깔끔한 앞머리 고정 tip | Self side bang Cut 2 | 밍몽드 |,https://www.youtube.com/watch?v=4tg1xnr04gM,120964,2021-11-16,0:09:53,
22,저장공간 비우기 • 작년 생일파티 •음주로그 • 작은 수술과 입원 • 단골 이자카야 • 먹방,https://www.youtube.com/watch?v=_4hP3SznL5s,818,2021-11-09,0:13:29,
23,처음 해보는 인생 렌즈 6개 추천 ✨ | 하파크리스틴 𝐇𝐁𝐃 박스 리뷰  🎁 | 데일리 렌즈 | 𝐇𝐚𝐩𝐚 𝐊𝐫𝐢𝐬𝐭𝐢𝐧 𝐋𝐞𝐧𝐬 🤍 | 밍몽드,https://www.youtube.com/watch?v=3og3OBiA_YY,11872,2021-10-04,0:06:46,
24,클릭 안하고는 못베길걸요 | 고양이와 함께하는 올 여름 징하게 썼던 스킨케어 추천 grwm🌿 (feat.길고양이 구조한 썰) | 😺💛,https://www.youtube.com/watch?v=QOmijPhD-Nw,2312,2021-08-12,0:25:04,
25,"엄마가 소개하는 고퀄 셀프네일 Vlog 💅🏻 | 근데 이제 다소 정신없음이 가미된 ,, | 데싱디바 글레이즈 키트 언박싱 | 밍몽드 |",https://www.youtube.com/watch?v=EIl0E4b3ERM,1316,2021-05-06,0:10:28,
26,새해 일출 보고 영어학원에서 일하면서 택배도 도둑 맞고 술먹은 채로 맥북 에어 m1 언박싱 하면서 남친이랑 소고기 데이트하고 남친집까지 가버린 일상 🤫🤍 | 밍몽드 |,https://www.youtube.com/watch?v=5JPRUXeOvec,1401,2021-03-26,0:12:46,
27,요즘 푹 빠진 취미 공유하기 💅🏻 | 방구석 네일리스트✌🏻🥸| 집에서 다같이 해보아요 💕| 데싱디바 젤네일 스티커 | 밍몽드 |,https://www.youtube.com/watch?v=ASZYXrubFHY,1425,2020-12-14,0:14:12,
28,🅖🅡🅦🅜 가을 겨울 보습템으로🍯 꿀광피부 만들고 나갈준비해요 ! | 피부 좋아지는 메이크업 | 가히밤 | 핑크코랄 + 자몽 립추천 💄| 밍몽드 |,https://www.youtube.com/watch?v=I53U9RPmoJs,3016,2020-11-03,0:11:55,
29,𝒩𝑜광고 | 내 코가 더 예뻐진 이유 ?! 👸🏻 | 하이코 맞고 왔어요 ! | ✨코필러 시술당일부터 일주일까지✨ | 밍몽드 |,https://www.youtube.com/watch?v=8YPRzLu-pdk,42654,2020-09-12,0:12:05,
30,자주쓰는 제품들로 가을맞이 데일리 메이크업 해보아요 - 🍂 | 세미매트 쿠션 추천 | 웜톤 립추천 | 밍몽드 |,https://www.youtube.com/watch?v=YRv90F2RwOA,2584,2020-09-02,0:04:04,
31,꾸덕한 밀크티 메이크업 🍮 | 여름 데일리 메이크업 | 치카이치코 팔레트🍬 | 밍몽드 |,https://www.youtube.com/watch?v=1xXEmAdGZU4,3849,2020-08-16,0:05:33,
32,디칸 벨벳 매트 립틴트 전색상 발색 💄| 세상 예쁜 틴트 꿀조합 | 디칸 | 밍몽드 |,https://www.youtube.com/watch?v=_usvSdCQY0U,1737,2020-08-09,0:08:47,
33,☄️장마 + 폭염주의보에 하기 좋은 가볍고 투명한 메이크업 💎 | 남녀 상관 없이 여름에 쓰기 좋은 향수 추천 🌦 | 앤드류앤코 | 셀프뷰티 프라이머 픽서 | 밍몽드 |,https://www.youtube.com/watch?v=5zJiOF3oYFI,2312,2020-08-01,0:12:49,
34,웜톤 여름 메이크업 🌼 | 여름에도 쉽게 무너지지 않는 베이스💦 | 캐트리스 HD 파운데이션 | 에뛰드 피지쏙 라인 | 웜톤 섀도우 추천 | 밍몽드 |,https://www.youtube.com/watch?v=G_UXwu1M4KM,2957,2020-07-14,0:05:36,
35,💡꾸안꾸 긴머리 웨이브 하는법👰🏻|웨이브컬 온종일 유지하는 방법✨| 여신..웨이브스타일링🙇🏻‍♀️|봉고데기 40mm|보다나 헤어픽서|Natural wave styling|,https://www.youtube.com/watch?v=ixfuyC703Ko,49619,2020-05-20,0:14:19,
36,요청 많았던 내가 피부가 좋은 이유 1탄!🍼 | 건강식단 🥗 | 셀프 과일 스무디 만들기 🍹 | 비타민과 다이어트 보조제 추천 🍏 | 밍몽드 |,https://www.youtube.com/watch?v=Z8UorLnI6Hw,1846,2020-05-06,0:13:36,
37,요 사진속 봄 메이크업 - 🌼 | 팔레트 하나로 봄맞이 끝 💐 | 닥터마인드 스킨케어 | 셀레피트 스틸커버쿠션 | 에뛰드 하트블라썸 | 밍몽드 |,https://www.youtube.com/watch?v=xDExZdKc_NA,5096,2020-04-01,0:07:34,
38,코로나에 다들 집에서 뭐하세요?🏠|파운데이션 지속력 테스트🥽| 구독자분 선물 뜯어보기💍|목걸이 소개🦋|아침밥 먹기🥣| 출근하기☕️| 밍몽드|,https://www.youtube.com/watch?v=MEpqirSYhGc,3527,2020-03-27,0:19:56,
39,📢얼굴 5배는 작아보이는 셀프 “사이드뱅” 자르기 💇🏻‍♀️ | 시스루 뱅 | 앞머리 예쁘게 고정하는 방법 | 좁은이마 | self side bang Cut | 밍몽드 |,https://www.youtube.com/watch?v=HbhNNSc8Jkg,4975819,2020-03-18,0:12:20,
