,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,꾸덕꾸덕 매콤달콤 찐 옛날 쌀떡볶이 맛집을 소개합니다.,https://www.youtube.com/watch?v=VkUsG4QbJdE,2464,2023-09-20,0:10:34,
1,백종원 임영웅님도 인정한 맛집! 선유도 우렁된장 오징어볶음 맛집,https://www.youtube.com/watch?v=AXVUBA1hNWk,4090,2023-09-14,0:08:05,
2,양도 많고! 곱빼기도 무료! 사장님 마음도 따듯한 국수 맛집을 찾았습니다.,https://www.youtube.com/watch?v=OyfFSKOFDVQ,5028,2023-09-10,0:08:23,
3,진짜 간짜장을 찾는 분들 여기로 오시면 됩니다.,https://www.youtube.com/watch?v=0BfaWUIPc8U,12499,2023-09-06,0:10:36,
4,뚝배기 안에 섬진강을 담았다! 외유내강 시원함의 끝 재첩수제비 칼국수,https://www.youtube.com/watch?v=g05JxmzayUI,5200,2023-09-03,0:10:14,
5,전국 최저가 아닐까요? 그런데 밥까지 무한리필?! 저렴한 가격 안에 숨겨진 따듯한 마음까지!,https://www.youtube.com/watch?v=YNAh1ydHnng,5835,2023-08-31,0:10:09,
6,연탄불에 정성스럽게 구워주신 고등어 구이 백반 노포 맛집,https://www.youtube.com/watch?v=pIAvPmiMdqI,4868,2023-08-27,0:13:52,
7,"5,000원으로 직접 뽑은 기계 우동 짜장을 먹고 싶다면? 기사님들 마음 속 1등 식당을 소개하겠습니다.",https://www.youtube.com/watch?v=yY0i6N9gCBc,7689,2023-08-23,0:09:20,
8,건물주가 임대료 아껴 1등급 한우로 만든 국밥 맛집!,https://www.youtube.com/watch?v=IePvqA7PzoQ,5367,2023-08-16,0:08:37,
9,45년 세월이 깃든 속이 편한 국물의 해장국! 깔끔함이 미쳤습니다.,https://www.youtube.com/watch?v=KAwTJQScKxA,5074,2023-08-09,0:09:35,
10,가게 이름부터 킹왕짱! 사장님 이거 다 드시는 분들도 계..시죠??,https://www.youtube.com/watch?v=rRE04nG2MIc,9480,2023-08-06,0:15:25,
11,밥 3공기 뚝딱 사라지는 얼큰하고 고소한 순두부찌개! 여의도 줄 서는 맛집!,https://www.youtube.com/watch?v=Oi7KEojbQJs,5690,2023-08-02,0:12:10,
12,"혀 끝은 맵고, 머리끝까지 시원한 냉면 맛집!",https://www.youtube.com/watch?v=Dim3QmNBh4c,10275,2023-07-30,0:08:22,
13,옛 호프집에서 파는 레전드 경양식 돈까스,https://www.youtube.com/watch?v=hgz6qlPBXOo,4966,2023-07-27,0:09:38,
14,짜장면 하나로 명동에서 60년을 버틴 중식당,https://www.youtube.com/watch?v=qEZVU4bXoFI,7505,2023-07-23,0:10:04,
15,24시 초밥 편의점???? 궁금해서 가봤습니다.,https://www.youtube.com/watch?v=GEGN_lQVSLw,7199,2023-07-19,0:14:18,
16,소름 끼치는 점보도시락 도전 먹방,https://www.youtube.com/watch?v=6fEj1RNkhUg,6722,2023-07-16,0:13:24,
17,초복에 가성비 넘치는 닭볶음탕 백반 맛집을 소개합니다! 계림삼계탕,https://www.youtube.com/watch?v=7AWGdImZWEc,11400,2023-07-11,0:11:58,
18,33년 노포의 자긍심! 예술적인 돼지고기 튀김 맛집! 일번지,https://www.youtube.com/watch?v=LlAw4H5Hg9g,7459,2023-07-09,0:11:22,
19,80세 할머니께서 만드는 천 원의 기적,https://www.youtube.com/watch?v=oNDSEU7hIOQ,7959,2023-07-05,0:12:07,
20,"대학로에서 혼자 시간이 멈춰 있는, 50년 내공 얼큰 냉면 맛집",https://www.youtube.com/watch?v=sLUEWoyAVL8,7660,2023-07-02,0:09:46,
21,"헤어진 전 애인은 잊어도, 여기 양념치킨은 못 잊지! 치킨 외길 인생 40년 차! 동작구 가본통닭",https://www.youtube.com/watch?v=IlTmhZrNK8E,5923,2023-06-28,0:14:12,
22,이 한 점에 소주 한 잔 가능! 광장시장에서 찾은 새로운 인생 국밥!,https://www.youtube.com/watch?v=NLpq-FE6GI8,6808,2023-06-26,0:11:08,
23,살이 꽉 찬 수율의 간장게장 맛집! 그런데 무한리필!,https://www.youtube.com/watch?v=j7_38IUxvOA,5964,2023-06-22,0:13:31,
24,여의도에서 하루 3시간만 영업하는 막국수 맛집!,https://www.youtube.com/watch?v=-6dH2LY5mcg,5531,2023-06-19,0:10:15,
25,"추억의 철가방이 있는 곳, 50년 노포의 내공이 담긴 옛날 탕수육과 간짜장",https://www.youtube.com/watch?v=-k0z8o_6KZ0,8865,2023-06-14,0:13:03,
26,"국물이 끝내주는, 맑은 순대국 노포 맛집을 찾았습니다.",https://www.youtube.com/watch?v=G6KkMGUxftc,10744,2023-06-11,0:15:24,
27,"수제 군만두가 10개 2,000원? 지나칠 수가 없네요!",https://www.youtube.com/watch?v=7rMSwKC2cSQ,8972,2023-06-06,0:08:53,
28,"10,000원으로 고퀄리티 10가지 중식 요리와 식사를 무제한으로!",https://www.youtube.com/watch?v=arcktInonFY,13390,2023-06-01,0:10:36,
29,이것이 진정한 만 원의 행복이구나!,https://www.youtube.com/watch?v=97cedued7p0,5460,2023-05-28,0:10:35,
30,"이 순대국이면, 소주 3병 깔 수 있습니다.",https://www.youtube.com/watch?v=y4vYoj__huc,21874,2023-05-21,0:11:45,
31,동화 속 동심 가득한 돈까스 나라로 가시죠! 강서구 크레파스,https://www.youtube.com/watch?v=SCOZE6_xWmk,5562,2023-05-17,0:12:48,
32,현재 머릿고기 폼이 엄청난 식당! 합정순대국,https://www.youtube.com/watch?v=0IOK5N03xNE,9362,2023-05-14,0:10:54,
33,'팔보 짜장면과 무한리필 보리밥의 콜라보',https://www.youtube.com/watch?v=_8jrdS9zdTo,8355,2023-05-11,0:12:51,
34,"2,500원에 맛과 양 그리고 할머니의 따듯한 마음까지 담은 길거리 토스트",https://www.youtube.com/watch?v=QsVBUDVtCYQ,4190,2023-05-08,0:09:24,
35,치즈폭포 안에 숨겨진 숯불 곱창! 성수 핫플 뚝도시장에서 혼술!,https://www.youtube.com/watch?v=mjee7I2ilqY,4449,2023-05-03,0:15:13,
36,중국 사장님께서 만드는 전통 찐 우육면!,https://www.youtube.com/watch?v=4ysqSnTNK60,5897,2023-04-30,0:13:25,
37,'할아버지 홀로 만드시는 5가지의 따듯한 메뉴' 문래동 가맥집 한양수퍼,https://www.youtube.com/watch?v=Jykrc-MsVCk,9742,2023-04-26,0:13:43,
38,[등촌 코끼리한상] 보쌈과 김치찜의 수상한 콜라보?,https://www.youtube.com/watch?v=ZD7msGMrmwI,7899,2023-04-23,0:16:04,
39,[대림 신풍낙지] 낙지 하나로 건물 통체로 쓰는 맛집!,https://www.youtube.com/watch?v=isJpQIaW-Nc,6251,2023-04-19,0:10:13,
40,"[역곡 학교 가는 길] ""압도적인 크기와 맛! 치즈 라볶이 맛집""",https://www.youtube.com/watch?v=yfgUZTC1hAs,8238,2023-04-16,0:08:51,
41,[삼각지 평양집] 50년 세월로 만든 인생 국밥! 국물이 깔끔X100,https://www.youtube.com/watch?v=HImR1r3lkzw,6898,2023-04-12,0:10:20,
42,"4,000원에 어마무시한 양과 30년 전통 노포의 맛을 느낄 수 있는 곳!",https://www.youtube.com/watch?v=c4r607o6DVs,23671,2023-04-09,0:09:51,
43,서울 대표 콩국수! 여의도 진주집을 소개합니다!,https://www.youtube.com/watch?v=964GLNRba80,10373,2023-03-26,0:08:43,
44,김치볶음밥이 더 유명한 칼국수 전문점?,https://www.youtube.com/watch?v=ReeSrk9fgIc,10235,2023-03-22,0:10:18,
45,감자탕 말고 감자국! 서래마을 청실홍실,https://www.youtube.com/watch?v=08P0wSs36E8,7545,2023-03-20,0:12:04,
46,서울 3대 중국집! 70년 전통을 자랑하는 중국집 짜장면 맛은 어떨까!?,https://www.youtube.com/watch?v=av2ogb_tSyM,10365,2023-03-14,0:12:11,
47,"8,800원으로 한우암소고기 배터지게 먹기 가능? 가능!",https://www.youtube.com/watch?v=MMi598YNTzc,8295,2023-03-09,0:12:11,
48,서울에서 가장 오래된 순대국밥은 어떨까요?,https://www.youtube.com/watch?v=9DkwjusmzBc,10201,2023-03-05,0:12:58,
49,수많은 치킨집 사이 50년을 지켜 온 노포 치킨 맛집! 삼우치킨센타,https://www.youtube.com/watch?v=ONK0ZsDOSL4,9357,2023-02-27,0:13:18,
50,사람들이 토스트에 낮술 때리는 24시간 을지로 노포! 자매분식!,https://www.youtube.com/watch?v=-8Km93Vremg,10803,2023-02-23,0:13:54,
51,24시간 공복 후 만나는 옛날짜장과 라면! 구로디지털단지 맛집! 기사님분식24,https://www.youtube.com/watch?v=p9oda1rIB1s,14900,2023-02-16,0:11:43,
52,1986년 을지로 노포의 품격을 보여주는 곳! 동경우동,https://www.youtube.com/watch?v=7InL_za7qys,7178,2023-02-12,0:09:52,
53,서울 3대 탕수육? 정말 맛있을까?!,https://www.youtube.com/watch?v=nC61NPz4FWY,9572,2023-02-09,0:11:27,
54,진짜 맛있게 매운 냉면 맛집을 찾았습니다!,https://www.youtube.com/watch?v=l9thEJHI9mA,14750,2023-02-06,0:12:00,
55,"이 모든 메뉴가 12,000원! 시장은 사랑입니다🥰",https://www.youtube.com/watch?v=dzEPg0W2CX4,9153,2023-02-01,0:10:48,
56,추운 겨울 슈퍼에서 연탄불로 끓여주는 라면!,https://www.youtube.com/watch?v=gGAtZe_9bkw,9565,2023-01-15,0:10:06,
57,간판 보고 설렁탕 가게인 줄 알았는데 삼겹살 맛집??,https://www.youtube.com/watch?v=Cp8n4hR5Mfk,5495,2023-01-11,0:12:34,
58,"""제 최애 인생 즉석떡볶이 맛집을 소개합니다""",https://www.youtube.com/watch?v=kbJDP6WuTwA,11084,2023-01-08,0:10:52,
59,백종원의 골목식당 홍탁집! 정말..괜찮을까? 궁금해서 가봤습니다!,https://www.youtube.com/watch?v=eY6njMpqGFQ,20491,2023-01-04,0:11:25,
60,"""대구에서 유명한 조합이라면서요?! 우동+불고기! 얼큰하며 속 풀리는 우동과 육즙팡팡 불고기!""",https://www.youtube.com/watch?v=WXbkiqpMIdM,11559,2023-01-01,0:12:03,
61,"""뼈구이??? 처음 먹어 보는 메뉴인데 요고 참 중독성있네요!""",https://www.youtube.com/watch?v=5ewboa_91dc,10216,2022-12-28,0:10:44,
62,"""겨울엔 굴보쌈이지! 그런데 서비스가 거의 메인요리인데요 사장님?!"" 종로3가 장군굴보쌈",https://www.youtube.com/watch?v=Qr2hY1g6hKg,8077,2022-12-25,0:11:25,
63,"""즉석우동집에서 우연히 만난 인생 돈까스"" 망원동 즉석우동",https://www.youtube.com/watch?v=SZMN8hsltbk,9991,2022-12-22,0:11:17,
64,한우육수의 깊고 찐한 특별한 국시! 안동국시를 서울에서 만나다!,https://www.youtube.com/watch?v=Zcimhq3r28k,4792,2022-12-18,0:12:01,
65,"""손만두국의 명가! 미식가 신동엽님도 극찬한 맛집!"" 용산구 동부이촌 갯마을",https://www.youtube.com/watch?v=Pyrorhmt9u8,8564,2022-12-14,0:10:24,
66,"""3,900원?? 북한에서 내려오신 사장님께서 만드는 착한 순대국 맛집!"" 광명시 철산동 광명소고기순대국",https://www.youtube.com/watch?v=MmpkmrQ1Z9s,11188,2022-12-11,0:14:27,
67,"""두부에 진심을 담은 40년! 노포 맛집"" 종로구 구기동 원조할머니두부집",https://www.youtube.com/watch?v=A8f45ohYLvw,7241,2022-12-07,0:14:02,
68,"""미나리 한 가득 38년 내공의 오삼불고기 맛집!"" 신림 오첨지",https://www.youtube.com/watch?v=irLzZnvnW2M,6138,2022-12-04,0:13:09,
69,"""이렇게 하얀 떡볶이가 정말 맛있다고요...???"" 인천 남동공단 떡볶이",https://www.youtube.com/watch?v=YByGlMYwxV4,17899,2022-11-30,0:11:07,
70,"칼국수+보리밥+냉면= X,000원 ??? 남대문시장 칼국수골목 만나식당",https://www.youtube.com/watch?v=7E1ootVW9Bk,16837,2022-11-27,0:10:59,
71,"""이상하게 자꾸 손이 가는 이 돼지갈비는 뭐죠?!"" 서울 마포구 용강동 조박집",https://www.youtube.com/watch?v=vv-9LgKtGVc,6082,2022-11-23,0:14:01,
72,"""퇴근 길에 우연히 보고 들어간 조금 특별한 분식집???"" 서울 구로동 겨자씨분식",https://www.youtube.com/watch?v=lq1VkbcwzdY,9473,2022-11-20,0:11:00,
