,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,내가 명품이 없는 이유?✨수다 떨어 재끼면서 요즘 데일리 메이크업,https://www.youtube.com/watch?v=0oHFYejxZgQ,16545,2023-09-27,0:21:58,
1,립친자의 애매한 립제품 몽땅 털이!🔥사도 그만 안사도 그만인 립들(?),https://www.youtube.com/watch?v=7K-mIX8giK8,45777,2023-09-17,0:19:03,
2,탐욕의 28세 생일선물 언박싱. 이사람은 카톡위시에 뭘 담아놨는가,https://www.youtube.com/watch?v=PM-Sh7b0nH4,39788,2023-09-13,0:18:47,
3,립친자의 추천템/비추템!💄물먹립 탕후루립 지속력똥망립 다 털어드림,https://www.youtube.com/watch?v=V5P5lUCbp40,144535,2023-09-06,0:26:02,
4,𝐕𝐋𝐎𝐆 :보그찍던 작가님께 프로필을 찍혔다..!단발머리로 첫 프로필 촬영 브이로그,https://www.youtube.com/watch?v=uwhm-_hkf5o,12911,2023-08-26,0:23:38,
5,𝐕𝐋𝐎𝐆 : 사람 사는거 다 똑같지 뭐,https://www.youtube.com/watch?v=HGZDnzK-SYg,17872,2023-08-21,0:11:06,
6,𝐕𝐋𝐎𝐆 : 저질러버렸다,https://www.youtube.com/watch?v=urWwZQgCk3E,112031,2023-08-10,0:14:01,
7,알리에서 만원대 가발만 사봤는데 과연..?!,https://www.youtube.com/watch?v=VAJc2L5Ybdw,78897,2023-08-06,0:14:16,
8,화알못 옛날화장 요즘 스타일로 다시 해봄!🔥퍼스널 화장법 찾는 꿀팁大방출,https://www.youtube.com/watch?v=hi1qBON0PTI,58066,2023-07-27,0:25:01,
9,𝐕𝐋𝐎𝐆 :모(毛)자람 없는 하루(유라이크 할인이벤트 있음!),https://www.youtube.com/watch?v=g7V1JES_RhQ,36065,2023-07-20,0:15:19,
10,(광고X)제가 요즘 끼는 렌즈들은 이겁니다.,https://www.youtube.com/watch?v=ZS5lGbMaBjI,38263,2023-07-13,0:10:47,
11,𝐕𝐋𝐎𝐆 :번아웃에 도망치듯 떠난 강릉(with.남자친구),https://www.youtube.com/watch?v=sJU4o2IYmtU,29380,2023-07-06,0:18:17,
12,쿠팡에서 항상 사는 삶의질 멱살잡이템(내돈내산)|여성청결제 정착템.벨트 구멍뚫이.맛도리 냉동식품 등,https://www.youtube.com/watch?v=4_iIbzTM8mI,35848,2023-07-02,0:20:45,
13,20대 초-중반에 겪은🔥역대급 썰들🔥풀면서 요즘 스모키 메이크업,https://www.youtube.com/watch?v=yuwAsqWDLWE,49074,2023-06-21,0:28:41,
14,대륙에서 물건너온 쉬인 2차 택배깡!🛍️이번에도 어마무시합니다🔥,https://www.youtube.com/watch?v=Zl-C7pBYTP0,48545,2023-06-18,0:23:08,
15,가성비 맛도리 쉬인 택배깡!🔥28만원으로 뷰티템부터 데일리룩까지,https://www.youtube.com/watch?v=63REqC-oeSY,59846,2023-06-11,0:19:17,
16,𝐕𝐋𝐎𝐆 : 트위치할라고 방음부스 질렀는디 보실라우?,https://www.youtube.com/watch?v=kRCjjHvSkg8,16724,2023-06-07,0:08:12,
17,알리 화장품이 가품이라고 하셔서..찐 중국브랜드 화장품 털어왔습니다,https://www.youtube.com/watch?v=d37T6uyV850,258198,2023-06-04,0:22:57,
18,지금남친 만난썰 풀면서 첫사랑재질 기억조작 메컵💖𝗚𝗥𝗪𝗠,https://www.youtube.com/watch?v=81vLl5Lz9-I,141962,2023-05-30,0:19:52,
19,앞머리 자르기 아까워서 앞머리 가발 종류별로 6개 사봤는데요..,https://www.youtube.com/watch?v=1-F4JT3tZZ0,71803,2023-05-28,0:14:56,
20,내가 K-장녀같다구?추측 읽으면서 디즈니 벨 언냐 메이크업🎀(말많음 주의),https://www.youtube.com/watch?v=xbGj82Aqtus,26756,2023-05-18,0:15:28,
21,알리익스프레스 화장품 어떨까?!틱톡 화장품 현실리뷰(K-뷰티가 괜히 나온말이 아니네..),https://www.youtube.com/watch?v=pSURf7X51PQ,279652,2023-05-10,0:20:53,
22,𝐕𝐋𝐎𝐆 :저는 이제 미니멀리스트 입니다. 아마도,https://www.youtube.com/watch?v=z_xQqHSSv6g,21001,2023-05-04,0:10:59,
23,𝐕𝐋𝐎𝐆 :프로필을 위한 뷰티데이 총 모음집(잇몸성형.네일.무삭제라미.아쿠아필.입술필러),https://www.youtube.com/watch?v=6hJTkg21Vls,107142,2023-04-27,0:13:16,
24,𝐕𝐋𝐎𝐆 : 이 유튜버는 어떻게 돈을 벌까,https://www.youtube.com/watch?v=sOlqjx1EuAY,30254,2023-04-23,0:15:05,
25,돌아온 월간진아!🛍️3달동안 써본 뷰티템들 싹다리뷰(오에니르 립밤.스팀고데기.에스트라패드.헤라 글로우쿠션 등),https://www.youtube.com/watch?v=dCZBiG9yVHg,22773,2023-04-20,0:24:00,
26,"봄맞이 왓츠인마이백👜(n년째 쓰는 파우더 팩트,착색없는 물먹립,애착 우디향수 등등)",https://www.youtube.com/watch?v=PMmI_7QZMY8,17441,2023-04-16,0:11:29,
27,158cm의 봄 코디북🌸셔츠코디.청자켓.바시티자켓.청바지코디 등,https://www.youtube.com/watch?v=vFjRmJzLpiQ,10658,2023-04-09,0:08:48,
28,SUB)지인들 파우치 다 털기!🛍얘 니가쓰는 좋은템 나도 써보자(웜쿨 다있음),https://www.youtube.com/watch?v=iNBElUm-USU,20773,2023-03-31,0:11:34,
29,원.래.예뻐보이는 메컵🐰깔끔하고 청순하게 예뻐지는 메이크업팁 알려Dream,https://www.youtube.com/watch?v=D9Konak9pu4,26541,2023-03-24,0:20:23,
30,(꿀템가득🍯)코재수술하고 화장법찾으러 청담샵 갔는데요..톤파괴 당하고옴(SUB),https://www.youtube.com/watch?v=jWvMT1G-GC0,21358,2023-03-17,0:12:36,
31,알리에서 만원대 옷으로 봄코디 해봄!🌸생각보다 괜찮은..가..?,https://www.youtube.com/watch?v=DW9blNzAJ-o,57277,2023-03-11,0:10:12,
32,네일팁 다 사봄!💅🏻1천원대~1만원대.손톱타입별 추천(데싱디바/핑거수트/쇼핑몰제품),https://www.youtube.com/watch?v=K7xePzFjl-k,55215,2023-03-05,0:13:15,
33,3-10만원대 가방 8종추천!👜✨보부상백/데일리백/미니백 등,https://www.youtube.com/watch?v=ikWLCj0G2Kk,78678,2023-02-24,0:15:47,
34,코재수술하고 첫 화장💖👃🏻밀린썰 풀면서 화장해요,https://www.youtube.com/watch?v=EqqJoAJiBfw,75941,2023-02-18,0:12:16,
